Page Number,Page Information
1,"The image is the cover of ""Amiga Format"" magazine, issue 10, May 1990.  The cover features a large, bold red ""AMIGA"" logo against a dark green background, which appears to be a pixelated graphic.  The title ""FORMAT"" is also prominently displayed in a similar style.

The cover also features a large, white ""WORK HARD"" headline, with the subtitle ""Your essential guide to getting down to business"" underneath.  This suggests the magazine contains articles and information related to Amiga computer users.

The cover highlights two playable demos: ""VIVID IMAGE's ACTION PACKED HAMMERFIST"" and ""HOVERBOARD ACTION in WIPE OUT"" from Gonzo Games.  A graphic of a pixelated character on a rainbow is prominently featured.

Below the main headline, there's a section titled ""PLAY HARD"" with the question ""Is Rainbow Islands the game of the year?"". This suggests a review or discussion of the game.

The cover also includes information about the magazine's content, including reviews, tutorials, and articles on topics like ""Colour Vidi,"" ""Ultradesign,"" ""Games Programming,"" and ""Digitising Colour Graphics.""

The cover also includes the issue number (10), date (May 1990), and price (£2.95).  There's also a barcode and a price in US dollars.  The cover design uses a pixelated style, consistent with the Amiga computer's graphics capabilities.
"
2,"This page is an advertisement for two video games, ""F-29 Retaliator"" and ""Ivanhoe,"" both available for the Commodore Amiga.

**F-29 Retaliator:**

The advertisement highlights ""F-29 Retaliator"" as a flight simulation game.  It emphasizes the game's realism, featuring multiple aircraft types, various mission types (aerial combat, strategic bombing, ground battles, carrier operations), and real-time cockpit displays, including a ""true radar"" system.  The ad copy boasts that the game offers a ""futuristic aerial treat"" and a ""visually stunning simulation.""  A quote from a reviewer (""ZERO"") praises the game's ""brilliant action and scenario"" that will leave the player ""gasping in awe."" Another reviewer (""THE ONE"") describes the experience as ""exhilarating"" and ""paramount.""  Images of the game's cockpit displays are included, showcasing the detailed graphical representation of the flight environment.

**Ivanhoe:**

The advertisement for ""Ivanhoe"" describes it as a medieval fantasy adventure game.  The ad copy emphasizes the game's ""mystical world,"" ""chivalrous hero,"" ""magical powers,"" and ""awesome dragons.""  It highlights the game's animation and graphics, stating that the cartoonist who created the *Asterix* movie contributed to the game's visuals.  The ad copy promises a ""visual impact as yet unseen"" in interactive entertainment.  Images of the game's characters (a knight and a dragon) and environments are included, showcasing the game's artistic style.

**Overall:**

The page is a promotional piece, designed to attract potential buyers of the games.  It uses evocative language and imagery to highlight the features and appeal of each game.  The page also includes the publisher's contact information (Ocean Software Limited).  The page is formatted with clear headings and descriptions for each game, making it easy for the reader to understand the content.  The page is likely from a magazine or catalog, promoting the games for sale.
"
3,"This page is an advertisement, likely from a magazine, promoting Atari ST video games.  It features detailed descriptions and images of several games, along with contact information for the retailer.

**Game Descriptions and Images:**

The page highlights several games, each with a title and a brief description.  The descriptions are written in a style that is engaging and evocative, aiming to entice potential buyers.

* **Rainbow Islands:**  The description emphasizes the use of magic shoes, throwing rainbows, and battling various creatures on different islands.  The image accompanying this game is a colorful, cartoonish depiction of the game's characters and setting.

* **Bit Machine The Fear:** The description focuses on a survival theme, with weary survivors and a chopper crash. The image is a more realistic, action-oriented depiction of the game.

* **The Lost Patrol:** The description is about a military-themed game, with soldiers and a helicopter. The image is a dramatic, war-like scene.

**Visual Elements:**

The page uses a combination of text and images to showcase the games.  The images are vibrant and colorful, with a style that is typical of the 1980s and 1990s.  The text is bold and easy to read, with clear headings and descriptions.

**Retailer Information:**

At the bottom of the page, there's contact information for the retailer, including their address, phone number, and fax number.  This suggests that the page is part of a larger advertisement campaign for the retailer.

**Overall Impression:**

The page is designed to attract attention and generate interest in the Atari ST games.  The combination of detailed descriptions, colorful images, and clear contact information makes it a compelling advertisement for the games.
"
4,"This page is a spread from a magazine, likely *Amiga Format*, from May 1990.  It's a mix of articles, advertisements, and possibly some technical documentation.

**Top Section:**

The top portion of the page displays a computer-like interface, with windows showing database-related information.  There are menus, fields for data entry (like names, addresses, and numbers), and buttons for actions like ""Add Record,"" ""Delete Record,"" and ""Previous Record.""  The text ""WORK HARD...DATABASES P 77"" is prominently displayed in a large, bold font.  The visual style suggests a screen capture from a computer program.

**Middle Section:**

This section contains a collage of images, including a pixelated portrait of a person, a color wheel, and a graphic of a football player.  The style is reminiscent of the graphical capabilities of the Amiga computer.

**Bottom Section:**

This section contains a mix of editorial and advertising content.

* **Editorial/Advertising:**  This section lists the magazine's editorial and advertising contact information.
* **Subscriptions/Mail Order:**  This section provides contact information for ordering subscriptions and other mail-order services.
* **Coverdisk Hotline:**  This section provides a specific hotline number for coverdisk-related inquiries, operating during specific hours.
* **Editorial Content:**  The page includes a list of contributors and their roles (e.g., Editor, Technical Editor, Staff Writer).  This suggests a collection of articles and reviews.  The text mentions ""REVIEWS EDITOR,"" ""TECHNICAL EDITOR,"" and ""STAFF WRITER,"" indicating that there are reviews and articles on the page.
* **Legal Notice:**  The bottom section also includes a legal notice regarding the magazine's content, copyright, and reader correspondence.

**Overall:**

The page is a mix of technical and editorial content, likely aimed at Amiga computer users.  The visual style and content suggest a magazine focused on computer technology and software, particularly database management.  The presence of reviews and staff writer information suggests a review section.  There is no explicit review rating visible on the page.
"
5,"This page is a section from a magazine, likely a computer gaming magazine, judging by the content.  It's a mix of articles, reviews, and advertisements.

**Sections:**

* **SPECIALS:** This section lists articles related to computer graphics and programming.  It includes ""Digitiser Masterclass 23,"" a series of articles on databases, game programming, and aliens.  There's also a listing for ""DTP: Hand Scanner,"" which suggests desktop publishing software.  The page numbers associated with each item indicate their placement within the magazine.

* **REGULARS:** This section contains a variety of articles, including news, previews, graphics, updates, music, workbenches, game reviews, letters, and a guru column.  The page numbers show the location of each article.

* **SCREENPLAY:** This section features reviews of video games.  The titles of the games reviewed include ""Rainbow Islands,"" ""Herewith the Clues,"" ""Paris-Dakar,"" ""Typhoon Thompson,"" ""Manic Miner,"" ""Sherman M4,"" ""Highway Patrol II,"" ""Infestation,"" ""Warhead,"" ""TV Sports Basketball,"" ""Black Tiger,"" ""688 Attack Sub,"" ""Atomix,"" ""Grand National,"" ""Manchester Utd,"" ""Italia '90,"" ""Crackdown,"" ""Scramble Spirits,"" and ""Kid Gloves.""  The page numbers indicate where each review begins.

* **REVIEWS:** This section contains reviews of various software, including ""Vidi-Chrome,"" ""Class of the '90s,"" ""TV Text Pro,"" ""Sound Blaster,"" ""Trackballs,"" ""Ultradesign,"" and ""Distant Suns.""  The page numbers show the location of each review.

* **DISK EXTRA:** This section features information about software and game demos.  The ""Hammerfist"" section describes a playable demo of a game called ""Wipe Out,"" along with other software details.  The page numbers are not present for this section.

**Overall:**

The page is densely packed with information, showcasing a variety of computer-related topics, including game reviews, software tutorials, and news.  The use of page numbers indicates that this is a portion of a larger publication.  The presence of reviews and game titles suggests a focus on computer games and software.  The pixelated graphics and text style are characteristic of publications from the 1980s or early 1990s.
"
6,"This is an advertisement for the video game ""688 Attack Sub,"" likely for a Commodore Amiga or IBM computer.

The advertisement features a large, stylized image of a naval battle, with a submarine and a large warship in the foreground.  A targeting reticle is superimposed on the image, emphasizing the game's focus on targeting and combat.  The image style is somewhat graphic and illustrative, rather than photorealistic.

The text highlights key features of the game:

* **New standards of realism, 3D graphics, and excitement:** This emphasizes the game's graphical and gameplay quality.
* **Command a billion-dollar US Los Angeles class submarine, or a top-secret Soviet Alfa:** This indicates the variety of vessels and missions available.
* **10 different scenarios with infinite play possibilities:** This suggests a significant amount of replay value.

The advertisement also includes details about obtaining a free brochure and a potential promotional item (a ""688 mobile"").  It specifies the price for the game on both Amiga and IBM platforms.

Crucially, the advertisement notes that screenshots are of the IBM version, but the Amiga version is likely superior.

Finally, the advertisement includes contact information for Electronic Arts, the game developer, allowing interested parties to request more information or purchase the game."
7,"This page is an article from Amiga Format magazine, likely from the late 1980s or early 1990s, focused on Commodore Amiga news and reviews.

The main article section, titled ""A500 IS FLYING HIGH,"" details the release of a new Commodore A500 bundle.  The bundle includes the A500 computer, F29 Retaliator, Rainbow Islands, Escape from the Planet of the Robot Monsters, and Deluxe Paint II.  The price is £399.99, the same as the previous Batman pack.  The article highlights the bundle's inclusion of popular and recently released games, emphasizing its value for money and Commodore's strategy of releasing multiple, competitively priced bundles simultaneously.  It also mentions a Commodore-sponsored competition on the Batman videotape.

The article also discusses the continued success of the Batman pack and hints at future bundles, possibly for Christmas, with a focus on music and video software.

A separate section, ""THE YEAR ACCORDING TO MIRRORSOFT,"" details Mirrorsoft's activities and upcoming releases.  It mentions Imageworks, a Mirrorsoft label, and their various games, including coin-op conversions and original titles.  The article highlights a new ""Great Escapes"" offer for Imageworks and PSS games, offering a free holiday voucher for collecting five vouchers.  It also details Mirrorsoft's first film license, ""Back to the Future - Part II,"" and the upcoming game ""Gravity,"" developed by Ross Goodley.

Finally, there's a section on the Bitmaps' latest game, ""Cadaver,"" described as an isometric 3D arcade adventure with a large castle setting and 5 levels.  The article also reviews ""Theme Park Mystery,"" an arcade adventure set in a theme park.

The overall tone of the article is positive, highlighting the value and variety of the new releases and the continued success of the Amiga platform.  There's no explicit review rating, but the article's language suggests a positive assessment of the products and the company's strategies.
"
8,"This page is an advertisement for Micronet, a computer network service.  The overall tone is enthusiastic and inviting, aimed at computer enthusiasts.

**Headline and Visuals:**

The top section features a large headline: ""Want to know where the real computer enthusiasts get together?""  The visual is a stylized silhouette of a person's head, with various computer-related terms and phrases (e.g., ""Entertain,"" ""Declare,"" ""Respond"") written within the silhouette, suggesting the interactive nature of the network.  The text is bold and clear, drawing the reader's attention.

**Call to Action and Registration:**

Below the headline, there's a section titled ""Write here.""  This is a direct call to action, encouraging readers to request more information.  There are fields for the reader to provide their name, age, address, telephone number, and machine type.  The text below this section states, ""Please send me my FREE copy of the Micronet brochure and show me how to really get in touch.""

**Free Modem Offer:**

A prominent section highlights a ""FREE MODEM"" offer.  It explains that if you pay for a year's subscription in advance, you'll receive a free modem.  Contact information is provided (address and phone number).

**Description of Micronet's Features:**

The advertisement then details the benefits of joining Micronet:

* **Community:**  Micronet is described as a place where thousands of computer enthusiasts connect, allowing for conversations, conferences, and electronic mail (email, telex, and fax).
* **Updates:**  Up-to-date hardware and software news, reviews, and features are available.  Users can download software.
* **Games and Challenges:**  Micronet offers a selection of multi-user games and challenges.
* **Information Access:**  Direct access to the Prestel database provides a wide range of information, from share prices to theatre bookings.
* **Welcome Pack and Membership Benefits:**  New members receive a welcome pack with essential information, and a quarterly magazine (""LOG ON"") keeps them updated.
* **Pricing:**  The cost is described as approximately 25p per day, plus local phone charges.

**Software and Demonstration:**

The page also includes images of software interfaces, suggesting the types of programs available on the network.  There's a section about a free demonstration of data software, including instructions on how to access it.

**Concluding Statement:**

The page concludes with a summary statement: ""In touch. Informed. In a word ... MICRONET.""  It also includes a note about optional FAX services and the limited-time offer for new members in the UK.


The overall impression is of a comprehensive and user-friendly computer network service, aimed at a community of computer enthusiasts. The advertisement emphasizes the social and informational aspects of the network, as well as the availability of software and games.
"
9,"This page is from a magazine, likely Amiga Format, and features a news article about the Checkmate A1500, a new computer system based on the Amiga 500.

**Checkmate's A1500 Arrives:**

The article describes the A1500 as a conversion kit for Amiga 500 owners, allowing them to upgrade their machines.  It emphasizes that owners can perform the conversion themselves or have Checkmate do it for them.  The A1500 features a separate keyboard, a front-mounted disk drive, and joystick ports.  It also has options for a full Amiga video slot, Flicker Fixer boards, genlocks, or a full MIDI interface.  Expansion slots are available for adding more cards or half-height hard drives.  The article notes that the A1500 will fit into standard 19"" racks, potentially opening up a new market for the Amiga in professional musical applications.  Pricing details are not yet confirmed, but it's expected to cost around £200 to upgrade an Amiga 500 to A1500 specifications.

**Other Game Reviews/Previews:**

The page also includes previews and reviews of other games for the Amiga.

* **Riders of Rohan:** This is a new role-playing game based on a part of J.R.R. Tolkien's *The Lord of the Rings* trilogy, *The Two Towers*.
* **Speedball II:**  A sports game, described as ""bigger and nastier"" than the previous version, with more weapons and control over player attributes.
* **PSS Games:**  The article mentions several games from the PSS (presumably a game developer) studio, highlighting their increasing use of graphics in war games.  Titles are not specifically named, but the article notes their upcoming releases.
* **Battlemaster, Harpoon, Red Phoenix, and Wolfpack:** These are fantasy role-playing games, with Battlemaster being a new title and the others based on existing works.
* **Duster:** A game from Realtime, featuring 3D graphics and a fantasy role-playing element.
* **Killing Cloud:** A 3D flight simulator from Vektor Grafix, but this time with an action-adventure element.
* **Dynamic Debugger:** A game that has been in development for a while, but no release date is given.

**Additional Information:**

The page also includes information about the FTL team, who are working on a Dungeon Master add-on game, Chaos Strikes Back.  They also mention a possible Dungeon Master II game.

The page is clearly laid out with headings and subheadings, making it easy to navigate the different sections.  The overall tone is informative and enthusiastic about the new technology and games.  The page also includes images of the A1500 and some of the games.
"
10,"This page is from an Amiga computer magazine, likely an issue of *Amiga Format*, judging by the layout and content.  It's a mix of product reviews, previews, and advertisements.

**Sections and Content:**

* **""Cinemaware"" Section:** This section highlights upcoming or recently released software from Cinemaware, a prominent Amiga software developer.  It discusses titles like *Baseball*, *Boxing*, *Antheads*, and *Wings*, describing them as ""50s B-movie jaunts"" and emphasizing their graphic style and missions.  The text suggests these are strategy or simulation games.

* **""Drifting on an Amiga"" Section:** This section previews a wargame called *Rorke's Drift*, set in 1879.  It details the historical battle and the game's premise of controlling British soldiers against a large Zulu force.  The preview emphasizes the strategic elements of the game.

* **""Birds"" Takes Wing Review:** This is a review of the ""Real Things - Birds"" software package from RGB Studios. The review highlights the package's features, including over 40 animbrushes, detailed studies of bird species, and ""self-drive"" flight demonstrations.  It notes the package's realistic depictions of birds in flight and their habitats.  The review also mentions the package's size (two disks) and price (£29.95).  The reviewer, Brian Larkman, specifically mentions the ""Kingfisher"" image as a good example of the package's quality.  The review rating isn't explicitly stated, but the tone suggests a positive assessment.

* **""New Kids on the Block"" Section:** This section discusses Electrocoin Software, a new company aiming to convert arcade games to the Amiga.  It highlights their experience in the arcade industry and their intention to bring popular arcade games to home computers.  The text suggests they are a potential competitor to established companies like Ocean and US Gold.

* **""Spectrum Holobyte"" Section:** This section focuses on a new game from Spectrum Holobyte, *Flight of the Intruder*.  It describes the game as a ""full-blown battlefield strategy game"" set in Vietnam.  The text emphasizes the game's historical basis and its potential for strategic gameplay.

* **""More Chrono"" Section:** This section previews a sequel to the adventure game *Chronoquest*, called *Chronoquest II*.  It describes the game as icon-driven and continuing the storyline from the first game.  The preview mentions the game's time-travel theme and the need for skilled puzzle solvers to succeed.

* **""Millennium"" Section:** This section details a new label, Millennium, under which Logotron games will be released.  The reason for the change is explained as Logotron's decision to focus on leisure software.

* **""Amazing Offer!"" Advertisement:** This is a prominent advertisement for D/S D/D 3.5"" Discs, offering a price of £29 including postage and packaging.  It also advertises other products and provides contact information for Dukes Marketing, a mail-order company.


Overall, the page provides a snapshot of the Amiga software market in the 1980s or early 1990s, showcasing a variety of genres and developers.  The content is aimed at Amiga users interested in new software releases and potential purchases.
"
