Page Number,Page Information
1,"The page is the cover of a magazine called ""AMIGA FORMAT,"" Issue 11, June 1990.  The cover price is £2.95.

The cover features a vibrant, colorful, abstract image that appears to be a representation of fractals or a similar visual effect.  The words ""AMIGA FORMAT"" are prominently displayed in large, bold, yellow letters.  Below this, the words ""DISCOVER NEW WORLDS"" are in a large, bold, sans-serif font.  A smaller text section below this describes exploring the power and beauty of fractals, where chaos rules.

The cover also highlights a featured game, ""Tower of Babel,"" with a playable demo included.  It's described as a game by Rainbird's, part of the Format Gold series.  A small image of the game is shown.

Further down the cover, there's a section titled ""GAMES YOU SIMPLY MUST NOT MISS,"" listing several games: F29 Retaliator, Gravity, Their Finest Hour, and Tower of Babel.  It also features a section titled ""FOUR FABULOUS FORMAT GOLDS.""

The bottom of the cover has a list of additional content, including reviews of over 20 games, spreadsheets, and a printer review.  It also mentions a review of the new Amiga 1500 computer and a guide on how to beat Rainbow Islands.  A barcode and the issue number (06) are also visible.

Overall, the cover suggests a magazine focused on Amiga computer users, providing reviews, game demos, and information on software and hardware.
"
2,"This page is an advertisement for several video games, likely from the 1980s or early 1990s, judging by the graphics and the mention of specific computer systems (Spectrum, Amstrad, Commodore, Atari ST, and Amiga).

The advertisement prominently features several game titles and their corresponding artwork.

**1. SLY SPY (Secret Agent):**

* **Visuals:** The top section of the page is dedicated to this game.  It shows vibrant, stylized artwork of a man in a suit, likely the secret agent, and a woman in a stylish outfit, both in action-oriented poses.  The background suggests a futuristic cityscape.
* **Description:** The text emphasizes the ""explosive existence"" and ""action thriller"" aspects of the game, implying a fast-paced, potentially violent gameplay experience.  The tagline ""There's nowhere to hide from..."" suggests a high degree of challenge.

**2. CHASE H.Q.:**

* **Visuals:**  A section below SLY SPY features a game called CHASE H.Q.  The artwork shows a fast-paced action scene with multiple characters and vehicles.
* **Description:**  The text indicates this is a game set on an island, with a focus on combat and possibly exploration.

**3. RAINBOW ISLANDS:**

* **Visuals:**  Another game, RAINBOW ISLANDS, is presented with a colorful, cartoonish style.  The artwork shows characters and a tropical island setting.
* **Description:** The text suggests a more lighthearted, potentially adventure-based game, set on multiple islands.

**4. NULLIS OC:**

* **Visuals:**  The bottom right corner of the page features a game called NULLIS OC. The artwork is more stylized and less detailed than the other games.
* **Description:**  The text provides no specific details about the game's plot or gameplay.

**5. 3D DRIVING GAME YET1:**

* **Visuals:**  A section dedicated to this game shows screenshots of racing cars and the game's interface.
* **Description:**  The text highlights the game as a 3D driving game, emphasizing speed and pursuit.  It mentions a ""turbo-charged Porsche"" and ""dangerous criminals,"" suggesting a high-speed, action-oriented driving experience.

**Overall:**

The advertisement is designed to attract potential players by showcasing the visual appeal and excitement of each game.  The text provides brief descriptions of the gameplay, but the focus is primarily on the visual style and the action-oriented nature of the games.  The mention of specific computer systems indicates that these games were available on various platforms.  There's no explicit review rating, but the overall tone suggests a promotional piece rather than a critical evaluation.
"
3,"This page is an advertisement or promotional material for video games, likely from a magazine or similar publication.

The top portion features a large graphic and text promoting the game ""X-C FUTURE.""  The graphic shows futuristic-looking aircraft and cockpit displays.  The text is stylized and bold, emphasizing the game's futuristic theme.

Below this, there's a section dedicated to ""SHADOW WARRIORS.""  The graphic prominently displays a ninja character in action poses.  The text describes the game as the ""latest, greatest and most ambitious martial arts coin-op game"" now available for computer.  It highlights the interactive nature of the game, the Ninjitsu techniques, and the historical context of the fighting styles.  The text also mentions specific moves like the Phoenix Backflip, Triple Blow, Flying Neck Throw, and Hang Kick.  The description emphasizes the game's depth and stunning moves.

A quote from a review (likely from a gaming magazine) is included, praising the game's graphics and flight simulation.  The reviewer, ""Zzap 97%,"" calls Ocean's first flight simulator ""the best out!""

At the bottom of the page, there's contact information for Ocean Software Limited, including their address, phone number, telex, and fax number.  This suggests the company is the publisher or developer of the games advertised.

The overall impression is a marketing piece designed to attract potential buyers to the games, emphasizing their features and quality.  The page is visually appealing with vibrant colors and dynamic imagery.
"
4,"This page is a spread from a magazine, likely *Amiga Format*, from June 1990.  It's a mix of advertising, editorial content, and product information, all focused on Amiga computers.

**Top Section (Printers 31, A1500 82, Spreadsheets 127):**

The top portion of the page features a graphic representation of a printer (likely an Amiga printer), a graphic of a pair of feet on a scale, and a chart showing sample fruit sales data.  The text ""PRINTERS 31,"" ""A1500 82,"" and ""SPREADSHEETS 127"" are headings, indicating sections of the magazine dedicated to these topics.  The chart displays line graphs of different fruits' sales, likely to illustrate spreadsheet capabilities.  Below these headings is a large, pixelated graphic, likely a design or pattern sample.

**Main Section (Amiga Format Eleven):**

The main section of the page is a collection of articles and information about Amiga computers.  The title ""AMIGA FORMAT eleven JUNE 1990"" is prominent.  The text below this title details the magazine's staff, including editors, technical editors, art editors, and contributing writers.  It also lists the advertising managers and sales executives.  The page also includes information about the magazine's production team, including photographers, printers, and distributors.  The text also includes contact information for the magazine's editorial and advertising departments, as well as subscription information.

**Editorial/Advertising and Subscription Information:**

This section provides contact information for the magazine's editorial and advertising departments, as well as subscription information.  It includes the magazine's address, phone number, and fax number.  It also includes a ""Coverdisk Hotline"" number, likely for ordering cover disks.  The text also includes a disclaimer about not providing personal advice or guaranteeing the return of submitted material.

**Overall:**

The page is a typical example of a computer magazine from the 1990s, showcasing the technology and software available for Amiga computers.  The design is somewhat pixelated and colorful, reflecting the era's aesthetic.  The page is packed with information, from product reviews to staff listings and contact details.
"
5,"This page is a section from a magazine, likely an Amiga computer magazine, judging by the content and the target audience.  It's a mix of advertisements, reviews, and articles.

**Top Section (Books & Screenplay):**

The top section displays a header that reads ""BOOKS 123 SCREENPLAY 41"".  Below this, there are images and titles suggesting various Amiga-related books and guides, including ""AMIGA DESKTOP VIDEO,"" ""AMIGA DOS REFERENCE GUIDE,"" and others.  This section likely serves as a directory or index to various publications and resources available for Amiga users.

**Special Features Section:**

Below the book/guide section, there's a section titled ""SPECIALS"".  This section lists various articles and software, including:

* **Fractals and Chaos:**  A software or article related to fractals and chaos theory. (Page 15)
* **Printers:**  An article or review about printers. (Page 31)
* **Games Programming:**  An article or series of articles about game programming. (Page 119)
* **A Serious Business (Part 2): Spreadsheets:**  A software or article about spreadsheets. (Page 127)

**Reviews Section:**

The next section is titled ""REVIEWS"".  It lists several software reviews, including:

* **A1500 Quartet:** A review of a software product. (Page 82)
* **TV *Show:** A review of a software product. (Page 87)
* **Books:** A review of a software product. (Page 123)
* **Fast Fax:** A review of a software product. (Page 145)
* **The 20 Card:** A review of a software product. (Page 153)

**Regulars Section:**

This section, titled ""REGULARS"", contains various articles and features, including:

* **News:**  A news section. (Page 7)
* **Previews:**  Previews of upcoming software or events. (Page 12)
* **Graphics:**  An article about graphics. (Page 23)
* **PD Update:**  An update on a product or technology. (Page 95)
* **Music:**  An article about music. (Page 103)
* **Workbench:**  An article about the Amiga Workbench. (Page 137)
* **Game Busters:**  An article about game-related topics. (Page 157)
* **Letters:**  A section for reader letters. (Page 169)
* **Guru:**  An article by an expert. (Page 178)

**Screenplay Section:**

This section, titled ""SCREENPLAY"", lists various software reviews and articles, including:

* **Tower of Babel:** A review of a software product. (Page 42)
* **Gravity:** A review of a software product. (Page 46)
* **F29 Retaliator:** A review of a software product. (Page 62)
* **Their Finest Hour:** A review of a software product. (Page 71)
* **Xenomorph:** A review of a software product. (Page 45)
* **Nuclear War:** A review of a software product. (Page 48)
* **International Championship Wrestling:** A review of a software product. (Page 48)
* **Space Rogue:** A review of a software product. (Page 53)
* **Colorado:** A review of a software product. (Page 54)
* **Hot Rod:** A review of a software product. (Page 54)
* **Cyberball:** A review of a software product. (Page 57)
* **Tennis Cup:** A review of a software product. (Page 59)
* **Dyer 07:** A review of a software product. (Page 59)
* **Island of Lost Hope:** A review of a software product. (Page 60)
* **Might & Magic:** A review of a software product. (Page 65)
* **Colony:** A review of a software product. (Page 66)
* **Castle Master:** A review of a software product. (Page 72)
* **World Championship Boxing Manager:** A review of a software product. (Page 75)
* **Sas Combat Simulator:** A review of a software product. (Page 75)
* **World Cup Soccer:** A review of a software product. (Page 77)
* **Escape from the Planet of the Robot Monsters:** A review of a software product. (Page 78)

**Tower of Babel Extra Section:**

This section provides details about the ""Tower of Babel"" software, including a demo, fractal generator, and other features.

**Magazine Information:**

The bottom of the page includes the magazine's name, logo, and publication information.


In summary, the page is a comprehensive listing of Amiga-related software, reviews, and articles, providing a snapshot of the available resources and popular software for Amiga users in the late 1980s.
"
6,"This is an advertisement for the video game ""688 Attack Sub,"" likely from a magazine.

The advertisement prominently features the game's title, ""688 Attack Sub,"" in large, bold, stylized blue and red lettering.  A target symbol is also displayed.

The visual elements are key to the advertisement.  The background images depict a naval battle scene, with a submarine and a warship in the foreground.  The graphics are detailed and somewhat stylized, typical of the era's computer game art.  The image includes a close-up of a submarine's control panel, showing various gauges and controls, which are likely intended to convey the game's realism and complexity.

The text of the advertisement highlights the game's features:

* **New standards of realism, 3D graphics, and excitement:** This emphasizes the game's attempt to be immersive and visually appealing.
* **Command a billion-dollar US Los Angeles class submarine, or a top-secret Soviet Alfa:** This describes the game's core gameplay, allowing players to control different types of submarines in various scenarios.
* **10 different scenarios with infinite play possibilities:** This suggests a significant amount of replay value.

The advertisement also includes specific details about purchasing the game:

* **For a FREE brochure:**  Encourages readers to request more information.
* **Stating machine type (Amiga or IBM only):**  Specifies the platforms the game is available for.
* **The first 100 applicants will also receive an exciting 688 mobile!** This is a promotional incentive.
* **AMIGA £24.99 IBM £29.99:**  Lists the price for each platform.
* **Contact information:** Provides the address, department number, and telephone number for Electronic Arts.

A small note at the bottom of the ad states that the screenshots are from the IBM version, but the Amiga version is likely even better. This suggests a possible difference in graphical quality between the two versions.

Overall, the advertisement is designed to attract potential buyers by showcasing the game's features, visual appeal, and the opportunity to receive a promotional item.
"
7,"This page is from Amiga Format magazine, issue 7, and features news and reviews related to the Amiga 3000 computer.

**SUPER AMIGA UNLEASHED (News Article):**

The article details the release of the Amiga 3000, a new top-of-the-line Amiga computer priced at £2,500.  It emphasizes the machine's powerful Motorola 68030 processor (available with either a 16MHz or 25MHz clock speed), and its 32-bit architecture.  Key features highlighted include:

* **32-bit processor:**  The Amiga 3000 boasts a 32-bit processor, a significant upgrade from previous models.
* **2MB of 32-bit RAM:**  The machine comes standard with 2MB of super-fast 32-bit RAM, split into 1MB of Chip RAM and 1MB of Fast RAM, expandable to 16MB.
* **Expansion slots:**  Four new 32-bit Zorro III expansion slots, compatible with existing Zorro II slots, allow for greater customization and expansion.
* **SCSI hard drive:**  A 40MB or 100MB 19ms SCSI hard drive is included as standard.
* **Processor expansion:**  A special processor expansion slot allows for the addition of more powerful processors, including the 68040 and a RISC processor.
* **Co-processor:**  A 68881 or 68882 maths co-processor is included.
* **Video expansion slot:**  One video expansion slot is included.
* **Operating system:**  AmigaDOS 2.0 is highlighted, with improved icons, file locking, screen resolution (640x480 productivity mode), and task security.
* **Workstation market focus:**  The Amiga 3000 is positioned as a workstation-class machine, competing with systems from Sun and Apollo.
* **Unix compatibility:**  Commodore has partnered with AT&T to offer Unix Version 4 in an Amiga-compatible format, making the Amiga 3000 a unique offering in the market.

**EMULATION SENSATION (Review):**

This section reviews the DigiMail Amiga QL emulator and the new Amiga ZX Spectrum emulator.  The review highlights:

* **Amiga QL Emulator:**  The emulator is described as ""earth-shattering"" and capable of running virtually all Spectrum 48K software, including popular games.
* **Amiga ZX Spectrum Emulator:**  This emulator is also praised for its ability to run Spectrum software directly from tape, treating Amiga drives as Spectrum MicroDrives.
* **Features:**  The emulator includes a black-and-white mode to improve performance, Kempston Interface emulation, and full printing capabilities.
* **Limitations:**  The review notes that the emulator may not run quite as fast as a real Spectrum.

**DIGIPAINT GETS ANIMATED (Review):**

This section reviews DigiMate 3, an add-on product for NewTek's DigiPaint 3 animation software.  The review highlights:

* **Animation creation:**  DigiMate 3 allows the creation of animations using imagery created in DigiPaint 3.
* **IFF ANIM format:**  Animations are stored in standard IFF ANIM format, allowing import into other animation systems.
* **Advanced message passing:**  The software uses an advanced message passing system (TASS) for multi-tasking program interaction.
* **DiskANIM system:**  The DiskANIM system allows animations to extend beyond available memory.
* **Picture conversion:**  The software includes powerful picture conversion tools.

**MAGNETIC SCROLLS CHASE RABBITS (Review):**

This section reviews the game Wonderland, developed by Magnetic Scrolls.  The review highlights:

* **Adventure game:**  The game is based on the Lewis Carroll stories about Alice and her adventures.
* **Graphics:**  The game is praised for its excellent graphics and complex plots.
* **Features:**  The game features Magnetic Windows, multiple windows, pop-up menus, icons, on-screen help, and an auto-mapping system.
* **Price:**  The game is priced at £29.99.

**STOP PRESS (News):**

This section announces a name change for the game Tribal, now to be called Projectyle.


The page overall provides a comprehensive overview of the Amiga 3000, along with reviews of software and games for the Amiga platform.
"
8,"This page is a section from an Amiga Format magazine, likely from the 1980s or early 1990s, judging by the style and technology discussed.  It's filled with advertisements and articles related to Amiga computers and software.

**Headline:**  ""BETTER THAN SLICED BREAD""

**Main Article Section:**  The main article section focuses on the Amiga being named ""Computer of the Year"" at the European Computer Trade Show.  It highlights awards won by Electronic Arts, Citizen, and Commodore, including specific accolades like ""Best Software Publisher"" for Electronic Arts and ""Computer of the Year"" for the Amiga in the Home Productivity category.  The article also mentions other awards and recognition from various European computer magazines.

**Reviews/Features:**

* **DESIGNER MOUSEWARE:**  This section discusses a new concept called ""Charityware,"" a type of shareware where users are encouraged to donate to charity if they find the software useful.  It specifically mentions a program called ""Sleepy"" by Mark Smiddy.
* **BETTER THAN THE BEST:** This section reviews the Citizen 120D printer, highlighting its success in Europe and new features like improved fonts and print quality.
* **NO STRINGS ATTACHED:** This section reviews the Spectravideo IR Infra-Red joystick, emphasizing its wireless functionality and convenience for computer gaming.
* **THE GENESIS PROJECT:** This section describes a program called ""Genesis,"" a fractal landscape generator by Microlllusions.  It's noted as being in development and slated for release in June.
* **MAKE YOUR MOUSE LAST:** This section promotes a mouse conversion service by Simpson Electronics, offering a solution to mouse wear problems.
* **MIDI MARVEL:** This section details the MiniMIDI, a small MIDI interface for the Amiga.
* **GOLD DISK:** This section advertises new productivity software for the Amiga, including ShowMaker, a multimedia presentation generator, and new fonts.

**Other Sections:**

* **CALLING ALL GFA USERS:** This section advertises GFA User Magazine, a publication for GFA product users.  It highlights a help service and encourages user input.
* **Wolf:** This is a brief advertisement for a mouse alternative.
* **Next Month:** This section announces a special giveaway for the next issue of the magazine, including a cover disk and a free audio cassette.

**Overall:** The page is packed with information about Amiga-related products, software, and services.  It showcases the popularity and innovation surrounding the Amiga computer platform during that time.  The page is clearly aimed at Amiga users and enthusiasts.  There are no explicit review ratings, but the articles and advertisements suggest positive reviews and high regard for the products and companies mentioned.
"
9,"This page is a promotional advertisement, likely from a magazine, featuring several products.

**Section 1: ""Charlie the Dog and Mickey Mouse Slug It Out""**

This section is a news article about the competition between Disney and Sullivan Bluth in the video game market.  It details that Sullivan Bluth is working on a new game, ""All Dogs Go To Heaven,"" based on the popular film.  The article highlights that while Sullivan Bluth is known for their animated games, some critics have criticized the high prices and the games being more like graphical demos than fully realized experiences.  The article emphasizes that Sullivan Bluth is working to improve the quality of their games and that a new subsidiary, Sullivan Bluth Interactive Media, is working with programming teams to enhance the games.  It also mentions that Walt Disney is planning to release computer software, including eight titles in the autumn, and that they are aiming to become a leading publisher of educational software.

**Section 2: ""Football Crazy!""**

This section is an advertisement for a joystick, the ""Competition Pro Goal,"" from Dynamics Marketing Ltd.  It highlights the joystick's availability in various national team colors (England, Scotland, Brazil, West Germany, etc.) for the World Cup.  The advertisement emphasizes the joystick's functionality for playing a football game.

**Section 3: ""RealThings Animation""**

This section is a promotional advertisement for ""RealThings"" animation kits.  It features a headline that reads ""RealThings"" and a sub-headline that reads ""ANIMATION.""  The text describes the ""RealThings"" kits as allowing users to bring horses and birds to life through animation.  It emphasizes the detail and realism of the animation, highlighting the ""energy and beauty of flight"" and the ""authority of a bird artist.""  The advertisement also mentions that the kits include a large number of animbrushes and background/scenery parts, and that all instructions are included.

**Section 4: ""Birds 1&2 Double Pack""**

This is a specific advertisement for the ""Birds 1&2"" animation kit, part of the RealThings line.  It's presented as a double pack, containing two full disks, and priced at £29.95.

**Section 5: ""Launch Offer""**

This section details a special launch offer for the RealThings Horses and Birds kits.  It states that customers can save up to £10 on the products.  The offer has a specific price and duration.  Contact information and ordering details are provided.

**Overall:**

The page is a collection of advertisements and news items, all related to video games, animation software, and related products.  The page is designed to attract interest in various products, including video games, animation software, and related products.  The page is well-organized and visually appealing, with clear descriptions and pricing information.
"
10,"This page is a news article, likely from a computer magazine, focusing on the CeBIT computer fair in Hannover, West Germany.  The article details various Amiga-related products and developments showcased at the fair.

**Overall Impression:** The article highlights the significant presence of Amiga products at the CeBIT show, emphasizing their popularity and market share in Europe, particularly Germany.  It also discusses new products, upcoming releases, and innovative technologies surrounding the Amiga platform.

**Sections and Details:**

* **Headline and Introduction:** The headline ""GERMANY CALLING"" and the introductory paragraph describe the impressive size and scope of the CeBIT show, emphasizing the significant role of Germany in Amiga sales.  It notes that Germany and other European countries accounted for a substantial portion of worldwide Amiga sales.

* **No Amiga 3000:** This section discusses the absence of the Amiga 3000 at the show and Commodore's response to questions about it.  The article quotes Commodore's European head, Irving Gould, as saying ""Nothing!"" and that new products would be announced only when specific delivery dates were available.

* **Amiga 2500/30:**  This section details the Amiga 2500/30, a prominent product on the Amiga stand.  It highlights the specifications, including the Motorola 68030 processor, 68882 math coprocessor, and 3 megabytes of RAM.  The price is also mentioned.

* **Musical Fun for All:** This section describes the ""Funlab"" music bundle, a joint effort between Commodore, Kawai, and Steinberg.  It's a complete MIDI system combining hardware (Kawai 61-key synthesizer) and software (Steinberg).

* **Amiga Laptop in the Wings:** This section discusses the rumored Amiga laptop from Gigatron, a German company.  It details the laptop's specifications, including a color LCD screen, trackball, expandable RAM, a 20MB hard drive, and a battery life of 8 hours.  The price range is estimated at £4500-$5500.

* **GigaFix:** This section describes a miniature 20MB hard drive for the Amiga 500, also from Gigatron.

* **Video Jukebox:** This section focuses on the Videocomp exhibit, highlighting its ""wall"" of video equipment, a giant multi-screen display, and the ""G100"" professional gen-lock device.  It also mentions the ""VESone"" video mixer and digitizer.

* **Making Movies:** This section describes the Panasensor ""Virtual Motion"" camera system, which allows for precise control of camera movements during film production using Amiga hardware and software.

* **Other Products:** The article briefly mentions other products and technologies, such as ""Miranim"" (3D animation software), ""Videocomp's 'bricks'"" (graphic output software), and the ""Funlab"" synthesizer.

**Review Rating:** There is no explicit review rating.  The article is primarily a report on the products and developments at the CeBIT show, rather than a critical review.


**Overall:** The article provides a comprehensive overview of the Amiga presence at the CeBIT show, showcasing various products and technologies.  It's a detailed report rather than a critical review.
"
