Page Number,Page Information
1,"The image is the cover of ""Amiga Format"" magazine, issue 13, dated August 1990.  The cover price is £2.95.

The cover features a large, bold, yellow ""AMIGA"" title, followed by ""FORMAT"" in a similar style.  A large, vibrant green ""THRILL!"" headline is prominent, with smaller text underneath that reads ""To movies, monsters, action and adventure from the big screen to the Amiga.""

The cover art is a dramatic illustration of a Godzilla-like creature, likely from a movie or similar source, wreaking havoc on a city.  The creature is depicted in a dynamic pose, with flames erupting from its mouth.  The background shows a cityscape in ruins, adding to the dramatic effect.

The cover also includes smaller text boxes highlighting key features and content.  These include:

* **COVER 13:**  Indicates the issue number.
* **DISK:**  Highlights the inclusion of a disk.
* **CADAVER:**  The name of a game featured on the disk, with a small image of the game's isometric graphics.  The text also states that it's a playable demo of a 3D game from Imageworks.
* **NO COVERDISK?:**  A call to action for readers to get a cover disk from their newsagent if they don't have one.
* **GASP!, GRAPPLE!, SCREAM!, SWOON!:**  These are attention-grabbing phrases that likely refer to different aspects of the games and software featured in the magazine.  ""GASP!"" is about the wonders of Pro Draw 2, ""GRAPPLE!"" is about programming languages, ""SCREAM!"" is about the arrival of AMOS, and ""SWOON!"" is about the new games.

Finally, a barcode and issue number (08) are visible in the bottom right corner."
2,"This page is an advertisement for several video games, likely from a magazine or promotional material.  It features a variety of images and text highlighting the games' features and themes.

**Shadow Warriors:**

* **Visual:** A prominent image of a character in a blue ninja outfit, engaged in a martial arts pose, is central to the Shadow Warriors section.  The background suggests a city setting.
* **Description:** The text emphasizes the game's interactive nature, scenic backdrops, and the secrets of Ninjitsu techniques, drawing a connection to medieval warfare and the modern American city.  It highlights the game as the ""latest, greatest, and most ambitious martial arts coin-op game"" now available on computer.
* **Character:** The text refers to ""Shadow Warrior,"" the hero of the 1990s.

**Ivanhoe:**

* **Visual:**  A stylized image of a knight on horseback, battling a dragon-like creature, is featured. The background is a stylized medieval landscape.
* **Description:** The text describes a medieval fantasy adventure where the player takes on the role of Ivanhoe, a chivalrous hero.  It emphasizes the game's magical elements, including wizards, pirates, and dragons.  The description highlights the game's ""superb animation,"" ""cartoon quality,"" and ""beautifully executed graphics.""

**Lost Patrol:**

* **Visual:**  Images of a helicopter, soldiers on the ground, and a map/radar display are shown. The background suggests a jungle or tropical environment.
* **Description:** The text focuses on a military-themed game, Lost Patrol.  It describes a mission where a helicopter is damaged and the player must lead a platoon through a jungle and into a village, only to find it's a trap.  The description emphasizes the game's challenging and potentially dangerous nature.


**Overall:**

The page is designed to attract attention with bold graphics and text.  The layout is organized to showcase each game separately, with clear visual cues and descriptions for each title. The style suggests a promotional piece from the 1990s, given the graphics and the focus on arcade-style games transitioning to home computers.
"
3,"This is an advertisement for the video game ""Sly Spy"" for Atari ST and Amiga computers.

The advertisement features a large graphic of the game's title, ""Sly Spy,"" along with a description of the game's features and a quote from a review.

The description highlights the game's espionage theme, action-packed gameplay, and innovative features, including various scenarios, high-powered cars, and underwater guerrilla warfare.  It also mentions nine levels of difficulty.

The advertisement includes a quote praising the game's graphics and depth of gameplay, calling it the ""best flight simulation"" and an ""experience.""  The quote, attributed to ""Zzap,"" gives the game a 97% rating.

The advertisement also includes images of the game's environments and gameplay, including a screenshot of a cockpit view and a jet fighter in flight.

Finally, the advertisement includes contact information for the publisher, Oceans G, including their address, phone number, and fax number.  The advertisement clearly states that the game is for Atari ST and Amiga computers.
"
4,"This page is a spread from a magazine, likely *Amiga Format*, from July 1990.  It's a mix of articles and advertisements.

The main feature is a piece titled ""MOVIEDROME p15"".  The text describes how games draw inspiration from movies, and why that's a natural connection.  The accompanying image is a dark, detailed graphic, likely a still from a movie or a game inspired by a movie.

There are also several smaller articles and sections:

* **AMOS - AT LAST! 75:** This section focuses on the Mandarin's Games-Creating Language.  The accompanying text and graphics show a screen capture of the AMOS programming environment.

* **GRAPHICS 31:** This section discusses special effects and surface mapping.  The accompanying image shows a pixelated graphic, likely a sample of the graphics capabilities.

* **PROGRAMMING 109:** This section provides a general overview of programming languages.  The accompanying image is another pixelated graphic.

The page also includes a large section of advertising and editorial information.  This includes:

* **Editorial/Advertising:** Contact information for the magazine's editorial and advertising departments.

* **Subscriptions/Mail Order:** Contact information for ordering subscriptions and other mail-order items.

* **Coverdisk Hotline:** A phone number for inquiries about cover disks.

* **Detailed Staff List:** A comprehensive list of the magazine's editors, writers, and other staff members.  This section includes their roles and responsibilities.

* **Publisher Information:**  Details about the magazine's publisher, Future Publishing, including their address, contact information, and a statement about copyright and reproduction rights.

The overall design of the page is typical of a computer magazine from the 1990s, with a mix of text, graphics, and screen captures.  The layout is fairly dense, with a lot of information packed into the space.  The style is somewhat technical and geared towards a computer enthusiast audience.  The page is clearly aimed at readers interested in Amiga computers and software.
"
5,"This page is a spread from a magazine, likely *Amiga Format*, featuring a variety of articles and information related to Amiga computers and games.

**Sections:**

* **TFMX 131:**  This section likely details a specific article or feature about TFMX, a program for creating music for games.  The accompanying graphic shows a musical keyboard-like interface.

* **SCREENPLAY 38:**  This section is a review or preview of a game called ""Kick Off 2.""  The graphic shows a soccer/football game scene.

* **SCREENPLAY 46:**  This section is a review or preview of a game called ""Projectyle.""  The graphic shows a game scene.

* **Contents:** This is a table of contents listing various articles and reviews within the magazine.  The entries are categorized into sections like ""Specials,"" ""Reviews,"" ""Regulars,"" and ""Screenplay.""

* **Specials:** This section contains articles on topics like ""Moviedrome"" (games and movies), ""Mind Your Language"" (programming languages), and ""Tricks with Coppers"" (graphics techniques).

* **Reviews:** This section lists reviews of various games, including ""Draw for All,"" ""Games Workshop,"" ""Pump Up the Music,"" ""Close to the Edit,"" ""Natural Scene,"" and many more.  Each review has a game title and a page number.

* **Regulars:** This section contains ongoing features, such as ""News"" (announcements about new technology), ""Coming Attractions"" (game previews), ""Graphics,"" ""Music,"" ""PD Update"" (software updates), ""Workbench"" (hints and tips), ""Gamebusters"" (game guides), ""Letters,"" ""Guru"" (expert advice), and more.

* **Screenplay (Format Gold):** This section lists more game reviews and previews, including ""Kick Off 2,"" ""Projectyle,"" ""Hero's Quest,"" ""Klax,"" ""Dynasty Wars,"" ""3D Tennis,"" ""The Plague,"" ""Imperium,"" ""Rorkes Drift,"" ""Turrican,"" ""Turn It,"" ""Time Soldier,"" ""Gridrunner,"" ""Ghosts 'n' Goblins,"" ""Manhunter 2,"" ""Defenders of the Earth,"" ""Chessmaster 2075,"" and ""Fire and Brimstome.""  Each game has a page number and a review status (e.g., ""Reviewed"").

* **Disk Extra:** This section highlights a playable demo of a game called ""Bitmaps' Castle Capers"" and other features like ""Fenster,"" ""Popupmenu,"" ""Zap,"" ""Menace,"" ""Dave Jones,"" ""Lharca,"" and ""Copper Tutorial.""

* **Subscribe Now!:** This is a promotional section encouraging readers to subscribe to the magazine.

* **ABC:** This is a logo for the Audit Bureau of Circulations, a verification organization for magazine readership.

* **Page Numbering:**  The page numbers are present throughout the listing of articles and reviews.

**Overall:** The page provides a comprehensive overview of Amiga-related content, including game reviews, previews, tutorials, and software updates.  The layout is typical of a magazine from that era, with a mix of text and graphics.
"
6,"This is an advertisement for a software product called ""AMOS - The Creator,"" designed for the Amiga computer.  The advertisement is a page from a magazine or similar publication.

**Product Overview:**

The advertisement highlights AMOS as a sophisticated game development language for the Amiga.  It claims AMOS allows users to create a wide range of programs, including arcade games, adventure games, demos, educational programs, and even graphical databases or video titling sequences.  The ad emphasizes the ease of use, stating that AMOS allows users to achieve desired results with a minimum of effort, thanks to its over 500 commands.

**Key Features:**

The ad lists several key features of AMOS:

* **Sprite Editor:**  A feature-packed sprite editor for creating animated sprites.
* **Map Designer:**  A tool for creating multi-screen layouts.
* **Basic Interpreter:**  A fast Basic interpreter, praised by Amiga Format and Amiga Computing for its speed and efficiency.
* **Sprites:**  A free collection of over 600 animated sprites for use in games.
* **Animation Language:**  A unique language for creating complex animation sequences.
* **Sound:**  Support for playing Soundtracker, Sonix, or GMC (Games Music Creator) tunes or IFF samples.
* **Color and Resolution:**  Ability to display up to eight screens on the TV with different color palettes and resolutions (including HAM and dual playfield modes).
* **Scrolling:**  Easy scrolling and multi-level parallax scrolling.
* **Machine Code Compatibility:**  The ad mentions creating graphical effects up to the standard of machine code demos.
* **Program Transfer:**  Ability to transfer STOS programs to the Amiga and quickly get them working.
* **Compatibility:**  Works on various Amiga models, from the A500 to the latest models with hard drives.

**Included Software:**

The ad states that the purchase includes:

* AMOS Basic
* Sprite editor
* Magic Forest game
* Amosteroids game
* Castle Amos game
* Number Leap game
* 300-page manual with 80 example programs on disc
* Sample tunes and sprite files
* AMOS Club Newsletter and registration card

**Pricing and Ordering:**

The product is priced at £49.99.  The ad provides order details, including a mail-in order form with space for customer information, payment details (cheque or credit card), and shipping information.  There's also a mention of additional charges for overseas orders.

**Overall Impression:**

The advertisement is designed to be enticing, highlighting the capabilities and ease of use of AMOS.  The use of bold text, graphics, and testimonials from other publications creates a sense of excitement and value.  The inclusion of a money-back guarantee further reinforces the confidence in the product.
"
7,"This page is from *Amiga Format* magazine, issue 7.  It's a multi-section page, containing news, product information, and a competition announcement.

**Section 1: Commodore CDTV**

The top section focuses on Commodore's new CDTV, highlighting its features and differentiating it from an Amiga.  The text emphasizes that while the CDTV uses Amiga circuit boards, it's not an Amiga.  It's described as a video recorder/CD player hybrid, capable of CD-based games and applications, taking advantage of the machine's massive graphics and stereo sound capabilities.  It's presented as a ""revolutionary advance"" in consumer electronics, emphasizing its interactive multimedia capabilities.  The text also notes that the CDTV is a compact, oblong black box, more akin to a CD player or VCR than a traditional computer, with no keyboard or mouse included, though these peripherals are available as add-ons.  The CDTV's hardware is detailed, including the ""Interactive Graphics Player"" interface, Amiga 500-compatible hardware, and a high-fidelity CD player.  The article also mentions the CDTV's ability to play audio CDs and CD-Graphics discs, referencing artists like Lou Reed and Fleetwood Mac.  Crucially, the text states that the CDTV can be used as a standalone device or with add-on peripherals, and that it's not a computer in the traditional sense.  No UK price is yet available.

**Section 2: CDTV Rumours and Speculation**

This section discusses the rumors surrounding the CDTV, noting that many believed it would be an Amiga 500 with a CD-ROM drive, or an Amiga-based games console with a CD drive.  The article states that the CDTV's unveiling at the Consumer Electronics Show in Chicago ended these speculations.

**Section 3: Festival of Animation Competition**

This section details the third annual Amiga animation competition, part of the Edinburgh Festival.  The competition is open to any Amiga user, with submissions due by July 31st.  Animations can be submitted on disk or videotape.  The competition is held at the Amiga Centre Scotland during the Edinburgh Festival, from August 11th to 18th, from 11am to 2pm (excluding Sunday).  The article highlights the previous year's winner, ""Maggie Goes Green,"" and notes that the prizes and judges for this year's competition are still to be finalized.  The article also provides contact information for the competition.

**Section 4: Animation Competition Details**

This section provides further details about the animation competition, emphasizing the quality of Amiga animation and the need for artists to raise their profile.  It also includes contact information for the Amiga Centre Scotland.

**Overall:** The page is a mix of product announcements, competition details, and news about the Amiga platform.  The review rating is not explicitly stated, but the overall tone is positive, highlighting the innovative features of the CDTV and the quality of Amiga animation.
"
8,"This page is an advertisement for a video game called ""Final Battle,"" a sequel to ""Legend of the Sword.""

The advertisement features a stylized image of a medieval scene, with a knight and a shield prominently displayed.  The text describes the game's plot, highlighting the wizard trapped in a teardrop, the magical sword, and the race of mutant humanoids.  It emphasizes the destruction and the need to recover the six power crystals to banish the wizard.

The advertisement also details the game's features, including:

* **A much larger vocabulary and expanded inventory:**  Implying a more complex and engaging gameplay experience.
* **Superior graphics:**  Suggesting visually appealing and detailed environments.
* **Highly sophisticated action system:**  Highlighting the game's advanced gameplay mechanics.
* **Weather changes and a 3D view:**  Emphasizing the game's realism and immersive experience.

The page also shows screenshots of the game, showcasing different environments and gameplay elements.  These screenshots depict isometric views of the game world, suggesting a 2.5D or 3D perspective.

The bottom of the page includes the publisher's information (Irwin House), contact details, and copyright information (© Mirrorsoft 1990).  It also specifies that the screenshots are from the Amiga version of the game.

Overall, the advertisement aims to entice potential buyers with a combination of narrative intrigue and technical specifications, highlighting the game's advanced features and immersive gameplay.
"
9,"This page is an article from a magazine, likely *Amiga Format*, focused on the Commodore CDTV.  The article is a mix of news, product information, and commentary.

**Product Overview:**

The article prominently features the Commodore CDTV, a multimedia device.  It's described as a CD-ROM-based system, essentially an Amiga with a CD-ROM drive.  The physical appearance is highlighted, noting its ""slick black box"" design.  The article also details the CDTV's technical specifications, including its infra-red remote control, joystick, mouse, 1 Megabyte of chip RAM, Kickstart 1.3 ROM, 4096-color palette, Centronics parallel port, RS-232 serial port, and Amiga edge connector.  The article emphasizes that the CDTV is not just a computer, but a multimedia player.

**Review/Commentary:**

The article includes a section titled ""What happens next?"" which discusses the reactions to the CDTV at the Consumer Electronics Show (CES) in Chicago.  The reactions were mixed, with some people not seeing it as anything more than a CD-ROM-based Amiga, while others were impressed by its potential.  The article quotes Irving Gould, Commodore's chairman and CEO, who stated that the CDTV would change how people communicate, learn, and entertain.  Nolan Bushnell, also quoted, emphasized the CDTV's potential in multimedia and gaming.

**Key Themes:**

* **Multimedia Potential:** The article highlights the CDTV's potential as a multimedia device, capable of playing interactive video, educational software, and even games.
* **Interactive Entertainment:** The article emphasizes the CDTV's potential for interactive entertainment, including interactive movies and educational software.
* **Competition:** The article acknowledges the competition the CDTV faces from other systems, particularly those developed by Japanese companies.  The licensing of the CDTV is also discussed, with Commodore acknowledging a moral obligation to ensure its success as a standard.
* **Educational Applications:** The article notes the CDTV's potential in education, specifically mentioning its use in 120 Derbyshire schools to teach Japanese, and its potential for use in a Toyota car assembly plant.

**Overall:**

The article is a promotional piece for the CDTV, highlighting its features and potential while acknowledging the challenges it faces in the market.  The article's tone is optimistic, emphasizing the CDTV's potential to revolutionize multimedia and entertainment.  There's no explicit review rating, but the overall tone suggests a positive outlook on the device's future.
"
10,"This page is a collection of advertisements and news articles, likely from a computer magazine, focused on Amiga computers.  It features various products, software, and services related to the Amiga platform.

**Bridging the Age Gap:** This section promotes LCL's educational software, specifically ""Mega Maths,"" designed for ages ranging from primary school to A-level.  It details the software's content, including topics like geometry, integration, and calculus, and its price point.  It also mentions other LCL software for younger students.

**Universal Translation:** This ad highlights the ""Printercept"" software, designed to facilitate data transfer between Amiga computers and other systems.  It explains how the software allows the Amiga to act as a printer for other computers, simplifying file transfer and formatting.  It also mentions compatibility with various file types and word processing software.

**Timecode Editing:** This section advertises a timecode editing system from KRP Video Services.  It emphasizes the system's hardware components (modified VCRs, a genlock, and a timecode box) and software, along with the price and training included.  The ad highlights the system's ability to timecode footage and make edits without damaging the original.

**Number Trouble:** This is a notice about an incorrect fax number for Tofware International, printed in a previous issue.  The correct number is provided.

**Amiga in Boots:** This section is positive news for Amiga users.  It announces that the retail chain Boots will be stocking Amiga 500 computers in their stores, starting in September.  This is significant as it indicates a continued presence for the Amiga in the retail market.

**Sounds Alternative:** This ad promotes the TechnoSound sampler, a music-making software for the Amiga.  It describes the sampler's features, including stereo and simulated stereo, sampling capabilities, and various effects.  It also mentions the software's availability via mail order.

**File Those Facts:** This ad promotes ""InfoFile,"" a database software from The Disc Company.  It highlights the software's features, including ready-made templates, address files, home video libraries, and a presentation tool for creating sound and graphics slide shows.  It also mentions compatibility with various graphic and sound programs.

**I Know It, I Know It:** This section advertises trivia games for the Amiga, specifically ""Everton FC Intelligentsia"" and ""Botham's Sports Quiz.""  It details the content of each game, the price, and potential prizes for high scores.

**Overall:** The page is filled with advertisements and information about Amiga-related products and services.  The tone is generally positive, highlighting the Amiga's capabilities and its continued presence in the market.  There are no explicit review ratings, but the content is promotional in nature.
"
