Page Number,Page Information
1,"The image is the cover of ""Amiga Format"" magazine, issue 14, from September 1990.  The cover features a bold, stylized ""AMIGA FORMAT"" logo in blue text against a dark background with scattered, sparkling stars.

The cover prominently displays a hand holding a floppy disk labeled ""PD PUBLIC DOMAIN,"" highlighting the magazine's focus on free software.  The text ""FREE FOR ALL"" is large and eye-catching, emphasizing the availability of free software.  Below this, a brief description explains how readers can access high-quality software for free.

The cover also advertises a variety of content:

* **Cover Feature:**  ""Yolanda,"" a playable demo of ""Millennium's Herculean,"" a new Steve Bak game, and seven other programs.  A small image of the game is included.
* **""Hit Video"":**  An advertisement for becoming a video director using the G2 Videocenter.
* **""Win"":**  A contest or giveaway offering prizes including over 300 PD disks, a Roland music system, new educational software, and the ""Stunning Game Spindizzy II.""
* **Additional Content:**  The cover also mentions over 20 pages of games, programming tools, essential utilities for programmers, and educational software.  It also includes a question about Magellan and expert systems.

The cover includes the issue number (14), date (September 1990), and price (£2.95).  A barcode is visible in the bottom right corner.

Overall, the cover is designed to attract Amiga owners interested in free software, games, and educational resources.  The layout is visually appealing, using a combination of bold text, images, and a dark background with stars.
"
2,"This page is a promotional advertisement, likely from a computer game magazine, showcasing several different video games.  It's not a review, but rather a collection of game previews.

The page features three primary game sections, each with its own visual and textual elements:

**1. Shadow Warriors:**

* **Visuals:**  A prominent image of a ninja-like figure in a dynamic fighting pose, set against a dark background.  Other smaller images show game scenes, including city streets and possibly combat scenarios.
* **Text:**  The text highlights the game as ""the latest, greatest, and most ambitious martial arts coin-op game"" now available on computer.  It emphasizes interactive scenic backdrops, the secrets of Ninjitsu assassination techniques, and the game's setting in the mediaeval wars, now set in a modern American metropolis.  The text also introduces ""Shadow Warrior"" as the hero of the 90s.

**2. Ivanhoe:**

* **Visuals:**  A larger image depicts a knight-like figure in a medieval setting, possibly battling a dragon or other monster.  Other smaller images show various game elements, such as castles, landscapes, and characters.
* **Text:**  The text describes the game as taking place in a medieval era, mystical world.  It emphasizes the chivalrous hero Ivanhoe, his perilous quest, magical powers, and the presence of dragons, pirates, and other mythical creatures.  The text highlights the game's ""superb animation,"" ""beautifully executed graphics,"" and ""visual impact.""

**3. The Lost Patrol:**

* **Visuals:**  A dominant image shows a helicopter in a combat scenario, possibly over a jungle or battlefield.  Other images depict soldiers in action and a map-like display.
* **Text:**  The text focuses on a war-themed game, where a pilot and his platoon are stranded and must navigate through hostile territory.  It emphasizes the game's setting in jungles and paddy fields, and the presence of a guerilla faction.  The text also mentions the game's ""interactive entertainment"" and ""visual impact.""

**Overall:**

The page is designed to attract attention to the games with bold graphics, dynamic imagery, and compelling descriptions.  The layout uses a combination of large images and text blocks to highlight key features of each game.  The page is clearly intended to entice potential buyers to learn more about and potentially purchase these games.  There is no review rating present, only promotional material.
"
3,"The page is an advertisement for the video game ""Espionage Extravaganza,""  featuring a promotional image and text.

**Game Title and Description:**

The prominent title ""ESPIONAGE EXTRAVAGANZA"" is displayed in a large, bold font.  The text below the title describes the game as a coin-op style game with 9 levels of action and excitement.  It highlights various gameplay elements, including high-powered sports cars, underwater guerrilla warfare, and the rescue of a beleaguered nation from an oppressive regime.

**Promotional Graphics:**

The page features a large image of the game's logo, which is a stylized representation of hands.  There are also smaller images of other games, including ""Sly Spy"" and ""Midnight Resistance,"" which are likely also Atari ST Amiga games.  These images are likely to attract the attention of potential buyers.

**Review Quotes:**

The advertisement includes a quote from a review, praising the game's ""mouth-watering graphics"" and ""amazing depth of play.""  The reviewer also calls it the ""best flight simulation"" they've ever seen, and states that it's not just a simulation, but an experience.  The review is attributed to ""Zzap 97%.""

**Contact Information:**

At the bottom of the page, there's contact information for ""OCEANS G,"" including an address, telephone number, telex number, and fax number.  This suggests that the company is a distributor or publisher of the game.

**Platform:**

The advertisement clearly states that the game is for the Atari ST Amiga platform.

**Overall:**

The page is designed to entice potential buyers with a combination of game imagery, gameplay descriptions, and positive review quotes.  The layout and design are typical of promotional materials from the era, emphasizing visual appeal and highlighting key features of the game.
"
4,"This page is from a magazine, likely *Amiga Format*,  dated September 1990.  It's a multi-section page with various articles and advertisements.

**Sections:**

* **Music (Page 111):**  This section is a guide to music equipment, suggesting purchases for someone with a substantial budget (£750,000).  The accompanying image shows various pieces of music equipment.

* **Video (Page 28):**  This section focuses on a video product, the G2 VideoCentre, described as ""A Genlock and a Half.""  The image shows a video-related scene.

* **Tooled Up 101 (Page 101):**  This section is about tools for programming, likely software or hardware. The image shows a hand working with a box or device.

* **Competitions:**  This section highlights several contests or giveaways.  There are prizes for winning a collection of Public Domain (PD) software, a music system, the chance to design artwork for Activision, and educational software from Prisma.  Each competition has a corresponding page number.

* **The PD Zone (p77):** This is a significant section dedicated to Public Domain software.  It explains what Public Domain means, how it works, where to find it, and how to get the most out of it.  The layout is designed to be informative and user-friendly.

* **Staff and Editorial Information:**  This section lists the magazine's staff, including editors, writers, designers, and other contributors.  It also includes contact information for subscriptions and advertising.

* **Advertising and Subscriptions:**  This section provides contact information for advertising and subscriptions to the magazine.  It also includes a hotline number for coverdisk inquiries.

**Overall:**

The page is visually appealing, with a mix of images and text.  The layout is clear and easy to navigate, making it easy for readers to find the information they need.  The competitions and the PD Zone section are likely to attract readers interested in software and hardware. The magazine's staff and editorial information provide context and credibility. The page also includes a clear copyright notice. The magazine's target audience is likely those interested in Amiga computers and related software. The page's design and content suggest a focus on providing practical information and opportunities for readers.
"
5,"This page is a spread from an Amiga Format magazine, likely from the late 1980s or early 1990s, judging by the style and the mention of the Amiga computer.  It's packed with information about various Amiga games and software, along with news and features.

**Sections:**

* **FREAKED OUT 31:**  A game review or feature, likely interactive, described as ""bizarre interactive activities.""  A visual of a game is shown.
* **MOTORBIKES 48:**  Another game review or feature, likely a racing game, with a visual of the game.  The question ""Is Harley Davidson really a good ride?"" suggests a game about motorcycles.
* **MENTAL OVERLOAD 59:**  A game review or feature, with a visual of the game.  The title suggests a puzzle or strategy game.
* **CONTENTS:** This is a table of contents for the magazine, listing various articles and reviews.  It's organized into categories like ""SPECIALS,"" ""REVIEWS,"" ""REGULARS,"" and ""SCREENPLAY.""
* **SPECIALS:** This section details various software and games, including:
    * **VIRTUAL AMIGAS:**  A feature about the interactive Mandala system and ""Entering the PD Zone,"" likely a game or software related to personal digital assistants (PDs).
    * **G2 VIDEOCENTER:** A review of a high-quality genlocking software from G2. Rating: 28
    * **MAGELLAN:** A review of Expert Systems software with Emerald Intelligence. Rating: 137
    * **MOUSESTICK:** A review of the mouse joystick from Advanced Gravis. Rating: 145
    * **TOOLS OF THE TRADE:** A feature about programming tools.
    * **SCHOOL HOLIDAYS:** A feature about educational software.
    * **NEWS:**  A section about current events in the Amiga world.
    * **COMING ATTRACTIONS:** A preview of upcoming games.
    * **GRAPHICS:** A review of special effects software.
    * **PD UPDATE:** A review of new software.
    * **MUSIC:** A feature about music software for Amiga.
    * **WORKBENCH:** A feature about hints and tips for games.
    * **GAMEBUSTERS:** A feature with tips, maps, and guides for games.
* **REVIEWS:** This section contains reviews of various games, including:
    * **FLOOD:** A review of the game. Rating: 39
    * **MIDNIGHT RAIDERS:** A review of the game. Rating: 40
    * **SHADOW WARRIORS:** A review of the game. Rating: 40
    * **BLOCK OUT:** A review of the game. Rating: 41
    * **ANTAGO:** A review of the game. Rating: 42
    * **PYRAMAX:** A review of the game. Rating: 42
    * **MURDER:** A review of the game. Rating: 45
    * **EMLYN HUGHES SOCCER:** A review of the game. Rating: 46
    * **EVERTON FC INTELLIGENSIA:** A review of the game. Rating: 46
    * **HARLEY DAVIDSON:** A review of the game. Rating: 48
    * **COMBO RACER:** A review of the game. Rating: 51
    * **WILDLIFE:** A review of the game. Rating: 51
    * **RED STORM RISING:** A review of the game. Rating: 52
    * **POLICE QUEST 2:** A review of the game. Rating: 54
    * **BREACH 2:** A review of the game. Rating: 56
    * **WELLTRIS:** A review of the game. Rating: 59
    * **LOST PATROL:** A review of the game. Rating: 60
    * **TUSKER:** A review of the game. Rating: 66
    * **PHOTON STORM:** A review of the game. Rating: 66
    * **LAST NINJA 2:** A review of the game. Rating: 68
    * **NEUROMANCER:** A review of the game. Rating: 71
* **SCREENPLAY:** This section contains reviews of games, including:
    * **FORMAT GOLD:** A review of the game. Rating: 36
    * **DAMOCLES:** A review of the game.
* **REGULARS:** This section contains various features, including news, previews, and tips.
* **LETTERS:** Correspondence from readers.
* **GURU:** A feature, likely a column or advice section.
* **YOLANDA:** A feature about a game, likely a platformer.
* **DISK EXTRA:** A section about disk-related features, including a game review.
* **SUBSCRIBE NOW!:** An advertisement for the magazine.
* **ABC:** A logo for the Audit Bureau of Circulations.


The page layout is typical of a magazine from that era, with a mix of text, images, and graphics.  The page is dense with information, showcasing the variety of software available for the Amiga.
"
6,"This page is a magazine advertisement, likely from a gaming magazine, featuring several game announcements and previews.

**Top Section: ""We Interrupt this Magazine""**

This section prominently features an advertisement for the game ""Magic Fly,"" a space-fighter game.  The text describes the game's features, including the ability to scan and shoot over 30 different spacecraft, explore a vast network of tunnels, and use various weapons like lasers, missiles, and superweapons.  The description highlights the game's 3D graphics.  A large image of the game's cover art and a depiction of the game's protagonist in a cockpit are included.  The text also states that the game is available in September for Amiga/Atari ST systems.

**Middle Section: Chuck Yeager's Advanced Flight Trainer 2.0**

This section advertises ""Chuck Yeager's Advanced Flight Trainer 2.0.""  The text highlights the game's realistic 3D graphics, accurate aerodynamics, and the ability to fly 18 different aircraft, including those from the US Navy and USAF.  It also mentions features like night flying, unlimited camera angles, and a training mode with tips from General Yeager himself.  A free audio tape (""Flying Insights"") is mentioned as part of the package.  The game is available in September for Amiga/Atari ST and is already available for PC.

**Bottom Section: Electronic Arts and Other Games**

This section includes advertisements for other Electronic Arts games and products.  There's a box promoting ""Flood,"" a demo disk available at retailers.  The text also mentions ""PowerMonger,"" a game from Bullfrog, and its release in Japan, where it was a popular phenomenon.  The section also includes a small advertisement for ""Imperium"" and a logo for ""Golden Scroll - The Games Machine,"" suggesting this is a gaming magazine.  Finally, it includes contact information for Electronic Arts.

**Overall:**

The page is a collection of advertisements for various video games, highlighting their features and release dates.  The layout is designed to attract attention to the different games and their respective features.  The page is clearly aimed at gamers interested in Amiga/Atari ST games.
"
7,"This page is an advertisement for video games, likely from a magazine. It features descriptions and promotional images for several different titles, all targeting Amiga and Atari ST computers.

**FLOOD:**

* **Rating:**  The ad highlights that FLOOD is receiving ""rave reviews.""  No specific rating is given.
* **Genre:** Platform game.
* **Description:**  The game features a humorous tone, with over 35 levels.  Players must help Quiffy escape underground caverns and various monsters.  The game includes boomerangs, flamethrowers, balloons, spacehoppers, and humorous monsters.  There are passwords, so players don't have to restart from the beginning.  The game also features gurgling tunes and splashy sound effects, and numerous puzzles to solve.  Secret locations are also mentioned.

**IMPERIUM:**

* **Rating:**  No explicit rating is given, but the ad quotes a positive review from ""ST Format Magazine.""
* **Genre:** Space-trading game.
* **Description:**  The game is described as the ""latest in the splurge of space-trading games.""  The goal is to dominate the galaxy by trading with other planets and colonizing new worlds.  It features a variety of winning options.  The ad claims it may be the most engaging space-trader ever.

**PROJECTYLE:**

* **Rating:** No explicit rating is given.
* **Genre:** Multi-player action game.
* **Description:**  This game is described as ""fast and furious"" multi-player action.  It features multi-directional scrolling, parallax, vector, and bas-relief graphics.  Up to 3 players can play per game, and up to 8 players per league.  Each player has their own characteristics, and there are free kicks, chip shots, and ""loony balls.""


The page also includes:

* **Images:**  Several screenshots and promotional artwork for each game are included, giving a visual representation of the game's style and characters.
* **Platform Information:**  The ad clearly states that the games are available for Amiga and Atari ST computers.
* **Publisher:**  The publisher, Electronic Arts, is prominently displayed.
* **Price/Availability:**  The ad mentions that FLOOD is available for purchase, and includes a small graphic of a free poster.


Overall, the page is designed to attract potential buyers by highlighting the games' features, positive reviews, and the overall excitement and fun they offer.
"
8,"This page is an advertisement for AMOS, a software program for the Amiga computer.  It's a full-page spread, likely from a magazine, promoting the software.

The advertisement is broken down into several sections:

**1. Headline and Introduction:** The top section highlights the ""awesome power"" of AMOS and how it allows users to turn their creative ideas into reality.  The large, bold text ""AWESOME"" and ""AMOS"" is prominent.

**2. ""What the press say"":** This section presents quotes from various publications (Popular Computing, Amiga Format, Commodore User, etc.) praising AMOS.  The quotes emphasize AMOS's ease of use, its ability to create high-quality games, and its overall value.  Each quote is presented within a stylized quote box.

**3. ""What AMOS owners say"":**  This section features numerous testimonials from actual Amiga users.  The quotes are similar in tone to the press quotes, highlighting the program's speed, ease of use, and impressive capabilities.  Each quote is attributed to a specific user and their location.  This section builds credibility by showcasing user experiences.

**4. ""What AMOS owners are going to create"":** This section showcases the potential applications of AMOS, demonstrating its versatility.  It lists various types of programs that can be created, including educational software, games (like Star Trek, Barbarian, and Speedball), simulations, and more.  The quotes in this section are also presented in a stylized quote box.

**5. ""What you get"":** This section details the included software.  It lists the AMOS Basic, sprite designer, arcade games (Magic Forest, Amosteroids, Castle AMOS), a graphical adventure, and a 300-page manual.  It also mentions an extra disc with additional programs, including AMOS Sprites, AMAL (Animation Language), an editor, a large text scroller, an IFF brush to sprite converter, a scrolling shoot-'em-up game, Soundtracker, and Sonix converters.

**6. ""Extra Disc Free!"":** This section highlights the free extra disc included with every purchase of AMOS.  It emphasizes the value proposition of the software.

**7. Pricing and Ordering Information:** The advertisement clearly states the price of AMOS (£49.99).  It also provides detailed instructions on how to order the software, including options for direct purchase, payment methods (cheque, credit card), and postage costs.  It also includes a guarantee for refunds.

**Overall Review Rating (Implied):**  The advertisement heavily emphasizes positive reviews and testimonials, implying a very high rating for AMOS.  The repeated use of superlatives (""best,"" ""brilliant,"" ""awesome"") and the focus on user praise strongly suggests a positive user experience.


The page is well-organized, visually appealing, and effectively conveys the value proposition of AMOS.  The use of quotes from various sources and users builds credibility and encourages potential buyers.
"
9,"This page is an article from *Amiga Format* magazine, likely from the 1990s, focused on the Commodore CDTV.  The article discusses the early software support for the CDTV, a new home entertainment system from Commodore.

**Headline:** ""ALL SYSTEMS GO FOR CDTV""

**Overall Content:** The article highlights the significant interest and investment in software development for the CDTV.  It emphasizes that various companies, including Next Technology, The Multimedia Corporation, and game developers like Ocean and Psygnosis, are actively creating software for the CDTV.  The article also touches on the CDTV's potential to revolutionize home entertainment and education.

**Specific Sections:**

* **Introduction:** The introduction features a picture of Graham Brown-Martin, chairman of Next Technology, and highlights the CDTV's development and the involvement of other companies like the BBC-connected Multimedia Corporation.  It emphasizes the CDTV's potential to be a significant player in the home entertainment market.

* **CDTV Fun and Games:** This section focuses on the software being developed for the CDTV.  It mentions titles like ""Legend of the Lost"" (from Impressions), ""Sim Earth,"" and various arcade-style games.  It also discusses the involvement of CRL, who are developing games like ""Laurel and Hardy,"" ""Herewith the Clues,"" and ""Cult of the Severed Head.""  The article notes that the CDTV version of ""The Final Conflict"" is a nuclear war simulation.  Importantly, it details the variety of game styles and genres planned for the CDTV.

* **Cowabunga!:** This section specifically discusses the licensing of the Teenage Mutant Ninja Turtles franchise for the CDTV.  It highlights the deal with Mirrorsoft and the potential impact of this popular franchise on the CDTV's success.  The article notes the significant financial success of the Teenage Mutant Ninja Turtles franchise and its potential to drive CDTV sales.  It also mentions the controversy surrounding the licensing of the game, with a Konami spokesperson commenting on the sales of the Ultra game.

* **Software Houses and Development:** The article mentions several software houses actively working on CDTV titles, including Ocean and Psygnosis.  It notes that Psygnosis is keeping their project details under wraps, while Ocean is working with Maxis on a Sim City sequel.  The article also mentions the importance of the ""Welcome"" disc that comes with the CDTV.

* **Companies Involved:** The article details the involvement of various companies in the CDTV software development, including Next Technology, The Multimedia Corporation, and others.  It provides contact information for The Multimedia Corporation, encouraging Amiga programmers to contact them.

**Review Rating (Implicit):**  While not a traditional review, the article presents a positive outlook on the CDTV's future, highlighting the significant software support and the potential for success.  The focus on popular franchises like Teenage Mutant Ninja Turtles suggests a strong belief in the CDTV's market appeal.


**Overall Impression:** The article is promotional in nature, aiming to generate excitement and interest in the CDTV and its software offerings.  It emphasizes the variety of software being developed and the potential for the CDTV to be a successful home entertainment system.
"
10,"This page is an advertisement or promotional material for a video game called ""Final Battle,"" a sequel to ""The Legend of the Sword.""

The page is visually appealing, using a combination of illustrations and screenshots.  The illustrations are in a style reminiscent of medieval art, with detailed depictions of castles, knights, and mythical creatures.  The screenshots show game environments, characters, and gameplay elements.

The text describes the game's plot and features.  It highlights the following:

* **Sequel to ""The Legend of the Sword"":**  The game is a continuation of a previous game, implying a shared storyline and characters.
* **Larger Vocabulary and Inventory:**  The game has a more extensive vocabulary and inventory system, suggesting a richer gameplay experience.
* **Superior Graphics:**  The graphics are described as superior, implying a higher level of visual detail and quality compared to other games of the time.
* **Sophisticated Action System:**  The game's action system is described as highly sophisticated, suggesting complex combat mechanics and interactions.
* **3D View of Locations:**  The game features a 3D view of locations, which was likely a significant advancement for games of that era.
* **Weather Changes:**  The game allows for weather changes, adding another layer of realism and dynamic gameplay.
* **Plot Summary:** The text summarizes the game's plot, describing a wizard trapped in a teardrop, a magical sword, and a race of humanoids.  The wizard unleashes a plague of death and destruction, and the player must recover crystals to banish him.

The page also includes the game's title, a tagline (""the legend of the sword continues""), and a copyright notice.  The copyright notice indicates that the screenshots are from the Amiga version of the game.  Finally, the page includes contact information for the publisher (Irwin House) and the software developer (Mirrorsoft).

The overall impression is that the game is a significant step up from its predecessor, offering a more complex and visually appealing experience.  There is no review rating explicitly shown on the page.
"
