Page Number,Page Information
1,"This is the cover and a portion of the inside pages of *Amiga Format* magazine, Issue 17, from December 1990.  The cover features a bold, stylized ""AMIGA"" logo in red on a yellow background, with the words ""BRITAIN'S BIGGEST AND BEST-SELLING AMIGA"" above it.  The issue number (17) and date (December 1990) are also prominently displayed.  The price (£2.95) is visible.

The cover also features a large graphic of a motorcycle, along with the headline ""COLOUR REVOLUTION,"" which describes the magazine's focus on the use of 16 million colors and 24-bit quality on Amiga computers.

The inside pages shown feature several sections:

* **COVER ULTIMATE RIDE:** This section highlights a demo of a game called ""Ultimate Ride"" from Mindscape, along with other software like ""Personal Finance Manager,"" ""HiSoft Basic,"" and ""Real Things Humans.""  It also mentions ""Utilities and The Gallery.""

* **CREATING HISTORY:** This section focuses on how game developers are creating new and dynamic experiences.

* **WORDS OF WISDOM:** This section discusses word processors, emphasizing speed, functionality, and pricing.

* **HARD BARGAINS:** This section promises to help readers save money, time, and effort by reviewing and recommending the best hard disk drives.

* **GAMES:** This section advertises 35 pages of game reviews, tips, and previews.  It lists specific games like ""Betrayal,"" ""Lotus Esprit Turbo Challenge,"" ""Cadaver,"" ""Gremlins 2,"" ""Killing Game Show,"" ""Indianapolis 500,"" ""Mean Streets,"" and ""Paradroid.""  It also mentions 20 hot previews and the ""year's best musical buys.""

* **NO COVERDISK?:** This section advises readers to ask for a cover disk at the newsagent if they don't have one.

The page also includes a barcode and a small graphic of a person running.  The overall design and layout of the magazine are typical of computer magazines from the 1990s, with a focus on showcasing software and games.
"
2,"This page is an advertisement or promotional material for the video game ""Powermonger,"" published by Bullfrog Electronic Arts.

The page features a large, bold headline that reads ""YOU OVERCAME THE GODS? THESE HANDSOME SPECIMENS WILL BRING YOU DOWN TO EARTH!""  This is followed by a brief description of the game's premise:  In Populous, the player challenged the gods, and now man is the adversary in the form of three unscrupulous and violent tribal leaders.

A graphic of the game's cover art, ""POWERMONGER,"" is prominently displayed.  The cover art shows a scene with various characters, likely tribal leaders, and a battle scene.  Underneath the cover art, the price of the game is listed as £29.99.

The text below the cover art provides a description of the gameplay mechanics.  It encourages players to be either aggressive (""Be as mean as them and match force with force"") or cunning (""or be more cunning, play Mr Nice Guy and win over the local villagers"").  The text emphasizes the importance of managing resources (""By doing so you not only swell your numbers, but also keep your larders stocked, which is essential in ensuring the loyalty of your army"") and the game's visual appeal (""With the stunning graphics you've come to expect from Bullfrog"").  The description also highlights the game's diverse environment (""world of mountains, forests and rivers, sun, snows and rain"") and the strategic challenges it presents (""where inventiveness and strategic skill can triumph over mere brute force"").

The text also hints at other Bullfrog titles, suggesting that there are more games available from the developer.  Images of other Bullfrog games, ""Populous"" and ""Flood,"" are shown.

Finally, a large, yellow block with the text ""E L I"" is visible at the bottom right of the page.  This likely indicates a section or category for the game.


The overall impression is a marketing piece designed to entice potential buyers with the game's features and gameplay.  The page is visually appealing, using a combination of text, graphics, and images to showcase the game's appeal.
"
3,"The page is an advertisement for a video game, likely from a magazine or promotional material.

The advertisement prominently features a pixelated image of the game's world.  The image shows a stylized landscape with a waterfall, a small village, and various structures.  The foreground also shows a grid-like layout, possibly representing the game's interface or map.

In the upper portion of the image, there are pixelated portraits of several figures, likely characters or leaders in the game, dressed in armor and appearing to be in a meeting or council.  The figures are rendered in a style typical of early computer games.

Below the main image, there's a text block that reads:  ""Better than Populous"", Peter Molyneux of Bullfrog, Creators of Populous."" This suggests a comparison to a popular game and highlights the creators' involvement.

The bottom of the page features the company logo, ""CTRONIC ARTS,"" in a bold, stylized font.  Below the logo, there's more text providing contact information for Electronic Arts, including their address, phone number, and fax number.  A trademark symbol (TM) is also present.

Overall, the advertisement is designed to attract attention and generate interest in the game by emphasizing its features, creators, and comparison to a well-known title. The pixelated graphics and the text suggest the game is likely for a computer or early console.
"
4,"This page is a spread from a magazine, likely *Amiga Format*, from December 1990.  It's a mix of articles, advertisements, and information.

**Sections:**

* **Creating History (Page 25):**  This section, likely an article, is about making the past come to life.  The accompanying image suggests a historical film or video clip.  The text is not fully visible, but it appears to be a narrative or descriptive piece.

* **Words of Wisdom (Page 191):**  This section is about word processors.  The text is a question, ""Which word processor is for you?"", suggesting a comparison or review of different word processing software.

* **Competitions (Page 126 and 222):**  This section features two competitions.  The first is to win a £250 Team Yankee tank, and the second is to win 4 megabytes of memory.  The page numbers indicate that these are separate competitions with different prizes.

* **Hard Bargains (Page 167):**  This section is an advertisement or review of hard disk drives.  The text suggests a comparison of different hard drives, highlighting the best options.

* **Colour Revolution (Page p34):**  This is a large advertisement or article about Amiga graphics.  The headline and accompanying image highlight the advancements in color and 24-bit video technology.  The text describes a ""bloodless revolution"" in color graphics, emphasizing the impact of 16 million colors on Amiga displays.  It encourages readers to join the revolution and explore the new graphics capabilities.

* **Amiga Format Magazine Information (Page 17, Dec 1990):**  This section contains information about the magazine itself, including the editor, staff, and contact information.  It also includes details about subscriptions and advertising.  The magazine's name, volume number, and date are clearly displayed.

* **Editorial/Advertising (Page 30):**  This section provides contact information for the magazine's editorial and advertising departments.  It also includes a subscription information section.  The text explains the magazine's policies regarding submissions, personal correspondence, and reproduction rights.


**Overall:**

The page is a mix of articles, reviews, advertisements, and information about Amiga computers and software.  The layout is typical of a computer magazine from the 1990s, with a mix of text, images, and graphics.  The page highlights the advancements in Amiga technology, particularly in graphics and color.
"
5,"This page is a section from a magazine, likely *Amiga Format*, focused on reviews, articles, and advertisements related to Amiga computers and software.

The page is densely packed with information, divided into various sections:

**1. Featured Products/Reviews:**

* **FRAMED! 233:**  A review or advertisement for a piece of Amiga hardware called ""FrameGrabber.""  The text describes it as something that will ""hook"" the user.
* **PLAYING FOR KEEPS 74:**  Another product or game review/advertisement, possibly a game called ""Killing Game Show.""
* **GUNG-HO GUMSHOE 50:**  A review or advertisement for a game, likely a description of the game's features and gameplay.

**2. Specials Section:**

* **HISTORY IN THE MAKING:**  A review or article about software that creates dynamic images and colors.  It mentions ""16 million colors"" and ""hard drives.""
* **FRAMEGRABBER:**  A review or advertisement for a piece of hardware, likely a graphics capture card.  It highlights its ability to grab images and use RGB.
* **VIDI RGB:**  A review or advertisement for a piece of hardware, likely a graphics capture card.  It focuses on its ability to capture color images.
* **HYPERCHORD + PIXOUND:**  A review or advertisement for music software or a music-related program.

**3. Regulars Section:**

* **NEWS:**  A brief news section, likely about Amiga-related events or announcements.
* **COMING ATTRACTIONS:**  A section featuring previews of upcoming games or software.
* **GRAPHICS:**  A review or article about graphics software or a graphics-related program.
* **MUSIC:**  A review or article about music software or a music-related program.
* **PD UPDATE:**  A review or article about a program update.
* **GAMEBUSTERS:**  A review or article about game walkthroughs, cheats, or strategies.
* **WORKBENCH:**  A review or article about a program or software related to the Amiga's workbench environment.
* **LETTERS:**  A section for reader letters and feedback.

**4. Reviews Section:**

* **TECHNOSOUND:**  A review of a music software or sampler.
* **GST GOLD SP:**  A review of a sampler or audio software.
* **TITLE PAGE:**  A review or article about video editing software.
* **FINANCE MANAGER:**  A review or article about financial software.

**5. Screenplay Section:**

* This section lists a variety of games, including their titles, and likely includes brief descriptions or ratings.  Titles include ""Indianapolis 500 Killing Game Show,"" ""Betrayal,"" ""Voodoo Nightmare,"" ""Iron Man,"" ""The Spy Who Loved Me,"" and more.

**6. Disk Extra P99 Section:**

* **THE ULTIMATE RIDE:**  A review or advertisement for a game or software, likely a racing game.
* **PERSONAL FINANCE MANAGER:**  A review or advertisement for financial software.
* **HISOFT BASIC:**  A review or advertisement for a programming language or software.
* **REAL THINGS HUMANS:**  A review or advertisement for animation software.
* **ERR:**  A review or advertisement for an error-handling program.
* **SEARCH:**  A review or advertisement for a search utility.
* **PIC OF THE MONTH:**  A feature showcasing a picture, likely a screenshot or image from a game or software.

**7. Subscription Information:**

* Information about subscribing to the magazine, including details about mail order and delivery options.

**Overall:** The page provides a comprehensive overview of Amiga software and hardware, including reviews, previews, and advertisements.  The layout and content suggest a magazine aimed at Amiga users.  There are no explicit review ratings visible, but the presence of reviews and descriptions implies a rating system is in place.
"
6,"The page is an advertisement or promotional material for a video game called ""Beyond The Final Frontier,"" likely for the Amiga computer system.

The top portion of the page features a large, bold title ""BEYOND THE FINAL FRONTIER.""  Below this title, a description of the game is provided.  It states that the game is from the creators of ""Beast and Beast,"" and combines ""shoot-'em-up"" action with ""trading stratagems.""  The description highlights the innovative hyperspace sections and a ""whole galaxy to explore.""  The text emphasizes the game's ""AWESOME"" features.  A small text line at the bottom of this section credits the image as ""Amiga Screen Shots.""

The main part of the page is divided into four smaller boxes, each showcasing a different screen shot of the game.  These screen shots provide a visual representation of the game's gameplay.  The screenshots show various aspects of the game, including:

* **Gameplay:**  The screenshots depict different stages of the game, showcasing spaceship combat, trading interfaces, and possibly exploration elements.
* **Visual Style:** The visual style appears to be a mix of sci-fi and futuristic elements, with a focus on detailed environments and colorful effects.
* **Interface:**  One screenshot shows a screen with text prompts, suggesting a trading or interaction system within the game.

The bottom portion of the page features a large image, likely a promotional image or cover art for the game.  The image is dark and features a stylized design, with the name ""TECHNOMISTS"" prominently displayed.  The design style suggests a futuristic or sci-fi theme.

Overall, the page is designed to attract potential buyers by showcasing the game's features and visual appeal.  The layout and imagery are intended to create a sense of excitement and anticipation for the game.
"
7,"The image is a poster or album cover for a band called AWESOAE.  It's a visually striking piece of art, featuring a dark, moody, and somewhat futuristic landscape.

The overall impression is of a desolate, possibly alien, cityscape or environment.  The colors are primarily shades of dark gray, blue, and black, with hints of muted orange and yellow.  The style is reminiscent of science fiction art from the 1970s or 1980s, with a slightly painterly or graphic quality.

A large, stylized image of a dark, almost cavernous structure or building dominates the central portion of the poster.  It appears to be a massive, possibly metallic, structure with intricate details.  Light beams or rays seem to emanate from within or around the structure, casting highlights on the scene.

Suspended in the mid-ground is a small, yellowish-green, futuristic-looking vehicle or craft.  It has a rounded shape and some markings that suggest weaponry or equipment.

The band name, ""AWESOAE,"" is prominently displayed in large, stylized, gold-colored lettering at the bottom of the image.  The letters are designed with a geometric, angular style, incorporating stylized triangles or peaks that echo the overall aesthetic of the artwork.  The design elements of the lettering seem to be part of the overall futuristic theme.

There are no reviews or other textual elements visible on the image itself.  The image is purely visual, conveying a sense of atmosphere and mood rather than providing specific information.
"
8,"This is an advertisement for a video game called ""Badlands,"" a conversion of a coin-op game.  The advertisement is likely from a magazine, given the layout and text.

**Overall Impression:** The ad is visually striking, using a vibrant color palette and dynamic imagery to evoke the action and destruction of the game.  The art style is characteristic of 1980s/early 1990s video game advertisements.

**Game Description:** The text highlights the game's theme of a post-apocalyptic racing environment, 50 years after a nuclear disaster.  Players race armored cars on various tracks, engaging in a destructive battle against other racers and obstacles.  Key features emphasized include customization options (missiles, speed, tires, turbo boosts, shields), the presence of hazards (oil spills), and increasing difficulty levels.  The game is described as ""ruthless, destructive, and great fun,"" emphasizing the competitive and intense nature of the gameplay.

**Platform Availability:** The ad lists the various computer platforms on which the game is available, including Amiga, Atari ST, IBM PC, Commodore 64, Amstrad, and Spectrum.

**Developer and Publisher Information:**  The ad clearly credits ""Tengen"" as the developer of the conversion and ""Domark Software Ltd"" as the publisher.  It also provides contact information and copyright details.

**Visual Elements:** The advertisement features several images, including:

* **Game Screenshots:**  Several small, illustrative screenshots of the game's gameplay are shown, showcasing the tracks, vehicles, and some of the action.
* **Arcade Cabinet:** A stylized image of the arcade cabinet for the original game is prominently displayed, emphasizing the conversion from a coin-op game.
* **Action-Oriented Artwork:** The overall design of the ad is dynamic, with images of cars, explosions, and tracks, creating a sense of speed and intensity.
* **Checkered Flag:** A checkered flag is prominently featured, symbolizing the racing aspect of the game.

**Review (Implicit):** While not explicitly a review, the ad's language (""ruthless, destructive, and great fun"") and the visual style suggest a positive portrayal of the game, intended to entice potential buyers.
"
9,"This page is from a magazine, likely *Amiga Format*, from December 1990, based on the footer.  It's filled with news, reviews, and product information related to Amiga computers and accessories.

**Section 1: Wiz Wheeze**

This section is a short news piece about Ocean Software's upcoming *Wizball II* game for the Amiga.  It highlights that the same team who programmed the original *Wizball* is working on the sequel, aiming for a similar quality.

**Section 2: Amiga 1500 Surprise Debut**

This is a significant news story about Commodore's new Amiga 1500 Personal Home Computer (PHC).  It describes the machine as having a similar exterior to the A2000 but with two floppy drives and a hard drive.  Key features mentioned include a full megabyte of memory, a 1084S monitor, and bundled software like *Deluxe Paint 3*, *The Works*, *Their Finest Hour*, *Populous*, and *Sim City* (with expansion disks).  The article emphasizes the value proposition of the A1500, positioning it as a more affordable alternative to the A2000 while offering similar capabilities and bundled software.  It also notes that the machine is similar to the A2000 but with a hard drive instead of a single floppy drive.

**Section 3: Quick-Change Artist**

This section describes the ""Stickshift,"" a device that allows users to quickly switch between a mouse and joystick without having to manually change connections.  It's presented as a helpful tool for two-player games.

**Section 4: Eat My Shorts**

This is a short news item about the upcoming *Simpsons* game from Ocean Software, slated for release in the summer of 1990.  It highlights the popularity of the *Simpsons* cartoon show and how the game is likely to capitalize on its recognition.

**Section 5: First Steps Update**

This section discusses Commodore's ""First Steps"" educational software bundle.  It notes that the bundle has received an endorsement from the National Association for Primary Education and emphasizes its suitability for teaching children about information technology.  The bundle includes an A500, TV modulator, A501 RAM expansion, ten blank disks, mouse mat, Deluxe Paint II, Deluxe Print II, Pro Write 2.5, InfoFile, Music Mouse, Let's Spell at Home, Logo with Talking Turtle, and the BBC Emulator.  There's also a resource file of useful information, guides to the National Curriculum, and an introductory video.

**Section 6: A Stick in Time**

This section reviews the Mega Board from Spectravideo, a joystick novelty with two stopwatches.  It's aimed at two players or single players who want to time their performance in games.  The stick also has autofire and slow-motion functions.

**Overall:**

The page is a collection of news and product information, showcasing the latest developments in Amiga technology and software.  The articles are concise and informative, providing details about new products and software releases.  The page also includes advertisements for various Commodore products and accessories.
"
10,"This page is a collection of advertisements and articles, likely from a magazine, focused on technology, specifically Amiga computers and the CDTV.

**Section 1: AmigaDOS Guide**

This section promotes a ""Complete AmigaDOS Guide,"" described as the most comprehensive guide to AmigaDOS.  It's a two-part publication aimed at beginners, but also promising to explore advanced features.  The guide is written by Mark Smiddy and Bruce Smith, and includes a disk with DOS utilities.  The price is £21.95 for Volume One, £17.95 for Volume Two, or both for £39.90.  A review is promised.

**Section 2: Living Books on CDTV**

This section details Digigraphic's ""Living Book Publisher"" system for the CDTV.  It's an authoring system that allows for interactive ""books"" with stunning graphics and animation.  The system is described as bringing books to life on the CDTV.  The article highlights the various features, including graphics, animation, full-motion video, search facilities, audio narration, magnification, and electronic bookmarks.  It also mentions ""hot words"" that can be selected and cross-referenced to other sections of the book.  The system is slated for release in March 1991, but a price is not yet fixed.  Contact information for Digigraphic is provided.

**Section 3: Action Replay Mk II**

This section advertises the Action Replay Mk II cartridge for the Amiga.  It's a hardware device that allows users to stop software, grab graphics and sound, and modify games.  The Mk II version includes new features like saving music and picture files in IFF format, a new 128K operating system, autofire manager, disk monitor, and DOS commands.  The A2000 unit costs an extra £10, but the Mk II cartridge costs the same as the original at £59.99.  Contact information for Datel Electronics is provided.

**Section 4: CDTV Goes On Show**

This section advertises the CDTV's presence at the Computer Shopper Show 90 at Wembley.  The CDTV will be demonstrating the Dr. Feelgood health education program.  Other attractions include an advice center, the finals of the Computer Football Association Challenge Cup, and a fundraising appeal for the Starlight Foundation.  A 50p discount on entry fees or a £4 discount on family tickets is offered to attendees who present a voucher.  Dates and times of the show are listed.

**Section 5: Computer Shopper Show 90**

This section is a general advertisement for the Computer Shopper Show 90, highlighting the CDTV's presence and other attractions.  It includes a voucher for a discount on entry fees.  Dates and times of the show are listed.


The overall impression is a collection of advertisements and articles promoting various computer-related products and events, particularly those related to the Amiga and CDTV.
"
