Page Number,Page Information
1,"The page is the cover of ""AMIGA FORMAT"" magazine, issue 19, February 1991.  The cover features a vibrant, pixelated design in various colors, including red, yellow, and blue.  The title ""AMIGA FORMAT"" is prominently displayed in large, bold letters.  Below that, the headline ""GOT ONE OF THESE?"" is in a large, bold, black font.

The cover also features several smaller sections with information about featured software and articles.  These include:

* **""Champion of the Raj"":**  A game description, highlighting a battle with man-eating tigers.
* **""Menumaster"":**  A description of a menu program.
* **""Play 590"":**  A description of a game that uses sound samples.
* **""Island"":**  A description of an atmospheric text adventure game.
* **""Pic of the Month"":**  A description of a game called ""Aargh! We've been menaced!""
* **""Documentation on Page 15"":**  Indicates that more information about the software is available on page 15 of the magazine.

There's a section titled ""THEN GET THIS!"" which provides vital information for new Amiga owners, including troubleshooting tips for printer issues, graphics, and general problems.

A section titled ""NO COVERDISK?"" advises readers to ask for one from their local newsagent.

Finally, a review section highlights:

* **""REVIEWED"":**  A list of reviewed games, including ""Ninja Remix,"" ""Battle Command,"" ""STUN Runner,"" and ""Horror Zombies.""
* **""The 15 best games"":**  A list of the top 15 games, along with a mention of 16 million colors on screen.
* **""GB Route travel guide"":**  Indicates a travel guide is included.

The cover also includes page numbers for articles and hints, tips, and advice sections.  The price of the magazine is listed as £2.95.  The issue date is February 1991.
"
2,"This page is an advertisement for the video game ""Schwarzenegger Total Recall,"" likely for a console or arcade system.  It's a promotional piece, not a review.

The layout is visually striking, using bold text and vibrant colors to draw attention.  The main focus is on the game's connection to the movie ""Total Recall,"" featuring Arnold Schwarzenegger.

**Visual Elements:**

* **Large, stylized title:** ""POWER"" in a large, bold, red font, with a background image suggesting space or a futuristic environment.  Below this is the title ""SCHWARZENEGGER TOTAL RECALL"" in a smaller, but still prominent font.
* **Movie poster-style image:** A close-up image of Arnold Schwarzenegger's face, with a dramatic expression, is prominently featured.
* **Game screenshots:** Several small images show gameplay elements, including a car chase scene and a futuristic environment.
* **Graphics:** The overall design is very 1980s/early 1990s in style, with bold colors and a slightly pixelated look, typical of video game advertisements of that era.

**Textual Content:**

* **Game description:** The text describes the game as a ""Special Criminal Investigation"" arcade game, continuing the story from a previous game.  It highlights the action-oriented nature of the game, emphasizing the chase sequences and the need to track down criminals.
* **Plot summary:** The text explains the game's plot, connecting it to the movie ""Total Recall.""  It describes the protagonist's journey, the challenges, and the futuristic setting.
* **Game features:** The text highlights key features like ""explosive power,"" ""tougher criminals,"" and ""fast-paced action.""  It emphasizes the game's graphics and gameplay, claiming it complements the movie.
* **Developer/Publisher information:**  The bottom of the page lists Ocean Software Limited as the publisher, along with their contact information.

**Overall Impression:**

The advertisement is designed to entice potential players by combining the popularity of the ""Total Recall"" movie with the excitement of arcade-style action.  It emphasizes the game's action, futuristic setting, and connection to the movie to generate interest.  There is no review rating present on the page.
"
3,"This page is an advertisement for two video games, RoboCop 2 and NARC, likely for a gaming magazine or similar publication.

**RoboCop 2!**

The top section focuses on RoboCop 2, featuring a large image of the titular character, RoboCop, in his iconic metal suit.  The text describes the game as having ""seven levels of muscle-straining, reflex-testing, sideways scrolling fury!""  It emphasizes the need to destroy drug gangs and face the ""terror"" of the game's challenges.  The advertisement highlights the game's action-oriented gameplay.  Smaller images within the section show different game screens, showcasing the environments and action.

**NARC**

Below the RoboCop 2 section, a separate advertisement promotes NARC.  The image features a character in a futuristic, armored outfit wielding a large machine gun.  The text describes NARC as an ""arcade action thriller"" where the player must infiltrate the criminal underworld and find the ""king pin"" of the MR BIG CORPORATION.  The description emphasizes the challenges of outsmarting bodyguards, gangs, and other enemies.  The text also highlights the game's unique enemies, such as a ""psychotic clown"" and a ""gas guzzling cadillac jock.""  The advertisement also hints at the game's action-oriented gameplay and the presence of a vehicle.

**General Information and Game Details**

The bottom section of the page provides additional details about the games, including the platforms they are available on (Amstrad, Commodore, Spectrum, Atari ST, and CBM Amiga).  It also includes a copyright notice and a logo for the game developer or publisher (Ocean).

**Overall Impression**

The advertisement is designed to entice potential players with exciting descriptions of the games' action and challenges.  The use of bold graphics and text, along with detailed descriptions, aims to attract readers' attention and generate interest in purchasing the games.  The page is clearly designed to promote the games' action-oriented gameplay and unique features."
4,"This page is a spread from a magazine, likely *Amiga Format*, from February 1991.  It's filled with advertisements and information related to Amiga computers and software.

**Sections:**

* **Graphics 33:**  A section promoting graphics software for Amiga computers.  It includes a small image of a graphic, likely a game or a sample of the software's capabilities.  The text underneath describes the software as a way to ""get started in graphics - the easy way!""

* **Best Ever Games 109:**  This section highlights 109 games, emphasizing their quality and importance.  A small image of a game screen is included.

* **Databases 147:**  This section promotes two database programs designed to organize personal information.  A small image of a database interface is likely shown.

* **Competitions:**  This section advertises contests for Amiga users.  It lists prizes: 5 years of Psygnosis games and 3 Philips monitors.  The numbers 159 and 163 are associated with the prizes.

* **Just Got One of These?:**  This is a section offering troubleshooting advice for Amiga users.  It addresses common problems and how to solve them.  The text suggests that the user can find more information on page 23.

* **Editorial/Advertising:**  This section provides contact information for the magazine's editorial and advertising departments.  It also includes a subscription information section.

* **Subscriptions and Mail Order:**  This section details how to subscribe to the magazine and order issues.  It also includes important disclaimers about the magazine's content and policies.

**Overall:**

The page is filled with advertisements and information aimed at Amiga users.  The layout is typical of a computer magazine from the early 1990s, with a mix of text, images, and graphics.  The page is clearly organized into distinct sections, each with its own focus.  The page also includes a staff list, which is a common feature in magazines of this type.  The page also includes a staff list, which is a common feature in magazines of this type.  The overall tone is informative and promotional, encouraging Amiga users to explore the software and hardware available.


**Important Note:**  The OCR (Optical Character Recognition) has captured the text accurately, but the formatting and layout of the original page are not fully replicated in the text.  The images are also not included in the text description.
"
5,"This page is a spread from an Amiga Format magazine, likely from the 1990s, featuring a variety of articles and information related to Amiga computers and software.

**Sections:**

* **Travel Guide 150:**  A utility program for Amiga computers that helps users navigate and find locations.  A small graphic of a map is included.
* **Get Tanked Up 52:**  A review or advertisement for a tank game, likely for the Amiga.
* **Guns Out! 56:**  A review or advertisement for a shoot-em-up game, likely for the Amiga.
* **Contents:**  A table of contents listing various articles and sections within the magazine.  Specific articles are listed with page numbers, such as ""GB Route"" on page 150, ""News"" on page 7, ""Graphics"" on page 33, ""Previews"" on page 47, ""Gamebusters"" on page 97, ""PD Update"" on page 117, ""Music"" on page 133, ""Workbench"" on page 171, ""Letters"" on page 185, and ""Reviews"" with various game titles.
* **Specials:**  A section highlighting specific features, including ""Just Got One of These?"" (page 23) which is a guide to essential games for Amiga owners, and ""The Best Games of All Time"" (page 109) which lists 15 classic games.  There's also a ""Beginners Guide"" and ""Questionnaire"" section.
* **Regulars:**  A section with various articles, including ""News"" (page 7), ""Graphics"" (page 33), ""Previews"" (page 47), ""Gamebusters"" (page 97), ""PD Update"" (page 117), ""Music"" (page 133), ""Workbench"" (page 171), ""Letters"" (page 185).
* **Reviews:**  A section dedicated to game reviews.  Titles include ""Harlequin,"" ""Musician,"" ""Harmoni,"" ""Infofile,"" and ""Prodata.""  The reviews are likely summaries of the games.
* **Screenplay P51:**  A section dedicated to reviews of games, specifically ""Format Gold"" and ""Z-Out.""  The reviews include ratings and descriptions of the games.  The reviews list specific games like ""Horror Zombies from the Crypt,"" ""Ishido,"" ""Mean Ugly Dirty Sport,"" ""Narco Police,"" ""Ninja Remix,"" ""Nitro,"" ""Teenage Mutant Hero Turtles,"" ""Vector Championship Run,"" and ""Wrath of the Demon.""
* **Subscribe! P.161:**  An advertisement for a subscription to the magazine, highlighting benefits like getting the magazine delivered, saving money, and receiving a free game.
* **Mail Order P.174:**  An advertisement for mail order items, likely related to Amiga software or hardware.
* **Coverdisk P15:**  An advertisement for a cover disk, likely for the Amiga, with details on the contents, including ""Champion of the Raj,"" ""Island of Nephletons,"" ""InstallPrinter,"" ""MenuMaster,"" ""Play590,"" ""ILBM>RAW,"" ""Mosaic,"" and ""Pic of the Month.""


The page layout is typical of a magazine, with various sections and articles presented in a clear and organized manner.  The page includes graphics, images, and text to provide information and engage the reader.  The presence of reviews and game information suggests a focus on Amiga gaming.
"
6,"The page is an advertisement for the video game ""Powermonger,"" likely for a Commodore Amiga system.

The advertisement features a stylized image of the game's box art, which includes a large, bold title ""POWERMONGER"" in a stylized font.  Various stickers and labels are visible on the box art, including:

* **""ACE RATED""**:  A diamond-shaped sticker with the words ""ACE RATED"" and a diamond graphic.
* **""C+VG HIT!""**: A large, yellow sticker with the words ""C+VG HIT!""
* **""HITS""**: A sticker with a large star graphic and the word ""HITS"".
* **""ZERO HERO""**: A sticker with a star graphic and the words ""SUPERSTAR"" and ""ZERO HERO"".
* **""HERO""**: A sticker with the word ""HERO"".

The text below the image highlights the game's ratings from different review sources:

* **ACE RATED 973**:  A high rating from a review source called ""ACE"".
* **CU AMIGA...SUPER STAR 95%**:  A 95% rating from a review source related to the Commodore Amiga system.
* **C&VG HIT 95%**: A 95% rating from a review source called ""C&VG"".
* **THE ONE...95%**: A 95% rating from a review source called ""THE ONE"".
* **ZERO HERO 93%**: A 93% rating from a review source called ""ZERO HERO"".
* **GENERATION4...97%**: A 97% rating from a review source called ""GENERATION4"".
* **TILT...95%**: A 95% rating from a review source called ""TILT"".

The advertisement also includes the name of the publisher, ""Electronic Arts,"" and their contact information.  The overall impression is a promotional piece highlighting the game's positive reception from various reviewers.  The use of multiple review scores suggests a strategy to appeal to a wide range of potential buyers.
"
7,"This page is from a magazine, likely *Amiga Format*, from February 1991, featuring news and articles related to Amiga computers.

**Section 1: ""Ultimate Book for Gamers""**

This section is an advertisement for a book titled ""Screen Play,"" by Maff Evans.  It highlights the book's comprehensive collection of maps, hints, and tips for Amiga games, along with mini-reviews for over 100 games.  It emphasizes the book's value for Amiga gamers and promotes its availability through Amiga Format mail order, with a special introductory offer.

**Section 2: ""New Amiga Board Makes IBM PC Redundant""**

This section is a news article about the AT Once, a PC emulator for the Amiga.  It details how the AT Once allows both Amiga and PC programs to run simultaneously on the same machine.  Key features include:

* **IBM compatibility:**  The emulator supports IBM PC hardware and software, including hard drives.
* **8MHz PC emulator:**  The emulator runs at a speed of 8MHz.
* **Intel 80286 chip:**  The emulator uses the Intel 80286 chip for PC processing.
* **68000 chip:**  The Amiga's 68000 chip handles tasks not related to PC emulation.
* **MS-DOS support:**  The AT Once supports various versions of MS-DOS, including version 4.01.
* **Expansion cards:**  The AT Once can use PC expansion cards.
* **Ports:**  The Amiga's serial, parallel, and mouse ports function as PC equivalents.
* **Disk drives:**  The Amiga's internal disk drive becomes a 720K PC disk drive, and external drives are compatible.
* **Memory:**  An onboard utility allows the use of all available Amiga memory, including extended memory.
* **Price:**  The AT Once costs £199.
* **Installation:**  Installation requires disassembling the Amiga, potentially voiding the warranty.  The instruction manual simplifies the process.
* **Performance:**  The article notes that the display colors might be slightly less vibrant than a dedicated PC.

The article also mentions a future 2000 version and a 386SX version of the emulator.  Silica Systems is mentioned as the supplier and distributor.

**Section 3: ""Flying for Real""**

This section is an article about a flight simulator for the Amiga, developed by Bristol-based RC Simulations.  The article highlights:

* **Realistic flight simulation:**  The simulator aims to replicate real-world flight experiences, including cockpit controls and procedures.
* **Authentic airports:**  The simulator uses real British airports.
* **Reduced training time:**  The simulator claims to reduce pilot training time by up to 10 hours.
* **Cost:**  The program costs £45.

**Section 4: Display and Graphics Information**

The article discusses different display options and their limitations.  It mentions CGA, Toshiba, Olivetti, and Hercules displays, and notes that CGA is currently the most usable option.  It also discusses the possibility of using EGA and VGA displays, but warns that this might impact processing speed.  The article concludes by stating that an Amiga can run as a VGA PC for under £300.

**Overall Review Rating:**

There isn't a single review rating.  The page contains news and product information, not a review of a specific product's overall quality.
"
8,"This page is from *Amiga Format* magazine, February 1991, issue number 8.  It's filled with news, reviews, and advertisements related to Amiga computers and software.

**TOASTER POPS UP:** This section is a news item about Newtek's Video Toaster video effects and mixing box.  It reports that the first units shipped in November 1990, but there were expected supply problems.  Crucially, there's no PAL version announced yet, making a UK impact less likely due to the high price of $1,595. The article promises to keep readers updated on a potential PAL version.

**CD Conference:** This section advertises the CD-ROM Europe '91 Exhibition and Conference, scheduled for May 21-23, 1991, at the Novotel in London.  It highlights the latest CD-ROM publications, hardware, software, and development tools on display.  Contact information for the organizers, Agestream, is provided.

**1992 And All That:** This section discusses the success of the Amiga '90 exposition in Cologne, Germany.  It notes a significant attendance of 67,000 attendees, showcasing the strength of the Amiga in Europe, particularly Germany.  The exposition featured over 160 companies exhibiting and was sponsored by Commodore Germany.  A notable feature was a large video wall.

**Cracking Compilations!:** This section reviews two compilations, ""Challengers"" and ""Full Blast,"" from UBI Soft.  It details the games included in each compilation, such as Pro Tennis Tour, Fighter Bomber, Stunt Car Racer, and Super Ski.  The average score for the ""Challengers"" compilation is 84%.  The games are described as ""absolutely corking"" and retail for £29.99.  The games are not reviewed individually.

**THE PARTS OTHERS CAN'T REACH:** This is an advertisement for a Mini Vac attachment for vacuum cleaners.  It's designed to reach small, hard-to-clean areas like keyboards and other computer components.  The kit costs £10.95.

**Fair Deal At Fair:** This section advertises the All Formats Computer Fair, scheduled for February 2nd, 1991, at the New Horticultural Hall in Westminster.  It's described as a bargain-hunting event with low-cost software and hardware.  Advance tickets are available from Mike Hayes.

**Who Is John the Parrot?:** This is an advertisement for a new educational program, ""Hooray for Henrietta,"" for the Amiga.  It's a math program aimed at 5-12 year olds, covering addition, subtraction, multiplication, and division.  It has eight skill levels and a parent/teacher section.  The program costs £24.99.  A follow-up program, ""Henrietta's Book of Spells,"" is also advertised, aimed at improving language skills for 7-14 year olds.  Contact information for Scetlander is provided.

**SOFTSELLERS CEASE TRADING:** This is a notice that the mail-order firm Softsellers has ceased trading.  Customers with outstanding orders are advised to contact Diana Haywood at Patterson and Thompson.

In summary, the page is a mix of news, reviews, and advertisements, providing a snapshot of the Amiga computer scene in February 1991.  The page highlights various software releases, hardware accessories, and upcoming events.
"
9,"This is an advertisement for the Digi-View Gold video digitizer, targeted at Amiga users.

The advertisement features a bold headline: ""We're not saying everyone should own a Digi-View Gold..."".  This is followed by a graphic of a protozoa, implying that not everyone needs the product, but that it's a superior option for those who do.

The body of the advertisement highlights the key features of the Digi-View Gold:

* **Color Depth:** It uses 2 to 4096 colors (including halfbrite), digitizes in 21 bits per pixel (2.1 million colors), and has advanced dithering routines that create the appearance of 100,000 colors on screen simultaneously.  This emphasizes the high quality of the digitized images.
* **Resolution:** It digitizes in all Amiga resolution modes from 320x256 up to 768x580 (full HiRes overscan), including a special ""Dynamic HiRes"" mode for 4096 colors in HiRes.
* **Ease of Use:** The software allows for complete control of color saturation, brightness, sharpness, hue, resolution, and palette, making image processing as simple as adjusting controls on a television.
* **Software Included:** It comes with an icon-driven slideshow program for presentations, using both IFF and Dynamic image formats.
* **Warranty and Support:** It offers an ""unprecedented lifetime warranty"" and a toll-free support line.

The advertisement also emphasizes the product's popularity and success, stating that it's the ""most award-winning, best-selling, and most used Amiga hardware product of all time.""  It claims to have sold more Digi-Views than any other digitizer for PCs.

A call to action is included, encouraging readers to contact a NewTek authorized dealer to purchase the Digi-View Gold for £149.95, inclusive of VAT.  Contact information for HB Marketing Ltd. is provided.

The advertisement is clearly designed to persuade Amiga users that the Digi-View Gold is the best video digitizer available, highlighting its superior features, ease of use, and overall value.  The overall tone is confident and emphasizes the product's quality and popularity.
"
10,"This page is a section from a magazine, likely *Amiga Format*, judging by the content and layout.  It's a February 1991 issue, as indicated at the bottom.

The page contains a variety of articles and advertisements, all related to the Amiga computer and its software.

**News Section:**

* **""Why Can't I Save Interphase Games?""**: This is a news/problem-solving article. It details a problem some users were having saving games in the Interphase game, blaming a mix-up between Mirrorsoft and Adrian Stephens.  It promises a patch in the next issue.
* **""Graftgold go Virgin""**: This is a news item about a game development project.  It mentions a conversion of *Graftgold* to the Virgin Games platform, and a new project called *Realms* in the works by the same team.

**Bargain Box Advertisement:**

* This ad promotes a three-game bundle from Infogrames, packaged in a stylish ""video-style binder.""  It highlights the attractive presentation of the box set.

**Route Planning Software Advertisement:**

* This ad promotes *GB Route*, a route-planning program for the Amiga.  It emphasizes its ability to create UK road maps and route plans, and its compatibility with IBM PC-compatible office computers.  It also highlights the potential market for the software.

**""Wanted!"" Job Advertisement:**

* This is a job advertisement for a Technical Writer/Staff Writer position at Future Publishing.  It details the company's background, experience, and the desired skills and experience of the candidate.  It emphasizes the opportunity to work on new and exciting projects.

**Other Articles:**

* **""Artbeat's Correct Number""**: This is a correction notice for a previous article, apologizing for an incorrect phone number printed in the previous issue.
* **""Human Mutant Signpost Turtles""**: This is an advertisement for new clip art collections, including sets for transport, signs, and human biology.  It details the number of images in each set and their use.
* **""Talking Turtle""**: This is an advertisement for a Logo programming guide for the Amiga.  It highlights its educational value and features.
* **""British Games Win European Awards""**: This is a news article about British software winning various European awards for games.  It lists the winning games and categories.

**Overall:**

The page is well-organized, with clear headings and descriptions for each section.  The layout is typical of a magazine from the early 1990s, with a mix of text, images, and advertisements.  The content is focused on the Amiga computer and its software, providing news, reviews, and advertisements for games, software, and job opportunities. The page also includes a variety of information, from game development news to job advertisements, showcasing the breadth of the Amiga community.
"
