Page Number,Page Information
1,"This is the cover and a portion of the interior pages of *Amiga Format* magazine, issue 20, dated March 1991.  The cover price is £2.95.

The cover features a stylized, pop art-inspired image of a woman's face, in a style reminiscent of pop artists like Roy Lichtenstein.  The colors are bold and vibrant, using red, yellow, and blue, with a dotted pattern.  The title ""AMIGA"" is prominently displayed in large, bold red letters, and the magazine's name, ""FORMAT,"" is in a smaller, but still noticeable, font.  A large speech bubble on the cover says, ""IF ONLY THERE WAS SOMEONE WHO COULD TELL ME WHICH SOFTWARE TO BUY!""  This suggests a common theme of the magazine: helping readers navigate the choices of software available for the Amiga computer.

The cover also includes several advertisements for software, including ""The Power,"" ""Interphase Fix,"" ""Script 4D,"" ""MakeAuto,"" and ""Pic of the Month.""  These descriptions highlight the features and benefits of each program.

Inside, the magazine features an article titled ""GET THE ANSWERS.""  This article is a guide to software for the Amiga, covering various categories like graphics, word processors, desktop publishing (DTP), music, video, finance, spreadsheets, and databases.  The article promises a ""no-nonsense"" approach to helping readers choose and potentially even acquire software.

There are also sections on new games, including ""MIG 29,"" ""Team Suzuki,"" ""Lemmings,"" ""Attack of the Sequels"" (with specific games like Speedball 2 and Gazza 2 mentioned), and ""Turrican 2.""  The magazine also includes reviews of these games, as well as other software and hardware.  The reviews are indicated by the titles ""FIRST REVIEWS"" and ""Spectracolour,"" ""Disney Animation Studio,"" ""DTP heavy-weights,"" and ""Professional Page 2 and Pagestream 2.""

The magazine also includes hints, tips, and advice for Amiga users, as well as sections for beginners.  Specific page numbers are given for these sections, such as ""Workbench p183,"" ""Gamebusters p95,"" and ""Beginners p173.""

Overall, the magazine appears to be a comprehensive resource for Amiga users, providing information on software, games, and general advice for using the Amiga computer system.
"
2,"This page is an advertisement for the video game ""RoboCop 2,"" likely from a gaming magazine or promotional material.

The layout is visually striking, using bold, bright colors (red, green, yellow) and graphic imagery to highlight the game's action-oriented nature.  The text is large and clear, emphasizing the game's features and plot points.

**Game Overview:**

The advertisement focuses on the game's action and challenges.  It describes the game as a ""muscle-straining, reflex-testing, sideways scrolling fury"" where the player must ""destroy the lethal drug Nuke, face a stream of deadly Nuke gangs, and then – if you survive – face the terror that is RoboCop 2!""  The text emphasizes the game's difficulty and the need for skill.

**Plot Summary:**

The text describes the player's mission as seeking out and destroying the ""king pin of the MR BIG CORPORATION,"" facing his ""enormous army of body guards... gangs of charisma.""  The description includes various enemies, such as ""patients in trench coats,"" ""bullet brain,"" ""vicious canine yappies,"" and a ""psychotic clown.""  The advertisement also mentions a ""gas guzzling cadillac jock"" and a ""shiny street machine"" as elements of the game.

**Game Features:**

The advertisement highlights the following features:

* **Seven levels of muscle-straining, reflex-testing:**  This emphasizes the game's difficulty and skill-based gameplay.
* **Sideways scrolling fury:**  This describes the game's perspective and action.
* **Destroy the lethal drug Nuke:**  This is a key plot element and a challenge for the player.
* **Face a stream of deadly Nuke gangs:**  This further emphasizes the game's action and enemy encounters.
* **Survive to face RoboCop 2:**  This highlights the game's progression and the final challenge.

**Visuals:**

The page features several illustrations and screenshots of the game.  These include images of RoboCop, various enemies, and game environments.  The art style is characteristic of the time period, with vibrant colors and a somewhat stylized depiction of the characters and settings.

**Additional Information:**

* **Copyright information:**  The page includes copyright notices for Carolco Pictures and Orion Pictures.
* **Publisher:**  The advertisement mentions Williams Electronics Games Inc. as the publisher.
* **Game Title:**  The title ""RoboCop 2"" is prominently displayed.
* **""More Than a Game"":**  The phrase ""More Than a Game"" suggests the game is more than just entertainment, implying a deeper narrative or experience.
* **""Prime Directive"":**  The phrase ""Prime Directive"" further emphasizes the game's plot and mission.

Overall, the advertisement effectively promotes the game's action, difficulty, and plot, aiming to attract players interested in a challenging and engaging experience.
"
3,"This page is an advertisement for two video games, ""Chase HQ II"" and ""Balloon Poppin'"".  It's likely from a magazine or promotional material.

The layout is visually appealing, using bright colors and dynamic imagery.  The text is large and bold, making it easy to read.

**Chase HQ II:**

* **Description:**  The advertisement highlights the game as a continuation of ""Chase HQ,"" focusing on a criminal investigation.  The player takes on the role of Doug Quaid, traveling to Mars to uncover their identity. The game involves non-stop action, strange mutants, futuristic vehicles, and weaponry.  The graphics are described as ""superbly executed.""
* **Gameplay:**  The game involves tracking down and apprehending criminals in various terrains.  The player must use explosive powers, bulleting through diverse environments.  The criminals also use heavy weaponry, requiring the player to dodge enemy fire.  The game features weather changes, bodyguard squads, and grenade-lobbing enemies.
* **Visuals:**  The advertisement includes a stylized image of a character in action, along with a car and other game elements.

**Balloon Poppin':**

* **Description:**  This game is presented as a fast-paced arcade game set in the U.S.S.R.  The player is tasked with popping balloons.  The advertisement emphasizes the game's addictive nature and the importance of quick reflexes.  The ""bounce bomb"" feature is highlighted as a key element, with its power increasing throughout the game.
* **Gameplay:**  The game involves shooting balloons, and the ""bounce bomb"" is a key element.  The advertisement emphasizes the need for quick reflexes and a fast eye.
* **Visuals:**  The advertisement features a stylized image of a character in action, along with a cityscape and other game elements.

**Overall:**

The page effectively promotes both games, emphasizing action, excitement, and the need for quick reflexes.  The use of bold colors and dynamic imagery creates a sense of energy and excitement.  The text clearly outlines the gameplay mechanics and features of each game.  The page also includes contact information for Ocean Software Limited, the publisher.

There is no explicit review rating visible on the page.  The information is promotional in nature, not a critical review.
"
4,"This page is from a magazine, likely *Amiga Format*, issue 20, March 1991.  It's filled with various articles and advertisements related to Amiga computers.

**Sections:**

* **Graphics Novel 163:**  A review of ""Disney's The Animation Studio,"" a likely software program for Amiga computers.  No rating is given.

* **Win a Holiday! 171:** An advertisement for a trip for two to Disney World.

* **DTP Confrontation 117:**  A likely article or review comparing different desktop publishing (DTP) software for Amiga computers.  The question ""Which of the heavyweights wins out?"" suggests a comparison.  No rating is given.

* **It's not all fun...:**  An article or advertisement promoting a software guide for Amiga computers.  It focuses on helping users get the most out of their Amiga software, specifically addressing Graphics, Music, WP, DTP, Video, Databases, and Finance software.

* **...and Games!:**  An article or advertisement highlighting various Amiga games, including Speedball 2, Turrican 2, MIG-29, Hunter, Team Suzuki, and Lemmings.  It also mentions ScreenPlay.

* **Editorial/Advertising:**  This section contains contact information for the magazine's editorial and advertising departments.

* **Subscriptions and Mail Order:**  Information on how to subscribe to the magazine and order it through the mail.  It includes contact information and important notes about the magazine's policies.

**Overall:**

The page is visually appealing with a mix of text, images, and graphics.  The layout is typical of a computer magazine from the 1990s, with a focus on Amiga-specific software and games.  The articles and advertisements are designed to attract Amiga users and promote various products and services.  The page is clearly organized into distinct sections, making it easy for readers to find the information they need.
"
5,"This page is a spread from an Amiga Format magazine, likely from the 1990s, judging by the style and content.  It's packed with information about various Amiga software, including reviews, previews, and articles.

**Sections and Content:**

* **Football Crazy! (105):**  This is a feature article, likely a review or analysis, focused on football (soccer) games for the Amiga.  The accompanying image shows a screenshot or illustration of a football game.

* **Crashed and Burned 48 (MiG-29):**  Another feature, likely a review or analysis, of the flight simulator game MiG-29.  The image is a graphic representation of an explosion or a plane in flight.

* **Deluxe Pain 58 (Speedball 2):**  A review or analysis of the game Speedball 2.  The image is a screenshot or illustration of the game.

* **Contents:** This section lists the various articles and reviews featured in the magazine.  It's organized into categories like ""Specials,"" ""Regulars,"" ""News,"" ""Previews,"" ""Gamesbusters,"" ""PD Update,"" ""Graphics,"" ""Music,"" and ""WorkBench.""  Each entry has a page number, indicating where to find the corresponding article.

* **Specials:**  This section contains articles like ""You've Got the Questions"" (a software guide), ""A Funny Old Game"" (a review or analysis of football games), and ""The First Steps"" (a guide for new users).

* **Regulars:**  This section includes reviews of various games, including ""Prince of Persia,"" ""Obitus,"" ""Zarathrusta,"" ""Jupiter Masterdrive,"" ""Mighty Bombjack,"" ""NARC,"" ""Total Recall,"" ""Tournament Golf,"" and ""Advanced Destroyer Simulator.""  Each review has a rating (e.g., 52 for Prince of Persia).

* **News:**  This section includes news about upcoming releases, like the CDTV and CD drive for the A500.

* **Previews:**  This section provides previews of upcoming games.

* **Gamesbusters:**  A special feature, likely a review or analysis of a particular game.

* **PD Update:**  An article about free software.

* **Graphics, Music, and Workbench:**  These sections contain reviews of graphics programs, music software, and the Workbench operating system.

* **Screenplay P47:**  This section lists the games reviewed in the magazine, including their ratings.

* **Subscribe! (P.151):**  An advertisement for the magazine, encouraging subscriptions and mail order.

* **Mail Order (P.178):**  Further details about the magazine's mail order service.

* **Coverdisk P15:**  This section details the cover disk, likely containing software or utilities.  It includes information about the ""Power"" puzzle game, ""Interphase Fix,"" ""Install Printer,"" ""MakeAuto,"" ""Read Atari,"" ""Conv Scan,"" ""Script4D,"" and ""Pic of the Month.""

* **ABC:**  A logo and registration information for the magazine.


The page layout is typical of a magazine from that era, with a mix of text, images, and graphics.  The overall impression is one of a comprehensive guide to Amiga software, with a focus on reviews and previews.
"
6,"This is a promotional advertisement for the video game ""The Secret of Monkey Island,"" likely from a magazine or game catalog.

The advertisement features a large, colorful image of the game's characters and setting, which appears to be a tropical island with pirates and monkeys.  The image is vibrant and detailed, showcasing the game's art style.

The text is laid out in a way that highlights key features of the game:

* **Gameplay:** The text describes the game as a point-and-click adventure, emphasizing the interaction with the environment and characters.  It also mentions the need to complete ""three tiny trials.""  The text also lists some of the challenges players will face, such as sedating piranha poodles and burglarizing a mansion.

* **Graphics and Sound:** The advertisement explicitly states the game uses 256-color graphics (VGA) and features a captivating calypso and reggae music track.

* **Platform Availability:** The advertisement lists the platforms on which the game is available, including Atari ST, Amiga, IBM (with various graphics card types), and Ad Lib and Roland sound cards.

* **Publisher and Developer:** The advertisement clearly identifies Lucasfilm Games as the developer and US Gold as the publisher.

* **Copyright and Contact Information:**  The advertisement includes copyright information and contact details for US Gold.

The overall impression is one of a vibrant, engaging, and humorous adventure game, aimed at a target audience interested in point-and-click adventures.  The advertisement is designed to entice potential buyers with a combination of visual appeal and detailed information about the game's features."
7,"This page is an article from ""Amiga Format"" magazine, dated March 1991, featuring news and previews about the Commodore CDTV.  The article is largely focused on the CDTV's launch, its features, and the software planned for it.

**Launch Soon Section:**

This section highlights the upcoming launch of the CDTV, emphasizing a possible lower price and the imminent start of field tests.  A picture of the CDTV console is included.  The text below the image states that this is the production version, not a prototype.

**Launched in US Section:**

This section, written by John Minson, reports on the CDTV's impressive debut at the Las Vegas Consumer Electronics Show (CES).  It emphasizes the CDTV's industry-leading status, with 45 titles scheduled for release in 1991.  The article details the diverse range of software planned, from classic photographs and animated content to educational programs and games.  It also notes that the CDTV's software is designed to take advantage of the CD's capacity for high-resolution graphics and larger storage compared to floppy disks.

**CDTV Details:**

The article goes into further detail about the CDTV, including its specifications, launch dates (UK and US), and pricing.  It mentions the importance of a lower price point to ensure the CDTV's success in the market, and that the retail chain Dixons will be stocking the machine.  The article also discusses the selection process for field testers and the expected availability of the CDTV in the UK.  The article also mentions that 45 software titles will be available at launch, including ""Herewith the Clues and The Case of the Cautious Condor.""

**Software and Applications:**

The article details the variety of software planned for the CDTV, including games, educational programs, and even real-time thrillers.  Specific examples are given, such as Sierra's ""Space Quest III"" and ""Falcon"" simulator, Interplay's ""Battlechess,"" and educational programs from Discis.  The article also highlights the potential of the CDTV for games software houses, noting that the CD's capacity surpasses floppy disks.  It also mentions the use of CDTV for educational purposes, with examples of kid's storybooks and educational programs.

**Amiga CD-ROM Drive Section:**

This section discusses the potential for CDTV software to be used on Amiga CD-ROM drives.  It notes that the Amiga CD-ROM player is in late-prototype form but will provide full CDTV functionality, excluding the remote control.  The estimated retail price is $699.

**CD Recorder Section:**

This section discusses the Kenwood CD recorder, a home record-once CD machine.  It highlights the potential of this device for developers and users, despite the high cost of CDs at the time.

**MIDI Code Added to Audio CDs Section:**

This section discusses the inclusion of MIDI code in forthcoming Warner audio CDs.  This allows for the separation of instrumental tracks from vocals and drums, enabling modification with a compatible keyboard.  This feature is presented as a potential for interactive music teaching and karaoke.

**Overall:**

The article is a comprehensive overview of the CDTV's launch, highlighting its features, software, and potential impact on the market.  It emphasizes the CDTV's capabilities and the variety of software planned for it.  The article also touches on the potential for CDTV software to be used on Amiga CD-ROM drives and the development of CD recorders.  The overall tone is enthusiastic about the CDTV's prospects.
"
8,"This page is from a magazine, likely *Amiga Format*, dated March 1991, based on the header.  It's a mix of news, reviews, and advertisements.

**News Section:**

The page begins with a ""NEWS"" section, focusing on upcoming Amiga products and software.  There's a significant piece about a ""big value AF in March,"" which is a special supplement included in the April issue.  This supplement will cover Amiga disk drives, offer expert advice, and provide a detailed overview.  The article also mentions a ""posh plastic wallet"" containing the supplement.

Further news items include:

* **Software Releases:**  Several new route-planning software programs for Amiga are highlighted, including GB Route and Door to Door routefinder.  NextBase's new version 1.5 of their AutoRoute program is also mentioned.
* **Hardware:**  A new laser printer from Star, featuring a fast page output speed due to an Intel 80960 RISC processor, is announced.  Also, new dot matrix printers from Action are detailed, with price points.
* **Shows and Events:**  Upcoming computer shows and exhibitions are listed, including a MIDI music show, an All-Formats Fair, and a Computer Shopper show. Dates, locations, and contact information are provided.

**Games Section:**

A ""Games to Watch"" section features a review of new games, likely from the Las Vegas CES (Consumer Electronics Show).  John Minson, the author, highlights:

* **Cinemaware's Games:**  The article notes Cinemaware's focus on attractive female characters in their games, even in sports-themed titles.
* **Role-Playing Games:**  The article mentions *Death Knights of Krynn*, a follow-up to *Champions of Krynn*, and other AD&D adventures.
* **Other Games:**  *Castles*, a medieval simulation, and *Quick Write*, a word processor, are also mentioned.

**Software Reviews/Previews:**

* **Superbase Personal 2 and Superplan:**  A ""Super Offer"" ad highlights a bundle deal for these software products.
* **Quick Write:**  A preview of the word processor is included, noting its suitability for beginners with 512K Amiga 500s.

**Other Sections:**

* **""Pay as you Play"" System:**  A new software purchasing system is described, where users pay per use via phone calls.  The article discusses the pros and cons of this system, including potential benefits for consumers and concerns about piracy.
* **""Write Place"" Section:**  This section previews new software for the Amiga, including *Excellence!* from Micro Systems Software, a high-quality word processor with graphics and color support.

**Overall:**

The page is a mix of product announcements, reviews, and advertisements, providing a snapshot of the Amiga software and hardware market in March 1991.  The page is well-organized, with clear headings and descriptions for each section.
"
9,"The image is a promotional advertisement, likely a back cover or insert, for a video game called ""GODS,"" developed by The Bitmap Brothers.

**Visuals:**

The dominant visual is a vibrant, stylized illustration of a scene from the game.  It depicts a variety of fantastical, possibly mythological, creatures engaged in combat.  The art style is characteristic of 1980s/early 1990s computer graphics, with bold colors and detailed, though simplified, figures.  The style is reminiscent of comic book art or fantasy illustrations.  The characters are depicted in action, with a focus on the violence and intensity of the game.

**Textual Content:**

The text focuses on selling the game's features and highlighting its unique aspects.

* **Headline:**  ""GODS"" is prominently displayed, along with the game developer, ""The Bitmap Brothers.""
* **Game Description:** The text emphasizes the game's departure from typical, simplistic game mechanics.  It highlights the revolutionary AI system, where opponents react to player actions and interact with the environment.  The text also emphasizes the importance of skill, cunning, and a variety of weapons in overcoming the enemy.
* **Technical Specifications:**  The text mentions ""Award-winning Bitmap graphics and music by Nation 12,"" suggesting the game's visual and audio quality.
* **Platform Compatibility:** The text clearly states that the game is available for Amiga, ST, and PC platforms.
* **Developer and Publisher:**  The text includes the developer's name, ""The Bitmap Brothers,"" and the publisher, ""Renegade.""  It also includes the address of the developer.
* **Call to Action:** The text encourages players to ""Have you got what it takes to be a GOD?""  This is a common marketing tactic to appeal to players' desire for challenge and accomplishment.

**Overall Impression:**

The advertisement is designed to attract players interested in a challenging and visually appealing game with a unique gameplay experience.  The combination of vibrant artwork and text highlights the game's features and aims to entice potential buyers.  The emphasis on the game's innovative AI system and the variety of weapons and skills suggests a more complex and engaging experience than typical games of the time.
"
10,"This page is from *Amiga Format*, a magazine, likely from March 1991, judging by the date at the bottom.  It's filled with news and reviews related to Amiga computer games and software.

**News Section:**

The page features several news items, each with its own heading:

* **Confused? Join the Club!:**  This section describes a user group, the Questions and Answers Club (QAC), offering help and support for Amiga users.
* **Gone Forth?:**  This item discusses a new version of the Forth programming language, JForth, available for Amiga computers.  It highlights its features and where to get more information.
* **Nova PD Gone Critical:**  This is a notice about a company, Nova PD, that has ceased trading and is trying to resolve outstanding debts.
* **Scanner frenzy:**  This reports on the release of a new handheld scanner, the DAATAscan Professional, and its potential to compete with other brands.
* **Don't Buy Sound Express!:**  This warns readers against using the Sound Express sampling package due to legal issues with the manufacturer.
* **New Ninja:**  This item details the upcoming release of a new game, Ninja III, from System 3, highlighting its improved animation and combat features.
* **Tit-bits:**  This is a short, lighthearted item about a jigsaw puzzle game, Penthouse Electric Jigsaw, featuring digitized women.

**Reviews/Features:**

* **Speedy PD:**  This section discusses the speed of order fulfillment and a new service offered by Lorenzo's PD, including a free disk and magazine with a coupon for a chance to win prizes.
* **Demo Talent forms Games House:**  This describes a new software company, Team 17, focused on Amiga games, particularly those requiring more RAM.  It highlights their experience in demo creation and their upcoming titles.
* **Skateboard Joy:**  This section reviews a new joystick, the Aeroskate, designed for skateboarding games.  It also mentions other games in development for the Aeroskate, and the involvement of French software company Titus.

**Overall:**

The page provides a mix of news, reviews, and announcements related to Amiga software and hardware.  The tone is generally informative and sometimes humorous, as seen in the ""Tit-bits"" section.  The page is well-organized with clear headings and descriptions for each item.  The page also includes contact information for companies and individuals mentioned.
"
