Page Number,Page Information
1,"This is a page from a magazine, likely *Amiga Power*, focused on Amiga computer games.  The page is a mix of articles, reviews, and advertisements.

**Overall:** The page is predominantly focused on Amiga games, with a mix of reviews, previews, and features.  The layout is typical of a computer gaming magazine from the 1990s, with bold headlines, colorful graphics, and detailed descriptions.

**Specific Sections:**

* **""REVIEWED:""**  This section highlights games that have been reviewed in the magazine.  The specific games mentioned are ""Fire & Ice,"" ""The Addams Family,"" and ""Eye of the Beholder 2.""  No review rating is explicitly given, but the presence of the ""REVIEWED"" header indicates a review is present elsewhere in the magazine.

* **""LOOK! ANOTHER DOUBLE DECKER SPECIAL!""** This is a section dedicated to a specific game, likely a role-playing game (RPG).  The headline suggests a special feature or in-depth look at the game.  The text mentions ""Legend"" as the game, and there's an image of a character from the game.

* **""AQUA VENTURA""** This is an advertisement or preview for a game called ""Aqua Ventura.""  The text describes it as a 3D blaster game from Psygnosis.  It includes a demo image and a call to action to ""flick to page 6"" for more information.

* **""MISTER & MISSIS""** This is another game advertisement or preview.  The text describes it as a ""fabulous new shareware platform adventure.""  It includes a screenshot of the game's gameplay.

* **""THE ATTACK OF THE GREEN SMELLY ALIENS""** This is an advertisement or preview for a game called ""The Attack of the Green Smelly Aliens.""  The text describes it as a game from ""Planet 27b/6.""  It includes a game screenshot and a promotional image.

* **""ANTS!""** This is a large section dedicated to games related to the theme of ants.  The text mentions ""Pushover"" and ""SimAnt"" as games in this category.  There's also a ""Joystick Buyer's Guide"" section, suggesting a feature on joysticks for Amiga games.

* **""SHOOT OUT! NEW FOOTY GAMES COMPARED:""** This section is a review or comparison of several soccer games for the Amiga.  The games mentioned are ""Sensible Soccer,"" ""World Class Soccer,"" ""John Barnes,"" ""The Manager,"" ""Striker,"" and ""Liverpool.""  This section likely includes a comparison of the games' features and gameplay.

* **""ISSUE 14""** This is a clear indication of the magazine's issue number.

**Overall Impression:** The page is a collection of advertisements and previews for various Amiga games, along with a few reviews and features.  The style and content suggest a magazine aimed at Amiga users interested in gaming.
"
2,"This page is a catalog or advertisement for Amiga computer games and accessories.  It's densely packed with information, listing numerous games, their prices, and some technical details.

The layout is organized into sections.  The top sections display cover art and titles for various game collections and individual games.  Below these are the game titles, descriptions, and prices.  The descriptions are brief, but they give a general idea of the game's genre and content.  Prices are listed next to each game.

A large section is dedicated to Amiga software, listing a wide variety of games, including strategy, action, sports, and simulation titles.  Many games are identified as being for the Amiga 500 Plus, and some are noted as not compatible with that model.  The games are listed alphabetically, and the price for each is clearly displayed.

Below the game listings, there's a section dedicated to game controllers and accessories.  These include various joysticks and other peripherals, with their respective prices.  The images of the controllers are clear, and the descriptions are concise.

The overall design is typical of a printed catalog from the 1990s, with a mix of text and graphics.  The font sizes and styles are consistent throughout the page, making it easy to read the information.  The prices are clearly marked, and the overall impression is of a comprehensive catalog for Amiga software and accessories."
3,"This page is a vintage advertisement, likely from a magazine, showcasing a wide range of computer and gaming products, along with a membership program called ""Special Reserve.""

**Overall:** The page advertises various hardware products, including Amiga computers, accessories, printers, monitors, and a Super Nintendo Entertainment System (NES).  It also promotes a membership program that offers discounts and exclusive content.  The style and layout are typical of a print advertisement from the 1990s.

**Product Listings:**

* **Amiga Products:**  The page features a variety of Amiga computers (A500 Plus, 600), hard drives, RAM expansions, and software.  Specific games mentioned include *Lemmings*, *The Simpsons*, and *Captain Planet*.  Prices and details for each product are listed.
* **Commodore CDTV:**  A Commodore CDTV machine is advertised, along with accessories like a control pad and software.
* **Monitors:**  Philips CM8833 monitors are highlighted, along with a TV tuner option.
* **Printers:**  Citizen Swift and BJ-10EX bubble jet printers are advertised, with details on features, prices, and ink cartridges.
* **Goldstar Television/Monitor:**  A Goldstar 14"" television/monitor is promoted, emphasizing its pixel clarity and remote control.
* **Nintendo Super NES:**  The Super NES console is advertised, along with a controller and *Super Mario World*.
* **Accessories:**  Various accessories like mice, keyboards, speakers, and cables are also listed.

**Membership Program (Special Reserve):**

The advertisement heavily promotes the ""Special Reserve"" membership program.  It highlights the benefits of the program, including:

* **Magazine:**  A bi-monthly magazine (NRG) is included with membership, featuring game reviews, product news, and special offers.
* **Coupons:**  Members receive £30 worth of coupons in each issue.
* **Discounts:**  Members receive discounts on all products advertised.
* **Order Information:**  Clear instructions are given for ordering products, including telephone numbers, order deadlines, and overseas shipping information.

**Review Rating:** There is no explicit review rating on the page.  Instead, the advertisement focuses on product specifications, prices, and membership benefits.

**Ordering Information:**  The page includes detailed ordering information, including contact details, payment methods, and shipping costs for both domestic and international orders.  It also notes that some games may not yet be released.

**Overall Impression:** The page is a comprehensive advertisement for a wide range of computer and gaming products, with a strong emphasis on the benefits of joining the Special Reserve membership program.  The layout and design are typical of a print advertisement from the 1990s.
"
4,"This page is from a magazine, likely *Amiga Power*, Issue 14, June 1992.  It's a multi-section page filled with information about Amiga computers and games.

**Sections and Content:**

* **""10 True Stories""**: This section details news and updates about Amiga software and games, including the discontinuation of the A500Plus, news about Palace Software, and the availability of game copies.  It also mentions new releases like *Aliens: Special Edition*, *The Rocketeer*, *James Pond*, and *Captain Sensible*.

* **""Games of the Month""**:  This section features thumbnails and brief descriptions of various Amiga games.  The games include:
    * **The Addams Family**: A console-style film-license game.
    * **John Barnes European Football**:  A soccer game.
    * **Fire & Ice**: A game described as Braybrook's return.
    * **Pushover**: A game described as an Ocean's Quavers tie-in.
    * **Legend**: A 3D cartoon-style role-playing game.
    * **Simant**: A game described as a ""terrible programming scuppers a promising project.""

* **""60 Whole New Ball Game""**: This section is a review or feature article about nine new soccer games.  It highlights the new European Championships tie-ins and discusses the rise of Sensible Soccer.

* **""66 Stick Around for Joy""**: This section is a review of a joystick.

* **""72 Diary of a Game""**: This section is a review or feature article about a game called Mega Lo Mania II and how the developer is working on the game's menu systems.

* **""49 Complete Control""**: This section is a review or feature article about a game and how to overcome challenges in it.  It mentions Jonathan Davies's *Last Resort* column and *Shadowlands*.

* **""95 Do the Write Thing""**: This section is a review or feature article about wargames, a new way to play Tetris, and other game-related topics.

* **""99 The Bottom Line""**: This section is a collection of information about Amiga games, likely a compilation of game reviews or news.

* **""109 Subscribe!""**: This section promotes a subscription to *Amiga Power* magazine, including back issues and merchandise.

* **""90 Definition of Sound: Flight Sims""**: This section is a review or feature article about flight simulators for the Amiga.  It states that it's a comprehensive guide to the genre.

**Overall Impression:**

The page is a typical magazine spread, packed with information about Amiga games, software, and related topics.  It's a mix of reviews, previews, news, and promotional material.  The layout is clear and easy to navigate, with distinct sections and headings.  The tone is enthusiastic and informative, aimed at Amiga users.


"
5,"This page is from a magazine, likely *Amiga Power*, featuring a variety of content related to Amiga computers and games.

**Games Reviewed This Issue (June):**  A list of games reviewed in the current issue, with titles, and page numbers where the reviews can be found.  The list includes full prices for each game.  Examples include ""Deliverance,"" ""The Addams Family,"" ""American Football Coach,"" ""Dreadnoughts,"" ""Eye of the Beholder II,"" ""Fire & Ice,"" and many more.

**Two Disks! Special Feature:**  This section highlights a double-disk special feature with top-quality programs.  It also mentions a chance to win a free game.  The page number (14) is noted.

**Legend Game Review:** A review of the game ""Legend,"" highlighting its excellent quality and including a recommendation to read the review on page 34 or play the demo.

**Aquaventura Game Review:** A review of the game ""Aquaventura,"" describing it as a unique blaster game with various play styles, from super-complicated to ultra-simple.

**Special Bonus Disk:**  This section details a special bonus disk, including the game ""Mister & Missis.""  The review describes the game as an excellent shareware arcade adventure.

**Floor 13 Game Review:** A review of the game ""Floor 13,"" describing it as a political skulduggery game for the Amiga.

**Eye of the Beholder II Game Review:** A review of the game ""Eye of the Beholder II,"" stating it's a great game.

**112 Points of View:**  A section highlighting the magazine's opinions on various games in a concise, easy-to-read format.

**114 Amiga Universe:**  A section dedicated to building a comprehensive Amiga games encyclopedia, with a focus on characters and games.  This section is described as a monthly feature.

**The Attack of the Green Smelly Aliens from Planet 27b/6 Game Review:** A review of the game, noting its unique twist on the Space Invaders theme.

**Got a Faulty Disk?**  A section providing instructions and contact information for handling damaged or faulty disks.  This section includes a troubleshooting guide for disk issues.


The overall design of the page uses a mix of text, images, and graphics to present information in a visually appealing way.  The page is clearly organized into distinct sections, making it easy for the reader to find the information they are looking for.  The page also includes a variety of game screenshots and graphics.
"
6,"This page is an advertisement/article from a magazine, likely *AMIGA POWER*, from June 1992.  It's focused on a game called *Legend*, published by Mindscape, for the Amiga computer.

**OI! READ THIS FIRST:** This section provides instructions for using the *AMIGA POWER* disks, specifically for the *Legend* game.  It emphasizes that the disk should work on most Amiga models (A500, A500+, etc.), but one version (Mister & Missis) requires a 1MB machine.  It details the steps for installing the game, including switching off the Amiga, connecting peripherals (joystick and mouse), inserting the disk, and pressing the appropriate function keys.  It also warns about the importance of keeping the disk in the drive and the need for a 20-second pause between disk swaps to prevent virus infection.  There's also a troubleshooting section for disk problems.

**AUTHORS & PUBLISHER:**  The authors are Tag and Pete James, and the publisher is Mindscape.

**CUT DOWN THE TREES (WITH A FISH):** This section describes the game's plot and gameplay.  It's a 3D role-playing game, but unlike others, it uses a mouse-controlled system.  The game involves a quest to visit an artisan, going into vaults with four characters (barbarian, bard, thief, and runemaster), each with unique abilities.  The characters explore, solve puzzles, and fight mythical creatures.  The game starts in a town with four locations to visit.

**I OBJECT TO THIS:** This section explains how to equip weapons in the game.  Players can equip weapons by clicking on the weapon icon and then the character icon.  It also describes how to pass objects between characters and drop objects.  The section also details how to interact with objects in the game, such as opening chests and taking items.

**IN-GAME SCREENSHOTS AND DESCRIPTIONS:** The page includes several screenshots of the game's interface.  There's a detailed description of the main screen, including the character selection screen, health portraits, command icons, and inventory screen.  The screenshots and descriptions show the game's graphics and user interface, including the inventory screen, character portraits, and command icons.  The descriptions explain how to use these elements to interact with the game world.

**COVERDISK HELPLINE:** This section is an advertisement for a helpline to assist with problems loading parts of the cover disk.  It provides a phone number and contact information for Sam Hiah, the Coverdisk Helpline.  The helpline is specifically for issues with loading parts of the disk, and the message suggests that the Amiga Power offices are unlikely to be able to fix the disks.

**Overall:** The page is a promotional piece for the *Legend* game, providing information about the game's features, gameplay, and how to play it.  It also includes troubleshooting tips and a helpline for disk issues. The page's layout and design are typical of gaming magazines of the era.
"
7,"This page is from a magazine, likely *Amiga Power*, featuring an article about the game *Legend*.  The article is a combination of gameplay walkthrough, tips, and a competition advertisement.

**Section 1: For Whom the Spell Tolls**

This section is a detailed explanation of the spellcasting system in *Legend*.  It describes the various icons and elements involved in creating and mixing spells.  The text explains how to use the spell scroll, dragon's eye, ingredients, mixing bowl, rune table, and mixing/tipping icons to create and modify spells.  It emphasizes the runemaster character's importance in spellcasting.  The section also includes a visual representation of the spell-creation interface.

**Section 2: Win - Your Own Copy of Legend!**

This is an advertisement for a competition to win a copy of *Legend*.  The prize is a copy of the game, valued at £30.99.  The competition requires entrants to write down a password from the game and send it with their name and address to Mindscape.  The competition is limited to the first ten correct entries.  The address for entry is provided.

**Section 3: Cowboys in Dungeons**

This section describes the combat system in *Legend*.  It explains how to select characters for combat, how to use weapons, and how to initiate combat.  It also mentions the ""chicken icon"" as a way to escape dangerous situations.

**Section 4: Rune with a View**

This section continues the discussion of spellcasting, focusing on the process of mixing spells.  It details how to use the mixing bowl to combine ingredients and runes, and how to use the dragon's eye to determine the necessary ingredients.  It also explains the different types of spells (missile, explosive, continuous) and effectors (damage, paralyze, healing).

**Section 5: And It's Goodnight From Us**

This section further explains the spellcasting system, emphasizing the importance of practice and the potential for creating complex spells.  It describes how to create new spells by combining existing ones.

**Section 6: Game Screen Image**

A screenshot of the game *Legend* is included, showing the town of Treihadwyl.  This provides a visual representation of the game's environment and interface.

**Section 7: Running Commentary**

A small section of the image shows a game screen with running commentary, likely showing damage dealt during combat.

**Overall:**

The page provides a comprehensive overview of the game's spellcasting and combat mechanics, along with a competition to win a copy of the game.  The inclusion of screenshots and detailed explanations makes the article informative and engaging for potential players. The review rating is not explicitly stated, but the overall tone suggests a positive view of the game.
"
8,"This page is from a magazine, likely an Amiga computer magazine, featuring a review and information about a shareware game called ""Mister & Missis.""  The page also includes a review of another game, ""The Attack of the Green Smelly Aliens from Planet 27b/6.""

**Mister & Missis Section:**

* **Overview:** The article describes ""Mister & Missis"" as a shareware platform game.  It explains that the game is available for download, but users can also pay £3 to the developer, Richard Evans, to support his work.
* **Instructions:**  The article provides instructions on how to control the characters, Mister and Missis, using a joystick.  It highlights the importance of switching between the characters to access different areas of the game.  It also mentions the need to switch between characters to light bulbs and the importance of the characters' roles in the game.
* **Gameplay Details:** The article mentions the presence of tricky platform-leaping puzzles, and the need to rescue Mister from a cage.
* **Payment Option:** The article clearly states that players can choose to pay £3 to the developer for the game.
* **Snooker Gameplay:** The article mentions a secondary gameplay element of snooker, where players collect colored balls in a specific order to earn bonuses.
* **Level Guardians:** The article mentions the presence of level guardians at the end of each level.
* **Icon Guide:** A section provides a quick icon guide for various game elements, such as hearts (increasing power), Venus flytraps (decreasing power), springs, hooks, ropes, platforms, teddy bears (swapping characters), snooker cues (collecting snooker balls), glue pits (preventing jumping), and bonus points for other actions.
* **What Happens If You Get Stuck:** The article explains how to reset a level if the player gets stuck.

**The Attack of the Green Smelly Aliens Section:**

* **Review:** The review of ""The Attack of the Green Smelly Aliens"" is positive, praising the game's design and execution.  It highlights the game's similarity to the classic ""Space Invaders"" game, but with a unique twist.
* **Gameplay Description:** The review describes the game as a top-down shooter where players must rotate their ship to avoid enemy fire.  The aliens attack in increasing numbers and patterns.
* **Controls:** The article provides a detailed diagram of the controls for the game, showing how to fire, rotate the shield, and rotate the ship.
* **Review Rating:**  While not explicitly stated as a rating, the review's tone suggests a positive and high-quality game.
* **Author:** The author of the review is Alex May.
* **Competition:** The review mentions that the game was submitted to a competition, and it's possible the game won or was highly regarded.

**Overall:**

The page is a collection of game reviews and information, likely from a magazine.  It provides detailed information about the games, including gameplay mechanics, controls, and author information.  The page is well-organized and easy to follow.
"
9,"This page is from a magazine, likely an Amiga computer magazine, featuring an article and advertisement.

**Article: Aquaventura**

The article, ""Aquaventura,"" by Bill Pullan, published by Psygnosis, is a review or demo of a game.  It describes the game as a ""Serious Challenge"" requiring players to complete a mission within 60 seconds.  The article highlights the game's simplicity, focusing on target categories (things that move, everything else) and the controls.  It explains how to control the ship, including firing, changing sights, adjusting speed, and pausing the game.  The article also includes a warning for Amiga 500 owners about not leaving the demo running while trying to play the game, as it may crash the high score table.

**Controls Section:**

A separate section clearly displays the controls for the game, using icons and text to illustrate the functions of the joystick buttons (Fire, Dive, Left, Right, F1-F10 Speed controls, Climb).

**Advertisement: Philips 8833 Color Monitor and Games**

A large advertisement promotes a Philips 8833 color monitor and a collection of Amiga games.  It highlights the monitor's features and lists a selection of games included in the package, such as Cartoon Classics, Lemmings, Captain Planet, Bart Simpson, Paint III, Workbench 2, Batman, Indiana Jones, F19 Stealth Fighter, Wicked 30 Game Pack, Hollywood Collection, Robocop, Microswitch Fighter joystick, Dust Cover, and Mousemat.  The advertisement also includes a phone number (0839 550 060) and details about the cost of the call.  The advertisement emphasizes that calling the number multiple times increases the chances of winning a prize.

**Overall:**

The page combines a game review/demo with a substantial advertisement for a Philips monitor and a collection of Amiga games. The layout is typical of a magazine page, with clear headings, graphics, and text. The advertisement is designed to be eye-catching and informative, highlighting the value proposition of the package. The review section provides a concise overview of the game's mechanics and controls. The page's overall tone is promotional, encouraging readers to engage with the advertised products. The review rating is not explicitly stated, but the article's tone suggests a positive view of the game.
"
10,"This page is from a magazine, likely *Amiga Power*, featuring a mix of news, reviews, and previews of various Amiga computer games.  The overall tone is informative and enthusiastic about the Amiga platform.

**Section 1: Shock News! The Amiga 500 Plus Is Dead**

This section reports on the discontinuation of the Amiga 500 Plus computer.  It details that Commodore is phasing out the 500 Plus in favor of the newer A600 model, citing that the 500 Plus was only on the market for six months.  The article also mentions that the 500 Plus will still be available for sale for some time, but production has ceased.  It also discusses the different models of the A600, including a basic model and a model with a hard drive.  The article concludes with a suggestion that there may be good deals on the 500 Plus in the near future.

**Section 2: Respray 'Resting'**

This section discusses the status of the Respray game, a title from the Domark label.  It notes that the game is not discontinued but is currently on hiatus, with Domark focusing on other titles.

**Section 3: Touchdown! Touches Down**

This section discusses the upcoming release of a new football-themed game, ""Touchdown!"" from the Empire software house.  It contrasts this with the re-releases of older games from Ocean.

**Section 4: Hit Squad 'Educational!!!'**

This section previews the educational games coming from the Hit Squad label.  It highlights the upcoming ""Fun School 2"" game and other educational titles.

**Section 5: Year of the Aqua Olympics**

This section is a review or preview of the ""Aqua Olympics"" game.  It describes the game as a multi-event sports game, and mentions that it's part of a new series of games from Millennium.  It also previews other games from Millennium, including ""Daughter of the Serpents"" and ""Rome.""

**Section 6: Where Hugo, I Go Too...**

This section is a review or preview of the ""Hugo"" game.  It notes that the game is a Public Domain title, and that the creators are surprised by its popularity in the UK.  It also mentions that the game may not be available through the Public Domain in the future.

**Section 7: Is It A Bird? Is It A Plane? Etc.**

This section is a preview of several games, including ""The Rocketeer,"" ""Dick Tracy,"" and other titles.  It discusses the game's features and potential.

**Overall:**

The page is a collection of news items, previews, and reviews, all focused on Amiga games.  The tone is generally positive, highlighting the variety and quality of games available for the Amiga platform.  There's no single review rating, but the articles provide information about the games' features and potential appeal.
"
