Page Number,Page Information
1,"The image is the cover of Amiga Power magazine, issue 18, October 1992.

The cover features a large, bold title ""AMIGA POWER"" in red and white.  Below the title, it states ""A MAGAZINE WITH ATTITUDE.""  Further down, there are smaller headlines about upcoming games, including ""TRODDLERS – OH NO! (IT'S NOT) MORE LEMMINGS"" and a graphic of the game.

The cover also highlights a ""100 new games previewed!"" section, indicating a large selection of games being reviewed and discussed within the magazine.  It also promises ""FOUR FREE POSTCARDS!"" from the Amiga Power collection.

A prominent section is titled ""THE ULTIMATE AUTUMN PREVIEW,"" showcasing a variety of games, including ""Ferrari,"" ""Elite 2,"" ""Desert Strike,"" ""Wing Commander,"" ""Gunship 2000,"" and ""Alien 3.""  The preview section also includes a graphic of the games.

There's a smaller section about ""TEARAWAY THOMAS,"" a game, and ""LOTUS: THE ULTIMATE CHALLENGE,"" another game, with descriptions and screenshots.  The cover also features a graphic of a blue character, possibly a game mascot, with the text ""PUTTY - Tacky or what?""

The top right corner of the cover features a price and a logo for ""Future Publishing,"" along with the issue number and date.  A barcode is also visible.

The overall design is vibrant and colorful, using a mix of red, yellow, and other colors, with graphics of various games and characters.  The layout is clear and easy to read, with different sections clearly defined.  The cover clearly advertises the magazine's content and aims to attract readers interested in Amiga games.
"
2,"This page is a catalog or advertisement for Amiga software and games.  It's likely from a magazine or a similar printed source, judging by the layout and style.

The page is densely packed with information, listing numerous Amiga games and their prices.  The games are organized in a grid-like format, with each game's title, a small image (often a screenshot or cover art), and price prominently displayed.  The prices are consistently shown as ""9.99"", ""11.99"", etc., indicating a currency likely in pounds or a similar unit.

The games are categorized by genre or publisher, though not explicitly labeled.  There are several sections:

* **Game Listings:**  The majority of the page is dedicated to a large list of Amiga games.  Each entry includes the game title, a small image, and the price.  Titles include various genres, such as action, adventure, sports, strategy, and more.  Some games are noted as having a ""NOP"" (Not On Purpose) designation, which might indicate a specific version or limitation.

* **Amiga Software:**  A section at the top of the page lists a separate category of software, likely utilities or development tools, with titles like ""3D Construction Kit,"" ""Combo Racer,"" and ""AMOS Compiler.""  These are also accompanied by prices.

* **Accessories:**  A section towards the bottom of the page features game controllers and accessories, such as joysticks (QuickJoy QJ1 Joystick, QuickJoy MegaStar, etc.) and a foot pedal (QuickJoy Foot Pedal).  These also have their own prices.

The overall impression is of a comprehensive catalog of Amiga software and accessories, aimed at consumers interested in purchasing these products.  The detailed listing of games and prices suggests a retail or mail-order context.
"
3,"This page is a detailed advertisement for Special Reserve, a games club, featuring a wide range of products and services.  It's a catalog-style advertisement, not a review page.

The top section highlights the club itself, emphasizing its large membership (over 100,000 people) and the availability of a free color catalogue.  It also provides the club's phone number.

Below this, the page is organized into various product categories, each with detailed descriptions and prices.  These categories include:

* **Citizen Printers:**  Several models of Citizen printers are listed, including the Swift 9, 120D+, 224, and 24E.  Each model has specifications like print speed, resolution, and paper handling capabilities.  All models include free printer leads and membership with Special Reserve.

* **GVP Hard Drives:**  A selection of GVP Amiga hard drives are listed, with details on storage capacity and upgrade options.

* **Star LC24-20 Printer:**  A description of this printer, including its features and specifications.

* **Canon BJ-10EX Printer:**  Details on the Canon Bubble Jet printer, including print quality, features, and warranty.

* **Philips Monitors:**  Several Philips monitors are listed, including the CM8833 MK 2 and 3332 15"" FST.  Specifications and features are provided for each model.

* **Goldstar 14"" Monitor:**  A description of the Goldstar monitor, including its features and specifications.

* **Game Gear:**  A listing for the Sega Game Gear, including accessories like the Sonic the Hedgehog game and a mains adapter.

* **Nintendo Super NES:**  A listing for the Nintendo Super NES console, controller, and Super Mario World game.  It also includes a section for Super NES games.

* **New Amiga 600:**  A listing for the New Amiga 600 computer, including its features, specifications, and warranty.

* **Amiga 600 HD:**  A listing for the Amiga 600 HD computer, including its features, specifications, and warranty.

* **Other Accessories:**  A wide range of other accessories, such as ribbons, cables, and other computer peripherals, are listed.

The page also includes a section for annual membership details, highlighting the benefits of joining the club, including the monthly magazine, special offers, and coupons.  There's also a section for ordering information, including contact details, payment options, and postage information.  Finally, there's a section for overseas orders, with specific instructions for those orders.
"
4,"This page is a spread from *Amiga Power* magazine, Issue 18, October 1992.  It's a mix of articles, reviews, previews, and advertisements.

**Sections and Content:**

* **10 True Stories:**  A brief overview of upcoming Amiga games and other happenings in the Amiga gaming world.  This section is a short summary of news.

* **16 The Gallup Charts:**  A look at the popular Amiga game charts.  The text indicates that the charts are simply presented, without much analysis.

* **15 Vox Pop Backwards:**  A feature about pop stars who are also game reviewers.  It mentions ""Sunscreem"" as a featured reviewer.

* **68 Complete Control:**  A guide or tips on how to play specific Amiga games, including Monkey Island 2, Lure of the Temptress, and Fire and Ice.  It also includes a tip on building a motorcycle, which is noted as a humorous or unusual instruction.

* **76 If I'd Known Then...:**  A retrospective look at a game development, likely discussing a project or game that was developed or released recently.

* **101 Things to Write About:**  A section about reader feedback and complaints about the magazine, followed by a humorous note about a photo spread of Sharon Stone.

* **105 The Bottom Line:**  A review or summary of the best games of the past year.  It promises a ""full price games"" overview.

* **112 Back Issues:**  An advertisement for buying back issues of the magazine, and possibly special offers on software.

* **114 In the Style of:**  A review or article about a game or artist's work, likely a game review or a piece of art inspired by a famous director.

* **Games of the:**  A section showcasing game covers and titles, including ""Lotus III"" and ""Shadow of the Beast III.""  These are likely previews or reviews of the games.

* **Plan 9:**  A preview or review of a game, likely a game called ""Plan 9.""

* **Zool:**  A preview or review of a game, likely a game called ""Zool.""

* **91 Where Are They Now?:**  An article or feature about games that were never released or had a short lifespan.

* **43 Autumn Preview:**  A preview of games coming out in the fall.  It highlights a significant number of games coming soon.

* **Win! A Season Ticket to Your Favourite Football Ground:**  An advertisement for a contest or giveaway related to football.

* **Editorial & Advertising:**  Information about the magazine's contact details, subscriptions, and advertising opportunities.

**Overall:**

The page is a typical issue of a gaming magazine, packed with information about Amiga games, reviews, previews, and advertisements.  The layout is visually appealing, with images and graphics throughout.  The tone is generally enthusiastic and informative, with a touch of humor.  The page is well-organized and easy to navigate.
"
5,"This page is from a magazine, likely *Amiga Power*, featuring a variety of content related to Amiga computer games.  It's a mix of reviews, previews, and information about upcoming releases.

**Section 1: ""Over 300 Games Rated in Every Issue!""**

This is a banner headline, likely a recurring feature of the magazine, emphasizing the large number of games reviewed.

**Section 2: ""Month Review - October 1992""**

This section focuses on games reviewed in the October 1992 issue.

* **""Trodlers"":** A brief review or preview of the game, describing it as featuring ""dumb furry creatures.""  It also notes the game's location in the magazine (Page 28).
* **""Full Price"":** A list of games reviewed in the issue, including titles like ""Battle Isle Scenario,"" ""Catch 'Em,"" ""California Games 2,"" ""Castle of Doctor Brain,"" ""GLOC R360,"" ""Plan 9 From Outer Space,"" ""Putty,"" ""Shadow of the Beast 3,"" ""Sword of Honour,"" ""Troddlers,"" and ""Zool,"" along with their respective page numbers and prices.
* **""Putty"":** A short preview or review of the game, commenting on its cuteness and production by System 3.  It also notes the page number (Page 38).

**Section 3: ""Next Month...""**

This section previews games coming in the next issue (likely November 1992).  It mentions games like ""Bat 2,"" ""Shuttle,"" ""Pool,"" and ""Aquatic Games,"" and highlights the upcoming reviews.

**Section 4: ""Budget"":**

A list of games, likely budget-priced or in the public domain, including ""Captain Dynamo,"" ""CJ in the USA,"" ""Narc,"" ""Shoot-'Em-Up Construction Kit,"" ""Soccer Pinball,"" and ""Total Recall,"" along with their respective prices.

**Section 5: ""Compilations"":**

A list of compilation games, including ""Megasports,"" with its price.

**Section 6: ""Public Domain"":**

A list of public domain games, including ""The Adventures of Quick and Silva,"" ""A Striker's Story,"" ""Super League Manager,"" and ""Unafitz,"" with their respective prices.

**Section 7: ""Disk 18"":**

This section highlights the featured disk, Disk 18, in the magazine.  It emphasizes that it contains demos, and not slideshows or non-playable demos.  It also includes images of some of the games on the disk.

**Section 8: ""Tearaway Thomas"":**

A preview or review of the game, describing it as an ultra-speedy demo with two levels.

**Section 9: ""Lotus III - The Ultimate Challenge"":**

A preview or review of the game, highlighting the demo and the RECS course designer.  It also mentions the availability of stereo music and future world courses.

**Section 10: ""Got a Faulty Disk?""**

This section provides instructions on what to do if a disk is faulty, including returning it to the correct address.

**Overall Review Rating:**

There is no explicit review rating visible on the page.  The content is primarily promotional and descriptive, rather than critical.
"
6,"This page is from an Amiga Power magazine, likely an October 1992 issue, featuring information and reviews of computer games.

The page focuses on two games: Lotus III: The Ultimate Challenge and Tearaway Thomas.

**Lotus III: The Ultimate Challenge**

* **Review/Description:**  The page highlights Lotus III as a ""one meg only"" game, emphasizing the need for an expanded Amiga 500.  It details the loading process, mentioning an options menu accessible via F1 or F2, and the need to reboot after playing the game.  Important troubleshooting tips are included, such as disk maintenance and virus prevention.  The article also notes compatibility with CDTV.  There's a mention of a ""course designer"" feature that allows players to create their own Lotus tracks.  The review section also includes a screenshot of the game's interface, showing various game statistics like curves, hills, sharpness, steepness, scatter, length, difficulty, and obstacles.  The screenshot also shows a score of 00000950.
* **Rating:**  No explicit rating is given, but the tone suggests a positive review, highlighting the game's features and the ""ultimate challenge"" aspect.

**Tearaway Thomas**

* **Review/Description:**  The page features a review of Tearaway Thomas, describing it as a ""fast game"" and emphasizing its speed.  The review includes a screenshot of the game's gameplay, showing the character Tearaway Thomas navigating a platforming environment.  The screenshot shows the character moving from left to right, with a path ahead and a sign indicating the exit.  The screenshot also shows a score of 00000950.  The review also touches on the game's character, describing him as a ""silly name"" but ""appropriate"" for the game's creature.  The review also mentions the game's collectible gems and the environment.
* **Rating:**  No explicit rating is given, but the tone suggests a positive review, highlighting the game's speed and character.

**General Information**

* **Publisher and Authors:**  The page lists the publishers and authors for both games.
* **Technical Support:**  The page includes contact information for technical support, including a helpline number and an address for returning faulty disks.
* **Loading Instructions:**  Detailed instructions are provided for loading both games.
* **Troubleshooting:**  The page includes troubleshooting tips for potential loading issues.
* **Other Games:**  The page also mentions other games, such as Lotus IV, V, VI, VII, and so on, suggesting a series.

The overall layout of the page is typical of a computer magazine from the 1990s, with a mix of text, graphics, and screenshots.  The page is well-organized and provides clear instructions and information for the reader.
"
7,"This page is a section from an Amiga Power magazine, likely an October 1992 issue, featuring a review or preview of a video game.  The focus is on a game called ""Turbo Zone,"" specifically highlighting its gameplay mechanics, controls, and some of the challenges players will encounter.

**Game Overview:**

The page describes a racing game set in a futuristic, chequered-pattern environment.  The game's ""turbo zone"" is emphasized, suggesting a high-speed, action-packed segment of the race.  The text mentions a Lotus car as the primary vehicle, and the game's unique ""Future"" style is noted.

**Controls:**

A clear diagram illustrates the game's controls.  Key actions like accelerating, braking, and directional movement are shown.  The controls are described as being conveniently displayed in a box.

**Gameplay Mechanics:**

The text details various aspects of the gameplay, including:

* **Obstacles:**  ""Nasty mean speed-trap guns"" and other constructions are mentioned as hazards.
* **Special Items:**  The game features ""big speed-trap guns"" and ""lots of big bombs"" that players must navigate.
* **Level Progression:**  The game has multiple levels, and the page highlights the opening of an exit on the second level.
* **Balloonists:**  Floating balloonists are mentioned as a unique element in the game's environment.
* **Swinging and Climbing:**  The game allows players to swing across ropes and climb ladders, similar to Tarzan-style gameplay.
* **Gems and Time:**  Collecting gems and managing time are important aspects of the game.
* **Secret Areas:**  The presence of secret rooms and bonus items is hinted at.

**Review/Preview Elements:**

The text includes a section titled ""Watch and Ye Shall Learn Things,"" which suggests a guide to the game's features and secrets.  The reviewer/writer encourages players to watch the demo instead of reading about the game.  The preview also includes a section about the game's difficulty, mentioning the need to collect gems quickly and avoid enemies.

**Overall Impression:**

The page presents a preview of a fast-paced racing game with unique elements like speed traps, special items, and a futuristic setting.  The focus is on the game's mechanics and challenges, rather than a full-fledged review.  The page's layout and design are typical of gaming magazines from the 1990s.


**Rating:**

There is no explicit rating given.  The page is more focused on describing the game's features and mechanics than providing a numerical rating.
"
8,"This page is a promotional advertisement, likely from a computer magazine or similar publication, showcasing various Amiga computer products and software.  It's heavily focused on sales and special offers.

**Sections and Products:**

* **Price Crash on New Amiga 600:**  The top section highlights a significant price reduction on the Amiga 600, priced at £329.95.  It also lists key features of the computer, including on-site maintenance, smart card facility, built-in TV modulator, IDE hard drive controller, Deluxe Paint III, and Mystery Game.  A special introductory offer for an A600 with a 20Mb hard drive is also advertised at £459.95.

* **Amiga A500/Plus Packs:**  This section details different configurations of A500/Plus computer packages, including a standard A500, A500 Plus Standard Pack, and A500 Plus Cartoon Classics, priced at £259.95, £309.95, and £324.95 respectively.  It also advertises a ""Limited Special Offer"" for unbeatable monitor deals.

* **Limited Special Offer (Monitors):**  This section highlights deals on monitors, including Commodore 1084S, Philips 8833 MKII, and Goldstar TV/Monitor, with prices ranging from £159.95 to £199.95.  The offer specifies that these prices are only valid when purchasing a monitor with an Amiga, and an additional £15 is required if purchased separately.

* **Great Valley Products (Hard Drives):**  This section focuses on hard drives from Great Valley Products, offering a 2-year warranty.  It lists various A500 and A1500/2000 hard drive configurations with different storage capacities (52Mb, 120Mb, and up to 420Mb).  Prices range from £334.95 to £264.95.

* **Hard Drive + Accelerator:**  A new hard drive and accelerator product is advertised as the ""ultimate A500 expansion product"" for £659.95.  It details the 40Mhz accelerator, 52Mb hard disk, and 1Mb RAM.

* **FC 286 Emulator:**  A PC 286 emulator module is available for £219.95, compatible with Series II and A530 hard drives.

* **Disk Drives:**  This section advertises disk drives, including a 3.5"" disk cleaner kit, free of charge.  It also lists internal replacement drives and slimline designs.

* **Amiga CDTV Super Deal:**  A significant offer for an Amiga CDTV, including a keyboard, floppy disk drive, and mouse, is advertised at £349.99.  It also mentions a trade-in offer for an Amiga 500.

* **Amiga 1500 Pack:**  This section advertises the Amiga 1500 pack, including the latest model, Workbench, Kickstart 2.0, and various software titles, priced at £539.95.

* **Amazing Software Clearance:**  This section lists a large number of software titles, including games like Back to the Future II, Ninja Rabbits, Barbarian II, and many others, at discounted prices.

* **Klondrike Deals:**  This section promotes ""Dynamite Computers"" and special bargains on various computer products.

* **Stereo Colour Monitors:**  This section advertises stereo colour monitors, including Commodore 1084S and Philips 8833 MKII, with prices ranging from £184.95 to £199.95.  It also includes a free F19 Stealth Fighter game with 12-month on-site maintenance.


The overall impression is a comprehensive advertisement for Amiga products, highlighting various models, accessories, and software, with a focus on special offers and price reductions.
"
9,"This page is a detailed advertisement for computer products, likely from a catalog or magazine.  It features a wide range of items, including software, hardware, and accessories, all aimed at users of Amiga computers.

**Sections:**

* **Art Studio Software:**  Lists various art programs like Deluxe Paint II, Spritz Paint, Deluxe Paint III, Fantavision, Comic Setter, Photon Paint V2.0, Deluxe Paint IV, Walt Disney Animator, and Professional Draw V.2.  Each program has a price listed in British pounds (£).

* **Video Studio Software:**  Features Vidi Amiga + Vidi Chrome, Rombo RGB Splitter, Take 2 Animation Package, Complete Colour Solution, Colour Solution + Take 2, Rocgen Genlock, Rocgen Plus Genlock, Scala 500, Scala (requires 1Mb), and Roctec Genlock.  Prices are given in British pounds (£).

* **Sound Studio Software:**  Includes Music X Junior, Midi-Master Interface + 2 Midi Cables + Music X Junior, Music X 1.1, Rombo Mega-Mix, GVP Sound Studio, Bars and Pipes, and Bars and Pipes Pro.  Prices are listed in British pounds (£).

* **Star/Citizen Printers:**  A section dedicated to printers, including models like Citizen 120D+, Star LC20, Citizen Swift 9, Star LC200, Star LC24-20 (New), Star LC24-200 (Mono), Citizen 224, Star SJ48 BubbleJet, Star LC24-200 (Colour), and Citizen Swift 24e.  Prices are given in British pounds (£).  A note mentions a free color kit with some models while stocks last.

* **Power Hand Scanner:**  Highlights a Power Hand Scanner with features like the latest version 2 software, 64 Grayscales, and 100-400 DPI.  It also includes a free Photon Paint 2.0 (RRP £89.95) as a Dynamite exclusive at £99.95.

* **Memory:**  Lists RAM expansion options for Amiga computers, including 512K RAM Expansion (1.3), 512K RAM Expansion Plus Clock, 1MB RAM Expansion (A500 Plus), and 1Mb by 8 SIMM boards (GVP).  Prices are given in British pounds (£).

* **Accessories:**  Includes Parallel Printer Cable, Universal Printer Stand, 200 Sheets of Continuous Paper, Colour Kit Option for Swift 9/224/24e, 10 Blank Disks (3.5 DS/DD), 50 Blank Disks (3.5 DS/DD), Quality Mousepad, 40 Capacity Lockable Box, 80 Capacity Lockable Box, Roll of 1000 3.5"" Disk Labels, Mouse/Joystick Switcher box unit, ZipStick SuperPro Joystick, QuickJoy Top-Star Joystick, Amiga Perspex Dustcover, Replacement Mouse, Replacement TV Modulator, and Replacement Power Supply.  Prices are listed in British pounds (£).

* **Ordering Information:**  Provides details on how to order products, including contact information (phone number, address), payment methods (cheque, postal order), and delivery charges.  There's also a note about cheque guarantee card numbers and clearance times.

* **Delivery Charges:**  A separate box outlines delivery charges for orders of different amounts, including next-day and Saturday delivery options.  It also mentions a Platinum Service Card for expedited delivery.

* **Stop Press Publishers Choice Scoop:**  This section advertises a software package (comprising tutorial, Kindwords 2, Wordprocessor, Pagesetter, Headline Fonts, and Artists Choice) for Amiga computers at a discounted price of £19.95.  It notes that this package was previously bundled with a different product.

The overall impression is a comprehensive catalog listing for Amiga computer products, with prices and specifications clearly displayed.  The use of stars and bold text helps to highlight key features and products.
"
10,"This page is from a magazine, likely *AMIGA POWER*, October 1992, judging by the date at the bottom.  It's a mix of news, reviews, and features, all centered around Amiga computers and software.

**Headline Section:**

The top section features a large, bold, red oval with the words ""TRUE STORIES"" in a large, sans-serif font.  Below this is a smaller, rectangular box with the headline ""A600 SLASHED TO £299"" in a bold, sans-serif font.  This section is about the price drop of the Amiga 600 computer.

**""A Statement of Intent"" Feature:**

This section, written by Mark Ramshaw, the editor, discusses the magazine's commitment to higher quality in future issues.  It criticizes previous issues' poor quality software, slideshows, and non-playable demos.  The editor promises a higher standard of content, including a single disk with playable previews.  The section also mentions the price of the magazine, which is £3.50.

**News and Reviews:**

The page contains several articles and reviews, including:

* **A600 Price Slash:**  Details the price drop of the Amiga 600 computer to £299.99, highlighting the positive impact on sales and the reliability of the new machine.
* **Mindscape Budget Titles:**  Announces a range of budget titles from Mindscape that will appeal to Amiga owners.  The titles mentioned include 4D Sports Boxing, 4D Sports Driving, and Aces of the.
* **Great War and Das Boot:**  Reviews of these war games, noting their price point of £14.99.
* **Revelation Time at Renegade:**  A preview of a new game, mentioning Steve Kelly, Nick Alderton, and the game's genre (not an RPG).
* **Lean, Ween and On the Screen:**  A review or preview of a game called ""Ween - The Prophecy,"" highlighting its medieval theme and the role-playing elements.  It also mentions the game's music.
* **Neuro-Mancing the Stone:**  A preview of a 3D RPG, ""Empire,"" developed by ODE, with details about its plot and features.

**""Ocean - An Apology"" Section:**

This is a significant section.  It's an apology from the magazine to Ocean software for a perceived unfair or biased portrayal of the company in a previous issue's ""Epic The Great Debate"" section.  The magazine acknowledges that some reader letters were presented in a one-sided manner and that this was not representative of the magazine's overall opinion of Ocean.  The apology emphasizes the magazine's commitment to impartial game reviews and their appreciation for Ocean's contributions to the Amiga market.  It specifically mentions games like Addams Family, Wizkid, RoboCop 3, and Head Over Heels as examples of Ocean's positive impact.

**Overall:**

The page provides a snapshot of the Amiga gaming scene in 1992, showcasing news about hardware, software releases, and reviews.  The inclusion of the apology demonstrates the magazine's commitment to fair and balanced reporting, even when addressing criticism of a company.  The page's layout is typical of a magazine from that era, with a mix of text, images, and graphics.
"
