Page Number,Page Information
1,"The page is a cover of *Amiga Power* magazine, issue 19, November 1992.

The cover features large, bold red text that says ""AMIGA POWER"".  Smaller text underneath states that it's ""A MAGAZINE WITH ATTITUDE"".

Several prominent features are highlighted:

* **""Street Fighter 2""**:  A first look inside is advertised, with a screenshot of the game.
* **""Oh No! It's... Lemmings 2""**:  A significant feature, exclusively revealed in this issue.
* **""Unbeatable The Best Playable Demos""**:  This section promises playable demos.
* **""Doodlebug""**:  A game demo is featured, with a description of its console platforming gameplay.
* **""Wing Commander""**:  A game from Mindscape is mentioned, with a brief description.
* **""Metamorphosis""**:  Another game is highlighted, described as a mad arcade adventure with a liquid and solid element.
* **""11 Pages of Top Tips""**:  A section dedicated to helpful tips for Amiga users.

The cover also includes smaller graphics and images related to the games and features mentioned.  A barcode and publication information are present at the top right corner.  The magazine's logo and issue number are clearly visible.  The overall design is vibrant and eye-catching, typical of gaming magazines of the era.  The cover is clearly aimed at Amiga computer users and gamers."
2,"The image is a promotional poster or advertisement for a video game called ""Lethal.""  It's likely a cover for a game magazine or a promotional flyer.

The poster features a stylized image of three men, likely characters from the game, in action poses.  The central figure is a man with short, styled hair, wearing a blue collared shirt and jeans. He's holding a handgun.  A second man, with light-colored hair, is positioned behind and slightly to the side of the central figure.  A third man, with dark hair, is positioned behind the second man.  All three men appear to be in a dynamic, potentially confrontational scene.

The background is a mix of graphic elements.  There's a large, bold red ""LETHAL"" title in a stylized font.  The background also includes a patterned design, with a mix of dark and light colors, that appears to be a graphic representation of a scene or a texture.

Below the central image, there's text that identifies the platforms the game is compatible with: ""COMMODORE ATARI ST AMIGA IBM PC & COMPATIBLES.""  This indicates that the game was released for multiple computer systems.

The image style is characteristic of promotional materials from the 1980s or early 1990s, with a focus on action and a somewhat gritty aesthetic.  There are no reviews or ratings visible on the image."
3,"The page is an advertisement for a video game called ""Two Cops - Both Lethal,"" likely for a home computer or console.

The advertisement features a large, bold red title ""WEAPON"" followed by ""TWO COPS - BOTH LETHAL.""  The text below describes the game as a multi-level shoot 'em up based on the *Lethal Weapon* movie franchise.  It highlights the player's ability to choose one of two cops, each with unique strengths and weaknesses.  The game features a variety of missions, including rescuing a kidnapped girl, apprehending drug runners, and arresting a police murderer.  The advertisement emphasizes the game's diverse objectives and the player's ability to choose levels that suit their play style.

The advertisement includes several screenshots or illustrations of game play.  These show a stylized, somewhat pixelated, perspective of the game's environments and characters.  The visuals suggest a side-scrolling or top-down perspective.  The images depict action-oriented scenes, with characters engaged in shooting and other action.

The advertisement also includes the game's publisher, Ocean Software Ltd., and their contact information.  It also prominently displays the Ocean Software logo and the copyright information, including the trademarks for the *Lethal Weapon* franchise.  A small ""R"" symbol is also present, likely indicating a registered trademark.

The overall impression is of a game that is action-oriented, based on a popular movie franchise, and offers a variety of missions and gameplay choices.  The advertisement is designed to attract gamers interested in action-packed shoot 'em ups.
"
4,"This page is from *Amiga Power* magazine, Issue 19, November 1992.  It's a densely packed page with a variety of content, including reviews, previews, and articles related to Amiga computer games.

**Sections and Content:**

* **10 True Stories:**  This section highlights recent news and developments in the Amiga gaming scene, including details about Christmas bundles, a new club, and unusual game controllers.

* **16 The Gallup Charts:** This section presents a list of popular games and their current standing in terms of popularity.

* **63 Complete Control:** This section provides tips and strategies for playing specific games, focusing on overcoming challenges in games like *Lure of the Temptress*, *Fascination*, and *Fire and Ice*.

* **76 Preview:**  A preview of the Future Entertainment Show, including details about the event's location, activities, and a potential prize of £10,000.

* **82 Mindscape International:** This section discusses the games and developers of Mindscape, focusing on the *Wing Commander* series and other titles.

* **110 Talking Heads:** This is an article or interview with game developers or industry figures, discussing the limits of Amiga technology and the challenges of game development.

* **113 Do-The-Write:** This section is a call for reader submissions of letters, articles, or reviews.

* **105 The Bottom Line:** This is a guide to the full price games released in the past year, offering advice on which games are worth buying.

* **128 Back Issues:** This section discusses the magazine's back issues and their value, suggesting that readers can purchase back issues to support the publication.

* **130 In the Style of:** This section features a preview of a game, likely *Sensible Soccer*, and its upcoming sequel, *Cannon Fodder*.

* **Games of the:** This section features small images and brief descriptions of various Amiga games, including:
    * **Pool:** A game of pool, likely a sequel to a previous game.
    * **Doodlebug:** A platformer game.
    * **Assassin:** A game featuring a trained killer.
    * **Rome AD92:** A strategy game.
    * **Shadowworlds:** A sci-fi adventure game.
    * **Lemmings 2!** A preview of the sequel to the popular *Lemmings* game.
    * **Sabre Team:** A game about SAS hard men.

* **Win a Day in a Lotus:** This is a promotional section for a giveaway or contest.

**Overall:**

The page is well-organized and provides a comprehensive overview of Amiga gaming news, reviews, and previews.  The inclusion of game screenshots and descriptions makes the content engaging for readers interested in Amiga games. The review ratings are not explicitly mentioned, but the page is clearly focused on game reviews and previews.
"
5,"This page is from a magazine, likely *Amiga Power*, featuring a November 1992 issue.  It's a mix of game reviews, previews, and advertisements.

**Games Reviewed This Issue:**

The page highlights games reviewed in the November issue.  A list of games, their developers, and their price is presented.  The list includes:

* **Bat 2:** Described as high-tech intrigue and excitement in cyberspace.
* **Air Support, Aquatic Games, Assassin, Curse of Enchantment, Doodlebug, Locomotion, Match of the Day, Pool, Red Zone, Rome AD92, Sabre Team, Shadoworlds, Shuttle, Treasures of the, Savage Frontier** (and many more).

**Detailed Reviews:**

* **Doodlebug:** The review recommends reading the review in the issue and checking out one level to experience the platformer's cuteness.  It highlights the game's colourful world and the use of a crayon as a protective tool.
* **Metamorphosis:**  This game is described as entertaining, allowing players to learn about the four states of matter (solid, liquid, gas, and bouncy).  The review emphasizes the player's control over a lump of matter and the challenges of navigating a world with different states.

**Other Sections:**

* **Disk 19:**  This section advertises the contents of the included disk, highlighting playable demos and complete levels of certain games.
* **Budget:** This section lists a selection of games, categorized as budget titles, with their prices.
* **Aquatic Games:**  This section mentions *James Pond goes to the Sole Olympics* as a featured game.
* **Curse of Enchantment:**  This game is described as something to give the Monkeys a run for their money.
* **Next Month:**  This section previews games coming in the next issue, including *Road Rash, Pinball Fantasies, Humans*, and more.
* **Got a Faulty Disk?:** This section provides instructions for returning faulty disks to the publisher.

**Overall:**

The page provides a comprehensive overview of games available for the Amiga computer system, including reviews, previews, and information about the included disk.  The layout is clear and easy to navigate, with images of game screens and descriptions of the games' features.  The review rating is not explicitly stated, but the reviews themselves provide a summary of the games' strengths and weaknesses.
"
6,"This page is from a magazine, likely an Amiga computer magazine, featuring articles and reviews of various software programs for the Amiga computer system.  The layout is typical of a magazine article, with various sections and different fonts used for headings, subheadings, and body text.

**Section 1: ""Those Darn Disks""**

This section is a guide on loading and using disks for Amiga software.  It provides step-by-step instructions for loading different programs, including ""Metamorphosis"" and ""Doodlebug.""  It also includes troubleshooting tips, such as what to do if a disk doesn't load properly, and warnings about virus protection.  The instructions include specific details about how to load programs on different Amiga models (like the A500), including the use of special keyboard commands.

**Section 2: ""Doodlebug"" Review**

This section is a review of the game ""Doodlebug.""  It describes the game's features, including the presence of ""secret rooms"" and a multi-level structure.  The review mentions a ""boss"" at the end of each level and a ""cute little Wendy house"" as a visual indicator.  The review also touches on the game's difficulty and the player's objective.

**Section 3: ""Metamorphosis"" Review**

This section is a review of the game ""Metamorphosis.""  It highlights the game's ""complicated bit"" regarding its operation on Amiga 600s with built-in hard drives.  The review provides specific instructions on how to use the game on these systems, including the need to click on specific options in a menu screen that appears during boot-up.  The review also mentions the game's use of ""techie-sounding words"" in the options menu.

**Section 4: ""Publisher"" and ""Author"" Information**

Each game review includes information about the publisher and author of the software.

**Overall:**

The page is a mix of instructions, reviews, and troubleshooting advice for Amiga software.  The writing style is informal and conversational, aimed at a user base familiar with Amiga computers.  The inclusion of pixelated graphics from the games themselves adds visual interest and context to the reviews.  The page also includes contact information for technical support.  The review ratings are not explicitly stated, but the tone of the reviews suggests a positive outlook on the games.
"
7,"This page is a magazine article, likely from a gaming magazine, featuring a review and gameplay information for a game called ""LeBug.""  The article is formatted with various sections, including a review, gameplay tips, and character descriptions.

**Review Section:**

The review, titled ""AND THOSE FUNNY LITTLE BLOCKS WITH THE FACES IN THEM?"", is a brief overview of the game's unique gameplay elements.  It highlights the ""funny little blocks"" and the ""icons"" that players encounter. The review suggests that the game's controls and icons are important to understand for a good experience.  It also mentions a review or summary, implying that there's more information about the game's overall quality.

**Gameplay Information:**

The article provides detailed information about the game's mechanics.  It explains how to navigate secret rooms, find switches, and interact with various elements within the game world.  The text describes how to interact with floor blocks that might lead to hidden areas or items.  It also explains the purpose of switches and how they affect the game.

**Character Descriptions (Creatures):**

The article describes different creatures or characters in the game, including ""Puffy,"" ""Drippy,"" ""Softy,"" and ""Dense-Y.""  Each creature is described with its unique abilities and characteristics.  For example, ""Puffy"" floats, ""Drippy"" is a blob of water, ""Softy"" is bouncy, and ""Dense-Y"" is hard.  These descriptions are likely intended to help players understand the different ways to navigate the game world.

**Controls Section:**

A diagram clearly illustrates the controls for the game.  The diagram shows the directional controls (up, down, left, right) and the action buttons for jumping, spinning, and using special abilities.  The controls are presented in a way that is easy to understand and follow.

**Metamorphosis/RPHOSIS Section:**

This section details the game's ""Metamorphosis"" or ""RPHOSIS"" feature.  It explains how the player's character can change into different creatures, each with unique abilities.  The text emphasizes that the player must use these changes to overcome obstacles in the game.  It also mentions that the game is not easy, implying a degree of challenge.

**Icon Bar/Power-Ups:**

The article explains that there's an icon bar at the bottom of the screen that shows available power-ups or special abilities.  This is a key part of the game's mechanics, as it allows players to use different abilities to overcome obstacles.

**Overall:**

The page provides a comprehensive overview of the game's features, mechanics, and characters.  The information is presented in a clear and concise manner, making it easy for readers to understand the game's gameplay.  The review rating is not explicitly stated, but the overall tone suggests a positive view of the game's unique features.
"
8,"This page is a catalog or advertisement for Amiga software and accessories.  It features a wide variety of games and peripherals, all targeted at Amiga computer users.

The page is organized into sections:

**1. Game Listings:**  The majority of the page is dedicated to a comprehensive list of Amiga games.  Each game entry includes the game title, a small image or graphic, and the price (in British pounds, judging by the format).  The games are listed alphabetically, and the prices are clearly displayed next to each title.  There are numerous games listed, covering various genres, including sports, action, adventure, strategy, and more.  Some games are noted as not working on the Amiga A500 or Amiga 600 (marked with ""(NOP)"").

**2. Accessory Listings:**  Below the game listings, there's a section dedicated to game controllers and accessories.  These include various joystick models (QuickJoy, Logic 3, Sigma Ray, Competition Pro), a foot pedal, and a variety of other controllers.  Each accessory has a picture, a description, and its price.

**Overall:** The page provides a detailed overview of the available Amiga software and accessories, making it easy for potential customers to browse and select items.  The layout is clear and easy to navigate, with the prices prominently displayed.  The inclusion of images for the games and accessories enhances the visual appeal and helps potential buyers visualize the products.
"
9,"This page is a detailed advertisement, likely from a magazine, showcasing a wide range of hardware and software products, primarily for Amiga computers and the Super Nintendo Entertainment System (SNES).  It's a sales catalog, not a review.

The page is divided into several sections, each focusing on a different product category:

**1. Amiga 600 Products:**  This section highlights various Amiga 600 computer packages and accessories.  It includes:

* **Amiga 600 HD Epic Pack:**  A comprehensive package with a built-in TV modulator, 1MB RAM expandable to 2MB, a 12-month in-home service guarantee, and various software titles like Epic, Rome, Myth, and more.  Priced at £299.99.
* **Amiga 600 Wild, Weird, Wicked Pack:**  Similar to the Epic Pack, but with different software titles and a focus on Microprose Grand Prix.  Priced at £319.99.
* **GVP HD8+52 Megabyte Amiga Hard Drive:**  A hard drive upgrade for the Amiga, with expansion slots for increasing RAM up to 8MB.  Priced at £314.99.
* **Various Amiga RAM Upgrades:**  Several options for upgrading the Amiga's RAM, ranging from 512KB to 1MB upgrades.  Prices vary.

**2. Printer Products (Citizen):**  This section features a range of printers from Citizen, including:

* **Citizen Swift 9:**  A 9-pin, 80-column printer with color capabilities, a 24-month warranty, and various features.  Priced at £184.99.
* **Citizen 120D+:**  Another 9-pin printer with a 24-month warranty and high-quality mono printing.  Priced at £129.99.
* **Citizen 224 24 Pin:**  A letter-quality printer with excellent graphics and a 24-month warranty.  Priced at £224.99.
* **Citizen Swift 24E:**  An advanced version of the 224 with higher speed and more fonts.  Priced at £274.99.
* **Star LC24-20 24 Pin:**  A printer with a 12-month warranty and various printing options.  Priced at £204.99.

**3. Other Peripherals:**  This section includes various other peripherals, such as:

* **Canon BJ-10EX Bubble Jet Printer:**  A portable printer with a 12-month warranty.  Priced at £229.99.
* **Technoplus Amiga Starter Pack:**  A pack of accessories for Amiga computers.
* **Various Mice, Mouse Mats, and Cables:**  A range of mice, mouse mats, and cables for Amiga and other computers.
* **Monitors (Philips, Goldstar):**  Several monitor options, including the Philips CM8833 MK2 and Goldstar 14"" monitors.  Prices vary.
* **Disk Drives and Boxes:**  Various disk boxes and disk drive accessories.

**4. Super Nintendo Entertainment System (SNES) Products:**  This section lists a wide range of SNES games and accessories.

* **Super NES Console with Controller and Super Mario World:**  A package deal including the console, controller, and the popular game Super Mario World.  Priced at £129.99.
* **Various SNES Games:**  A large selection of SNES games, including titles like Addams Family, Blazing Skies, Dragon's Lair, and many more.  Prices vary.

**5. Membership Information:**  The page includes details about the Special Reserve membership, including annual membership fees and the availability of a free color catalogue.

**6. Ordering Information:**  The page provides contact information and details on how to order products, including payment methods and shipping costs.

**Overall:** The page is a comprehensive advertisement for a wide range of computer and video game products, aimed at consumers interested in Amiga and SNES systems.  It emphasizes the availability of various accessories and software titles.  There is no explicit review rating, but the page implies high quality and selection based on the large number of products and the claim of ""best service, best prices, biggest selection.""
"
10,"This page is from a magazine, likely *Amiga Power*, and is dated November 1992.  It's filled with news and reviews related to Amiga computers and software.

**Section 1: Problems with Saturn Software**

This section is a notice for readers who have had problems with a mail-order company, Saturn Software.  It instructs those with complaints to send details and proof of order to a specific address at Future Publishing.

**Section 2: New Amiga Bundles - Wild or Weird?**

This section details two new Amiga 600 bundles released by Commodore.  The bundles, ""The Wild, The Weird, and The Wicked"" and ""Epic,"" are aimed at different demographics.  ""The Wild, The Weird, and The Wicked"" is targeted at younger users, while ""Epic"" is for more serious gamers.  The bundles include the Amiga 600, software, and games.  The price of the bundles is mentioned, and the games included are described.  The article also notes Commodore's claim that the games were chosen for quality, but some popular titles were absent from the bundles.  There's also a mention of a more expensive ""Amiga 600 HD"" bundle, which includes additional software and a language lab.

**Section 3: Amiga 600 HD**

This section focuses on the Amiga 600 HD bundle, highlighting its features, such as the inclusion of Ocean's Epic, System 3's Myth, and Millennium's Rome.  It also mentions the Amiga language lab with Trivial Pursuit in multiple languages (English, German, and French).  The article also notes the inclusion of a word processing system and a multilingual dictionary.

**Section 4: Commodore's UK Managing Director**

The article quotes Kelly Sumner, Commodore's UK Managing Director, who discusses the design choices behind the bundles.  She explains that the bundles are targeted at different types of users, with ""The Wild, The Weird, and The Wicked"" aimed at younger users and ""Epic"" at more serious gamers.

**Section 5: Better Than Sensible Soccer!**

This section is a review of Sensible Soccer 1.1.  The review gives a rating of 93% in AP15.  It highlights the updated team data, including new nations from the former Eastern Bloc.  The gameplay has been tweaked, with improved goalkeepers.  The review also mentions that owners of the original Sensible Soccer can upgrade to the new version for a small fee, receiving a new disk and the original disk back.

**Overall:**

The page is filled with product information, news, and reviews related to Amiga computers and software.  The tone is informative and descriptive, providing details about the products and their features.  The review of Sensible Soccer 1.1 is positive, highlighting the improvements over the previous version.
"
