Page Number,Page Information
1,"The image is the cover of Amiga Power magazine, issue 20, December 1992.

The cover features a large, bold title ""AMIGA POWER"" in a stylized, dark blue font.  The background is a muted gray.  Subheadings and graphics are used to highlight key content.

Several prominent sections are highlighted:

* **""The Votes Are In! Your Top 100 Inside"":** This section indicates that the magazine features a list of the top 100 games.
* **""Count 'Em! Three Playable Demos"":**  This section promises three playable demos of games.
* **""We Reveal The Biggest Games of the Year"":** This section suggests a review or ranking of the most significant games released in the year.
* **""Street Fighter II Road Rash"":**  This is a prominent feature, likely a review or a significant article about these games.
* **""148 Game Packed Pages"":** This indicates the substantial amount of content within the magazine.

The cover also includes smaller graphics and text related to specific games, such as ""BC Kid,"" ""Pinball Fantasies,"" and ""Kyrandia.""  There are also images of game screens, including a screenshot of ""Lethal Weapon,"" ""Merry Xmas Graftgold,"" and ""Bill's Tomato Game.""

The magazine's issue number (20) and publication date (December 1992) are clearly visible.  A barcode and a price are also present.  A ""Future Publishing"" logo and a ""guarantee of value"" statement are also featured.

Overall, the cover design is visually appealing and informative, highlighting the magazine's content and attracting potential readers.
"
2,"The image is a promotional or advertisement page, likely from a magazine or flyer, for a video game arcade called ""Comet.""

The page prominently features the title ""THE GAMESMASTER AT COMET.""  Below this, in a larger, bolder font, it states ""YOU HAVE NOTHING BUT YOUR LIVES."" This suggests a high-stakes, potentially challenging, gaming experience.

The page is filled with multiple small images of video game screens, showcasing various arcade games.  These images are arranged in a grid-like pattern, likely to give the reader a glimpse of the different games available.  The games appear to be from the 1980s or early 1990s, judging by the graphics style.  The games shown include fighting games, racing games, and platformers.  The images show various game elements, such as character actions, scores, and game progress indicators.  Specific game titles are not visible, but the images give a general idea of the types of games offered.

The text and images work together to create a sense of excitement and intensity associated with the arcade experience. The phrase ""You have nothing but your lives"" implies a high level of competition and risk.  The overall design is simple but effective, using a dark green background and white text to highlight the key information."
3,"This page is an advertisement for Comet's ""Gamesmaster Zone.""  It's likely a promotional insert or flyer, possibly from a magazine or catalog.

The advertisement highlights the Gamesmaster Zone as a place to find a wide variety of video game software, including the latest and greatest titles.  The text emphasizes that games are available the day they are released, not just boxed and stored behind the counter.  The Zone also has demo units where customers can play games before purchasing them.

The ad also promotes a Gamesmaster Zone Discount Card, offering 10% off new games until the following April.  It also claims that the Gamesmaster Zone's prices are among the lowest in the market.

The page includes several small images of video game graphics, showcasing different game genres and styles.  These images are likely intended to entice potential customers and give a visual representation of the games available.

The advertisement is clearly aimed at video game enthusiasts and retailers.  The overall tone is promotional and persuasive, encouraging customers to visit the Gamesmaster Zone at Comet.  The inclusion of Channel Four Television further suggests a broader marketing campaign.

A prominent graphic of a discount card is included, with an expiration date of April 30, 1993.  This reinforces the time-sensitive nature of the offer.
"
4,"This is a page from *Amiga Power* magazine, Issue 20, December 1992.  The page is largely dedicated to game reviews, previews, and news related to Amiga games.

**Sections and Content:**

* **10 True Stories:** A short introductory section with a headline and a brief paragraph about the five-page news section that follows.

* **18 Gallup Charts:**  A section focused on the popularity charts of Amiga games.  The text describes the charts as a reflection of game popularity.

* **22 The Shape of Things to Come:**  A preview section highlighting upcoming Amiga games, including *Street Fighter II*, *Elite 2*, and *Cannon Fodder*.

* **69 Complete Control:**  A section likely dedicated to a specific game, possibly a puzzle or action game, offering advice or solutions to challenges within the game.

* **79 Readers' All-Time Top 100:**  A list of the top 100 Amiga games, based on reader votes.

* **86 Definition of Sound:**  A review or buyer's guide section focusing on sound design in Amiga games.

* **110 What's in the Bag for '93?:**  A preview section looking ahead to games expected in 1993.

* **118 The Sequel:**  A section about a game sequel, likely discussing its features and comparing it to the original.

* **125 Do the Write Thing:**  A section dedicated to reader letters and a guide to writing letters to the magazine.

* **131 The Bottom Line:**  A section offering a summary or review of the previous year's games.

* **142 Back Issues:**  A section likely discussing past issues of the magazine.

* **145 In the Style of Xmas:**  A section about games re-imagined in a Christmas theme.

* **Games of the...:**  A series of smaller sections, each with a game title and a brief review or preview.  These include:
    * **Road Rash:** A review or preview of the game, with a screenshot. Page 34
    * **Pinball Fantasies:** A review or preview of the game, with a screenshot. Page 38
    * **Lethal Weapon:** A review of the game. Page 42
    * **McDonaldland:** A review of the game. Page 46
    * **TV Sports Boxing:** A review or preview of the game. Page 52
    * **Ween:** A review or preview of the game. Page 54

* **Win! Loads of Stuff in Our Three Fab Comps!:**  A promotional section advertising a giveaway or contest.  Pages 115, 123, and 139.

* **No Second Prize:**  A note about a contest or giveaway, mentioning a lack of a particular prize. Page 62


**Overall:** The page is a mix of reviews, previews, news, reader feedback, and promotional material, typical of a gaming magazine from the era.  The layout is visually appealing with screenshots and graphics.  The page is clearly organized into distinct sections, making it easy to navigate and find specific information.
"
5,"This page is from a magazine, likely *Amiga Power*,  featuring a December 1992 issue.  It's a mix of game reviews, previews, and advertisements.

**Games Reviewed This Issue (December):**

The page highlights games reviewed in the December issue.  It presents a list of games, categorized by price range (Full Price), and includes a brief description of each game.  The list includes titles like ""BC Kid,"" ""Bunny Bricks,"" ""Caesar,"" ""Campaign,"" ""Dark Queen of Krynn,"" ""Humans,"" ""Kyrandia,"" ""Lethal Weapon,"" ""Lords of Time,"" and many more.  The price range for each game is listed next to the title.

**Campaign Section:**

A section is dedicated to a game called ""Campaign.""  There's a brief description and a small image of the game's graphics.  The text states that ""Sensible Soccer, eh? It's great. And so's this.""  The page number is also included.

**Kyrandia Section:**

Another section focuses on ""Kyrandia,"" with a description and a small image.  The text includes a quote about a character named ""Malcolm.""

**Budget Section:**

A list of games categorized under ""Budget"" is presented, including titles like ""Pictionary,"" ""Spellbound Dizzy,"" ""Supercars II,"" ""World Championship Boxing Manager,"" and others.

**Compilations Section:**

A section titled ""Compilations"" lists games like ""Super All Stars"" and ""Super Fighters.""

**Public Domain Section:**

A section titled ""Public Domain"" lists games like ""Mad Susie Goes On,"" ""Intrepid,"" ""All Guns Blazing,"" and ""Tank Attack.""

**Bunny Bricks Section:**

A section is dedicated to ""Bunny Bricks,"" with a description and a small image.  The text states that the game is ""Arkanoid, with rabbits. Apparently.""

**BC Kid Section:**

A section is dedicated to ""BC Kid,"" with a description and a small image.  The text states that the image ""tells you all you could ever need to know.""

**Next Month Preview:**

A section highlights the upcoming January issue, stating that it will be worth waiting for.  The text mentions that the January issue will be the last chance to buy the magazine before the price increases.

**Disk 20 Advertisement:**

A prominent section advertises ""Disk 20,"" highlighting the inclusion of three full-length demos.

**Lethal Weapon Review:**

A review section for ""Lethal Weapon"" is included, describing the game as a platform action game.

**Fire and Ice Review:**

A review section for ""Fire and Ice"" is included, describing the game as a Christmas-themed game.

**Bill's Tomato Game Review:**

A review section for ""Bill's Tomato Game"" is included, describing the game as a puzzle game.

**Faulty Disk Instructions:**

A section provides instructions for returning faulty disks.

**Overall:**

The page is a collection of game reviews, previews, and advertisements, typical of a gaming magazine from the 1990s.  The layout is visually appealing, with images of game screens and graphics.  The text is informative and engaging, providing details about the games and their features.
"
6,"This page is a section from a magazine, likely an Amiga computer gaming magazine, featuring a review and information about the game ""Lethal Weapon.""

**Review Section:**

The page details the game ""Lethal Weapon,"" highlighting its gameplay mechanics and features.  The text describes the game as a ""fast action platform romp"" and mentions the player's ability to switch between characters.  It explains how to navigate the game's levels, including using the joystick to move through the environment and interact with objects.  The review also touches on the game's difficulty, noting that it can be challenging at times.  There's a humorous anecdote about a character named ""Ed"" who is struggling with the game's mechanics.  The review also describes the game's graphics and overall feel, mentioning that it's ""slick, fast, and bullet-strewn.""

**Game Information:**

The page provides information about the game's publisher (Ocean), authors (in-house), and the game's difficulty.  It also includes a screenshot of the game's environment, showing the police department setting and the changing room where players can switch characters.

**Troubleshooting and Support:**

A section titled ""Those Darn Disks"" offers instructions on how to load and play the game on an Amiga computer.  It details the steps for loading the game, including switching the machine off and on, inserting the disk, and using the on-screen options menu.  The section also includes advice on maintaining the game disk, such as keeping it in the drive and performing regular disk checks to prevent virus infections.  There's also a troubleshooting section for disk problems, including instructions on how to contact the magazine for support if the disk won't load.

**Additional Information:**

The page also includes a section titled ""What the Dickens Am I Supposed to Do?"" which provides a humorous and lighthearted explanation of the game's mechanics, focusing on the player character's role as a tomato.  This section is a humorous take on the game's mechanics.

**Overall:**

The page is a mix of game review, instructions, and troubleshooting advice, all presented in a style typical of a gaming magazine from the 1990s.  The tone is informative, humorous, and aimed at Amiga computer users.  There's no explicit rating, but the overall tone suggests a positive review of the game.
"
7,"This page is a magazine article, likely from a computer gaming magazine, featuring a review and information about the game ""Fire & Ice.""

**Game Overview:**

The article discusses the game ""Fire & Ice,"" highlighting its Christmas theme and arctic setting.  It emphasizes the game's action-oriented gameplay, mentioning features like collecting items, interacting with the environment (whales, snow), and defeating enemies.  The article also mentions a ""Cool Coyote"" character, dressed in a Santa suit, as a prominent element.

**Review Sections:**

* **""Disk 20"" Header:** This section indicates the game's position in the magazine's listing of available games.

* **""Fire & Ice"" Title:**  This is a large, bold title, drawing attention to the game's name.

* **Gameplay Description:** The article provides a brief overview of the game's action, including the use of weapons, movement, and the need to collect items.

* **Controls:**  A visual representation of the game's controls is shown, with icons for actions like ""Fire,"" ""Jump,"" ""Left,"" ""Right,"" and ""Crouch.""

* **Publisher and Author:**  The game's publisher (Renegrade) and author (Graftgold) are identified.

* **""Dreaming of a Coyote Xmas"" Section:** This section describes a bonus level or special feature within the game, focusing on the Christmas theme and the character ""Cool Coyote.""  It details the gameplay mechanics of this particular section.

* **""What About the Last Paragraph?"" Section:** This section is a humorous note about the game's sound effects, specifically mentioning a Christmas-themed soundtrack.  It also includes a call to action, encouraging readers to purchase the full game.

* **""I'm Getting Fed Up, I Can't Do a Single Level"" Section:** This section provides helpful tips and strategies for players who are struggling with the game.  It suggests a stage-by-stage approach and using items strategically.

* **""Yeah I've Done One, What's This Strange Word?"" Section:** This section discusses the game's level completion system, highlighting the use of passwords to skip levels and the number of levels available.

* **""Gosh, Is That It?"" Section:** This section is a player's commentary on the game's difficulty and progression.

* **""Controls"" Section (repeated):**  A second set of controls is shown, likely for a different aspect of the game.

**Overall:**

The article presents a detailed look at the game ""Fire & Ice,"" including gameplay mechanics, controls, and tips for players.  It also highlights the game's Christmas theme and the character ""Cool Coyote.""  The review style is informative and engaging, with a focus on helping players understand and enjoy the game.  There's no explicit rating, but the overall tone suggests a positive review.
"
8,"This page is a catalog or advertisement for computer games and peripherals, likely for the Amiga computer system.  It's a detailed listing, not a review.

The page is organized into sections:

**1. Game Listings:**  The majority of the page is a large grid of game images and titles.  Each game has a price listed next to it.  The games are categorized by genre (e.g., action, strategy, sports) but not explicitly.  There are many different games, including titles like ""Rainbow Collection,"" ""Hollywood Collection,"" ""Wheels of Fire,"" ""Power Up,"" ""D-Generation,"" ""Titus the Fox,"" ""Heidmard,"" ""Elite,"" ""Lotus Turbo 2,"" ""Beast 1,"" ""Thunderhawk,"" ""Battle of Britain,"" ""F19 Stealth,"" ""Jaguar XJ220,"" ""Scrabble,"" ""Microprose Golf,"" ""Space Crusade,"" ""Railroad Tycoon,"" ""Champ Mgr,"" ""Jimmy White,"" ""Captive,"" ""Xenon 2,"" ""Kick Off 2,"" ""Leander,"" ""Indy Jones Adv,"" ""Lemmings,"" and ""Blues Brothers.""  A separate section highlights games marked ""(NOP)"" which likely won't run on certain Amiga models.  The games are listed in a large table format, with columns for game title, price, and sometimes additional details.

**2. Games by System:**  There's a section that lists games specifically for the A500 Plus or A600 models.  This section is organized similarly to the main game list, but with a focus on compatibility.

**3. Game Descriptions (Implied):**  While not explicitly stated, the presence of game images and titles implies that there are descriptions or summaries of the games, though these are not visible on the page.

**4. Peripheral Listings:**  Below the game listings, there's a section dedicated to computer peripherals.  This includes items like a ""Premier Control Centre for Amiga A600,"" ""Stereo Speakers for Amiga or ST,"" ""Cleaning Kit,"" ""External 3.5"" Disk Drive,"" ""Power Scan Amiga Hand Scanner,"" ""Technoplus Family Compendium,"" ""Squik Mouse,"" and ""Mains Adaptor.""  Each peripheral has a description and price.

**5. Contact Information:**  At the bottom of the page, there's contact information (phone number) and a statement indicating that these are ""Special Reserve Sales.""

**Overall:** The page is a comprehensive listing of Amiga games and accessories, likely from a retailer.  It's not a review, but rather a catalog or advertisement.  The layout is clear and easy to navigate, with images and prices prominently displayed.
"
9,"This page is an advertisement for Special Reserve Sales, featuring a wide range of Amiga computer products.  It's a detailed catalog showcasing various hardware and software items.

**Product Sections:**

The page is organized into several sections, each focusing on a specific category of products:

* **Amiga 600 & 600HD Package Deals:**  This section highlights three different Amiga 600 and 600HD package deals, including ""Lemmings,"" ""Wild, Weird, Wicked Pack,"" and ""Epic Pack with 600HD 20 Meg Hard Drive."" Each package includes various software titles and sometimes hardware components.  Prices and features are listed for each.

* **Printers:**  A selection of Citizen and Canon printers are advertised, including models like the Citizen 120D+, Swift 9, 224, and 240C, and the Canon BJ-10EX.  Specifications like print speed, resolution, and warranty are included.  Prices and optional accessories like printer leads and color kits are listed.

* **TV/Monitors:**  Goldstar and Sony TV/monitor options are presented, with features like remote control, SCART input, and free cables.  Prices and membership benefits are included.

* **Amiga Accessories:**  This section is extensive, listing a wide variety of Amiga hardware accessories, including hard drives, disk boxes, ribbons, and cartridges.  Items like the GVP HD8+52 Megabyte hard drive, various joystick models (Quickjoy, Quickshot, Speedking), and other peripherals are included.  Prices and details are provided for each item.

**Membership and Ordering Information:**

* **Membership:**  The advertisement emphasizes the benefits of membership, including access to the Special Reserve magazine (NRG), special offers, and discounts.  Annual membership costs are listed for different regions.

* **Ordering:**  Instructions for ordering, including how to join the membership, are provided.  The page includes a form for ordering hardware, with fields for name, address, phone number, membership number (if applicable), and payment details.  Important notes about VAT, carriage, and order limitations are also included.

* **Contact Information:**  The page provides a phone number (0279 600204) for inquiries and ordering.  A physical address (P.O. Box 847, Harlow, CM21 9PH) is also given.

**Overall Impression:**

The page is a comprehensive advertisement for a wide range of Amiga products, highlighting the various packages, accessories, and software available.  The layout is clear and easy to navigate, with prices and specifications clearly displayed for each item.  The emphasis on membership benefits and special offers is a key part of the marketing strategy.
"
10,"This page is from a magazine, likely *Amiga Power*, from December 1992.  It's a feature article focused on the launch of the Commodore A1200 computer.

The article is structured into several sections:

**1.  ""True Stories"" Headline and Introduction:**  This section introduces the Commodore A1200, highlighting it as a ""truly new Amiga"" compared to previous models (A500P and A600).  It emphasizes the machine's 32-bit architecture, targeting the competitive home computer market, and its use of the Motorola 68020 processor and Commodore's new AA graphics chip set.

**2.  ""Salutations"" Section:** This is a brief editorial or introductory piece, likely written by a magazine editor or staff member.  It welcomes readers to the issue, notes the inclusion of high-quality demos, and highlights the A1200 as a significant new product.  It also discusses the magazine's strategy of providing quality demos and software reviews.  The piece also includes a photo of a smiling man, likely a spokesperson or representative of Commodore.

**3.  Technical Specifications and Features:**  This section details the A1200's specifications, including its processing power (based on the A600), numeric keypad, 3.5-inch drive, mouse/joystick ports, expansion ports, and video output ports.  It also mentions the built-in RF modulator.  The text also discusses the compatibility of the new machine with existing software, predicting a 60% compatibility rate.

**4.  ""Civilization"" Game Mention:**  This section highlights a specific game, ""Civilization,"" as one of the first games enhanced for the A1200.  This suggests the game's developers were already working on versions compatible with the new machine.

**5.  ""More Colours, More Parallaxing, Faster Processing"" Section:** This section focuses on the A1200's graphical capabilities, emphasizing the increased color depth (16.8 million colors), parallaxing effects, and faster processing speed.  It highlights how these features will enhance the gaming experience.

**6.  Software and Compatibility Discussion:**  This section discusses the availability of software for the A1200, noting that 15 titles were expected by Christmas 1992.  It also mentions the import of PC graphics to enhance Amiga gameplay.  The article predicts the A1200 will become a popular machine in the 1990s.

**7.  Marketing and Advertising:**  This section discusses Commodore's marketing strategy, including a £4 million advertising campaign targeting kids and parents.  It also describes a planned TV commercial featuring a ""Terminator-type geezer"" and a teenager with fake glasses.

**8.  CDTV Price Reduction:**  The article concludes with a mention of a price reduction for the Commodore CDTV, suggesting a strategy to make it more competitive.

**Overall Impression:** The article is enthusiastic about the A1200, highlighting its technical advancements and potential for the future.  It emphasizes the machine's capabilities and the expected software support.  The tone is positive and promotional, typical of a product launch announcement in a computer magazine.  The review rating is not explicitly stated, but the overall tone suggests a positive assessment of the A1200.
"
