Page Number,Page Information
1,"The image is the cover of Amiga Power magazine, issue 29, September 1993.

The cover features a bold, yellow and black ""AMIGA POWER"" logo.  The magazine's title is prominently displayed, along with the issue number (29) and date (September 1993).

Several promotional elements are present:

* **""Don't Buy an Amiga Game Until You've Read This""**: This tagline suggests the magazine's importance in making informed purchasing decisions.
* **""Games Master Page Sampler - 16 Free Inside!""**: This highlights a bonus feature included in the magazine.
* **""We Told You So! Amiga CD32 Twice the Fun?""**: This is a promotional statement about the Amiga CD32, suggesting its superior capabilities.
* **""You'll Never See a Better Disk!""**: This is a bold claim about the quality of the software featured in the magazine.
* **""Say Cheese! Curl up with Colin in One Step Beyond""**: This is a promotional hook for a specific game review or article.  A cartoon image of a dog in a suit is featured.
* **""Big Sexy Three-Way Romp""**: This is a suggestive title for a game review or article.
* **""F117A Stealth Fighter""**: This is a game featured in the magazine, along with its developer (MicroProse).
* **""Blob"" and ""Squigs""**: These are other games featured in the magazine, with brief descriptions of their content.

The cover also includes images related to the games mentioned, including screenshots and character art.  The overall design is vibrant and eye-catching, typical of gaming magazines from the 1990s.  The use of bold colors and graphics, along with the promotional language, aims to attract readers interested in Amiga games and technology.  The presence of a barcode and a Future Publishing logo indicates the magazine's publisher.
"
2,"This page is a catalog or advertisement, likely for Amiga computer products and games.  It's densely packed with information, organized into sections.

**Section 1: Amiga Games (Grid)**

The top portion of the page displays a grid of Amiga game titles.  Each game title is accompanied by a small image and its price.  The games are categorized by genre (e.g., action, adventure, sports) but not explicitly.  Titles include: Chuck Rock 2, HeroQuest, Dark Queen of Krynn, Flashback, Superfrog, Syndicate, Lemmings 2, Lotus 3, Project X, Sensible Soccer, Pools of Darkness, Gunship, Ultima V, Power Up, etc.  The prices are listed next to each game.

**Section 2: Amiga Games (List)**

Below the grid, there's a longer list of Amiga games, with more detailed information than the grid.  This section includes the game title, a brief description (often just the name), the price, and the size of the game (in Megabytes, often abbreviated as MEG).  Games marked ""NOP"" will not work on A500 Plus, A600 or A1200.  This section is organized alphabetically.

**Section 3: Amiga Utility**

This section lists software utilities for the Amiga, such as construction kits, programming tools, and other applications.  The titles include Amiga Construction Set, Amiga Educational, and more.  The prices are listed next to each utility.

**Section 4: Disk Drives, Power Supplies, and Accessories**

This section details various disk drives, power supplies, and other accessories for the Amiga.  It includes external disk drives, hard drives, and various cables.  The prices are listed next to each item.

**Section 5: Memory Upgrades**

This section lists memory upgrades for Amiga computers, including different sizes and types of RAM chips.  The prices are listed next to each upgrade.

**Section 6: Work Centres**

This section lists work centers, which are likely specialized enclosures or cases for Amiga computers.  The prices are listed next to each item.

**Section 7: Cleaning Kits and Dust Covers**

This section lists cleaning kits and dust covers for Amiga computers and components.  The prices are listed next to each item.

**Section 8: Leads**

This section lists various cables and leads for Amiga computers, including monitor cables, audio cables, and more.  The prices are listed next to each item.

**Section 9: Joystick Extras**

This section lists various joystick accessories for the Amiga.  The prices are listed next to each item.

**Section 10: Power Supply**

This section lists power supplies for Amiga computers.  The prices are listed next to each item.

**Section 11: Disk Boxes**

This section lists various disk boxes for storing Amiga disks.  The prices are listed next to each item.

**Section 12: Verbatim Disks**

This section lists Verbatim 3.5"" disks, including a pack of 50.  The price is listed.

**Section 13: Music & Sound Equipment**

This section lists various music and sound equipment for the Amiga, such as sound cards, speakers, and software.  The prices are listed next to each item.

**Section 14: Video Equipment**

This section lists various video equipment for the Amiga, such as monitors, cables, and other accessories.  The prices are listed next to each item.

**Section 15: Scanners**

This section lists scanners for the Amiga.  The prices are listed next to each item.

**Section 16: Hand Scanners**

This section lists hand scanners for the Amiga.  The prices are listed next to each item.

**Section 17:  Other Accessories**

This section lists various other accessories for the Amiga, such as cables, connectors, and other items.  The prices are listed next to each item.

**Overall:** The page is a comprehensive catalog of Amiga computer products and games, providing detailed information on each item, including prices.  The organization is primarily by product category.
"
3,"This page is a vintage advertisement, likely from a computer or electronics retailer, showcasing a wide range of products, including computers, monitors, printers, game consoles, and accessories.  It's heavily focused on promoting the Commodore Amiga line of products, along with other brands like Sega, Nintendo, and Sony.

**Sections and Products:**

* **New Members Discount:** The top section highlights a £2.00 discount for new members on any one item purchased.  This offer has a closing date of September 30, 1993.

* **Commodore Amiga Products:**  The advertisement features various Commodore Amiga models, including the A600, A1200, and A4000/030.  Each listing details specific features like built-in TV modulators, RAM expandability, hard drives, and included software (like Lemmings and Deluxe Paint).  Prices are clearly displayed for each model.

* **Goldstar 14"" Colour Television/Monitor:**  This section advertises a Goldstar monitor with a remote control and SCART input.  The price is listed.

* **Commodore 1084ST Colour Stereo Monitor:**  This ad promotes a colour stereo monitor with a tilt and swivel stand, and a warranty.  The price is listed.

* **Sony 14"" FST Colour Television/Monitor:**  This section advertises a Sony monitor with a remote control, SCART input, and a special offer of £20 off.  The price is listed.

* **Printers:**  Several models of Citizen printers are advertised, including 9-pin and 24-pin color and monochrome models.  Specifications like column count, print speeds, and warranty are included.  Canon's BJ-10SX Bubble Jet printer is also featured.

* **Game Consoles and Accessories:**  Sega Megadrive and Nintendo Super NES consoles are advertised, along with various gamepads and joysticks.  The prices for these items are also clearly displayed.

* **Special Reserve Club:**  A significant section promotes the ""Special Reserve"" club, offering benefits like a magazine (""NRG""), special deals, and the chance to win prizes.  It details the membership fee and how to join.  The club appears to be a way to get exclusive deals and information on new products.

* **Membership Fees:**  The advertisement clearly outlines membership fees for UK and overseas members, with different pricing for different durations (6 months, 1 year, 2 years).

* **Ordering Information:**  The page provides detailed instructions on how to order products, including telephone numbers, fax numbers, and the address for sending orders.  It also mentions a surcharge for telephone orders.

**Overall Impression:**

The advertisement is well-organized and provides a comprehensive overview of the available products.  The prices and specifications are clearly presented, and the layout is easy to navigate.  The focus on the Commodore Amiga line and the Special Reserve club suggests a targeted marketing approach.  The overall style and presentation are typical of a print advertisement from the early 1990s.


**Review Rating:**

There are no reviews explicitly stated on the page.  The page is entirely focused on product listings and promotional offers.
"
4,"This page is a spread from a magazine, likely *Amiga Power*, issue 29, September 1993.  It's a mix of articles, reviews, and advertisements.

**Sections and Content:**

* **""This Is Amiga Power"" Header:**  A large, bold headline at the top of the page.

* **Editorials and Articles:**  The page features a variety of articles, including:
    * **Dave Green's Amazing But-True Stories:**  A feature about the Amiga CD console, likely a review or preview.
    * **Ripley's Believe It or Not (AKA The Gallup Charts):**  A review or analysis of the top three Amiga games in the current month.
    * **Some Games That Aren't Quite Finished Just Yet:**  A preview of upcoming games, including details and screenshots.
    * **Your Chance to Win, Er, a Karaoke Machine:**  A contest or promotion.
    * **You Really Ought to Read This Page, Y'Know:**  An advertisement or promotion for the magazine.
    * **Appallingly Useless Game Players' Corner:**  A humorous or critical look at game design or player behavior.
    * **The Name of a Book About Sexual Fantasies:**  A review or commentary on a book, likely with a humorous or satirical tone.
    * **Social Interaction and Random Surrealism:**  A review or commentary on the letters pages of the magazine.
    * **Calling a Column 'PD File' Isn't Big or Hard:**  A humorous or satirical commentary on a column or article.
    * **The Bottom Line, Featuring Elton John:**  A buyers' guide or review of Amiga games, likely without any mention of Elton John.
    * **Right Profile Hour with Uncle Roger:**  An interview or Q&A with a figure in the leisure computing industry.

* **Games of the Month:**  This section features previews or reviews of specific games, including:
    * **Soccer Kid:**  A game preview with a screenshot.
    * **Blob:**  A game preview with a screenshot.
    * **Sim Life:**  A game preview with a screenshot.
    * **Super Sports Challenge:**  A game preview with a screenshot.

* **Advertisements:**  The page includes advertisements for the magazine itself, including a free 16-page sample issue.  There's also an advertisement for a book, ""The Secret Garden.""

* **""The Secret Garden P84"" Feature:**  A section with a picture of a person and text about the book ""My Secret Garden.""

* **Mark and Lisa Quotes:**  Short quotes from two people, likely staff members of the magazine.

* **Page Numbers:**  Page numbers are included for each article and feature, making it easy to navigate the magazine.

**Overall Impression:**

The page is a typical example of a gaming magazine from the 1990s, filled with reviews, previews, articles, and advertisements. The tone is often humorous and engaging, aimed at a gaming audience.  The inclusion of screenshots and page numbers is typical of magazine layout of the time.  The overall rating is not explicitly stated, but the content suggests a mix of reviews, previews, and promotional material.
"
5,"This page is from *Amiga Power* magazine, September 1993, and features a variety of content related to Amiga computer games.

**Top Section:**

The top section prominently displays the magazine's title, ""OVER 300 CHERRY TREES IN AUSTRALIA!"", suggesting a possible focus on Australian-related content or a theme within the magazine.  Below this, a large graphic and text block introduces ""Disk 29,"" highlighting a new game release, ""F117A Stealth Fighter.""  The text emphasizes the game's features and a special offer: a free T-shirt with purchase from Virgin stores.

**Games Reviewed This Issue:**

A section titled ""GAMES REVIEWED THIS ISSUE"" lists the games reviewed in the current issue, categorized by ""FULL PRICE.""  The list includes titles like ""Blob,"" ""Castles 2,"" ""D-Day,"" ""Football Tactician,"" and many others, along with their respective prices.

**One Step Beyond Review:**

A review of ""One Step Beyond"" is included, with a brief description and page number reference.

**Reader Survey Results:**

A pie chart presents the results of a reader survey on how much people spend on games each month.  The percentages are clearly labeled, showing spending ranges from less than £5 to £100.

**Budget and Public Domain Games:**

A list of budget and public domain games, along with their prices, is presented.

**Blob Game Review:**

A description of the ""Blob"" game, an arcade platform puzzle game, is provided, highlighting its features and design.

**Squigs Game Review:**

A description of the ""Squigs"" game, a puzzle game, is provided, highlighting its features and design.

**Next Month's Issue:**

A section details the upcoming October issue of *Amiga Power*, including the release date and a brief note about the writing process.

**Win a Karaoke Machine Contest:**

A large graphic advertises a contest to win a karaoke machine.

**Faulty Disk Information:**

A section provides instructions for returning faulty disks to the magazine.

**Overall:**

The page is packed with information about Amiga games, reviews, and reader surveys.  The layout is visually appealing, with a mix of text, graphics, and images.  The inclusion of a special offer for ""F117A Stealth Fighter"" suggests a promotional focus. The page also includes a variety of game information, including prices and descriptions.
"
6,"This page is an article from a magazine, likely *AMIGA POWER*, focused on a game called *F117A Stealth Fighter*.  The layout is typical of a magazine article, with various sections and graphics.

**Section 1: Your Disk and You**

This section provides crucial information for users experiencing problems with the game disk. It details troubleshooting steps if the game won't load, including checking peripheral connections (like external drives) and the importance of using the correct loading procedure (switching off and on the Amiga machine).  It also includes instructions for loading different game demos and emphasizes the importance of keeping the game disk in the drive during gameplay.  Finally, it includes a section about sending faulty disks to the correct address (DisCopy Labs).

**Section 2: F117A Stealth Fighter Overview**

This section introduces the game, highlighting its genre (flight simulator) and key features.  It emphasizes that the game is a one-megabyte game, and the cost of an upgrade.  It also includes a brief description of the game's setting and objective.

**Section 3: Necessarily Short Background**

This section gives a concise overview of the game's plot and mechanics.  It states that the game is a flight simulator where the player is in a stealth fighter, and the goal is to complete missions.

**Section 4: More Specific Instructions**

This section provides detailed instructions on how to control the game.  It lists the various joystick controls, including those for banking, climbing, diving, firing cannons, and using various weapons (flares, chaff, IR jammers, ECM, decoy, landing gear, autopilot, and bay doors).  It also lists the keyboard controls for camera movement and target selection.

**Section 5: Lengthy List of Controls**

This section expands on the control scheme, providing a more comprehensive list of controls, including those for flaps, brakes, throttle, weapon selection, and camera views.

**Section 6: Blob**

This section features a graphic of a pixelated, purple blob character.  The text accompanying the graphic suggests the character is a part of the game, and the text describes the character's actions and behavior.

**Section 7: Author and Review**

The author, Jonathan Hilliard, is credited with the review.  The review itself is described as an ""enthusiastic beginning, empty threat.""  The review seems to be positive, but also notes some minor issues.  The review also includes a humorous, somewhat sarcastic, section about the game's plot.

**Section 8: Insultingly Cursory Plot**

This section is a humorous and somewhat sarcastic summary of the game's plot, stating that the main character is a blob with motivations that are not explained.

**Overall:**

The page is a combination of game instructions, troubleshooting tips, and a review. The review is positive, but also points out some aspects of the game that might not be ideal. The inclusion of the ""Blob"" character and the humorous review sections add a unique touch to the article. The page's overall tone is informative and engaging, aimed at Amiga users interested in the game. The review rating isn't explicitly stated as a numerical score, but the tone suggests a generally positive, though not overwhelmingly enthusiastic, assessment.
"
7,"This page is a magazine article, likely from a gaming magazine, featuring a review and information about the video game ""Squigs.""

**Review Section:**

The article includes a review of the game ""Squigs,"" which is presented as a clone of the popular arcade game ""Columns.""  The review is not explicitly rated, but the tone suggests a mixed opinion.  There's a section titled ""Exceptionally Poor Joke"" which is a humorous anecdote about a character in the game, and a section titled ""Half-Hearted Attempt at Some Instructions"" which indicates a somewhat lackluster or incomplete explanation of the game's controls.  The review also includes a paragraph about the game's two-player mode, highlighting the need for cooperation and strategy.

**Game Information:**

The article provides a detailed overview of the game's mechanics.  It explains the basic gameplay principle of arranging three or more ""squigs"" (the game's characters) in a row to clear them from the playing field.  The article also describes different block types (bombs, TNT, steel plates, crystal cubes) that affect gameplay.  It distinguishes between the ""Normal"" game mode and the ""Rescue"" mode, where the player must form a line including a specific ""Help"" squig.  The article also discusses the two-player mode, emphasizing the need for cooperation to achieve high scores.

**Author and Introduction:**

The author of the review is Jonathan Hibbins.  The article begins with an introduction that highlights the game's similarities to ""Columns"" and its status as a clone.  It also includes a humorous apology for any perceived superficiality in the instructions.

**Technical Information (Controls):**

The article lists the various functions of the game's control buttons (F1-F10 and Shift keys).  These controls are related to the game's cockpit view, weapon selection, and other in-game actions.

**Overall Impression:**

The article presents a somewhat mixed review of the game.  While acknowledging its similarities to ""Columns,"" it also points out some shortcomings, such as the lackluster instructions and the somewhat repetitive gameplay.  The humorous anecdotes and the detailed explanation of the game's mechanics provide a comprehensive overview of the game for potential players.
"
8,"This page is an advertisement, likely from a computer store, showcasing a wide range of Amiga computer products, including components, peripherals, and accessories.  The layout is organized into sections, each focusing on a specific category of items.

**Amiga 1200 Packs:**  This section lists various configurations of the Amiga 1200 computer, including standalone models with different amounts of RAM (memory).  Prices are listed for each configuration.  Key features are highlighted, such as the 32-bit processor, on-site warranty, and included software.

**Amiga 4000 Packs:**  Similar to the 1200 section, this details different configurations of the Amiga 4000, also with varying RAM and hard drive capacities.  The prices and features are presented in a comparable format.

**A1200/A600 Hard Drives:**  This section focuses on hard drives compatible with the A1200 and A600 Amiga computers.  It lists different storage capacities (20MB, 40MB, 60MB, 80MB, 120MB, and 200MB) and corresponding prices.  The text emphasizes ease of installation and includes upgrade kits.

**Amiga 500 Hard Drives:**  This section is similar to the previous one, but for the Amiga 500.  It lists hard drive capacities and prices.

**Monitors:**  This section lists various monitor options, including the Philips 8833 MKII and Commodore 1084s.  Prices are given for each monitor.  A special offer is noted: when purchasing with an Amiga, a £10 discount is applied.  A dust cover is also available for an additional fee.

**SVGA/Multisync Monitors:**  This section details SVGA and Multisync monitors, highlighting their high resolution and compatibility with various Amiga models.  Different models with varying resolutions and features are listed, along with their prices.

**High Quality GVP Hard Drives:**  This section lists high-quality hard drives with different storage capacities (120MB, 500MB, and 1GB) and their corresponding prices.

**Internal Hard Drives for A500:**  This section lists internal hard drives for the Amiga 500, with various capacities and prices.  The text emphasizes the ease of installation and the use of ICD technology.

**A1200/A600 Memory Upgrades:**  This section lists memory upgrade kits for the A1200 and A600, including different RAM sizes and prices.  The text also mentions specific models of memory upgrades and real-time clocks.

**Workstations:**  This section details various workstation models (A500, A600, and A1200).  Features like ergonomic design, UK manufacture, and aesthetic appeal are highlighted.  Prices are listed for each workstation.  Dust covers are also available.

**Peripherals:**  This section lists a variety of peripherals, including floppy drives, mice, joysticks, speakers, and modems.  Prices and features are listed for each item.

**Scanners:**  This section lists scanners, highlighting their image processing capabilities, operation manuals, and suitability for home and professional use.  Different models and prices are listed.

**Pro ROM Swapper:**  This section details a Pro ROM Swapper, highlighting its ability to swap between Kickstart chips and its compatibility with various Amiga models.  Different configurations and prices are listed.


The overall impression is of a comprehensive catalog or advertisement for Amiga computer components and accessories.  Prices are clearly displayed for each item.
"
9,"This page is a catalog or advertisement, likely from a computer parts and accessories retailer.  It features a wide range of products, including computer components, peripherals, and software.

**Product Sections:**

* **High Current Power Supply:**  Lists various power supply units (A600, A500, A590, A1200, A2000) for different computer models, with prices.  The text highlights the ""switch mode design"" and ""full crow bar projection"" features.
* **Cumana 3.5"" External Drive:**  Details a 3.5-inch external hard drive, including capacity, quality, and features like a high-impact plastic casing and long cable.  Price is listed.
* **Printers:**  Features a range of Amiga printers (Swift 1200+, Swift 90 Colour, Swift 200, Swift 240, Swift Pro Jet) with specifications like print speed, resolution, and features.  Prices and technical details are provided for each model.
* **Chips and Spares:**  Lists various memory upgrades (A500 Pro-RAM 0.5 Meg, 1.5 Meg, 1MB) for Amiga computers, along with other components like ROM swapers, and chips.  Prices are given for each upgrade.  Also includes items like Workbench 2.04 Kit, Kickstart ROM Swapper, and other software/hardware components.
* **Pro Agnus 2MB:**  This section details a 2MB chip memory upgrade for Amiga 500 and A1500/2000 computers.  It emphasizes the British design and includes instructions.  A price is listed.

**General Information:**

* **Sales Hotline:**  Provides phone numbers for ordering and sales inquiries.
* **Credit Card Ordering:**  Explains the process for ordering by phone using credit cards.
* **Ordering by Post:**  Details the process for ordering by mail, including cheque and postal order options.
* **Delivery:**  States that there are no delivery charges for UK mainland orders, but a courier service is available for an additional fee.
* **Warranty:**  Describes a one-year return-to-base warranty (excluding chips) and an optional one-year extended warranty available at 10% of the purchase price.
* **Company Information:**  Includes the company name (WTS Electronic Ltd), address, and contact information.
* **Locations:**  Lists various computer malls where the company has a presence (Bedford, St. Neots, Hertford, Dunstable).

**Overall:** The page presents a comprehensive catalog of computer products and services, with detailed descriptions, specifications, and pricing.  The layout is clear and easy to navigate, making it straightforward for customers to find the products they need.
"
10,"This page is from a magazine, likely a computer gaming magazine, and features an article about the Amiga CD32, a new 32-bit console.

The article is titled ""TRUE STORIES"" with a subtitle ""with Dave Green"".  The headline ""FAB NEW CD AMIGA"" is prominent, drawing attention to the new console.

The article itself is a review or news piece, focusing on the CD32.  It highlights the following key features:

* **CD-ROM Drive:** The CD32 plays music, videos, and games, unlike previous consoles.
* **32-bit Architecture:** The console is a 32-bit machine, a significant upgrade from previous Amiga models.
* **Games:** The article mentions several games already in development for the CD32, including titles like Chaos Engine, Zool, Syndicate, and classic games like James Pond 2 and Lemmings, all with CD-quality graphics and sound.
* **Price:** The retail price is £299.99, and the article encourages readers to look out for potential discounts.
* **Availability:** The CD32 is slated to be released in September 1993.
* **Technical Specifications:** The article mentions the use of a 32-bit AGA chip, a double-speed CD drive, stereo sound, and controller options.

The page also includes a picture of the Amiga CD32 console and a screenshot of a game being played on it.  There's also a small graphic of a game character on a platforming level.

A section titled ""TWICE THE FUN?"" discusses the availability of games for the CD32, confirming that several games are already in development.

The overall tone of the article is enthusiastic and positive, highlighting the CD32 as a significant advancement in home entertainment.  There's no explicit review rating, but the language suggests a positive outlook on the console's potential.
"
