Page Number,Page Information
1,"The image is the cover of Amiga Power magazine, issue 47, dated March 1995.

The cover features a vibrant design with a red biplane as the central image.  The title ""AMIGA POWER"" is prominently displayed in large, bold, black letters.  The subtitle ""Achtung!"" is in a large, yellow, stylized font.  The cover also includes smaller text blocks highlighting articles within the magazine.

The cover has several sections, each with its own title and a brief description:

* **GUARDIAN:**  This section describes a game that ""leaps the void from CD32 to A1200,"" suggesting a comparison of gaming experiences across different Amiga models.

* **DERRING-DO:**  This section promises a return of a game, ""Mr. Do,"" and notes that this version is from Yorkshire.

* **BUBBLE AND SQUEAK:**  This section advertises a puzzle game with four levels, designed for all Amiga computers.

* **PUCMAN:**  This section highlights a Pac-Man game with a two-player mode and other features.

* **DAGGA DAGGA DAGGA!** and **Eat lead! Eat Dawn Patrol!** These are large, bold phrases, likely referring to another game featured in the magazine.

The cover also includes the magazine's issue number (47), date (March 1995), and price (£3.95).  A barcode and the publisher's logo are also present.

The overall impression is one of excitement and variety, highlighting different games and features available in the magazine.  The cover art is quite stylized and colorful, typical of Amiga Power's design aesthetic.
"
2,"The page is a detailed catalog or price list, likely from a computer game retailer, showcasing a wide variety of Amiga games and software.  It's densely packed with information, presenting numerous titles, descriptions, and prices.

The layout is organized into sections, each focusing on a particular category of products.  There are clear headings for different game genres (e.g., ""A1200 Applications,"" ""A1200 Games,"" ""Amiga Educational,"" ""Amiga Strategy Books"").  Each game listing includes:

* **Game Title:**  The name of the game.
* **Price:**  The cost of the game.  Prices are consistently displayed, often with a ""Save"" amount indicating a discount.
* **Format:**  Often noted as ""A1200"" or ""CD32"" to specify the platform.
* **Brief Description:**  A short summary of the game's content or features.  This is often quite concise.
* **Developer/Publisher:**  This information is not always present.

**Specific Examples of Sections:**

* **A1200 Applications:** This section lists software utilities, including virtual worlds, and other tools for the Amiga 1200.  Prices and descriptions are provided for each application.

* **A1200 Games:**  This is a large section, listing a wide variety of games, from sports titles to strategy games, adventure games, and more.  Each game has a price and a brief description.

* **Amiga Educational:**  This section focuses on educational software, with titles like ""NC Driving Test,"" ""10 Out of 10 English (NC),"" and others.  Prices and details are provided for each program.

* **Amiga Strategy Books:**  This section lists strategy guides and manuals for various Amiga games.  Prices and titles are listed.

**Overall Impression:**

The page is a comprehensive catalog of Amiga software, providing a quick overview of the available games and applications.  The detailed pricing and descriptions make it easy for potential customers to browse and select products.  The layout is clear and easy to navigate, with distinct sections for different product types.  The use of ""Save"" indicators highlights discounted prices.  The page is likely intended for a retail environment, allowing customers to quickly find and purchase Amiga software.
"
3,"This page is a large advertisement, likely from a catalog or a printed flyer, for a wide range of computer hardware and software, primarily for Amiga computers.  It features numerous products, including:

**Hardware:**

* **Amiga CD32 Consoles and Bundles:**  Various configurations and bundles are highlighted, including the Super Amiga CD SX-1 bundle, and the Amiga CD32 Critical Zone Pack.  Prices and component details are listed.
* **Expansion Modules:**  Modules for expanding Amiga capabilities, like the SX-1 expansion module, are advertised.
* **Hard Drives:**  External and internal hard drives for Amiga computers, with varying capacities and features, are promoted.
* **Memory Expansions:**  Upgrades for RAM (memory) are available for Amiga models.
* **Disk Drives:**  Internal and external 3.5"" disk drives are offered.
* **Keyboards, Mice, and Joysticks:**  A variety of input devices, including joysticks with turbo fire, are listed.
* **Monitors:**  Monitor leads and a Philips CM8833 MKII monitor are advertised.
* **Speakers:**  Stereo speakers for Amiga systems are available.
* **Printers:**  Citizen ABC 24-pin color printer and Canon BJC 4000 color inkjet printer are featured.
* **Other Peripherals:**  Various other peripherals like media drawers, disk boxes, and cables are included.
* **Power Supplies:**  Power supplies for Amiga computers are listed.
* **Computer Care:**  Cleaning kits, dust covers, and stands for computers are also available.

**Software:**

* **Software Titles:**  Several Amiga software titles are mentioned in the bundles.
* **Expansion Modules:**  Some software is designed to work with the expansion modules.

**Other:**

* **Membership:**  The advertisement promotes a membership program, offering discounts and a magazine.  Membership fees are listed.
* **Ordering Information:**  Contact information for ordering, including phone numbers and fax numbers, is provided.
* **Delivery:**  Details about delivery options and costs are included.
* **Warranty:**  Warranty information is given for some products.
* **Prices:**  Prices for all items are clearly displayed.
* **Special Offers:**  Special offers and discounts are highlighted, such as ""Special Reserve"" deals.

**Review Rating:**

There are no explicit review ratings visible on the page.  The information presented is primarily product descriptions and pricing, not reviews.


**Sections:**

The page is organized into distinct sections, each focusing on a particular category of products.  These sections are clearly separated by headings and visuals, making it easy to navigate the different product offerings.  There are also separate sections for ordering information, membership details, and contact information.
"
4,"This is a page from *Amiga Power* magazine, issue 47, March 1995.

The page is filled with various content related to Amiga computers and games.  It's a mix of articles, reviews, and advertisements.

**Sections:**

* **Regulars:** This section features news about the magazine, subscriptions, tips, back issues, letters to the editor, a game guide, and reader advertisements.
    * **News:**  The Daily Telegraph is mentioned as a source of news, but *Amiga Power* is presenting its own news coverage.
    * **Subscriptions:**  The magazine boasts its superior subscription service, even comparing it to a flower delivery service.
    * **Tips:**  The magazine offers advice on Amiga games, drawing comparisons to other resources like Haynes manuals and the Reader's Digest.
    * **Back Issues:**  The magazine highlights the historical value of its back issues.
    * **Letters:**  The magazine receives a high volume of letters from readers.
    * **Game Guide:**  The magazine provides a guide to Amiga games.
    * **Reader Ads:**  The page includes advertisements from readers.

* **Articles/Reviews:**  The page features several articles and reviews, each with a title and page number.
    * **Dawn Patrol:**  A review or article about a game called ""Dawn Patrol,"" describing the game's atmosphere and setting.
    * **Dinomania:**  An article or review about dinosaur games for Amiga computers, questioning the lack of new releases in the genre.
    * **Who Do We Think We Are?:**  An article or review about the cast of a game called ""The Garden That Time Forgot.""
    * **Death Mask:**  A review of a game called ""Death Mask,"" comparing it to the popular game ""Doom"" and discussing its strengths and weaknesses.
    * **Flink:**  A review of a platform game called ""Flink.""

* **Other:**
    * **Bloodnet:**  An article or review about a game called ""Bloodnet,"" describing the violent theme and gameplay.
    * **Printed in the UK:**  Information about the magazine's printing and distribution.
    * **ABC:**  A logo and information about the magazine's circulation.
    * **Copyright and Author's Notes:**  Information about the magazine's copyright and author's comments.

The page layout is typical of a magazine, with various sections and articles presented in a clear and organized manner.  The use of bold headings and page numbers helps readers quickly find the information they are looking for.  The overall tone is enthusiastic and informative, aimed at Amiga computer users and gamers.
"
5,"This page is a spread from an Amiga Power magazine, likely from March 1995, judging by the date.  It's a double-page spread, showcasing various articles and features related to Amiga computer games.

**Top Section:**

* **Headline:** ""OVER 14 DOUBLE-DECKER BUSES IN LENGTH"" and ""ATROL"" (likely a game or a feature related to the magazine's theme).  There's an illustration of a red biplane with a cartoon pilot.
* **""Introducing Disk 47"":**  This section highlights a new disk release, likely containing games or software for Amiga computers.  It emphasizes the symbiotic relationship between the magazine and the disk, suggesting that the disk's content complements the magazine's articles.  There's a graphic of a floppy disk.
* **""A1200 ONLY GUARDIAN"":**  This section promotes a game called ""Guardian"" specifically for the Amiga 1200.  The text describes the game as a fast-paced, action-packed experience.

**Left Column:**

* **""The Garden That Time Forgot"" (Page 88):**  This is an article or review about a game called ""The Garden That Time Forgot.""
* **""The Back Page"" (Page 90):**  This section features another article or review, this time about a game based on a 2000AD story.

**Right Column:**

* **""Bubble and Squeak"":**  This section is a review or preview of a game called ""Bubble and Squeak.""  It highlights the game's features and praises its inventiveness and quality.  There are screenshots of the game.
* **""Pacman"":**  This section is a review or preview of a Pac-Man game for the Amiga.  It describes the game as a compact demo version of the classic arcade game.  There's a screenshot of the game.
* **""Pucman"":**  This section is a review or preview of a game called ""Pucman.""  It describes the game as a maze-based game where the player controls a character that eats dots while avoiding ghosts.  There's a screenshot of the game.
* **""Derring-Do"":**  This section is a review or preview of a game called ""Derring-Do.""  It describes the game as a Blitz Basic-programmed version of a game from Yorkshire.  There's a screenshot of the game.
* **""Got a Faulty Disk?"":**  This section provides troubleshooting advice for readers who have problems with their disks.  It includes instructions on how to return faulty disks for replacement.

**Bottom Section:**

* **""Reviewed This Issue"":**  This is a list of games reviewed in the current issue of the magazine.  It includes the game title, a rating (likely a score or ranking), and the price.  The list is organized alphabetically.


The page overall presents a mix of game reviews, previews, and information about the magazine and its accompanying disks.  The layout is typical of a gaming magazine from the 1990s, with screenshots and detailed descriptions of the games.
"
6,"This page is an article from a magazine, likely *Amiga Power*, focused on a game called *Guardian* for the Amiga computer.  It's a review/feature, combining information about the game with troubleshooting tips for Amiga users.

**Review Section:**

The article prominently features a review of *Guardian*, a game described as a 3D version of the classic arcade game *Defender*.  The review highlights the game's 3D graphics, the unique level design, and the use of special effects.  The reviewer notes the game's complexity, mentioning the use of a mouse or CD32 controller, and the need to master the controls to navigate the 3D environment effectively.  The review also mentions the game's difficulty, requiring players to maintain a high score by keeping buildings intact.  The review is positive, praising the game's quality and complexity.  While no explicit rating is given, the overall tone suggests a high score (likely 90% or higher, as implied by the mention of a previous review).

**Troubleshooting and Support:**

A significant portion of the page is dedicated to troubleshooting tips for Amiga users.  The article addresses common problems, such as disk issues, and provides solutions.  It advises users on how to load games, handle errors, and maintain their disks.  The article also includes instructions on how to return faulty disks to the magazine's publisher, Discopy Labs, and emphasizes that the magazine's office should not be contacted for disk repair.

**Game Information:**

The article provides details about the game *Guardian*, including its development team (Acid A1200), and its previous release on the CD32.  It highlights the game's popularity and the significant time spent playing it by the magazine's staff.  The article also mentions the game's unusual impact on the community, describing it as having become a cult phenomenon in New Zealand.

**Gameplay Details:**

The article describes the gameplay mechanics of *Guardian*, including the different types of enemies, the controls (using the keyboard and mouse), and the power-ups.  It explains how to use the different commands, such as ""Fire,"" ""Nuke,"" and ""Guided Missiles.""  The article also describes the special spiked balls as power-ups and the strategy for collecting them.

**Technical Information:**

The article touches on the technical aspects of the game, mentioning the use of ""special chips"" in the CD32 version and the surprising availability of an A1200 version.  It also notes the magazine's print issues and the fine they received for missing their print slot.

**Overall:**

The page is a comprehensive look at the game *Guardian*, including a review, troubleshooting advice, and background information.  The article is aimed at Amiga users and provides a detailed look at the game's features and gameplay.
"
7,"This page is a section from a magazine, likely an Amiga Power issue, featuring game reviews and information.  It showcases three different game reviews/articles:

**1. DERRING DO:**

* **Review Rating/Summary:** The review, by Nick Slaven, describes the game as a ""superior version of Mr. Do.""  It's presented as a positive review, highlighting its superior gameplay compared to the original.
* **Details:** The review mentions the game's age, comparing it to the age of ancient tortoises and the geological features of Iceland.  It also notes the game's graphics and sound, emphasizing the faithfulness to the original coin-op version.  The review also points out a unique aspect of the game: the ghosts don't follow the same patterns as in the original.  The review also mentions a two-player mode and the potential for hours of gameplay.

**2. PUCMAN:**

* **Review Rating/Summary:** The review, by Augenblick, is mostly positive, but with a slight caveat.  It calls the game ""almost (but not quite) succeeding as a clone"" of the original Pac-Man.
* **Details:** The review highlights the game's close conversion of the popular coin-op game, noting its popularity with women players.  It praises the faithfully reproduced sound and graphics.  However, it also mentions that the game's ghosts don't follow the same patterns as the original, and that the game's solutions are tedious to uncover.  The review also mentions a two-player mode and the game's potential for hours of gameplay.

**3. BUBBLE & SQUEAK:**

* **Review Rating/Summary:** The review, by Audiogenic, is a detailed walkthrough and explanation of the game's mechanics.  It's a positive review, but with a focus on the game's unique gameplay mechanics.
* **Details:** The review starts by acknowledging the frustration some players had with a previous demo version.  It then explains the game's controls and objectives, including how to control the bald kid and coax the Blue Thing to the exit.  The review highlights the game's ""special skills"" and the ""fascinating array of new moves"" that can be used.  It also mentions the game's cruelty to the Blue Thing and the game's overall difficulty.

**Additional Information:**

* **Artwork:** The page includes screenshots/graphics of each game, showing gameplay elements and character designs.
* **Author Information:** Each review includes the author's name and a brief bio/description.
* **High Scores:**  There are high score sections for both games, showing the potential for competitive play.
* **Magazine Information:** The page is clearly part of a magazine, with the title ""AMIGA POWER"" and a date of March 1995.  The page number (7) is also visible.


Overall, the page provides a comprehensive look at three different Amiga games, offering reviews, gameplay details, and author insights.
"
8,"This page is from a magazine, likely *AMIGA POWER*, and features a mix of articles and advertisements.  The overall theme centers around Amiga computer games, specifically reviews and previews.

**Section 1: ""TRUE STORIES"" Header and Introduction:**

The top section features a large, bold headline ""TRUE STORIES,"" followed by a smaller subtitle that describes the content as speculation, gossip, chit-chat, libel, and slander, but promises truthful news and reviews.  It encourages readers to read the magazine for news about Amiga games.

**Section 2: ""CENTER COURT"" Header and Article:**

This section is a review or preview of a game called ""Tennis. On the Amiga. With bells on.""  The article includes a description of the game, mentioning its gameplay, and the developers.  There's a screenshot of the game in action, showing a tennis match on a court.  The text also includes a quote from a developer, discussing the game's development and future plans.

**Section 3: ""AMIGA POWER PREVIEW"" Section:**

This section is a preview of other Amiga games.  It includes a brief description of the software, mentioning the publisher (AMIGA POWER) and the games' features.  The text highlights the publisher's reputation for producing high-quality games.

**Section 4: ""We'd probably burst if we waited"" Quote:**

This is a quote from someone involved in the game development process, likely a developer or publisher, expressing excitement and anticipation about the game's release.

**Section 5: Additional Text and Quotes:**

The page contains additional text, likely excerpts from reviews or previews of other games.  These sections discuss the games' features, development, and potential.  There are also quotes from developers or reviewers, providing insights into the games' creation and reception.

**Overall:**

The page is a collection of articles and previews related to Amiga games, showcasing a mix of reviews, previews, and developer commentary.  The tone is enthusiastic and informative, aimed at Amiga users interested in new games and updates on existing titles.  The page's layout is typical of a magazine, with clear headings, screenshots, and quotes to engage the reader.  There's no explicit review rating, but the overall tone suggests positive reviews and anticipation for the games.
"
9,"This page is a spread from a magazine, likely *Amiga Power*, featuring a review and preview of several Amiga games.  The focus is on sports games, specifically football (soccer) management and tennis.

**Review Section (Tracksuit Manager 2):**

* **Rating:**  The review doesn't explicitly give a numerical rating, but the tone suggests a positive, if not overwhelmingly enthusiastic, assessment.  The reviewer highlights the game's innovative in-game commentary, advanced tactical engine, and player position customization.  However, the reviewer also subtly criticizes the game by comparing it favorably to other games, implying that some aspects are not as innovative as they could be.
* **Review Content:** The review discusses the game's features, including the ability to choose formations, player roles, and penalty takers.  It notes the inclusion of English league clubs and some conference teams, and emphasizes the game's focus on tactical aspects rather than financial ones.  The reviewer also mentions the game's running commentary, which is praised for its detail.  A key point is the comparison to other ""well-known footy games,"" suggesting that Tracksuit Manager 2 improves upon some aspects but not others.
* **Reviewer:** Steve Faragher is credited as the author of the review.

**Preview Section (Center Court):**

* **Review Content:**  Jonathan Davies provides a preview of the tennis game *Center Court*.  The review highlights the game's features, including tournament mode, various playing surfaces, and singles/doubles matches.  It emphasizes the game's ""feel"" and the speed of play.  The reviewer also notes the game's potential, suggesting that with some improvements to presentation and sound, it could be a strong Amiga tennis game.
* **Reviewer:** Jonathan Davies is credited as the author of the preview.

**Preview Section (Nick Faldo Golf):**

* **Review Content:**  The preview discusses the golf game *Nick Faldo*.  It notes the game's availability in a CD32 version and mentions a Deluxe Edition in development.  The reviewer highlights the potential improvements in the Deluxe Edition, including better graphics and controls.  The review also touches on the difficulty of choosing the ""best"" golf game on the Amiga.
* **Reviewer:**  The reviewer is not explicitly named.

**Other Sections:**

* **""True Stories"" Section:**  This section contains a brief article about the biological disaster of disposable diapers in landfills.  It's a somewhat unusual and unexpected inclusion, but it's likely meant to be a humorous or thought-provoking aside.
* **""Runs on"" and ""Publisher"" Information:**  This section provides technical specifications (e.g., A500, A600 compatibility) and publishing information for the games.
* **""Man Utd Tactics"" Section:**  This section shows a screenshot of a football team's tactics, likely from *Tracksuit Manager 2*.  It's a visual aid to illustrate the game's features.
* **""Amiga Power Preview"" Header:**  This is a prominent header that indicates the section is a preview of upcoming games.

The overall impression is a magazine spread focused on reviewing and previewing upcoming Amiga games, with a particular emphasis on sports titles.  The writing style is journalistic, with a focus on game features and comparisons to other games.
"
10,"This page is a spread from an Amiga Power magazine, likely from March 1995, featuring a mix of reviews, previews, and competitions.

**Angst Review:**

The page prominently features a review of the game ""Angst,"" a Canadian Dungeon Master-with-guns game. The review, written by Jonathan Nash, discusses the game's plot, gameplay, graphics, and sound.  It highlights the game's atmosphere as ""scariest games ever"" and describes the plot as involving a humble lift operator who must escape a spaceship after an alien attack.  The review notes the unusual use of ""literary equivalent of John Gielgud declaiming the role of Titus Andronicus"" in the accompanying documentation.  It also mentions the game's corridors and the ""corridors and quail"" section, which seems to describe the game's level design and atmosphere.  The review also touches on the game's graphics, describing them as ""unpleasantly soft and extra-scary"" but oddly not mentioning the sound design.

**Evolver Review:**

A separate section reviews the film ""Evolver."" The review describes the film as ""complete nonsense throughout"" but enjoyable in a trashy, airhead kind of way.  It highlights the film's predictable plot, but also its comedic elements, including a teenager winning a hyper-intelligent robot in a virtual reality contest and the robot's transformation into a military-style weapon.  The review also mentions the film's cast and director.

**Other Sections:**

* **""One of Our Favourite Films""**: This section highlights other films, including ""Medusa Pictures"" releases, and encourages readers to rent them.  It emphasizes the film's entertainment value, even if it's not critically acclaimed.
* **""Rejoice! Oh, Rejoice!""**: This section details a competition run by the magazine.  Readers are asked to identify computers from the shows Blake's 7 and Buck Rogers.  The winners will receive copies of the film ""Evolver.""
* **""Compo Winners""**: This section lists the winners of a previous competition, where readers were asked to submit pictures of themselves playing golf in unusual locations.  The winning picture is unfortunately lost.  The winners also received prizes, including a CD32 and goody bags.
* **""Dream On Sunshine Compo""**: This section details another competition, where readers were asked to link descriptions of dream-related movies to their titles.  The winners will receive tickets to Alton Towers.

**Overall:**

The page is a mix of reviews, previews, and competitions, aimed at Amiga users.  It provides a snapshot of popular culture and entertainment in the mid-1990s, with a focus on video games, films, and competitions.  The page's layout is typical of a magazine from that era, with a mix of text, images, and graphics.
"
