Page Number,Page Information
1,"The page is the cover and a portion of the interior pages of Amiga Power magazine, issue 48, dated April 1995.

The cover features a large, stylized image of a spaceship, likely from one of the games reviewed or featured in the magazine.  The title ""AMIGA POWER"" is prominent, in a bold, capital font.  Below that, ""FRONTIER 2"" is displayed in a large, sans-serif font.  The cover also includes a tagline, ""We risk everything to bring you ESSENTIAL INFORMATION on the sequel to Frontier!""

The interior portion of the page showcases several articles and game reviews.  There are sections dedicated to specific games, including:

* **SUPER LOOPZ:**  A brief description of the game, highlighting its arcade puzzle elements and ""super loops.""  It's noted as an A1200-only game.
* **TANKKK:**  A description of this game, emphasizing its multiplayer aspects, maze-like gameplay, and high-energy action.  Also A1200-only.
* **SPACE WAR:**  A game mentioned as being included with the issue.
* **MASTER BLASTER:**  A description of this game, noting its unique gameplay and focus on one-on-one combat.
* **ROCKETZ:**  A description of this game, emphasizing its single level, beautiful graphics, and gravity-based gameplay.  It's also an A1200-only game.
* **MEGA SQUAD:**  Another game mentioned as being included with the issue.
* **SKIDMARKS 2 REVIEWED:**  Indicates a review of the game Skidmarks 2.  The review section includes a summary of the game's features and a possible critique (or praise) of the game.
* **SWOS: RIDDLED WITH BUGS? WE INVESTIGATE:**  This section suggests an investigation into potential bugs or issues with a specific game or software.

The page also includes the issue number (48), the price (£3.99), and the date (April 1995).  A barcode is present for the magazine.

Overall, the page provides a preview of the games and content featured in the magazine, encouraging readers to purchase the issue for more in-depth information and reviews.  The presence of ""A1200 ONLY"" indicates that some of the games are exclusive to the Amiga 1200 computer.
"
2,"The page is a detailed catalog or advertisement, likely from a computer or video game retailer, featuring a wide array of Amiga products.  It's densely packed with information, showcasing various games, software, accessories, and books.

The layout is organized into sections, each focusing on a specific category.  There are clear headings for each section, such as ""AMIGA GAMES,"" ""AMIGA APPLICATIONS,"" ""AMIGA BOOKS,"" ""JOYSTICKS & MICE,"" and ""MEGA DRIVE TOP 10.""  Within each section, individual products are listed with their names, descriptions, and prices.  Many items have a ""SAVE"" or discount price prominently displayed.

**Detailed Breakdown of Sections:**

* **AMIGA GAMES:** This section lists numerous Amiga games, including titles like ""Sensible Soccer,"" ""Premier Manager 3,"" ""Cannon Fodder,"" ""Theme Park,"" ""Mortal Kombat 2,"" ""Kingpin,"" ""Road Kill,"" ""Subwar 2050,"" and many more.  Each game is listed with its price.  Some games have multiple versions or different editions.  There are also collections of games, like ""Classic Collection"" and ""Combat Classics.""  The games are presented in a grid format, making it easy to compare titles.

* **AMIGA APPLICATIONS:** This section lists software applications for the Amiga, including programming tools, databases, and other utility programs.  Descriptions are concise, highlighting key features and functionalities.

* **AMIGA BOOKS:** This section features books related to Amiga computers, including guides, hints, tips, and strategy guides for games.  The titles are listed with their prices.

* **JOYSTICKS & MICE:** This section showcases various joysticks and mice for Amiga computers.  Descriptions highlight features like autofire, programmable buttons, and analog controls.  Prices are clearly displayed.

* **MEGA DRIVE TOP 10:** This section lists the top 10 Mega Drive games, likely for comparison with the Amiga games.  The titles and prices are shown.

* **LYNX 2 HANDHELD:** This section features the Lynx handheld gaming system, including details about its capabilities, price, and accessories.

* **SPECIAL RESERVE:** This section highlights a special offer or limited-edition product.

* **PACK OF 10 SPECIAL DISKS:** This section details a pack of CDs or disks, including the number of disks, their labels, and the price.

* **CD POCKETS:** This section lists CD wallets or pockets for storing CDs.

The page is likely from a printed catalog or magazine, given the layout and the way the information is presented.  The overall impression is one of a comprehensive listing of products for Amiga users, with a focus on games and accessories.  The prices are clearly displayed, and the layout is designed to be easily navigable.
"
3,"This page is a detailed advertisement for various computer hardware and software products, primarily aimed at Amiga users.  It's a mix of product listings, descriptions, and special offers.

**Sections and Products:**

* **Complete Multimedia PC 4/560 (486 DX2/66):**  This section highlights a powerful PC, featuring a Genuine Intel DX2/66 processor, 560MB hard drive, and a fast CD-ROM drive.  The price is £999.99 (excluding VAT).  It emphasizes the PC's full upgradeability and future-proof design.

* **Super Amiga CD SX-1 Bundle:** This bundle combines the power of an Amiga A1200 with the capabilities of a CD32.  It includes a CD32 CD console, SX-1 expansion module, keyboard, mouse, and other peripherals.  The price is £480.00.

* **A1200 System Upgrades:**  Various upgrades for the Amiga A1200 are listed, including memory upgrades, internal hard drives, and expansion modules.  Prices and specifications are detailed for each option.

* **Amiga CD-32:**  This section focuses on the Amiga CD-32 console, highlighting its 32-bit power, 262,144 colors, and ability to play audio CDs and digital video CDs.  A special deal is offered where purchasing a CD32 or Super Amiga comes with a ""Plus Three Pack"" (Commodore Control Pad, Elite 2 and Trivial Pursuit CDs).

* **Trust 486 PC Mini Tower:**  This section details a PC tower with an Intel 486 DX2/66 processor, 560MB hard drive, and 4MB RAM.  It includes specifications for various components and features.

* **Peripherals and Accessories:**  A wide range of peripherals is listed, including keyboards, mice, joysticks, disk drives, power supplies, memory expansion cards, dust covers, and more.  Detailed descriptions and prices are provided for each item.

* **Overdrive V.11 CD ROM:**  This section focuses on a CD-ROM drive for Amiga computers, emphasizing its speed, compatibility with various software, and a one-year warranty.  Different capacities are listed.

* **Printers:**  The advertisement includes listings for the Citizen ABC 24-pin color printer and the Citizen Projet IIC color inkjet printer.  Specifications, prices, and features are detailed for each printer.

* **Software Bundles:**  A bundle of Microsoft software is highlighted, emphasizing its value and the games included.

* **Membership and Special Offers:**  The advertisement promotes a membership program that provides discounts and exclusive content.  It also details special reserve prices and delivery options.

**Overall Impression:**

The page is a comprehensive catalog of Amiga computer hardware and software, with detailed descriptions and pricing for each item.  It clearly targets Amiga users looking to upgrade or expand their systems.  The inclusion of special deals and membership programs adds an incentive for potential customers.
"
4,"This is a page from *Amiga Power* magazine, Issue 48, April 1995.  The page is filled with various content related to Amiga computers and games.

**Sections and Content:**

* **Regulars:** This section contains several articles and features.
    * **News (8):**  A brief news item about the AP InfoCannon™ and problems with windows.
    * **Subscriptions (48):**  Encourages readers to subscribe to the magazine.
    * **Tips (52):**  A humorous piece about the frustration of cheating in games.
    * **Back Issues (64):**  Promotes the purchase of back issues, highlighting the magazine's history and content.
    * **Letters (78):**  Invites reader correspondence and feedback.
    * **The Definitive Bottom Line (83):**  A section describing game reviews and features.
    * **The Garden That Time Forgot (88):**  A humorous or satirical piece, possibly a joke or a lighthearted observation.

* **Front Page Image:**  A large, colorful image of a spaceship or spacecraft against a backdrop of space.  The image is visually striking and likely designed to grab the reader's attention.

* **Skidmarks 2:**  A section with a headline about a game, possibly a review or preview.  The headline asks if a particular game, ""The Eight-player Cow Game of Champions,"" will be released soon.  It also mentions page 30, suggesting more information is on that page.

* **Super League Manager:**  A section about a game, possibly a review or preview.  The text suggests a review or preview of the game, mentioning Steve the Prod Ed's opinion.  It also mentions page 40, suggesting more information is on that page.

* **Akira:**  A section about a game, possibly a review or preview.  The text discusses the game's connection to the cartoon film *Akira*.  It also mentions page 36, suggesting more information is on that page.

* **ATR:**  A section about a game, possibly a review or preview.  The text discusses a game called Overdrive and mentions page 34, suggesting more information is on that page.

* **Other Information:**  The page also includes various details about the magazine itself, such as staff, editorial, sales, and production information.  There are also sections about subscriptions, circulation, and copyright.  There are also quotes from various people, including the editor and other contributors.

**Overall Impression:**

The page is visually appealing with a mix of text and images.  The content appears to be a mix of news, reviews, previews, and features related to Amiga games and the magazine itself.  The use of bold headlines and subheadings helps to organize the information and make it easy to read.  The page is likely designed to attract readers and provide them with information about upcoming games and the magazine's content.
"
5,"This page is a spread from an Amiga Power magazine, likely from April 1995, judging by the date at the bottom.  It's a mix of reviews, previews, and advertisements for various Amiga games.

**Sections and Content:**

* **""Over 91 Years Old..."" Header:** This is a large, bold headline likely referencing the magazine's focus on older games or a specific game developer.

* **""Tier 2"" Section:** This section is a review or an examination of a particular game, likely a game related to the BBC Micro or a similar system. The text discusses the evolution of a game series and mentions a specific person (David Braben) and a particular game.

* **""Introducing Disk 48"" Section:** This is a promotional section for a new disk containing various demos and games.  It includes an image of a floppy disk and a graphic of a game, likely Super Loopz.

* **""Super Loopz"" Review:** This is a short review of the Super Loopz game. The review mentions the game's gameplay, specifically the frustrating aspect of the ""loop"" pieces not always appearing in the right place.

* **""Master Blaster"" Review:** This is a review of the Master Blaster game. The review notes the game's lack of a limitless supply of bombs and the consequences of that design choice.

* **""Rocketz"" Review:** This is a review of the Rocketz game. The review is somewhat dismissive, noting the game is a ""tarted-up"" version of another game and that the music is good.

* **""Reviewed This Issue Budgets"" Table:** This is a table listing various games reviewed in the issue, along with their full-price and possibly discounted prices.  It lists games like ""Brutal Football,"" ""Elite Plus,"" ""Akira,"" ""All-Terrain Racing,"" ""Kingpin,"" and many others.

* **""Shadow Fighter Playing Guide"" Section:** This is a review or guide for the Shadow Fighter game. The review notes that the guide is different from other guides, taking a unique approach.

* **""Swiz"" Review:** This is a review of the Sensible World of Soccer game. The review highlights the game's bugs and issues.

* **""Plus!"" Section:** This section is a promotional or advertisement for a game, likely Tankkk.  It describes the game as a battle for survival and compares it to an older Atari game.

* **""Space War & Mega Squad"" Section:** This is a review or preview of the Space War & Mega Squad game.

* **""Got a Faulty Disk?"" Section:** This is a troubleshooting section for readers who have problems with their disks. It provides instructions on how to return faulty disks to the magazine for replacement.


**Review Ratings:**  The page does not explicitly show numerical ratings.  The reviews are descriptive, but the tone of the reviews (positive or negative) is implied by the language used.  For example, the review of Master Blaster is less enthusiastic than the review of Rocketz.


Overall, the page provides a snapshot of the Amiga gaming scene in 1995, showcasing a variety of games and offering reviews and previews.
"
6,"This page is from a magazine, likely *Amiga Power*, and features reviews and information about Amiga computer games.  Specifically, it details information about two games, ""Super Loopz"" and ""Rocketz.""

**Super Loopz (Audiogenic A1200):**

* **Review/Description:** The page includes a description of the game, highlighting its unique puzzle-solving mechanics.  The author emphasizes the game's addictive nature, but also its somewhat pointless aspects.  The core gameplay involves creating loops of pipes, with a time limit and a life system.  The joystick controls are described as initially fiddly but becoming easier with practice.  The review notes that completing a loop removes it from the board, and players must decide whether to risk creating large loops or opt for numerous smaller ones.  A key mechanic is that only a special green piece can be placed over an existing one, removing unfinished loops.  The review also mentions the apes' hooting and hollering in the background as a form of encouragement.  The game's graphics are also briefly mentioned.

* **Technical Information:** The author's name and the game's code (A1200) are listed.

**Rocketz (The Farm A1200):**

* **Review/Description:** The review of Rocketz is more concise.  The author notes a somewhat critical review of the game in a previous issue (AP47, 61%), but also acknowledges the fairness of allowing readers to try it themselves.  The review emphasizes the game's space-ship theme and the ability to boost fuel, shields, and weapons.  Players can choose between a one-player game or a CPU-controlled opponent.  The control method can be toggled between keyboard and joystick.  The game involves racing around a course, either by following arrows or shooting at opponents.  The review mentions the clock at the bottom of the screen, which tracks the race.

* **Technical Information:** The author's name and the game's code (A1200) are listed.

**General Information/Troubleshooting:**

* **Disk Handling Instructions:** The page provides instructions on how to load games from Amiga disks, including the importance of having sufficient memory (512K) and the need to switch the machine off and on again after inserting the disk.  It also includes troubleshooting advice for disk loading problems, suggesting checking external drives and sending faulty disks to a specific address for repair.

* **Disk 48 Returns:** The page includes contact information for the magazine's disk return service.

* **General Advice:** The page includes general advice on disk care, such as keeping the game disk in the drive during play and restarting the machine to load different demos.

The overall layout of the page is typical of a magazine article, with graphics, text, and game screenshots interspersed.  The page is clearly aimed at Amiga users and provides both game reviews and practical advice.
"
7,"This page is a spread from a magazine, likely an Amiga Power issue, featuring several game reviews and previews.  It's a mix of text and graphics, showcasing information about various Amiga games.

**TAN (""K"" - Ed):**

This is a review of a game called TAN (""K"" - Ed). The review is written in a playful, slightly sarcastic tone.  The author(s) highlight the game's maze-like structure and the need to strategically use ""bouncy bullets"" to defeat opponents.  The review emphasizes the game's complexity and suggests that players should just play it to experience it.

**MEGASQUAD:**

This section reviews a game called MEGASQUAD. The author, Clay Hellman, describes the game as a multiplayer experience, focusing on the ""tag"" mode and ""duel"" mode.  The review mentions the importance of a multiplayer experience and the game's features, like the time-based ""tag"" mode and gun-based ""duel"" mode.  There's also a crucial note about the A1200 compatibility issues, advising users to follow specific steps to avoid game crashes.

**SPACE WAR:**

This section details a game called SPACE WAR. The authors, Jeff (Petkau?), Delham? (Ed), and Brian (Jehdrau? Jethrow? - Ed), provide a review and preview.  The review highlights the spaceship theme, the physics-based gameplay, and the gravity-based slingshot mechanics.  The authors also mention the game's tie-in with the Elite 3 preview and the game's original ""grandpappy"" status.

**MASTER BLASTER:**

This section reviews a game called MASTER BLASTER. The author, The Alpha Brothers, describes the game's simplicity and survival-of-the-fittest gameplay.  The review emphasizes the game's infinite bomb supply and the tactic of sitting in a corner to wait for opponents to kill themselves.  The review also mentions the game's potential for five-player gameplay, but notes the need for a joystick expansion.

**Overall:**

The page showcases a variety of Amiga games, providing reviews, previews, and gameplay details.  The writing style is informal and engaging, aimed at a gaming audience.  The inclusion of graphics from the games themselves enhances the presentation and allows readers to visualize the gameplay.  The page also includes important notes about A1200 compatibility issues, highlighting the technical aspects of the games and the magazine's audience.  The review ratings are not explicitly stated, but the tone of the reviews suggests a positive outlook on the games.
"
8,"This page is from Amiga Power magazine, April 1995, and features an article and preview about the game ""Alien Breed 3D.""

The article is titled ""TRUE STORIES,"" and the headline for the specific section about Alien Breed 3D is ""ALIEN BREED 3D.""  The text describes the game as a 3D version of the game ""Alien Breed,"" but running on the Amiga computer.  It highlights the game's features, including a maze-like scrolling environment, aliens, robots, and rocket launchers.

The article includes a review, or preview, of the game.  The reviewer, or previewer, notes that the game initially was a project that was unsure of its direction, but eventually settled on a plan.  The reviewer praises the game's graphic artists and the inclusion of features from the game ""Doom,"" such as rocket launchers and levels.  The reviewer also mentions that the game includes elements not found in other versions of Doom, such as water.

The page includes several screenshots or game visuals, showing different levels and gameplay elements of the game.  There's a screenshot of a corridor-like area with walls and a glowing object, and another showing a character's health, ammo, and armor bars, along with the character's view.

The review section gives a positive impression of the game, highlighting its unique features and improvements over other games.  There's no explicit rating, but the overall tone suggests a favorable opinion.

The page also includes a small graphic with the words ""Plus a few more bits"" in a prominent red circle, suggesting additional features not yet mentioned in the preview.  There's also a small graphic of a futuristic sewing machine, with the caption ""A futuristic sewing machine - that's our guess.""  This suggests a humorous or speculative element to the article.

Finally, there's a small logo or graphic in the bottom right corner with the words ""Avoid the jellyfish"" and the abbreviation ""AP,"" likely referring to the magazine's name and a possible game mechanic.
"
9,"This page is from a magazine, likely *Amiga Power*, featuring a review and ""True Stories"" article about the game *Alien Breed 3D*.  The article focuses on the game's features, technical aspects, and the developer's perspective.

**Review Section:**

The review, written by Jonathan Davies, gives a detailed look at *Alien Breed 3D*.  The review rating isn't explicitly stated as a numerical score, but the overall tone suggests a positive, though not overwhelmingly enthusiastic, assessment.  The reviewer highlights the game's 3D graphics, which are described as ""chunky"" but ""smooth,"" and the improved movement and responsiveness compared to previous *Alien Breed* games.  The reviewer also praises the ability to network two PCs for cooperative play.  However, there's a slight concern about the game potentially reverting to the frustrating dead ends and repetitive elements of the previous *Alien Breed* game, *Tower Assault*.  The reviewer also addresses the developer's intentions to avoid frustrating gameplay elements like time limits.

**""True Stories"" Section:**

This section provides an inside look at the development of *Alien Breed 3D*.  The programmer, Andy, is quoted extensively, discussing the game's innovative features, such as the bobbing walk animation, parallax scrolling, and the use of texture mapping.  The article emphasizes the game's attempt to create a more immersive and atmospheric experience, similar to *Doom*, but within the constraints of the Amiga platform.  The article also touches on the technical challenges of developing for the Amiga, noting that previous attempts at creating a *Doom* clone on the Amiga had been hampered by limitations.  The article also discusses the game's networking capabilities, allowing players to connect two PCs for cooperative gameplay.

**Visuals:**

The page contains screenshots of the game in action, showcasing various environments, characters, and gameplay elements.  These images provide a visual representation of the game's aesthetic and gameplay mechanics.  The screenshots show the game's 3D environments, including corridors, caverns, and other structures.  There are also images of the game's characters, such as the player character and the alien enemies.  The screenshots also show the user interface elements, such as the control panel and the various in-game displays.

**Overall:**

The page provides a comprehensive overview of the game *Alien Breed 3D*, combining a review with behind-the-scenes insights from the developer.  The article highlights the game's strengths and weaknesses, offering a balanced perspective on the game's potential and limitations.  The inclusion of screenshots further enhances the reader's understanding of the game's visual style and gameplay.
"
10,"This page is a section from a magazine, likely an Amiga Power issue from April 1995, featuring reviews and previews of video games.

The section focuses on two games: ""Gloom"" and ""Brutal.""

**Gloom:**

* **Review Rating:**  Not explicitly stated as a review, but the text provides a preview and commentary from Jonathan Davies.
* **Platform:** Amiga
* **Publisher:** TBA (To Be Announced)
* **Author:** Mark Sibly
* **Estimated Release Date:** Soon
* **Description:**  The preview highlights the game's similarities to Doom, but with a focus on a more action-oriented, fast-paced gameplay style.  It emphasizes the use of a laser cannon, exploding enemies, and a variety of level design elements, including doors, switches, and teleports.  The preview also mentions a two-player mode, with a focus on stealth and hiding.  The reviewer notes the game's potential for being a fun, action-packed experience, but also mentions that the game is still in development and needs more levels, music, and sound effects.

**Brutal:**

* **Review Rating:**  The Gamesmaster magazine review gives the game a score of 40%, criticizing its sluggishness and unplayability.
* **Platform:** Amiga
* **Publisher:** Gametek
* **Description:**  The review focuses on the game's cartoonish style and characters, contrasting it with the more violent ""beat-'em-up"" games of the time.  It mentions the game's eight-player tournament mode, action replay feature, and a system for earning new moves as the player progresses.  The reviewer notes that the game is a cartoon-style beat-'em-up, but also highlights the game's innovative features.

**Additional Information:**

* **Screenshots:** The page includes screenshots of both games, showcasing gameplay elements and level design.
* **Artwork:**  The page also features character art and other visual elements related to the games.
* **Other Reviews:** The page also includes a review of a Mega-CD version of ""Brutal,"" which was reviewed by a staff writer from Amiga Power.
* **Author:** Jonathan Davies is credited with writing the preview for Gloom.
* **Additional Commentary:** The page includes additional commentary on the games, including the developers' intentions and the overall experience.


The page is formatted with clear headings, descriptions, and images, making it easy to understand the content.  The layout is typical of a gaming magazine from the 1990s.
"
