Page Number,Page Information
1,"The image is a cover of ""Amiga Power"" magazine, issue 63, dated July 1996.

The cover features a large, stylized image of a film reel in teal/green, wrapping around the central portion of the cover.  The words ""AMIGA POWER"" are prominently displayed in a large, bold, yellow-orange font.

The cover also features a section titled ""FESTIVAL OF FILM,"" which suggests articles or features related to film.  Subheadings and text within this section highlight the following:

* **Why film licenses should be strangled at birth:** This likely refers to an article discussing the difficulties or problems with licensing film rights for computer games.
* **Michael Caine and the Amiga:** This suggests an article or interview about the actor Michael Caine and his connection to Amiga computers.
* **Special Guest Stars:**  This indicates that the magazine features articles or interviews with actors or personalities associated with the films Valhalla 3 and Tin Toy Adventure.

Below the ""Festival of Film"" section, there's a section titled ""BATTLE FOR THE ASHES.""  This section likely describes a game or software review, or a feature article about a game.  The text mentions imaginary facial hair growth, and characters like Graham Gooch and Merv Hughes, suggesting a game with a sports or fantasy theme.  The phrase ""Full Game"" is also highlighted.

The bottom of the cover includes the issue number (63), the price (£4.50), the date (July 1996), and a barcode.  There's also a logo for ""Future Publishing"" and a small graphic that likely represents a guarantee or warranty.

Overall, the cover layout and content suggest a magazine focused on Amiga computer games and software, with a particular emphasis on features related to film and games based on film licenses.
"
2,"The page is an advertisement, likely from an Amiga magazine called ""AMIGA FORMAT,"" promoting several games.

**Headline:** The large, bold text at the top reads ""Every new game, and.""  This is followed by the magazine's name, ""AMIGA FORMAT,"" in a slightly smaller, but still prominent, font.

**Game Descriptions and Reviews:**

* **Valhalla & the Fortress of Eve:**  A promotional image of the game is featured, along with a brief description. The text states that this is the third game in the Valhalla series and hints at the gameplay, suggesting exploration and/or combat.

* **Tiny Toy Adventure:**  Another game is highlighted with an image and a description. The text mentions ""Mutation's latest creation"" and ""groovy graphics,"" implying a positive review.  The description also promises a ""definitive review"" of the game.

* **PD Select:**  A section is dedicated to a game called ""PD Select."" The text describes the game as having ""loads and loads of ways to die,"" suggesting a challenging or potentially humorous gameplay experience.  It also mentions that ""every single way is depicted,"" implying a detailed and perhaps even excessive depiction of death scenarios.

**Publication Information:**

* **August Issue:**  The text clearly states that this is the August issue of the magazine.
* **On Sale Thursday 4th July:**  The advertisement specifies the date the magazine will be available for purchase.

**Overall:** The page is designed to attract readers' interest in the featured games by highlighting their unique aspects and promising in-depth reviews.  The use of game screenshots and concise descriptions creates a compelling advertisement for the magazine's content.
"
3,"The page is a promotional advertisement, likely from a magazine, for a section on Amiga games.

The top portion of the page features the headline ""a lot more besides Reader Games"" in a large, bold, and colorful font.  The text beneath this headline explains that the magazine features a variety of games, including a text-based version of Elite, a number-guessing game, and graphic adventures.  It also highlights the ""Reader Games"" section as showcasing ""some bizarre and, occasionally, excellent home-grown software.""  The text is in a smaller font and is formatted to draw attention to the different game types.

The middle section of the page is dedicated to ""Previews"" and ""GameBusters.""  The ""Previews"" section is described as showcasing new Amiga games.  The ""GameBusters"" section is described as providing hints and tips to help players succeed in games.  The text is formatted to highlight the different sections and their content.  Images of game screens are interspersed within the text, further emphasizing the variety of games featured.

The bottom section of the page promotes ""PCD select"" and the magazine itself, ""AMIGA FORMAT.""  The text emphasizes that the magazine offers the best of public domain games.  The large, bold text ""THE WORLD'S BIGGEST-SELLING AMIGA MAGAZINE"" and the prominent display of ""AMIGA FORMAT"" clearly indicate the magazine's focus and target audience.

Overall, the page is designed to attract readers interested in Amiga games by showcasing the variety and quality of games featured in the magazine.  The use of color, bold fonts, and images creates a visually appealing and informative advertisement.
"
4,"This page is from Amiga Power, issue 63, July 1996.  It's a magazine dedicated to Amiga computer users, featuring a mix of articles, reviews, and advertisements.

**Sections and Content:**

* **Regulars:**  This section contains news, back issue information, and a ""Complete Control"" guide.  The news section notes that the article on Tin Toy was late, and the overall tone is lighthearted.
* **News:**  A brief news item, likely about Amiga-related happenings, is highlighted.
* **Back Issues:**  A section advertising older issues of the magazine.
* **Complete Control:**  This section promises tips and tricks for improving Amiga gaming experiences.
* **Letters:**  A reader mail section with a humorous and slightly sarcastic tone.  One letter expresses frustration with the magazine.
* **Reader Ads:**  A section for advertisements related to Amiga products or services.
* **The Bottom Line:**  A summary of the Amiga gaming scene, noting the presence of good games.
* **The Back Page:**  A feature article, likely an interview, with a quote from the interviewee. The quote is a humorous, self-aggrandizing statement.
* **Valhalla 3 Review:**  A review of the game Valhalla 3, with a quote from the reviewer.
* **Tin Toy Review:**  A review of the game Tin Toy, described as a ""cutesie platformer."" The review is described as ""frank, fulsome, and ferocious.""
* **Ads and Other Features:**  The page includes advertisements for various Amiga products, including disks, and other sections like ""Disks,"" ""Ads,"" and ""Subscriptions and Distribution.""  There are also sections for ""Photography,"" ""Cinematography,"" and ""Editorial and Advertising.""

**Overall Impression:**

The page presents a mix of news, reviews, and features, typical of a gaming magazine. The tone is generally lighthearted, with a focus on Amiga gaming and related topics.  The reviews are described as detailed and critical.  The page also includes a significant amount of advertising.

**Review Rating:**

There are no explicit review ratings visible on the page.  However, the descriptions of the reviews (e.g., ""frank, fulsome, and ferocious"") suggest a critical and potentially positive assessment of the games.
"
5,"This page is from a magazine, likely *Amiga Power*, judging by the logo and layout.  It's a July 1996 issue, as indicated at the top and bottom.

The page contains a mix of advertising, reviews, and articles related to Amiga computer games.

**Sections:**

* **""OVER"" Feature (Top):**  A short, introductory article or feature, likely about a specific topic related to the Amiga, by a writer identified as ""The Moon, Brian.""  The text is not fully visible, but the title suggests a possible overview or commentary.

* **""Introducing Coverdisk 63"" (Top Right):**  This is an advertisement for a new game, ""Coverdisk 63,"" which is a cricket game.  It includes a small image of a floppy disk and a screenshot of the game in progress.  The text highlights the game's summer theme and promises a full cricket experience.

* **""Amiga Goes to the Movies"" (Middle Left):**  This is a feature or article about a movie-themed Amiga game or a review of a movie-related game.  The text describes the game's plot, including a mention of Stuart Campbell and the ""awful secrets behind film licenses.""  It directs readers to page 19 for more details.

* **""Battle for the Ashes"" (Middle):**  This is a review or advertisement for a game called ""Battle for the Ashes."" The text highlights the game's cricket theme and suggests it's a good time-waster.  It also mentions the game's inclusion in a future ""Ultimate All-Time Top 100"" list.  There are game instructions mentioned for this game on the next page.

* **""Reviewed This Issue"" (Bottom Left):**  This is a list of games reviewed in the current issue.  It includes the game title, platform (PD for possibly a particular Amiga version), and a price.  The games listed include: Euro '96 SWOS, Tin Toy, Valhalla 3, Chicken Run, Games 8, Gilbo's Games, Inersex, Splat, and Thunderdawn.  The prices are listed next to each game.

* **""Budget"" Section (Below the Reviewed Games):**  This section lists games categorized as ""Budget"" games, likely meaning they are less expensive.  The games listed are Exile Discovery Disk and Thunderdawn.

* **""Your Disk and You"" (Bottom):**  This is a section of advice for readers regarding disk issues.  It provides instructions on what to do if a disk fails to load, including sending the disk to a specific address (TIB Pic, TIB House, 11 Edward Street, Bradford BD4 7BH) along with a letter explaining the problem.  The text also includes important advice not to send disks to the Amiga Power office.


**Overall:** The page is a mix of game advertisements, reviews, and helpful tips for Amiga users.  The layout is typical of a magazine from that era, with a mix of text, images, and graphics.
"
6,"This page is a promotional advertisement for a cricket video game, ""Battle for the Ashes,"" for the Amiga 64 computer, published by Audiogenic in July 1996.  It's part of a larger magazine feature, likely a gaming magazine, as indicated by the ""This Month's Full Game"" banner.

The page details the game's gameplay mechanics, focusing on the bowling and batting aspects.  It's presented in a style common to gaming magazines of the time, with screenshots and detailed instructions.

**Game Overview:**

The game is a cricket simulation, allowing players to experience an Australia vs. England cricket match.  The page highlights the game's features, including the ability to play as either a right-handed or left-handed batsman, and the different types of bowling (fast, swing, and spin).

**Gameplay Details (Bowling):**

* **Learning to Bowl:** The page explains that bowling is a more complex aspect of the game, with different approaches needed for each type of bowler.
* **Aiming:**  Players use a joystick to aim the ball, with a white square on the screen indicating the target area.  The square turns grey when the bowler is ready to release the ball.
* **Fast Bowlers:**  These are the easiest to control, requiring only joystick movement to adjust speed.
* **Swing Bowlers:**  Players must decide whether to bowl an inswinger or an outswinger, and then use the joystick to control the swing effect.
* **Spin Bowlers:**  Players must decide whether to bowl a leg break or an off break, and then use the joystick to control the spin.

**Gameplay Details (Batting):**

* **Batting Control:**  The game uses a joystick to position the batsman and choose the shot.
* **Shot Selection:**  The page lists the possible shots (e.g., hook, sweep, defensive).
* **Fielding:**  The game allows for positioning fielders, and the page describes how to move fielders to different positions.

**Game Options:**

* **Match Settings:**  The page shows how to select the type of game (single or two-player), the number of days, overs, and other match parameters.
* **Player Selection:**  Players can select their team and individual players, with the best 11 players automatically selected.
* **Other Options:**  The page mentions other options like ""Abandon Match,"" ""Sound,"" and ""Scorecard,"" which are likely game settings or features.

**Overall Impression:**

The page provides a comprehensive overview of the game's mechanics, focusing on the bowling and batting aspects.  The detailed instructions and screenshots make it clear how to play the game. The language is straightforward and easy to understand, typical of gaming magazine articles of the time.  The page's layout is well-organized, with clear headings and subheadings, making it easy to find specific information.  The overall tone is enthusiastic, promoting the game as a fun and engaging experience.
"
7,"This page is a large advertisement, likely from a magazine, showcasing a wide variety of Amiga computer products and software.  It's heavily focused on sales and promotions.

**Sections and Details:**

* **Amiga Software:**  A large section lists numerous Amiga games, categorized by platform (e.g., A500, A1200, CD32).  Each game has its title, price, and sometimes a brief description.  The prices are listed in British pounds (£).  Games appear to be from various genres, including action, adventure, sports, and strategy.  Some games are described as having ""HDR"" (High Definition Rendering) or ""512K"" versions, indicating different compatibility requirements.  There are also several ""packs"" of games bundled together at discounted prices.

* **Amiga Hardware:**  The page also advertises various Amiga hardware components, such as RAM boards, hard drives, and peripherals like mice and joysticks.  Prices and specifications are given for each item.  There are also accessories like cables and covers.

* **CD32 Console:**  A prominent listing highlights the Amiga CD32 console and a bundle of nine games for a combined price of £119.99.

* **A1200 Packages:**  Several packages for the A1200 are advertised, including a ""Magic Pack"" with additional titles.

* **Special Offers and Promotions:**  The page features a ""SAVE"" banner and various offers, such as free games with purchases, discounts for memberships, and free items for new or renewing members.  There's a membership program with various tiers and benefits.

* **Mail Order Information:**  A dedicated section details how to order products by mail, including the address, payment methods (checks, postal orders, and credit cards), and shipping costs.  There's a specific price for mail order, including postage and packaging.

* **""Tin Toy Adventure"" Software:**  A significant section is dedicated to a game called ""Tin Toy Adventure,"" highlighting its features, such as 20 levels, platform action, and use of AGA hardware.  The advertisement emphasizes the ""Value 'N' Fun"" aspect, suggesting a low price for the game.  Screenshots of the game are included.  The price for this game is £14.99, including postage.

* **Other Software:**  The page also lists other software titles, including ""Mutation Software"" and other game titles.

* **Hardware Accessories:**  The page includes listings for various hardware accessories, such as printers, and other peripherals.

* **Ordering Information:**  The page includes detailed instructions for ordering, including membership information, payment methods, and shipping details.

**Review Rating:**  There are no explicit review ratings visible on the page.  The information is primarily promotional and focused on product listings and pricing.
"
8,"This page is from a magazine, likely *Amiga Power*, featuring a preview of a game called ""Kang-Fu.""  The preview is part of a larger section titled ""True Stories"" and is specifically labeled as an ""Amiga Power Preview.""

The preview details the game's features, platforming style, and technical aspects.

**Game Overview:**

The game, ""Kang-Fu,"" is a scrolling platformer for Amiga computers.  It's developed by a Dutch team and published by GREED.  The preview highlights the kangaroo as the playable character, armed with a machine gun, boxing gloves, and a boomerang.  The game features 10 levels, and the preview mentions ""superior-quality graphics"" and various power-ups and collectibles.  The preview also notes the game's use of ""dual playfield HAM screens,"" though the exact meaning of this is unclear.

**Technical Details:**

The game runs on CD-ROM-equipped AGA Amigas, potentially including the A4000, A1200, and CD32.  The preview suggests this is a key selling point, as it's designed to work with these specific configurations.  The developers are praised for their unique approach to game design, specifically for using CD-ROM technology.

**Review/Opinion:**

The preview is written by Steve Faragher and includes a quote, ""Isn't clever (or so granny said),"" which is likely a humorous, informal assessment of the game.  The preview expresses optimism about the game's potential, noting that the full game is expected in the next issue.  The preview also includes screenshots and images of the game's environments and characters.

**Additional Information:**

The preview also includes a brief mention of other game-related news, such as the scarcity of new game releases.  There are also images of the game's environments and characters.  The preview is dated July 1996.

**Overall:**

The page provides a detailed preview of the game ""Kang-Fu,"" highlighting its features, technical aspects, and the developers' approach to game design.  The preview is written in a style that is both informative and engaging, with a touch of humor.  The review rating isn't explicitly stated, but the overall tone suggests a positive outlook on the game's potential.
"
9,"This page is from a magazine, likely *Amiga Power*, featuring a variety of articles and reviews related to Amiga computer games.  The date is July 1996, as indicated at the bottom.

**Section 1: Talking Horse**

This section is a news/opinion piece about the sale of Amigatech to Viscorp and the subsequent plans to use the Amiga computer in a new product called the ""ED"" (Electronic Device).  The article discusses the potential for the Amiga to be used for Internet, games, and phone services, and notes the perceived failure of the CDTV.  The tone is somewhat critical of the previous company's products but also optimistic about the potential of the Amiga in this new context.

**Section 2: Amiga Recommendations**

This section highlights three highly-rated Amiga games from recent months.

* **SWOS (1996):**  Rated (AP57, 96%).  The review praises the game as the ""finest football game"" due to its ""superbly subtle control system and steeply pleasing learning curve.""
* **Zeewolf 2:** Rated (AP57, 90%).  The review describes the game as having ""helicopter-style hits"" and ""vehicle-changing gimmickry.""
* **Slamtilt:** Rated (AP60%, 90%).  The review is less enthusiastic, stating that while it's a pinball game, readers should instead turn the page to enter a competition.

**Section 3: Turn Baby Turn**

This section is a review/preview of new *Worms* games.  It discusses the upcoming *Worms Reinforcements* and *Worms 2*, noting that the latter will not be 3D.  The review also mentions the production problems affecting *Alien Breed 3D2*.

**Section 4: Next Month**

This section is an announcement about the return of the *All Time Top One Hundred* feature in the magazine.  It explains the reasons for its absence in the previous issue and details the plans for the new feature, including the involvement of game journalists and industry experts.

**Section 5: Game Reviews (Continued)**

This section continues the game reviews, with three more titles:

* **Civilization:** Rated (AP57, 93%).  The review praises the game as the ""King of strategy games,"" noting its sophistication and intriguing gameplay.
* **Alien Breed 3D:** Rated (AP56, 91%).  The review is positive, describing it as a ""moody Doom clone"" and highlighting the work of Team 17.

The overall tone of the page is positive towards Amiga games and the Amiga platform, with a mix of reviews and previews.  The inclusion of ratings (AP57, 96%, etc.) indicates a scoring system used by the magazine.
"
10,"This page is from a magazine, likely *AMIGA POWER*, from July 1996.  It features a mix of articles, reviews, and advertisements.

**Section 1: Pinball Competition**

This section promotes a pinball competition.  It features a large graphic of a pinball machine, with text describing the competition.  The text highlights the opportunity to win a ""bloody great load of Pinball Fantasies, Illusions, Mania, and Slam Tilt.""  It also includes a section about the rules of the competition, including the deadline for submissions (July 31, 1996) and the requirement that entries not come from employees of certain publishing companies.  The competition is for a complete set of 21st Century pinball games, and winners will receive a goody bag with items like sweatshirts and games.

**Section 2: Comedy Magazine Review**

A full-page advertisement for *The Comedy Magazine*, Issue 5, is featured.  It includes a cover image and a list of featured articles, including ""News Felch!"" and an article about Steve Coogan.  The magazine's content is described as covering TV, stand-up, films, radio, books, and videos.  The issue is advertised as being on sale now.

**Section 3: Mystery Press Release Corner**

This section features an article titled ""The Referendum Party.""  The article discusses the political views of Sir James Goldsmith and his concerns about the extinction of the nation.  The article is critical of Goldsmith's views and suggests that his concerns are unfounded.  The article is written in a humorous and satirical tone.

Overall, the page presents a mix of entertainment and news, with a focus on gaming, comedy, and political commentary. The page's design is typical of a magazine from the mid-1990s, with a mix of graphics and text.
"
