Page Number,Page Information
1,"The page is the cover of *BYTE*, a magazine for small systems, from January 1976.  The cover price is $1.50.

The cover features a stylized graphic of the word ""BYTE"" in a bold, red, sans-serif font.  The graphic is composed of red shapes that resemble stylized letters.

Below the title, there are several article titles, all in a simple, sans-serif font:

* **Build a Light Pen**
* **What's Inside an LSI-II?**
* **Using Memory Address Space**
* **Golf Handicapping By Computer**

The cover also includes a stylized image of a golf course, golf clubs, and a computer-like device.  The image style is a pointillist or stippled effect, using small dots of color to create the image.  The golf clubs are depicted as extending from the top of the page, and the computer-like device is shown in the lower portion of the image.  The computer appears to have a keyboard and some other components.

The text ""the small systems journal"" is printed in a smaller font at the top right of the cover.  At the bottom right of the cover, there is a small credit line, ""ROBERT [last name] INNE[Y]"".

The overall impression is of a magazine cover that is both informative and visually engaging, showcasing the diverse topics covered in the publication.  There is no review rating visible on the cover.
"
2,"This page is an advertisement for the JOLT™ computer system, highlighting its low cost and features.

The advertisement prominently displays the product name ""JOLT"" in large, bold, red letters with a cracked effect.  The headline states that it's ""the world's lowest cost computer system.""

The text describes the JOLT™ as a fully-tested microcomputer system with an on-board DEMON™ debugger/monitor.  It emphasizes the ease of assembly, stating that it can be built and operational in three hours or less.  The basic JOLT™ card is described in detail, including its 8-bit MOS Technology 6502 CPU, addressing capabilities (65k of memory), index registers, instructions, interrupts, and single-step/halt features.

The advertisement details the availability of the JOLT™ CPU card in kit form or assembled, with prices listed.  It also mentions the included terminal interface (TTY or EIA) and the unique DEMON™ debugger/monitor software.  The text emphasizes the ease of programming and the comprehensive documentation provided with the kit.  It highlights the speed of assembly (within three hours for the kit version).

The advertisement also details the JOLT™'s memory, including 512 bytes of user RAM, 64 bytes of interrupt vector RAM, and 1k bytes of monitor/debugger ROM with an automatic power-on bootstrap program.  It describes the on-board input/output (I/O) devices, including a TTY 20 milliamp current loop, EIA interface, high-speed reader interface, and 16 fully programmable user I/O lines with TTL drive.

The advertisement emphasizes the exclusive DEMON™ debugger/monitor, highlighting its comprehensive documentation and self-adapting capabilities.  It claims that even without DEMON™, the JOLT™ is the lowest-cost computer system available.

The advertisement also promotes the JOLT™ Peripheral Interface Adapter (PIA) card, which includes two PIA LSI chips, 32 input/output lines, and interrupt lines.  It's also fully programmable and available in kit or assembled form.

Finally, the advertisement mentions the JOLT™ memory card (4K byte RAM) and its price.  It also details the JOLT™ power supply card, emphasizing its functionality and price.  The advertisement includes a visual representation of the assembled JOLT CPU card.

The overall impression is one of a low-cost, easy-to-assemble computer system with advanced features, including a powerful debugger/monitor.  The advertisement emphasizes the value proposition of the JOLT™ system.
"
3,"This page is a promotional advertisement and order form for JOLT computer kits.  It's likely from a 1970s catalog or flyer.

The page details the JOLT™ computer system, highlighting its low prices.  It emphasizes the JOLT™ Universal card's versatility and the JOLT™ Accessory Bag's comprehensive components.

**Sections and Details:**

* **Introduction/Features:** The top section describes the JOLT™ Universal card's capabilities (blank, various pin configurations), power supply voltages, and RAM/I/O capabilities.  It also mentions the JOLT™ Accessory Bag and its contents.  The text emphasizes the low price and ease of use.

* **Warranty:** A section clearly outlines the JOLT™ Plain English Warranty, covering components and assembly.  It specifies the warranty period for new and assembled kits.

* **Pricing:**  A table displays quantity pricing for various JOLT™ components (CPU, RAM, I/O, Power Supply, Universal Card, Accessory Bag).  The pricing is broken down by quantity ranges (1-4, 5-19, 20-49, 50-99, 100+).  This is crucial for bulk purchases.

* **Assembled Prices:** A second table shows the prices for assembled JOLT™ kits, broken down by quantity ranges, similar to the first table.

* **Special Offer/Discount:** A prominent section highlights a 20% bonus discount on additional cards and accessories if a CPU is ordered before November 10, 1975.  This is a limited-time offer.

* **Ordering Information:**  The page includes a detailed order form.  It specifies how to pay (check, money order, credit card), shipping costs (for US/Canada and other countries), and handling/insurance fees.  It also includes a section for customer information (name, address, etc.) and credit card details.

* **Shipping Information:**  The page clearly states that US orders will be shipped via UPS and international orders via air.

* **Company Information:**  The bottom of the page provides contact information for Microcomputer Associates Inc., including address, phone number, and a copyright notice.

**Overall Impression:**

The page is designed to be a compelling sales pitch for JOLT™ computer kits.  The emphasis on low prices, versatility, and a straightforward warranty makes it attractive to potential buyers.  The inclusion of a coupon and order form makes it easy for customers to place orders.  The 1970s context is evident in the design and language. The 20% bonus discount is a strong incentive for immediate purchase.
"
4,"This page is an advertisement for software products, specifically assembler programs, editor programs, and monitor routines for the 8008 and 8080 microcomputers.  It's a detailed listing of the features and benefits of each program, along with their prices.

**Sections and Descriptions:**

* **SOFTWARE:**  The introductory section highlights the benefits of using software to improve computer performance, emphasizing that it makes the machine ""healthy"" and ""gets rid of dull, aimless, blinking lights.""

* **ASSEMBLER PROGRAMS FOR THE '8008':** This section describes an assembler program for the 8008, available in two versions: a ""minimum length"" version that resides in 2K of memory, and a more powerful version for users with additional memory.  The manual includes a thorough explanation of assembler operation, details on formatting source listings, step-by-step analysis, program flow charts, and assembled listings.  The price is $17.95.

* **'8008' EDITOR PROGRAM:** This section details an editor program for the 8008 that also resides in 2K of memory.  It allows users to manipulate text, create source listings, and perform other text preparation tasks.  Additional memory can be used to increase the text buffer size.  The price is $14.95.

* **'8008' MONITOR ROUTINES:** This section describes a monitor control package for the 8008.  It allows external control of the computer via a keyboard, examining and modifying memory locations and CPU registers, setting breakpoints, executing programs for debugging, controlling bulk storage I/O devices, and performing other useful functions.  The manual includes subroutine explanations, flow charts, and an assembled, highly commented program listing.  The price is $11.95.

* **NEW! FOR HUNGRY 8080 MACHINES! AN '8080' ASSEMBLER PROGRAM:** This section introduces an assembler program specifically designed for the 8080.  It utilizes unique routines from the 8008 assembler, operates in 4K of RAM, and uses mnemonics similar to those used by SCELBI for their 8008 machines.  The program can process 8008 code to produce 8080 object code.  The manual includes a discussion of major routines, flow charts, and a highly commented assembled listing.  The price is $17.95.

* **AN '8080' EDITOR PROGRAM:** This is essentially a copy of the 8008 editor program, but adapted for the 8080.  The price is $14.95.

* **'8080' MONITOR ROUTINES:** This section describes monitor routines for the 8080, similar to the 8008 version but specifically designed for the 8080's extended capabilities.  The price is $11.95.

* **WANT TO ""SPOON FEED"" YOUR MACHINE?:** This section encourages users to learn machine language programming.  It suggests that learning machine language is essential for effective use of small systems.

* **MACHINE LANGUAGE PROGRAMMING FOR THE '8008' (AND SIMILAR MICROCOMPUTERS):** This section advertises a manual for learning machine language programming for the 8008 and similar microcomputers.  It emphasizes the manual's detailed knowledge, numerous examples, and practical applications.  The price is $19.95.

* **Ordering Information:** The bottom of the page provides contact information for SCELBI Computer Consulting Inc., including address, phone number, and ordering details.  It also specifies pricing for domestic and overseas delivery.


Overall, the page is a comprehensive advertisement for various software packages designed for 8008 and 8080 microcomputers, highlighting their features, functionality, and prices.
"
5,"This page is from BYTE magazine, issue #5, January 1976.  It's a multi-section article, presenting various computer-related topics and news.

**Sections and Content:**

* **Foreground:** This section features articles on hardware and software.  There are brief descriptions of light pens (Hardware - Loomis), applications for the LIFE Line 4 (Applications - Helmers), golf-related applications (Golf Handicapping - Haller), and photographic notes on wire wrapping (Techniques - Helmers).  Page numbers are provided for each topic.

* **Background:** This section delves deeper into computer systems and technology.  It includes articles on a new mini-microcomputer system (Processors - Baker), a horror story (presumably a fictional piece related to computers), problems with the system (Problems - Warren), a total kitchen information system (Systems - Lau), Intel 8080 op code table (Reference - Dittrich), blinking lights in computer applications (Applications - Helmers), taking advantage of memory address space (System Design - Luscher), and a review of the CT-1024 kit (Review - Hogenson).  Page numbers are provided for each topic.

* **Nucleus:** This section contains news, reviews, and other miscellaneous items related to the computer world.  It includes articles on Beach Ball Software, BOMB (likely a software program or game), the Joules (a software project), clubs, newsletters, MITS Computer Caravan, classified ads, answers to a December word hunt, sphere rolls into town, letters, book reviews, the BYTE questionnaire, and reader's service.  Page numbers are provided for each topic.

**Visuals:**

The page includes several images.  There's a graphic of a circuit board or similar electronic component (p. 12), a diagram of arrow keys (p. 32), and a graphic of memory sizes (8K and 4K) (p. 60).  There are also other images, but their content is not described in the text.

**Additional Information:**

The page also includes information about the magazine itself, such as its publication details (monthly, publisher, subscription rates, address, and phone number).  This indicates that the magazine is aimed at a technical audience interested in computers.

**Overall:**

The page provides a snapshot of the computer world in 1976, showcasing the various aspects of hardware, software, and related news.  The layout and content suggest a magazine aimed at enthusiasts and professionals in the burgeoning computer industry.
"
6,"This page is a section from a magazine, likely BYTE, featuring various articles and information related to personal computers.  It's not a single review, but rather a collection of articles and information.

The page begins with a heading ""In This BYTE,"" indicating a collection of content within the magazine.

**Article 1:**  The first article section discusses a computer, likely the PDP-11/40, and its availability in a home setting. It also mentions the LSI-11 microcomputer and its compatibility with PDP-11 software.  The author then directs the reader to another article for more details on the LSI-11.

**Article 2:**  A second article section describes a ""Light Pen"" and its use with an oscilloscope display, allowing users to add and delete points of light on the screen.

**Article 3:**  The next section focuses on the LIFE program and its ""DEFAULT"" routine for handling errors and entering data.  It highlights the program's use of hardware and software integration, specifically mentioning the KEYBOARD_INTERPRETER and its connection to the cursor motion control keyboard.

**Article 4:**  The following section discusses wire wrapping, a technique for assembling circuits.  It also provides advice for creating custom computer interfaces.

**Article 5:**  The next section addresses the importance of blinking lights on computer control panels, suggesting alternative uses for LED indicators beyond traditional control panel applications.

**Article 6:**  The next section, likely a continuation of the previous theme, discusses the application of personal computers in household situations, specifically focusing on the Total Kitchen Information System (TKIS).

**Article 7:**  The following section discusses golf handicapping and a program designed to calculate handicaps, potentially as a business opportunity for teenagers.

**Article 8:**  The next section discusses computer resources, particularly the memory address space, and how it can be used to improve computer speed and function.

**Article 9:**  The next section discusses the style and notation conventions used in BYTE magazine, highlighting the use of abbreviations and units.

**Article 10:**  The final section discusses the usefulness of television sets as peripherals for computers, specifically mentioning the CT-1024 interface by SWTPC.  This section includes a review by Jim Hogenson.

**Overall:** The page is a collection of articles, not a single review.  The articles cover a range of topics related to personal computers, including hardware, software, applications, and design considerations.  There are no explicit review ratings visible on the page.
"
7,"This page is an advertisement for the Altair 680 computer kit, produced by MITS.  It details the specifications, features, and pricing of the computer, along with information about documentation, delivery, software, and the Altair Users Group.

**Headline:** ""Lowest Price in the World!""

**Introduction:** The advertisement highlights the Altair 680 as the lowest-priced complete computer on the market, priced at $345.  It was introduced in January 1975, and was a significant development in the burgeoning personal computer market.

**Altair 680 Description:**  The advertisement describes the Altair 680's components, including a power supply, front panel control board, and CPU board housed in a 11"" wide x 11"" deep x 4 11/16"" case.  The CPU board features a 6800 microprocessor chip, 1024 words of RAM (2102 type 1024 x 1-bit chips), a built-in interface configurable for RS232 or 20 mA/60 mA Teletype loop, and provisions for 1024 words of ROM or PROM.  It emphasizes the 16-bit addressing, 65,000 words of memory, and virtually unlimited I/O devices, making it a versatile computer.

**Documentation:**  The Altair 680 kit includes comprehensive documentation, including assembly manuals, operation manuals, and theory manuals.  A complete set of manuals in a 3-ring binder is available for $14.50 (regularly $25).

**Delivery:**  The advertisement details the delivery process, noting that personal checks take 2-3 weeks, while money orders and credit cards take 1-3 days.  Delivery times may vary depending on order backlog.

**Altair 680 Prices:**  A table lists various configurations and their prices:
* **Altair 680 complete computer kit:** $345
* **Altair 680 assembled and tested:** $420
* **Altair 680T turnkey model (complete Altair 680 except front panel control board):** $280
* **Altair 680 CPU board (including PC board, 6800 microprocessor chip, 1024 word memory, 3-way interface, and all remaining components except power supply):** $195
* **Altair 680 CPU board assembled and tested:** $275
* **Option IC socket kit:** $29
* **Option cooling fan (required when expanding 680 internally):** $22
* **Option cooling fan installed:** $26
* **PROM kit:** $25
* **Connectors:** $22

**Altair 680 Software:**  The advertisement mentions software for the Altair 680, including a monitor on PROM, assembler, debug, and editor, available at a nominal cost.  MITS will sponsor software contests to encourage the development of a software library.

**Altair Users Group:**  All Altair 680 purchasers receive a free one-year membership in the Altair Users Group, the largest group of its kind, keeping members informed of developments through a monthly publication, ""Computer Notes.""

**Coupon and Contact Information:**  The page includes a coupon for ordering the Altair 680 and contact information for MITS.


Overall, the page is a detailed advertisement promoting the Altair 680 computer kit, highlighting its low price, comprehensive documentation, and versatile capabilities.
"
8,"This page is a call for papers for the 1976 ACM Annual Conference, to be held October 20-22, 1976, in Houston.

The top section highlights the conference, emphasizing its relevance to both practicing professionals and researchers in computer science.  It notes the conference will be held at the Regency Hyatt House in downtown Houston and encourages attendees to participate in technical discussions and build connections.  Olin Johnson, General Chairman of ACM '76, is identified.

The next section details the call for papers.  It states that papers can be on any aspect of computer research, development, or implementation, including theoretical, state-of-the-art, or tutorial topics.  Papers must be original and not previously published or presented.  They must not exceed 10 published pages, including a 100-word abstract, bibliography, and illustrations.  Four copies of the paper must be submitted by March 1, 1976.  The papers will be reviewed by either the relevant Special Interest Group (SIG) or by reviewers selected by the Technical Program Committee.  Acceptance notifications will be sent by May 1.  The call also encourages attendees to submit ideas for technical sessions or program suggestions.

Below this, there's a section titled ""about the technical program.""

Further down, there's a section titled ""Be a part of the ""Spirit of ACM '76"""" which is a section for the Association for Computing Machinery (ACM) 1976 Annual Conference.  It includes contact information for Roger W. Elliott, the Technical Program Chairman.  There's also a form for individuals to express their intent to submit a technical paper, including a space for a tentative title and the relevant SIG (if applicable).  There's also a space for individuals to submit technical program suggestions and to request a call to discuss ideas.

The page is formatted in a clear, organized manner, using headings and subheadings to guide the reader through the information.  The overall tone is encouraging and inviting, aiming to attract participation and contributions to the conference.  The page is likely from a printed publication, given the layout and format.
"
9,"This page is a vintage advertisement, likely from a computer magazine or catalog, showcasing various memory and microprocessor components.  It's heavily focused on promoting the sale of these items.

**Sections and Descriptions:**

* **Integrated Circuits:** This section advertises 2102 1K Static RAM (still only $1.95), 5203 2K EROM ($9.50), and 5204 4K EROM ($24.50).  It highlights the features of each, such as guaranteed faster speeds, programmability, and erasability with UV light.  It also promotes a Memory/Processor 8-bit chip set for $32.50, including an 8008 microprocessor.  The text emphasizes the value proposition and availability of different quantities.

* **EROM Board Kits:**  This section details various EROM board kits (8K by 8, 4K by 8, and 2K by 8) with prices ranging from $352 to $125.  It highlights the features of these kits, including industrial-quality boards, bypassing, buffered addresses, and outputs, and compatibility with the Altair 8800.  The advertisement emphasizes the ability to program your own software on these boards.  It also mentions a special offer for 4K by 8 boards pre-programmed with 8080 assembler, editor, and monitor routines for $200.

* **4K by 8 RAM Board:**  This section advertises a 4K by 8 RAM board for $109.22.  It emphasizes the low cost per bit (one-third of a cent) and features like industrial-quality boards, sockets for all ICs, and voltage regulators.  It also highlights the compatibility with the Altair 8800.

* **Low Power Schottky:** This section promotes Low Power Schottky integrated circuits, highlighting their low power consumption compared to standard TTL, without sacrificing speed.  It lists various Schottky ICs (74LS00, 74LS04, etc.) and their prices.

* **Microprocessors:**  This section advertises a 16-bit microprocessor chip set for $195.  It emphasizes its powerful capabilities, 40-pin DIP, and compatibility with TTL.  It also promotes a data packet for $2.50, providing detailed information on the chip, software, and system organization.

* **Tiny Rotary Switch:**  This section advertises a tiny rotary switch for $1.25 each or $2.95 for three.  It highlights its single pole, seven position design, and suitability for circuit board mounting.

* **Son of a Cheap Clock:** This section advertises a ""Cheap Clock"" kit for $14.50.  It emphasizes its ease of assembly, features like 3/10-inch readouts, and suitability for 12 or 24-hour display formats.

* **Hard to Find ICs:** This section lists various hard-to-find integrated circuits (74273, 74365, etc.) and their prices.

* **Godbout Electronics:**  This section provides contact information for Godbout Electronics, including their address, terms of sale (including postage and taxes), and a mention of a free flyer for more information.


**Overall Impression:**

The advertisement is aimed at hobbyists and early computer enthusiasts, offering a wide range of memory and logic components at competitive prices.  The emphasis is on building and customizing computer systems.  The language used is straightforward and technical, reflecting the target audience's familiarity with computer hardware.
"
10,"This page is an advertisement for a book titled ""Microcomputer Dictionary & Guide,"" by Charles J. Sippl.  It's published by Matrix Publishers, Inc.

The advertisement highlights the book's purpose: to provide a comprehensive and up-to-date source of microcomputer terminology for engineers, scientists, industrialists, communications professionals, amateurs, teachers, and students.  The text emphasizes that the book will help readers quickly become familiar with the rapidly evolving field of microcomputers and their applications in various aspects of daily life.

Key features of the book, as described in the advertisement, include:

* **Over 3500 definitions:**  The book covers a vast range of microcomputer-related terms and concepts.
* **Microprocessors, microcomputers, and microcontrollers:** The book focuses on these key components of modern computing.
* **Programmable calculators, math and statistics, flowchart symbols, binary systems, switching theory, and BASIC/FORTRAN/APL:**  The book delves into various aspects of computer science and programming.
* **Appendices:**  The book includes separate sections dedicated to these specialized topics, providing additional detail and context.
* **Comprehensive electronics/computer abbreviations and acronyms:**  This section provides a valuable resource for understanding the shorthand used in the field.

The advertisement also includes the book's price ($14.95) and contact information for Matrix Publishers, Inc., including their address and a request for ordering the book.  Crucially, it mentions a 15-day trial period and the option to pay for the book and have shipping and handling covered.  There's also a note about Illinois residents needing to add 5% sales tax.

The top portion of the page features a graphic with various acronyms and terms related to microcomputers (e.g., CCD, PLA, DIP, EPROM, DTL, ECL, LSI).  This visual element further emphasizes the book's subject matter.
"
