Page Number,Page Information
1,"The page is the cover of *BYTE*, a magazine, for the February 1976 issue.  The cover price is $1.50.

The cover features a black and white illustration.  A cartoon-style elderly woman, dressed in a patterned dress, is depicted as if giving a presentation.  She is pointing to the words ""My Dear Aunt Sally"" which are written in large, stylized letters above her.  The words ""Processing Algebraic Expressions,"" ""Color Graphics for TV Typewriters,"" and ""Computer Megalomania?"" are also present, in a smaller font, and positioned above and around the main illustration.

A stylized image of a computer, or perhaps a computer terminal, is also prominently featured, positioned below and slightly behind the woman.  The computer is depicted in a boxy, blocky style, with various components and lines suggesting internal workings.  The image also includes a question mark, and the words ""A-1 Mini-Computer"" are written in a small, red-toned font at the bottom of the image.

The title ""BYTE"" is in large, bold, stylized, light-blue capital letters.  The words ""the small systems journal"" are written in a smaller font below the title.

The overall impression is of a cover that is both informative and engaging, likely intended to attract readers interested in small systems, computer technology, and related topics."
2,"This page is an advertisement for the SwTPC ""6800"" type computer system.  It's a detailed description of the system's features, capabilities, and limitations, aimed at potential buyers.

The advertisement is formatted in a way that presents information in sections, making it easy to understand the different aspects of the computer.

**Headline:** The large, bold headline ""THINKING ABOUT A ""6800"" TYPE COMPUTER?"" immediately grabs attention and sets the stage for the product description.

**Introduction:** The introductory paragraph highlights the popularity of the M6800 processor and emphasizes that not all computers using it are the same.  It encourages the reader to consider the specific features of the SwTPC 6800 system.

**IT IS A COMPLETE 6800 SYSTEM?:** This section explains that the 6800 system's full potential requires more than just the processor chip.  It emphasizes the importance of the MC6820 parallel and MC6850 serial integrated circuits for interfacing with external devices (terminals, printers, disks, etc.).

**IS THE SOFTWARE COMPATABLE OR UNIQUE?:** This section discusses the software compatibility.  It states that software and programs may be unique to the SwTPC 6800 if it doesn't use the Motorola Mikbug® ROM.

**CAN THE SYSTEM BE EXPANDED AT A REASONABLE COST?:** This section details the expandability of the system.  It mentions the ability to add memory (up to 16K words) and interface boards (up to eight).  The cost of memory expansion and interface cards is also listed.

**HOW DO YOU ENTER AND READ DATA?:** This section discusses input/output methods.  It emphasizes the importance of a full alphanumeric keyboard and terminal system for serious work, contrasting it with less practical alternatives like switch consoles.

**Product Specifications:**  A prominent section displays the ""6800 Computer System"" with serial interface and 2,048 words of memory, priced at $450.00.

**Order Information:**  A form for ordering the SwTPC Computer Kit is included, with fields for name, address, payment method (BAC or MC), and expected delivery date.

**Overall:** The advertisement is well-organized and provides a comprehensive overview of the SwTPC 6800 computer system.  It highlights the system's features, expandability, and software compatibility, while also addressing potential limitations and alternatives.  The inclusion of pricing and order information makes it clear how to purchase the product.
"
3,"This page is a table of contents for BYTE magazine, issue #6, February 1976.  It's a scanned image, likely from a printed copy.

The page is organized into sections:

* **In the Queue:** This is the main heading, and the content below it is a list of articles and features within the magazine.  Each entry includes the article title and the page number where it begins.

* **Foreground:** This section lists articles related to hardware modifications, including keyboard modification, LED light displays, and TTL pulse catchers.  The articles are attributed to specific authors or groups.

* **Background:** This section contains articles on various computer-related topics, including discussions of the Altair 680, data paths, and color graphics.  Again, authors or groups are credited.

* **Nucleus:** This section contains miscellaneous information, including letters to the editor, announcements about the magazine, classified ads, and book reviews.  It also includes a section on the BYTE questionnaire and reader service.

The page also includes several images, likely illustrations or photographs related to the articles.  Page numbers are included next to each article title to indicate where to find the full article.  There are also page numbers for images, indicating their placement in the magazine.

There is no explicit review rating visible on the page.  The content appears to be a collection of articles, not a review of a specific product or service.
"
4,"This page is a collection of articles and information from a publication, likely a computer magazine, called ""BYTE.""  It's a mix of technical articles and potentially some speculative pieces.

The page contains several distinct sections, each focusing on a different aspect of computer technology:

* **How a Computer Evaluates Expressions:** This section discusses the ""My Dear Aunt Sally Algorithm"" and how computers handle complex mathematical expressions.  The author, Robert Grappel, is mentioned.

* **Processing Algebraic Expressions:**  W.D. Maurer's article details the Bauer-Samelson algorithm, which uses stacks to parse algebraic expressions.

* **Data Paths and Information Transfer:** Gary Liming's article explores how data moves within a computer system.

* **MITS 6800 Design:** James B. Vice, from MITS, describes their 6800 product design.

* **Hard Copy Output:** Thomas McIntire's article, ""How to Save the Bytes,"" discusses creating hard copy output, including a proposed character set for inexpensive printers.

* **Southwest Technical Products 6800 System:** Gary Kay continues a presentation on the Southwest Technical Products Corporation's 6800 system, covering memory boards, interfaces, and other components.

* **LEDs in Test Equipment:** E.W. Gray's article provides information on using LEDs in test probes and diagnostic equipment.

* **TTL Pulse Catcher:** Bill Walde describes a simple test instrument, the TTL Pulse Catcher, that uses an IC, LED, switches, and resistors to monitor digital pulses.

* **Color Graphics Techniques:** Don Lancaster's article discusses generating graphics patterns for TV raster scanning.

* **Computer Speculation:** Ed Rush's article, ""Could a Computer Take Over?"" explores the potential of computers and speculative fiction related to the technology.

* **Getting Information from Input Devices:** The article discusses how to get information from joysticks and slide pots, a crucial aspect of interactive games.

* **Cover Art:** The page mentions the cover art, featuring Robert Tinney's illustration of ""My Dear Aunt Sally"" tutoring a computer on arithmetic.

The page is formatted in a way typical of a magazine article, with headings and subheadings to organize the information.  There are no review ratings explicitly mentioned.  The overall tone is informative and technical, focusing on various aspects of computer hardware and software.
"
5,"This page is an advertisement for the Altair 680 computer, a new product from MITS.  It details the specifications, pricing, and availability of the computer kit.

**Headline:**  ""Lowest Price in the World!""

**Introduction:** The advertisement highlights the low price of the Altair 680 kit ($293) compared to the Altair 8800 ($439).  It emphasizes the revolutionary new 6800 microprocessor chip at the heart of the Altair 680.

**Altair 680 Description:**  The advertisement describes the Altair 680 as a complete computer kit, including a power supply, front panel control board, and CPU board housed in a 11"" wide x 11"" deep x 4 11/16"" case.  The CPU board features:

1. **1024 words of RAM (Random Access Memory):** Using 2102 type 1024 x 1-bit chips.
2. **Built-in Interface:** Configurable for RS232 or 20 mA or 60 mA Teletype loop connections.
3. **Provisions for 1024 words of ROM (Read-Only Memory) or PROM (Programmable ROM):**  Allowing for programming from the front panel.

The Altair 680 can be connected to computer terminals or Teletypes, making it suitable for various applications, including home, commercial, and industrial use, as well as development systems.  It boasts 16-bit addressing, 65,000 words of memory, and virtually unlimited I/O (Input/Output) devices.

**Altair 680 Documentation:** The kit includes comprehensive documentation, including assembly manuals, assembly hints manuals, operation manuals, and theory manuals.  Turnkey models and CPU boards also include documentation.  Crucially, the advertisement notes that manuals are available for purchase separately.

**Delivery:**  The advertisement details the delivery process, noting that personal checks take 2-3 weeks to process, while money orders and credit cards take 1-3 days.  Delivery times are estimated at 30-60 days, but may vary depending on order backlog.

**Altair 680 Prices:**  The page lists various pricing options for the Altair 680, including:

* **Complete computer kit:** $293 (before December 31, 1975), $345 (after December 31, 1975)
* **Assembled and tested:** $420
* **Turnkey model (without front panel):** $240
* **CPU board (including components):** $180
* **CPU board (assembled and tested):** $275
* **I/O socket kit:** $29
* **Cooling fan (optional):** $16 (before December 31, 1975), $26 (after December 31, 1975)
* **PROM kit:** $42

**Altair 680 Software:** The advertisement mentions software available for the Altair 680, including a monitor, assembler, debugger, and editor.  Future software development, potentially including BASIC, is contingent on customer demand.  MITS plans to sponsor software contests to encourage the growth of the Altair 680 software library.

**Altair Users Group:**  The advertisement promotes the Altair Users Group, a membership organization for Altair 8800 and 680 owners.  Membership provides access to information and support.

**Conclusion:** The page is a comprehensive advertisement for the Altair 680 computer, highlighting its low price, features, and software support.  It also promotes the Altair Users Group for community and support.
"
6,"This page is an article, likely from a computer magazine (BYTE), titled ""Join the Club.""  It's an editorial by Carl Helmers, and it discusses the purpose and activities of computer associations.

The article begins with a quote from the Wall Street Journal about the American tradition of forming voluntary associations for specific purposes.  The author then uses this as a springboard to discuss the formation of computer associations and societies.

The editorial argues that defining the purpose of an association is crucial.  It provides a list of three key purposes for computer societies:

1.  **Information:**  Sharing knowledge about computers and their use.  This includes activities like application reports, educational materials, and discussions.

2.  **Friendship:**  Fostering camaraderie and interaction among members.  This could involve social events, meetings, and informal gatherings.

3.  **Trade:**  Exchanging equipment, learning about available resources, and collaborating on projects.  This could include equipment swaps, workshops, and demonstrations.

The author draws parallels between computer societies and other types of associations, such as scientific societies, hobby groups (like radio control or astronomy), and engineering societies.  The article emphasizes that these associations can be as diverse as the interests of their members, ranging from casual gatherings to specialized scientific groups.

The editorial concludes by suggesting specific activities a computer society's information committee might undertake, such as creating application reports and fostering the exchange of ideas and concepts related to computer applications.  It acknowledges that this list is not exhaustive.

The page also includes a list of the magazine's staff, including publishers, editors, general managers, production managers, and various other roles.  This indicates the article is part of a larger publication.
"
7,"This page is a vintage advertisement, likely from a computer or electronics magazine, showcasing various components and kits.  It's a detailed catalog of products, not a review in the traditional sense.

The advertisement features several sections, each promoting a different product:

**1. Power Supply Kits (#15V):**  This section describes a medium-current (150mA per side) power supply kit designed for economy and stability.  It's suitable for operational amplifier (op-amp) and other applications requiring ±15 volts.  The price is $9.95 plus shipping for a 2-pound package.  It also mentions that the case and hardware are excluded from the price.

**2. Wire Pencil and Bobbins:**  This section advertises wire pencil kits from Vector, highlighting their speed and ease of use for point-to-point wiring.  It mentions that the wire has special insulation that melts when heated, making it easy to work with.  Replacement wire bobbins (red, green, blue, or clear) are also available at a price of $9.50 for the pencil and $2.40 for the bobbins.

**3. Hobbywrap Tool:**  This section promotes a hobbywrap tool for making connections.  It emphasizes its ability to protect components from heat, make easily modifiable connections, and speed up complex digital projects.  The price is $41.95.

**4. Dual Tracking Kit:**  This kit provides dual tracking regulated output voltages, both positive and negative, referenced to ground.  It's suitable for applications from under 1 volt to over ±18 volts DC.  The kit includes short circuit protection and thermal limiting.  The price is $10.95 plus shipping for a 2-pound package.

**5. Fixed 1/2 Amp Kit:**  This kit offers regulated, short-proof, and thermally limited output.  It's available in 5, 8, or 12-volt models.  The price is $7.95 plus shipping for a 2-pound package.

**6. Software EROM Board Kit:**  This section promotes software for microcomputers, specifically for the 8080 processor.  It includes an editor, assembler, and monitor routines.  The price for the 8080 software board is $225.  The advertisement also highlights various EROM boards (2K x 8, 4K x 8, and 8K x 8) with direct plug-in compatibility with the Altair 8800.  Prices for these boards range from $125 to $352.

**7. 2102's and Linear Special:**  This section advertises 2102's (likely RAM chips) and other linear components.  The 2102's are guaranteed to be faster than 750ns.  Other linear components are also listed with prices.

**8. 4K x 8 RAM Kit:**  This kit is designed for use with the Altair 8800 and offers direct plug-in compatibility.  It features high-quality components, bypassing, sockets, buffered addresses, and outputs.  Access time is 500ns at 25°C.  Full instructions are included.

**Overall:** The advertisement is clearly aimed at hobbyists and electronics enthusiasts, offering a range of components and kits for building and modifying electronic projects.  The prices and descriptions are detailed, providing potential customers with the necessary information to make informed purchasing decisions.  There are no explicit review ratings, but the advertisement highlights the features and benefits of each product.
"
8,"This page contains information about the benefits and activities of computer societies.  It's likely an excerpt from a larger document, possibly a magazine article or a chapter from a book, given the formatting and lack of a title.

The text discusses various aspects of computer societies, including:

* **Information Activities:** The page highlights the importance of information activities within a computer society, suggesting that these activities are crucial for establishing and maintaining the organization.  It emphasizes the value of informal lectures, question-and-answer sessions, and ""Show and Tell"" demonstrations as effective ways to share knowledge and engage members.  Examples are given, such as demonstrations of Altair computers and home-brew microprocessors.

* **Elementary Courses:** The text emphasizes the need for educational opportunities for members with varying levels of expertise.  It suggests that ""Novice Nights"" are beneficial for teaching new members fundamental computer concepts.  It also notes that even advanced members can benefit from learning new technologies and techniques.

* **Specialization and Expertise:** The text acknowledges the importance of specialization in computer technology and how members with different backgrounds (hardware vs. software) can benefit from interacting and sharing knowledge.

* **Technology Updates:** The page discusses the value of keeping members informed about the latest advancements in computer technology.  It suggests that lectures on new technologies, such as bipolar microcontrollers, are beneficial for both novices and experts.

* **Special Interest Groups:** The text suggests that computer societies can facilitate the formation of special interest groups (SIGs) based on shared interests within the computer field (e.g., model trains, radio control, etc.).

* **Workshops and Interactive Learning:** The page mentions the importance of workshops and question-and-answer sessions as interactive learning opportunities.  It suggests that these sessions can be beneficial for both learning and sharing knowledge.

* **Benefits of Computer Societies:** The text highlights the long-term value of computer societies in fostering innovation, increasing knowledge, and providing a platform for interaction and learning.  It emphasizes the benefits for both individuals and the broader computer community.

The overall tone is informative and practical, providing suggestions for how computer societies can be structured and operated to maximize their benefits for members.  There's no explicit review rating, but the content is focused on describing the value and activities of computer societies.
"
9,"This page is an advertisement for software products from SCELBI Computer Consulting Inc., specifically for the 8008 and 8080 microcomputers.  It details several assembler programs, an editor, and monitor routines.

The advertisement is laid out in sections, each promoting a different software package.  Here's a breakdown of each section:

* **SOFTWARE:** This introductory section highlights the benefits of using software to improve computer performance, emphasizing that software can make a computer ""healthy"" and ""feel good.""

* **ASSEMBLER PROGRAMS FOR THE '8008':** This section describes an assembler program designed for the 8008.  It emphasizes that the program can reside in 2K of memory and offers a more sophisticated version for users with more memory.  The manual includes a thorough explanation of assembler concepts, formatting, subroutines, program flow charts, and assembled listings.  The price is $17.95.

* **'8008' EDITOR PROGRAM:** This section details an editor program for the 8008, noting that it can reside in 2K of memory and allows users to manipulate text, create source listings, and perform other text preparation tasks.  It also includes routines, flow charts, and assembled listings.  The price is $14.95.

* **'8008' MONITOR ROUTINES:** This section describes a monitor control package for the 8008.  It allows external control of the computer, examining and modifying memory locations, setting breakpoints, controlling I/O devices, and performing debugging.  The manual includes subroutine explanations, flow charts, and an assembled listing.  The price is $11.95.

* **NEW! FOR HUNGRY 8080 MACHINES! AN '8080' ASSEMBLER PROGRAM:** This section introduces an assembler program specifically designed for the 8080.  It highlights its ability to utilize unique routines, operate in 4K of RAM, and accept mnemonics similar to those used by SCELBI's 8008 systems.  The program can directly process code written for the 8008 and handles the extended instruction set of the 8080.  The manual includes major routines, flow charts, and a highly commented assembled listing.  The price is $17.95.

* **AN '8080' EDITOR PROGRAM:** This section describes an editor program for the 8080, essentially a copy of the 8008 version, but with machine code for the 8080.  The price is $14.95.

* **'8080' MONITOR ROUTINES:** This section describes monitor routines for the 8080, similar to the 8008 version but tailored to the 8080's extended capabilities.  The price is $11.95.

* **WANT TO ""SPOON FEED"" YOUR MACHINE?:** This section promotes learning machine language programming for the 8008 and similar microcomputers.  It suggests that learning machine language is essential for effective use of small systems.

* **MACHINE LANGUAGE PROGRAMMING FOR THE '8008' (AND SIMILAR MICROCOMPUTERS):** This section advertises a manual for learning machine language programming for the 8008 and similar systems.  It emphasizes the practical application of the techniques and routines, and the manual's suitability for other similar microcomputers.  The price is $19.95.

* **ORDERING INFORMATION:** This section provides details on pricing, shipping, and ordering information, including domestic and overseas rates.  It also includes the company's address and contact information.


Overall, the page is a comprehensive advertisement for various software packages designed for 8008 and 8080 microcomputers, highlighting their features, functionalities, and prices.
"
10,"This page is a portion of an article, likely from a magazine or newspaper, discussing computer societies and their activities.  The text focuses on several aspects of these groups, including their social dynamics, trade practices, and potential for national organization.

**Sections and Content:**

* **Friendship:** This section argues that computer hackers, while often perceived as ""strange,"" share common interests and needs for interaction, similar to other special interest groups.  The author notes that the social aspects of these groups are important, fostering a sense of community and minimizing the usual psychological barriers to forming new acquaintances.  The text highlights the common interest in computers as a key factor in these relationships.

* **Trade:** This section explores how trade and commerce can be integral parts of computer societies.  It describes how members can exchange equipment, negotiate prices, and take advantage of quantity discounts from manufacturers.  The author suggests that computer societies can act as a platform for manufacturers to demonstrate their products and for members to acquire equipment at a lower cost.  The idea of a ""flea market"" or ""garage sale"" style exchange is also mentioned.

* **True Computer Hackers:** The text describes the characteristics of computer hackers, noting that they are often intelligent and slightly eccentric, with a unique perspective on the world.

* **Prerecorded Lectures and Seminars:** This section suggests that computer societies should record lectures and seminars for later viewing by members who may have missed the original presentation.  This is presented as a beneficial practice for the growth and knowledge sharing within the society.

* **Toward a National Personal Computing Society?:** This section poses the question of whether a national computer society is a viable concept.  It suggests that the reasons for forming computer societies are applicable on a larger scale.

**Overall Tone and Purpose:**

The article seems to be advocating for the value and importance of computer societies, highlighting their social and economic benefits.  It emphasizes the unique characteristics of these groups and the potential for them to foster both personal connections and practical advantages.  The author appears to be encouraging the growth and organization of computer societies.

**Review Rating (if applicable):**

There is no review rating present on this page.  It is an informational article, not a review.
"
