Page Number,Page Information
1,"The image is a vintage-style illustration, likely from a magazine or book, depicting a presentation or lecture on speech synthesis by computer.

The central figure is a stylized, cartoonish robot, standing on a stage-like platform.  It appears to be giving a presentation, as indicated by the diagram of the human vocal tract on a stand in front of it.

The diagram of the human vocal tract is clearly labeled with anatomical terms like ""oral tract,"" ""nasal tract,"" ""lips,"" ""tongue,"" ""pharynx,"" and ""glottis.""  This suggests the presentation is about how the human vocal tract works and how computers can mimic it.

The background features a crowd of people, depicted in a stylized, almost cartoonish way, with their heads and shoulders visible.  The overall color palette is muted, with shades of purple and black dominating the image.

The title ""BUTE"" is prominent at the top of the image, and the text ""HUMAN VOCAL TRACT,"" ""SPEECH SYNTHESIS BY COMPUTER"" is also visible.  The text suggests the content of the illustration is about the technical aspects of speech synthesis.

The image style is reminiscent of illustrations from the 1970s or earlier, with a slightly vintage feel. The use of ink and shading techniques creates a visual effect that is both detailed and somewhat abstract.

There are no explicit ratings or reviews present on the page.  The image is more of a visual representation of a topic than a review.
"
2,"This page is an advertisement, likely from a catalog or a similar publication, promoting computer peripherals and systems.  It details the features and pricing of a printer (PR-40) and a graphics terminal (GT-6144) for use with 6800 computers.

**Section 1: NEED HARDCOPY?**

This section is a sales pitch for the PR-40 printer.  It highlights the printer's ability to provide hard copies for computer users who need them but can't afford dedicated printers.  Key features emphasized include:

* **Universal Compatibility:**  Operates with almost any computer using an eight-bit parallel I/O port.
* **Ease of Use:**  Clear, easy-to-read hard copies.
* **Self-Contained Memory:** The printer has its own character generator and memory buffer, meaning the computer doesn't need to handle the printing process continuously.
* **Speed:**  75 lines per minute print rate.
* **Technical Specifications:**  Includes details like character count (40 characters per line), dot matrix print, and compatibility with specific computer systems (TTL, SWTPC 6800, MITS).
* **Price:**  PR-40 Line Printer Kit is $250.00.

**Section 2: HOW ABOUT PICTURES?**

This section promotes the GT-6144 graphics terminal.  It emphasizes the ability to add graphics capabilities to computer games and other applications.  Key features include:

* **Graphics Display:**  Produces graphic displays like the ""Enterprise"" example shown.
* **Self-Contained Memory:**  The graphics terminal has its own memory, so the computer's memory isn't used for the display.
* **Compatibility:**  Operates with any eight-bit parallel I/O port computer.
* **Physical Specifications:**  The 9½ x 13 circuit board is mentioned.
* **Price:**  GT-6144 Graphics Terminal Kit is $98.50.

**Section 3: Ordering Information**

This section provides a form for ordering the products.  It lists the following:

* **6800 Computer:** $395.00
* **PR-40 Printer:** $250.00
* **GT-6144 Graphics Terminal:** $98.50
* **Just data (free):**  This is likely a reference to data sheets or other free information.

The form also includes fields for customer name, address, city, state, and zip code.  The advertisement concludes with contact information for Southwest Technical Products Corp.


Overall, the page is a concise advertisement for computer peripherals, highlighting their features and pricing.  The layout is clear and easy to understand, with images of the products and a price list.
"
3,"This page is an advertisement for the Cromemco BYTESAVER™ 8K memory board.  It highlights the board's ability to store computer programs in PROM (Programmable Read-Only Memory) and its built-in PROM programmer.

The advertisement is formatted as a detailed product description, with sections explaining the features and benefits of the BYTESAVER™.

**Key Features and Benefits:**

* **Economic Storage:** The BYTESAVER™ is presented as a cost-effective way to store programs in PROM, transferring them from the computer's RAM (Random Access Memory).
* **Permanent Storage:** Programs stored in PROM are permanent, unaffected by power outages or accidental shutdowns.
* **UV Erasable PROMs:** The PROMs used with the BYTESAVER™ are UV erasable, allowing for reuse.
* **8K Capacity:** The board has a capacity of 8K bytes of PROM memory, suitable for larger programs.
* **Built-in PROM Programmer:** The BYTESAVER™ includes a built-in PROM programmer, eliminating the need for a separate device and saving money.
* **Fast Transfer:** The transfer of programs to PROM is described as quick, taking less than a minute.
* **Software Support:** Special software is included to control the transfer process and load large programs like 8K BASIC in a single second.
* **Easy to Use:** The advertisement emphasizes the simplicity and ease of use of the BYTESAVER™ and its built-in programming capabilities.
* **Compatibility:** The BYTESAVER™ is compatible with Altair 8800 and IMSAI 8080 systems.

**Sections of the Advertisement:**

* **""How to save your programs -- and have a PROM programmer, too"":** This is the main heading, introducing the product and its key features.
* **""ECONOMICAL"":** This section details the economic benefits of storing programs in PROM using the BYTESAVER™.
* **""HOLDS LARGE PROGRAMS"":** This section highlights the 8K byte capacity of the BYTESAVER™ and its ability to store larger programs.
* **""NO KEYBOARD NEEDED"":** This section explains that the BYTESAVER™ comes with software that handles the transfer process without the need for a keyboard.
* **""AVAILABLE NOW – STORE/MAIL"":** This section provides information on how to purchase the BYTESAVER™ kit, including pricing and ordering options.

**Pricing and Ordering Information:**

The advertisement lists two options for purchasing the BYTESAVER™:

* **Model 8KBS-K (kit):** $195
* **Model 8KBS-W (assembled):** $295

The advertisement also specifies that shipping is prepaid if payment is made in full with the order, and California residents will be charged 6% sales tax.  MasterCard and BankAmericard are accepted.

**Overall:**

The advertisement is clear, concise, and effectively highlights the key benefits of the Cromemco BYTESAVER™ memory board.  It emphasizes the ease of use, cost-effectiveness, and capacity for storing programs in PROM.
"
4,"This page is a collection of articles and information related to personal computing, microprocessors, and programming, likely from a magazine or similar publication.  It's a mix of technical details, reviews, and tutorials.

**Page 26:**

The page is primarily focused on the Zilog Z80 microprocessor, with a section titled ""What's wrong with the 8080 processor architecture?""  This section discusses the Z80's improvements over the 8080, highlighting its 8-bit architecture and speed.  There's a mention of Burt Hashizume's ""Microprocessor Update: Zilog Z80,"" suggesting a more in-depth review or article on the subject.

There's also a section about high-level programming languages and text display devices, along with a review of a TV readout device for microprocessors.

**Other Sections:**

* **""What's good for about four billion bytes...""**: This is an article excerpt, likely a review or analysis of personal computer capabilities, focusing on speed, capacity, and cost.  It mentions Martin Buchanan's article on video disks.
* **""Friends, Humans, and Country-robots...""**: This is another article excerpt, discussing computer-controlled vocal tract models and their applications.  It mentions D Lloyd Rice's tutorial.
* **""What plugs into one Altair...""**: This section describes a voice synthesizer for personal computers, highlighting its demonstration at the MITS World Altair Computer Convention.  It mentions Wirt Atmar's article.
* **""In May BYTE, we had A Date With KIM...""**: This is a review or article excerpt about the KIM-1 computer system, focusing on its modifications and compatibility with slower memories.  It mentions Yogesh M Gupta's account.
* **""A sub theme of this BYTE is the idea of the talking personal computer...""**: This section discusses the development of talking computers, mentioning Jack Hemenway and Robert Grappel's work.
* **""What's an 12L?""**: This is a review or summary of a new logic family, highlighting its manufacturing and power consumption advantages.  It mentions Terry Steeden.
* **""Many readers have found real bargains...""**: This section discusses older teletype machines and their use with microcomputers, focusing on the problem of interfacing the 60 mA Current Loop to the normal TTL level signals.  It mentions Walter S King's article.

**Overall:**

The page appears to be a collection of articles from a computer magazine, likely BYTE, covering various aspects of personal computing in the 1970s or early 1980s.  The articles are diverse, ranging from technical reviews of microprocessors to tutorials on programming and hardware design.  The page also includes a cartoon or graphic, likely related to one of the articles.  The page layout suggests a magazine format, with different sections and articles presented in a clear and organized manner.


"
5,"This page is a table of contents and introductory material from *BYTE* magazine, issue #12, August 1976.

The top of the page features the magazine's title, issue number, and date.  Below that, the heading ""In the Queue"" indicates the section's theme.

The page is organized into sections:

**Foreground:** This section contains articles related to hardware and software.  Specific topics include:

* **True Confessions: How I Relate to Kim (page 44):**  Likely a personal account or perspective piece.
* **Build a TV Readout Device for Your Microprocessor (page 66):**  Describes a project or tutorial on building a TV-based display device.
* **Interfacing the 60 mA Current Loop (page 96):**  Focuses on the technical aspects of connecting electronic components.

**Background:** This section contains articles on various computer-related topics:

* **What Do You Do With a Video Disk? (page 6):**  Likely explores the potential uses and applications of video disks.
* **Friends, Humans, Countryrobots: Lend Me Your Ears (page 16):**  A potentially humorous or thought-provoking article.
* **The Time Has Come to Talk (page 26):**  Discusses voice systems or similar technology.
* **Microprocessor Update: Zilog Z80 (page 34):**  Details updates or advancements in the Zilog Z80 microprocessor.
* **Machine Language Programming for the ""8008"" - Chapter 2 (page 40):**  A continuation of a series on machine language programming.
* **Jack and the Machine Talk (page 52):**  Likely a technical article or tutorial.
* **What's an 12L (I squared L)? (page 84):**  Explores a specific hardware or software concept.

**Nucleus:** This section contains shorter articles and features:

* **In This BYTE (page 2):**  A brief overview of the contents of the current issue.
* **Some Notes on Clubs (page 4):**  Likely a section on computer clubs or related activities.
* **Letters (page 12):**  Reader correspondence.
* **What's New? (page 74):**  A summary of recent developments.
* **Book Review (page 74):**  A review of a book.
* **BYTE's Bugs (page 76):**  A section addressing errors or issues.
* **Classified Ads (page 77):**  Advertisements for various products or services.
* **Software Bug of the Month 3 (page 81):**  A continuation of a series on software bugs.
* **Systems of Note (page 88):**  A section on important or noteworthy systems.
* **Functional Specifications (page 95):**  Technical details or specifications.
* **Clubs, Newsletters (page 100):**  Information on computer clubs and newsletters.
* **Tool Box Answers (page 126):**  Solutions to common problems.
* **BOMB (page 128):**  A section with a cryptic title.
* **Reader's Service (page 128):**  Contact information or assistance.

The page also includes a section listing the magazine's staff, including publishers, editors, production managers, circulation staff, and other personnel.  There are also sections for advertising, typography, photography, printing, and associates.  Finally, there's a section for the contest editor.

The page also includes information about the magazine's subscription rates, address, and contact information.
"
6,"This page is an article, likely from a magazine or journal, titled ""Some Notes on Clubs.""  It's a report on a meeting of the Homebrew Computer Club, held on April 28, 1976, in Palo Alto, CA.  The author, Carl Helmers, provides a detailed description of the ""mapping sessions"" that were a key part of the evening's activities.

The article is divided into sections.

**Mapping Sessions:** This section describes the mapping session, a unique feature of the Homebrew Computer Club meeting.  The author explains that the session is a mechanism for members to advertise what they have to offer (software, expertise, etc.) or what they're looking for.  It's designed to facilitate connections between people with similar interests.  The key to the session's success is a large number of attendees (400 in this case) and an effective moderator.  The moderator's role is crucial in managing the session, summarizing requests, handling questions, and even cutting off overly long presentations to keep the flow of the session moving.

**Toward Speech Input:** This section is a separate discussion about speech recognition technology.  It highlights the challenges and possibilities of speech input by computers, emphasizing the difficulty of ""pattern recognition"" in speech.  The author recommends a tutorial article on speech recognition in the May 1976 issue of IEEE Computer magazine.

**Moderator's Role:** The article emphasizes the moderator's role in the mapping session.  The moderator selects individuals who want to make announcements, ensuring that the process is orderly and efficient.  The moderator also summarizes announcements, repeats requests if necessary, and uses a public address system to ensure everyone can hear.  The moderator also has the crucial function of cutting off overly long presentations to keep the session moving.

**Announcements:** The article notes that the announcements made during the mapping session cover a wide range of topics, including fixes for hardware problems, requests for software, and offers of surplus hardware components.  A specific example is given of Tom Pittman describing his Tiny BASIC for the 6800 processor, available for a nominal fee.

**Overall:** The article provides a detailed account of a specific meeting of the Homebrew Computer Club, focusing on the mapping sessions and the moderator's role in facilitating the exchange of information and resources.  The article also touches on the broader topic of speech input technology.  The article is well-organized and provides a clear picture of the meeting's structure and purpose.


**Review Rating:** There is no explicit review rating.  The article is a descriptive account, not a review.
"
7,"This page is an advertisement for the Z-80 CPU, manufactured by Zilog, and marketed by the Digital Group.  It highlights the CPU's features and compatibility with other systems.

The advertisement is formatted with a bold headline ""SUPER CHIP!"" and a sub-headline ""The Z-80 CPU by Zilog"".  A graphic of a circuit board with the Z-80 chip prominently displayed is included.

The body of the advertisement is organized into sections.

**Introduction:** The advertisement begins by addressing potential customers considering an 8080-based system, emphasizing the Z-80 as a superior alternative. It highlights the Z-80's design by the same individuals who created the original 8080, combining the advantages of the 6800, 6500, and 8080 into a single chip.  Crucially, it emphasizes the Z-80's complete compatibility with 8080 software.  The advertisement also touts the quality and value proposition of the Digital Group, suggesting that the Z-80, combined with their systems, represents a state-of-the-art solution.

**Z-80 Features:** This section lists key features of the Z-80 CPU, including:
* **Complete compatibility with 8080A object code:**  This is a significant selling point, assuring users of existing 8080 programs will run on the Z-80.
* **80 new instructions:**  This expands the instruction set beyond the 8080, potentially offering more efficient ways to perform tasks.
* **696 Op codes:**  A large number of op codes indicates a wide range of operations the CPU can perform.
* **Extensive 16-bit arithmetic:**  This feature is important for complex calculations.
* **3 Interrupt modes:**  This allows for handling multiple events concurrently. Mode 2 provides 128 interrupt vectors.
* **Built-in automatic dynamic memory refresh:**  This is a crucial feature for maintaining data integrity in RAM.
* **Eleven addressing modes:**  This provides flexibility in accessing memory locations.  Specific modes listed include Immediate, Immediate extended, Page Zero, Relative, Extended, Indexed, Register, Implied, Register Indirect, Bit, and Combination of above.

**Digital Group Z-80 CPU Card Features:** This section details the specific components of the Z-80 CPU card offered by the Digital Group, including:
* **2k bytes 500ns static RAM:**  A significant amount of fast RAM.
* **256 bytes EPROM bootstrap loader:**  This allows for loading programs from ROM.
* **2 Direct Memory Access (DMA) channels:**  This allows for high-speed data transfer between different parts of the system.
* **Hardware Interrupt controller:**  Supports all 3 interrupt modes, with Mode 2 supporting 128 interrupt vectors.
* **Data and Address bus lines drive 30 TTL loads:**  This indicates the CPU's ability to communicate with other components.
* **Z-80 runs at maximum rated speed:**  This is a performance indicator.
* **Single step or single instruction step:**  Useful for debugging.
* **EPROM de-selectable for full 64k RAM availability:**  This allows for flexibility in configuring the system.

**Pricing and Availability:** The advertisement concludes with information on pricing and availability.  Complete Digital Group systems with the Z-80 CPU start at $475.  Contact information is provided for further inquiries.

Overall, the advertisement presents the Z-80 CPU as a powerful and versatile processor, emphasizing its compatibility with existing 8080 systems and its performance advantages.  It also highlights the Digital Group's support and value-added services.
"
8,"This page is a document, likely an article or a section of a larger document, discussing video disks and their potential applications.  It's not a typical product review in the sense of rating a specific product. Instead, it's an informational piece outlining the technology and its benefits.

**Headline:** ""What Do You Do With a Video Disk?""

**Author:** Martin Buchanan, with contact information (address and phone number).

**Content Overview:**

The document introduces the concept of video disks as a new storage technology.  It highlights the potential for this technology to revolutionize data storage and management.

**Key Points:**

* **Potential for mass storage:** The author predicts that within one to three years, a mass storage system using video disks will be available for under $1,000.
* **Direct access vs. sequential access:** The document contrasts two main types of video disk systems:
    * **RCA:** Uses a sequential (serial) access method, similar to magnetic tape.  This means the system must read through all preceding data to reach the desired information.
    * **Philips/MCA Discovision:** Employs a direct access method, using optical technology.  This allows the user to jump directly to the desired data without reading through intervening data.
* **Data characteristics:** The document specifies key characteristics of the video disk technology, including:
    * **Direct access time:** 10-50 milliseconds.
    * **Data transmission rate:** 15,000,000 bits per second.
    * **Storage capacity:** 4,000,000,000 bytes.
    * **Cost per storage unit:** $2 each.
* **""Write once"" limitation:** The author acknowledges a potential limitation of the early systems, where data can only be written once.  However, he suggests this limitation is not a significant drawback due to the essentially infinite storage capacity.
* **Table 1a: Systems:** This table provides a detailed comparison of different video disk systems based on:
    * **System cost:**  Ranges from under $100 to approximately $1000.
    * **Access type:** Serial or direct.
    * **On-line capacity:**  Measured in Kbytes.
    * **Data rate:** Measured in bits per second.
    * **Access time:** Measured in seconds or milliseconds.

**Overall Tone:**

The tone is optimistic and forward-looking, highlighting the potential benefits of the new technology.  The author acknowledges a limitation but emphasizes that it's not a major obstacle.

**No explicit review rating:**  This is not a product review, so there's no rating.  The document is more of a technical overview and a prediction of the future of the technology.
"
9,"This page contains technical information, likely from a document or article, about a new video storage system, possibly from the late 1970s.  It details the capabilities and potential of a system called ""Discovision,"" contrasting it with other existing technologies.

**Section 1: Overview of Discovision System**

The first section describes the RCA Discovision system, highlighting its projected price ($500) and its intended use with existing color televisions.  It emphasizes the system's ability to store 36,000 color video frames on a 12-inch floppy disk.  The text notes the disk's high bit density and rotation speed (1500-1800 rpm), leading to a relatively low average latency time (less than 20ms).  It also mentions a high data transfer rate of 15 Mbps.

**Section 2: Information Formats**

Table 2 outlines the different information formats the system can handle, including color and black-and-white video, digital storage, music, and high-resolution images.  The table emphasizes the potential of the system to replace microfilm and fiche in libraries and homes.

**Section 3: Magnetic Drums and Disks**

The text discusses magnetic drums and disks as secondary storage devices, highlighting their speed and use in virtual memory systems.  It contrasts their advantages with external storage methods like tape, cards, and cassettes, which are slower and less suitable for virtual memory systems.

**Section 4: External Storage and Optical Storage**

The document discusses the limitations of external storage methods (tape, cards, cassettes) and contrasts them with the potential of optical storage.  It emphasizes the potential of optical storage to be faster, cheaper per byte, and more directly accessible than floppy disks.

**Section 5: Cost and Comparison**

Table 1 compares the hypothetical Discovision system to existing home computer systems, highlighting the speed and cost of main memory (RAM and ROM) and secondary storage.  The text projects a cost of $1000 for the system and 50¢ per blank disk.

**Section 6: Media Table (Table 1b)**

Table 1b provides a breakdown of different media types (audio cassette, floppy disk, optical disk) and their associated costs and storage capacities.  It shows the approximate cost per byte of storage and on-line capacity for each type.

**Section 7: Conclusion and Potential**

The final section discusses the potential of the Discovision system to be a mass storage solution, particularly in areas like music libraries and books.  It highlights the potential of the system's direct access capability and its potential for adapting to allow writing of information in a personal system.  It specifically mentions Philips and MCA as potential adopters of this technology.

**Overall:** The page presents a technical overview of a proposed video storage system, emphasizing its potential advantages over existing technologies in terms of storage capacity, speed, and cost.  It's a detailed description of the system's features and capabilities.
"
10,"This page is a technical document, likely an excerpt from a larger article or report, discussing the potential of electro-optical libraries and storage systems.  It details the advantages and implications of this new technology compared to traditional methods.

The text describes several key aspects:

* **Optical Disk Advantages:** The author emphasizes the potential of optical disks to store vast amounts of data, potentially surpassing the capacity of existing methods.  They highlight the potential for significantly cheaper storage per unit of information, though the overhead for accessing that information might still be a factor.  The text also notes the potential for faster access times compared to other methods.

* **Electro-Optical Libraries:** The document proposes a revolutionary concept of libraries using optical disks.  It envisions replacing traditional libraries with systems that store information digitally on optical disks, making it readily accessible.  The author believes this will be more convenient and efficient than current methods.  The text details how this system could handle large libraries, like the Library of Congress, and how it could be used for various purposes, including storing text, images, and diagrams.

* **Technical Specifications:** The document outlines some technical details, including the potential for high-resolution displays (CRTs) to access the data, multiple simultaneous access points, and automatic disk handling mechanisms.  It also discusses the potential for virtual access and timesharing of data.

* **Data Storage and Retrieval:** The document explains how data can be stored and retrieved efficiently on optical disks.  It mentions ASCII coding for data storage and the potential for optical character recognition (OCR) to convert printed material into digital format.

* **Cost Considerations:** The author points out that the cost of producing and accessing information on optical disks is significantly lower than traditional methods, like photocopying.

* **Applications:** The document highlights potential applications for this technology, including use by professionals like lawyers, doctors, and engineers, as well as for educational institutions.

* **Limitations:** The document acknowledges a potential limitation of optical disks: the sheer abundance of data storage capacity can make it cumbersome to manage and access specific pieces of information.

* **Future Implications:** The document suggests that this technology will revolutionize information access and storage, potentially replacing traditional libraries and other information-handling systems.

The overall tone is optimistic and forward-looking, highlighting the potential benefits of this new technology.  The document is clearly aimed at a technical audience, explaining the technical aspects of the proposed system.  The page ends with a note that the discussion continues on the next page.
"
