Page Number,Page Information
1,"The image is a cover of ""Commodore User"" magazine, dated June 1985.  The cover features a design that evokes a cassette tape, with the words ""FREE GAMES FROM THE TOP NAMES"" prominently displayed in a bold, pinkish-red font.  The title ""COMMODORE USER"" is in a large, stylized, neon-like font.

The cover also highlights several key features:

* **Boulder Dash II Exclusive Review:**  Indicates a dedicated review of the game ""Boulder Dash II"" within the magazine.
* **40 Game Reviews:**  Promotes a substantial collection of game reviews.
* **Win Them All:**  Suggests a comprehensive approach to game coverage.
* **Airwolf Map:**  Indicates a feature or article related to the game ""Airwolf.""
* **Amiga Gets Software:**  Highlights coverage of software for the Amiga computer.
* **Great New Games Column:**  Indicates a regular column dedicated to new releases.
* **Free Commodore Show Guide:**  Suggests a guide or directory of Commodore products.

The cover also includes the magazine's publication date (June 1985) and price (95p).  A small graphic of a video game screen is also visible, likely related to one of the featured games.  The overall design style is characteristic of computer magazines from the mid-1980s, with a focus on bright colors and a futuristic aesthetic."
2,"The image is a promotional poster or advertisement for the video game ""Elite Goes Gold on the 64.""

The poster features a stylized, gold-colored graphic design.  The title ""ELITE GOES GOLD ON THE 64"" is prominently displayed in a large, bold, sans-serif font, set against a dark background.  The title is in a red box.

A large, stylized image of a gold-colored object, resembling wings or a futuristic aircraft, is central to the design.  The word ""ELITE"" is prominently featured within the graphic, also in a large, gold, stylized font.

Below the main title, a smaller text block states, ""The game of a lifetime"" Zzap! 64. May 1985."" This indicates the game's release date and a publication mentioning it.

Further down, the poster includes the name and address of the developer, ""FIREBIRD SOFTWARE, WELLINGTON HOUSE, UPPER ST MARTIN'S LANE, LONDON WC2H 9DL.""

Finally, a small, gold-colored banner at the bottom right of the image reads ""GOLD EDITION.""

At the bottom left, there are copyright notices and trademarks, indicating the ownership and licensing of the game and its components.  ""Firebird is a Trade Mark of British Telecommunications plc."" and ""Elite is a Trade Mark of Acornsoft Ltd."" are clearly visible, along with the years 1984 and 1985, and the initials BT.  This suggests the game is a licensed product.

Overall, the poster's design is visually appealing and emphasizes the game's title, developer, and release date. The gold color scheme and stylized graphics create a futuristic and exciting impression.
"
3,"This page is a contents page from a magazine, likely *Commodore User*, from June 1985.  It's densely packed with information about various articles and features related to the Commodore 64 computer.

The page is organized into sections, each with a headline and a brief description of the content.  Here's a detailed breakdown:

**1.  NEWS (Page 4):**  This section provides the latest news and a special report on Commodore at the Hanover Fair.

**2. COMMODORE SHOW GUIDE (Page 14):**  This is a guide to Commodore showtimes, likely listing which vendors or exhibitors will be showcasing what products at the fair.

**3. TURBO REVEALED (Page 19):**  An article by David Bolton explaining how Turbo loaders work, how they speed up games like *Ghostbusters* and *Decathlons*, and troubleshooting tips.

**4. C-16 MACHINE-CODE PART 1 (Page 22):**  An article by Ken McMahon explaining the built-in machine code monitor (TEDMON) on the Commodore 16 and how to use it.

**5. MICRO-WAVE RADIO (Page 27):**  An article by Jim Grubbs, likely a continuation of a series, focusing on radio teletype programming and interface details.

**6. VOICEMASTER REVIEWED (Page 30):**  A review of the Anirog's Voicemaster, highlighting its speech recording, playback, and voice recognition capabilities.

**7. HOT SHOTS (Page 32):**  A regular column featuring news, hints, tips, industry gossip, and a competition, likely related to Commodore products and the industry.  Includes an Airwolf map.

**8. DELUXE PRINT (Page 38):**  A review or article about three do-everything interface devices for the Commodore 64.

**9. LIFE IN THE FAST LANE (Page 63):**  An article by Chris Durham focusing on the 1541 Flash! disk drive and how it can speed up Commodore 64 disk operations.

**10. COMMODORE PC (Page 65):**  A review by Karl Dallas of the Commodore PC, highlighting its features and how it might attract business users away from IBM PCs.

**11. US MAIL (Page 13):**  An article by Dan Gutman about American software houses working on Amiga software.

**12. HAPPY HACKER (Page 21):**  More news for the modern modem user.

**13. SCREEN SCENE (Page 42):**  A twelve-page offering of the latest games reviews.

**14. BUSINESS (Page 68):**  An article about unusual applications for the Commodore 64, focusing on a nursery/horticultural theme.

**15. TOMMY'S TIPS (Page 73):**  Tips from the magazine's ""Tommy"" on the Commodore keyboard.

**16. INTO THE VALLEY (Page 76):**  A review or article about the games *Gremlins*, *The Tracer Sanction*, and *Velnor's Cave*, and a competition.

**17. LETTERS (Page 81):**  A section for readers to write letters to the magazine.

**18. BOOK REVIEWS (Page 87):**  Reviews of books for both the Commodore 64 and the Commodore 16.

**19. PEOPLE (Page 16):**  A section listing the magazine's staff, including the editor, deputy editor, staff writer, contributors, advertising manager, and advertisement executive.

**20.  SUBSCRIPTIONS/CONTACT INFO (Page 16):**  Information about subscribing to the magazine, including contact details and prices.

**21. COPYRIGHT/LEGAL (Page 16-17):**  Legal information about the magazine's content, copyright, and contributors.


The page also includes a cover image and a cover credit.  The overall impression is of a comprehensive magazine issue, providing a variety of content for Commodore 64 users.
"
4,"This page is a section from a magazine, likely *Commodore User*, focused on news and updates related to the Commodore 64 computer system.  It's filled with various short articles, each covering a different aspect of Commodore products and the broader computing scene.

**Sections and Details:**

* **Shorts:** This section contains brief news items, presented in a concise format.  Several ""Shorts"" are included, each covering a different topic.  For example, one discusses Commodore's sponsorship of a German soccer team, another details the release of a new serial connection device, and another highlights the conversion of popular Spectrum games to the Commodore 64.  There are also items about customized printers, and a new chip for improving printer output.

* **What Your Right Arm's For:** This section focuses on a new Seiko RC-1000 wristwatch computer terminal.  It details the device's capabilities, including its use as an electronic diary, memo pad, telephone directory, and its ability to store and retrieve data from the Commodore 64.  It also mentions the device's complex alarm mode and its ability to memorize up to 80 date items per year.

* **New Star for Commodore:** This section discusses a new printer, the SG-10C, from Star.  It highlights the printer's compatibility with the Commodore 64, its printing speed, and its ability to print Commodore graphics and control codes.  It also notes the printer's lower price point compared to the SG-10, and its ability to connect directly to the Commodore 64 without an expensive interface.

* **128 Gets CP/M Tutorial:** This section discusses a CP/M tutorial for the Commodore 128.  It explains that the tutorial is being developed by Microcal, and that it's designed to make the transition to CP/M easier.  It also mentions that the tutorial might be given away with the 128 or sold separately, and that Microcal is also creating an MS-DOS tutorial for the Commodore Personal Computer.  The article emphasizes the confidence Commodore has in the 128's CP/M mode, and that the availability of a CP/M training disk will help users learn the operating system.


**Overall:**

The page provides a snapshot of the Commodore 64's ecosystem and the surrounding technology in the late 1980s.  It showcases the various peripheral devices, software, and services available for the Commodore 64, and the ongoing competition and innovation in the personal computer market.  The articles are informative and provide details about the features and specifications of the products mentioned.
"
5,"This page is a section from a magazine, likely *Commodore User*, dedicated to news and reviews about Commodore computers, specifically the Commodore 64.  It's a mix of articles, reviews, and advertisements.

**Section 1: ""TYPE IT RIGHT""**

This section is a review/article about a new word processing software package called ""Supertype"" for the Commodore 64.  It highlights the program's features, including its ability to teach typing skills, its speed (up to 50 words per minute), and its use of color-coded keys.  The article mentions a stand-up manual and a business version on disk.  It also notes that the software is available for purchase.

**Section 2: ""Shorts"" (multiple)**

This section contains several short news items, each under a ""Shorts"" heading.

* **Grandmaster for 16:**  A review of a chess program for the Commodore 16, highlighting its success on both the Commodore 64 and Vic-20, and its affordable price.
* **Ariola tombola:**  An announcement of a monthly drawing contest run by Ariolasoft for prizes including a portable SX-64 computer and accessories.  It also mentions a voucher scheme for discounts on related products.
* **More Screen Shots:**  A review of two books in the ""Screen Shots"" series for the Commodore 64, focusing on graphics programming and sprite tutorials.

**Section 3: ""POP GOES MUSIC MAKER""**

This section is an advertisement/review for a music software package called ""Music Maker"" for the Commodore 64.  It describes the software's features, including the ability to play various musical styles (Beethoven, Mozart, etc.) and different play modes (concert, rehearsal, performance).  It also mentions compatibility with MIDI synthesizers.

**Section 4: ""Erratum""**

This is a correction to a previous article in the magazine.  It clarifies the distributor of the Quickdisc software, correcting a previous error.

**Overall:**

The page provides a mix of software reviews, product announcements, and news items related to the Commodore 64.  The ""Shorts"" section provides quick updates on various software and hardware, while the main articles delve deeper into specific programs.  The page also includes advertisements for software and hardware.  There's no single review rating, but the articles provide information about the quality and features of the products.
"
6,"This page is an advertisement for software, likely from a computer magazine, featuring a range of programs for various computer systems, primarily Commodore 64 and 8000 series.

**Headline:**  FOR CONNOISSEURS OF MODERN LANGUAGE LEARNING

**Product Focus:** The page highlights language learning software (French, German, and Spanish) available on Commodore 64, BBC, and Spectrum computers.  It emphasizes the programs' features, including different learning levels (O-level and beyond), comprehensive vocabulary lessons, and various learning modes.  Cassettes are mentioned, and the text emphasizes the ability to save and recall lessons.

**Software List:**  A section titled ""7 BARGAIN OFFERS FROM OUR DISK-BASED SOFTWARE LIST"" lists several software packages for Commodore 64 and 8000 series computers.  The software includes:

* **PAYROLL:** A comprehensive payroll program with various features like hourly, weekly, monthly calculations, overtime, piecework, pre-tax adjustments, pension, and National Insurance contributions.  It also includes deduction card printouts and printed payslips.  A discounted price is offered until the end of June.
* **INTEGRATED ACCOUNTS:** A program for managing accounts with features like 200 customer accounts, 200 supplier accounts, 1200 purchase and sales ledgers, 200 nominal accounts, audit trails, trial balance, monthly balances, and reports (profit and loss, balance sheet).  The program is designed for businesses.  A discounted price is offered until the end of June.
* **INTERFACE (Payroll to Accounts):** A program that connects payroll data to accounting records.
* **SALES LEDGER AND INVOICING:** A program for managing customer accounts, invoices, statements, and daybooks.  A discounted price is offered until the end of June.
* **PURCHASE LEDGER:** A program for managing supplier accounts, aged creditors, and address labels.
* **SIX-PACK:** A simple purchase and sales system suitable for small businesses, including features like invoices, statements, address labels, and stock control.
* **AUTOPARTS:** A stock control program for garages and parts distributors, suitable for managing inventory of items like tires.

**Pricing and Availability:**  The page clearly states the full price and discounted price (until the end of June) for each software package.  It also mentions that some software is available for the Commodore 128 soon.  The page also notes that prices include VAT and postage.

**Contact Information:**  At the bottom of the page, there's contact information for E-A Software, including their address, telephone numbers, and a request to write or phone for a complete list of products.

**Overall:** The page is a detailed advertisement for various software packages, highlighting their features, pricing, and availability.  It's aimed at businesses and individuals needing accounting and language learning software for their computers.
"
7,"This page is an article from a magazine, likely *Commodore User*, about the Commodore computers at the Hanover Fair.  The article, titled ""Gunning for the Big Boys,"" is a special report by Bohdan Buciak.

The article focuses on the Commodore presence at the Hanover Fair, highlighting the various Commodore computers on display, including the Commodore 64, C-128, and Commodore 900.  It details the company's strategy and the reception of their products.

**Key Sections and Details:**

* **Introduction:** The article begins by describing the atmosphere of the Hanover Fair, likening it to a village hall disco despite its large size.  It emphasizes Commodore's significant impact at the fair, showcasing a wide range of computers.

* **Commodore's Position:** The article notes Commodore's status as a leading seller of home computers globally, with sales nearing five million units for the Commodore 64.  However, the article also suggests that Commodore is aiming for more sophisticated products and is competing with companies like Apple and IBM.

* **Das Superding Computer:** This section describes the Commodore stand at the fair, highlighting the enthusiastic German attendees and the display of C-128 machines.  It emphasizes the lack of new software readily available for the C-128.

* **No 128 Games:** This section expresses disappointment for players expecting more software for the C-128.  It notes that while the C-128 is designed to upgrade the Commodore 64, there's a lack of games and software specifically for the 128 mode.  The article also mentions the limited availability of superior games software for the 64.

* **Easier Easyscript:** This section discusses the new 80-column version of Easyscript, called Superscript, developed by Precision Software.  This highlights the software advancements for the Commodore computers.

* **Amiga Where Are You?:** This section discusses the absence of Amiga computers at the fair.  It also touches on the sometimes unreliable nature of Commodore's sneak previews of new products.

* **Technical Details:** The article includes details about the new features of the Commodore 128, such as the 80-column display, new Basic commands, and the assembler/disassembler.  It also mentions the new video chip and its impact on software development.

* **Software and Memory:** The article discusses the challenges of developing games for the 80-column mode due to the video chip's processing time.  It also mentions the spelling checker program with a 30,000-word dictionary.

**Overall Impression:** The article presents a mixed view of Commodore's presence at the Hanover Fair. While Commodore is successful and well-represented, there are concerns about the lack of readily available software for the C-128 and the perceived lag in superior games software compared to other systems.  The article also highlights the company's focus on technical advancements and software development.


**Review Rating:**  There isn't a formal review rating.  The article is a report, providing information and observations rather than a subjective evaluation.
"
8,"This page is an article from a magazine, likely *Commodore User*, focused on the Commodore 128 and 900 computers, along with other competing machines.  It's a mix of product reviews, market analysis, and commentary.

**Sections and Details:**

* **Gunning for the Big Boys:** This section discusses the Commodore 128, highlighting its features and software.  It critiques the need to constantly refer to the manual (a ""major gripe"") and praises the scrolling text feature.  It also touches on the price and potential market for the 128, noting the question of who will buy it and what it will cost.  The article mentions the Superbase and Easyscript software, and the ability to transfer information between them.  It also discusses the 128 RAMdisk, noting its limitations and potential.

* **Business:** This section focuses on the Commodore 128's potential in the business market.  It reviews the computer's performance and features, comparing it to other machines like the Apple and IBM PC.  The article notes the computer's price point and its potential to compete in the business sector.  It also mentions the 128's ability to run multiple applications simultaneously.

* **The new 900, Commodore's mightiest micro:** This section is dedicated to the Commodore 900.  It describes the machine as a multi-user, multi-tasking 16-bit microcomputer running the Zilog Z8000 processor with the Coherent operating system.  The article highlights the machine's advanced features, including its high resolution graphics capabilities (1024 x 800 pixels), windowing software, and mouse support.  It also notes the machine's potential for CAD applications.  The price is mentioned as being around £3000 for the basic model.

* **High-flying technology:** This section discusses the technological advancements of the Commodore 128 and 900, comparing them to other computers on the market.  It highlights the speed and capacity of the 128 RAMdisk and the multi-tasking capabilities of the 900.

* **Conclusions:** This section summarizes the article's main points, focusing on the new machines shown at the Hanover Fair and their potential impact on the market.  It notes the Commodore's ambition to compete with other brands like Apple, IBM, and Atari.  The article concludes by emphasizing the company's efforts to offer a range of products at various price points.

**Overall Impression:**

The article presents a balanced view of the Commodore 128 and 900, highlighting their strengths and weaknesses.  It acknowledges the competition from other brands and the challenges of competing in the market.  The tone is informative and analytical, providing a comprehensive overview of the computers and their place in the market.  The review rating isn't explicitly stated, but the overall tone suggests a positive, though not overly enthusiastic, assessment of the products.
"
9,"This page is an advertisement for the ""Mr. Men Collection"" of video games, published by Mirrorsoft.  The advertisement features a variety of Mr. Men-themed games for various home computers of the era, including the Commodore 64, BBC Micro, Atari, and more.

The page is visually appealing, using bright colors and cartoon images of the Mr. Men characters.  It's laid out in sections, each promoting a different game in the collection.

**Sections:**

* **""First Steps with the Mr. Men"":** This section highlights a game called ""First Steps"" with a price of £8.95 for cassette and £11.95 for disk.  It specifies compatibility with various home computers (Amstrad, Atari, BBC, CBM 64, Electron, MSX, and 48K Spectrum).  A graphic of the game's box art is included.

* **""Here & There with the Mr. Men"":** This section promotes another game, ""Here & There,"" with a price of £7.95 for cassette and £10.95 for disk.  The same range of computer compatibility is listed.  A graphic of the game's box art is also included.

* **""Word Games with the Mr. Men"":** This section advertises a ""Word Games"" game, presented as a double pack (cassette and disk) for £9.95 and £12.95 respectively.  The same computer compatibility is listed.  A graphic of the game's box art is included.

* **""Hi Bouncer!"":** This section promotes a game called ""Hi Bouncer!"" with a price of £6.95 for cassette and £9.95 for disk.  The compatibility is listed as BBC, and CBM 64.  A graphic of the game's box art is included.

**Overall:**

The advertisement clearly outlines the different games, their prices, and the computers they are compatible with.  It also includes contact information for Mirrorsoft in case of any issues or questions about the games.  The use of the Mr. Men characters is a clear marketing strategy to target a family audience.  The page is designed to be easily understood and quickly convey the product information.  The review rating is not present on this page, as it is an advertisement, not a review.
"
10,"This page is an advertisement for a flight simulator computer game, ""Red Arrows,"" likely for home computers.

The advertisement is formatted with a combination of text and graphics.  The headline prominently features the game title and highlights its challenging flight simulation aspect.

The text describes the game as the ""most exciting flight simulator ever written for a home computer.""  It emphasizes the realism achieved through the use of detailed graphics, sound, and the input of engineers, mathematicians, and Red Arrows pilots.  The text details the game's features, including practicing takeoffs and landings, formation flying with the Red Arrows team, and high-speed maneuvers.  It also describes the VIP experience for purchasers, including a visit to the Red Arrows base at RAF Scampton, accommodation, and the opportunity to sit at the controls of a Hawk jet.

A prominent section is dedicated to an order form.  The form lists various computer systems (Amstrad, Atari, BBC B, etc.) and the corresponding prices for different media types (tape, 5 1/4"" disc, 3"" disc, 3 3/4"" disc).  The form also includes spaces for payment information, name, address, and signature.  Contact information and delivery time are also provided.

A graphic illustration is included, depicting a complex aerial maneuver, emphasizing the intricate flight paths and formations achievable in the game.  The graphic is accompanied by text that further explains the game's capabilities.

The advertisement also lists retailers where the game can be purchased (Boots, Comet, Currys, Dixons, Greens, John Menzies, Rumbelows, and WHSmith).

Overall, the page is designed to entice potential buyers with the game's exciting features and the VIP experience.  The order form makes it easy for interested parties to purchase the game.
"
