Page Number,Page Information
1,"The page is a cover of *Commodore User* magazine, from September 1987.  The cover features a vibrant, colorful design with images of futuristic fighter jets in space.  The jets are depicted in a dynamic, action-oriented pose, suggesting a focus on video games.

The title, ""COMMODORE USER,"" is prominently displayed in large, bold letters.  Below that, the subtitle ""MEGA APOCALYPSE"" is also large and noticeable.  The magazine's price is indicated as ""£4.95.""

The cover also highlights a ""MEGA REVIEW + MEGA PRIZES"" section, suggesting that the magazine will feature in-depth reviews of games and potentially offer prizes to readers.  The text also mentions ""CALIFORNIA GAMES,"" implying a focus on games from that region or theme.  The magazine also advertises a chance to win a surf board, BMX bike, frisbee, skateboard, and roller skates.  A free poster is also advertised.

A section titled ""TONY COTTEE PLAYS BUBBLE BOBBLE"" is featured, indicating a review of the game Bubble Bobble by reviewer Tony Cottee.  The review is highlighted with stars and exclamation points, suggesting a positive assessment.  The review also mentions other games like Druid 2, Karate Kid 2, and Battleships.

The magazine also includes a ""ZYNAPS-PLAYERS GUIDE,"" suggesting a guide to a specific game or games.

The cover also includes various other details, such as the publication date (September 1987), price, and other information about the magazine.  The overall impression is of a magazine aimed at Commodore 64 users, focused on game reviews, and offering prizes.
"
2,"The page is an advertisement for the computer game ""Battle Ships,"" a port of the classic board game.  It's a promotional piece, likely from a magazine or similar publication, showcasing the game's features and release date.

**Overall Impression:** The advertisement is visually appealing, using vibrant colors and graphics to depict the game's action.  It emphasizes the strategic elements of the game and the graphical quality of the computer version.

**Detailed Description:**

* **Headline:**  Large, bold text proclaims ""BATTLE SHIPS"" and ""THE CLASSIC BOARD GAME NOW ON COMPUTER."" This immediately establishes the game's heritage and its transition to a computer platform.

* **Visuals:**  The page is filled with illustrations of naval battles, explosions, and computer screens displaying game elements.  These visuals are key to conveying the action and excitement of the game.  Images of ships, planes, and explosions are prominent.  There are also screenshots of the game in action, showing the grid-based gameplay and the interface.

* **Game Phases:** The advertisement breaks down the game into four phases: ""Enemy in Sight,"" ""Attack,"" ""Under Fire,"" and ""The Victor.""  Each phase is visually represented with a graphic and a brief description of the gameplay in that phase.  This provides a glimpse into the different stages of the game.

* **Platform Information:**  The advertisement clearly lists the various computer platforms on which the game will be available: Spectrum, Commodore 64, Amstrad, and Atari ST.  It also provides the price for each platform.

* **Release Date:**  A prominent section highlights the release date as ""Sept 14th.""

* **Contact Information:**  The advertisement includes contact information for Elite Systems Ltd., the publisher, including an address, telephone number, and Telex number.  It also mentions mail order options and credit card payment.

* **Review/Rating:** There are no explicit reviews or ratings visible on the page.  The information is purely promotional.


In summary, the page is a comprehensive advertisement for ""Battle Ships"" for various computer platforms, highlighting the game's features, release date, and purchasing options.  The visual elements and descriptions effectively communicate the game's appeal to potential buyers.
"
3,"This is a page from a magazine, likely a computer game magazine, from July-December 1986, judging by the date at the bottom.  The page is filled with content related to video games, specifically Commodore games, and features a mix of reviews, previews, articles, and listings.

**Headline Section:**

The top section prominently displays the magazine's title, ""CONTENTS,"" and a large, bold heading for the month, ""SEPTEMBER.""  Below that, a section titled ""SPECIALS"" highlights key features.  Within this section, there's a feature about a ""MEGA APOCALYPSE - MEGA PRIZE,"" which is a review/promotion of a game, and a graphic of the game's cover art.

**Reviews and Articles:**

* **ED'S BIT:** This section is an editorial piece, likely a column, by a writer named ""Ed.""  It discusses the current state of Commodore games, highlighting the recent release of new titles and the overall positive trend in the market.  It mentions a game called ""California Games"" as a potential ""Super Star.""

* **45 PLAY CALIFORNIA GAMES FOR REAL:** This is a promotional piece or contest, offering the chance to win various gaming equipment.

* **74 TONY COTTEE BLOWS BUBBLES:** This is an article featuring an interview with a sports star (Tony Cottee) about football, computer games, and a new game called ""Bubble Bobble.""

* **82 PINBALL BOUNCES BACK:** This section previews upcoming pinball games and the general state of the pinball market.

* **6 BUZZ:** This section previews upcoming games, likely for the autumn season, and provides a preview of the Commodore market.

* **10 CHARTS:** This section lists top-performing games, likely based on sales or popularity.

* **73 ARCADES:** This is a review section, likely a column, by a writer named ""Nick Kelly,"" reviewing arcade games like R-Type, APB, and Captain Silver.

* **86 PLAY TO WIN:** This section likely lists games that are easy to play and win.

* **93 LETTERS:** This section likely features reader feedback or letters to the editor.

* **102 INTO THE VALLEY:** This is an article about a new game, ""Knight Orc,"" and its reception.

**Game Listings (SCREEN SCENE):**

This section is a comprehensive list of games, categorized by genre or platform.  It includes titles like ""Bubble Bobble,"" ""Mega Apocalypse,"" ""Street Baseball,"" ""Mrs. Mopp,"" ""Living Daylights,"" ""Battleships,"" ""Centurions,"" ""Pirates of the Barbary Coast,"" ""Black Magic,"" ""Scary Monsters,"" ""California Games,"" ""Traxxion,"" ""Mr. Weems,"" and ""Lazer Zone.""  Each game is listed with a number, and there are also game images.

**Other Sections:**

* **112 TOMMY'S TIPS:** This section likely provides tips and tricks for playing games.

* **114 HOT SHOTS:** This section likely features short reviews or highlights of new games.

**Footer Information:**

The bottom of the page provides details about the magazine's staff, including the editor, deputy editor, staff writer, designer, advertising manager, and other personnel.  It also includes contact information, subscription details, and the magazine's publication date.  There's also a logo for the magazine's publisher.


Overall, the page provides a snapshot of the video game scene in 1986, focusing on Commodore games and offering a mix of reviews, previews, and listings.
"
4,"The page is a promotional advertisement for a video game called ""Bangkok.""  It's likely a flyer or a section from a game catalog, judging by the layout and information provided.

The prominent feature is the large, stylized title ""BANGKOK"" in a yellow bamboo-like design on a black background.  Underneath, in red, is the tagline ""PROBABLY THE BEST CARTOON GAME OF THE YEAR.""

Below the title, there are several screenshots of the game in action, presented in a film strip format.  These images show various game scenes, characters, and gameplay elements.  The screenshots are clearly labeled ""ACTUAL CBM 64 SCREENS,"" indicating that these are visuals from the Commodore 64 version of the game.

Beneath the film strip, there's a block of text providing pricing and system information.  It lists the game's price for different computer systems: Commodore 64/128 cassette, disk, Spectrum 48K/128K, and Atari ST.  The price for each system is explicitly stated in British pounds (£).

Finally, the text includes the address and phone number of the distributor, Activision (UK) Ltd., along with their mail order address.  This information is crucial for consumers to purchase the game.

Overall, the page is designed to attract attention and entice potential buyers with the game's quality and features, highlighting its availability on various platforms.  The inclusion of screenshots and pricing makes it a comprehensive advertisement.
"
5,"The image is a promotional poster or cover art for a video game called ""KNIGHTS"".  The style is reminiscent of 1980s or early 1990s video game graphics.

The title ""KNIGHTS"" is prominently displayed.  The letters are stylized, formed from stylized representations of bamboo stalks, in a light yellowish-tan color against a dark, almost black background.

The background also features a boxing ring-like setting.  There are rope-like elements, and the overall impression is of a boxing arena.  There are light-colored, star-like highlights scattered throughout the background, adding to the dramatic effect.  There's also some text in a different font and color, likely a title or subtitle in a language other than English.

The foreground shows a pair of red boxing gloves resting on a light-brown wooden surface, which is also part of the boxing ring setting.  The gloves are depicted in a realistic, though somewhat stylized, manner.  The word ""BUY"" is visible on the glove's wrist area in a dark color.

Overall, the image is designed to evoke a sense of excitement and action, typical of promotional materials for a fighting or action-oriented video game.  There are no reviews or ratings visible on the image."
6,"This page is a promotional advertisement, likely from a magazine, showcasing various video games.  It's not a review in the traditional sense, but rather a collection of game descriptions and previews.

**Sections:**

* **BUZZ:**  A large, stylized graphic with the game title ""BUZZ"" dominates the top of the page.  Below this is a small image of a game scene, likely from the game itself, showing a lunar-like landscape with structures.

* **RED L.E.D.:** This section describes a game called ""Red L.E.D."" from Ariolasoft.  It details the gameplay, which involves filling in a grid by completing tasks in a path-finding style, similar to a TV quiz show.  The description emphasizes the use of three different ""droid"" characters with unique abilities.  It highlights the time limit and the potential for falling off the grid.

* **AMIGA LEVIATHAN:** This section is a preview for an Amiga version of a game called ""Leviathan.""  It emphasizes the game's scrolling landscapes, music, and sound effects.  It highlights the game's graphics and suggests it's a high-quality space-shooter.  It also mentions the game's preview at a PCW show.

* **HOW TO BE A COMPLETE BASTARD:** This section describes a game from Virgin.  The description is humorous and emphasizes the game's goal of performing socially unacceptable actions to score points.  It mentions the game is based on a book by Adrian Edmondson.  The section includes a pixelated image of the game's interface, showing a character in an office setting and various meters.

* **THUNDERCATS:** This section describes a game called ""Thundercats.""  It mentions the game's tie-in with the popular TV show and comic books.  The description highlights the game's shooting and sword-fighting elements, and compares it to other games like ""Impossible Mission,"" ""Tir-Na-Nog,"" and ""Ghosts and Goblins.""  It also mentions the game's leader, Lion-o.


**Overall:**

The page is designed to entice potential buyers with colorful graphics and engaging descriptions of the games.  It provides a glimpse into the gameplay mechanics and themes of each title, making them sound exciting and unique.  The descriptions are not critical reviews, but rather promotional pieces.
"
7,"This page is a magazine advertisement or article, likely from a computer gaming magazine, showcasing several upcoming or recently released video games for the Commodore 64 (C64).

The page features detailed descriptions and promotional material for the following games:

* **SUPER SPRINT:**  This is an arcade-style racing game, now available for the C64.  The text highlights the game's features, including one or two-player options, eight different courses, and obstacles like gates, ramps, oil spills, and even tornadoes.  A graphic of the game's track is prominently displayed.

* **QUEDEX:**  This is a shoot 'em up game, but with a unique twist.  It's described as a ""multi-puzzle maze-style"" game with nine levels and different maze types.  The player can choose which section to play, rather than being forced to play in a specific order.  The text also mentions the game's developer and hints at a possible career break for the programmer.

* **IVANHOE:**  This is a computer novel game, part of a series from Action Software.  The description focuses on the game's storyline, which involves medieval adventures, tournaments, and a kidnapping plot.  It emphasizes the game's immersive experience, taking players through various locations and encounters.  A graphic of the game's characters is included.

* **EVENING STAR:** This is a train simulation game.  The text highlights the game's realistic simulation of steam train operations on the Somerset and Dorset Line.  It emphasizes the detailed aspects of the game, including the different locomotives, the route, and the challenges of driving a steam engine.  A graphic of the game's train interface is shown.

* **BUZZ:** This is a racing game, specifically a space-themed racing game.  The text emphasizes the difficulty of the game, with five skill levels and numerous things to go wrong.  It's described as a simulation of driving a steam engine, but in space.  The text also mentions the game's challenging track over the Mendips.


**Overall:** The page is designed to entice potential buyers with detailed descriptions of the games' features, storylines, and gameplay mechanics.  The inclusion of screenshots and graphics of the games further enhances the appeal.  The tone is enthusiastic and promotional, aiming to generate interest in the games.
"
8,"This page is an advertisement/article from a magazine, likely a computer gaming magazine, promoting the Personal Computer World Show (PCW) in London, England.  It's focused on the upcoming show, highlighting various exhibitors and their products.

**Overall Tone:**  Enthusiastic and promotional, encouraging readers to attend the show.

**Sections:**

* **""BUZZ OLYMPIA GAMES""**:  A large, stylized headline graphic introducing the section.

* **""Yes, yes, it's that time of year...""**: This is a promotional piece for the PCW show. It details the dates of the show, emphasizing that it's open to the public from Friday, September 25th onwards.  It highlights the wide range of exhibitors and games expected.

* **""Commodore""**:  A dedicated section focusing on the Commodore presence at the show.  It emphasizes the size of their exhibit and the historical significance of Commodore machines.

* **""SEE US...""**:  A section with images of various game characters and logos.  This is a visual representation of the companies and games that will be present at the show.

* **""Prepare for Combat""**:  A section dedicated to reviewing two new arcade games, Gryzor and Combat School, that Ocean will be showcasing.  It describes the gameplay, graphics, and sound effects of each game.  The tone is enthusiastic about the games.

* **""Before We CU!""**:  A concluding section, likely a tagline or slogan for the show.

**Specific Details:**

* **Companies Mentioned:**  The article mentions many prominent computer game companies of the time, including Activision, Commodore, Ocean, Microprose, US Gold, Epyx, and others.

* **Games Mentioned:**  The article highlights a wide range of games, including *Basil the Great Mouse Detective*, *Rampage*, *System 3's follow-up to The Last Ninja*, *Bangkok Knights*, *Out Run*, *720°*, *Roy of the Rovers*, *Yogi and the Trapdoor*, *Bubble Bobble*, *Flying Shark*, *Renegade*, *Rastan Saga*, *Combat School*, *Gryzor*, and *Athena*.  It also mentions *Predator* and *Platoon* as film-licensed games.

* **Show Highlights:**  The article emphasizes the presence of various game developers, arcade conversions, and the potential for new game releases.  It also mentions the presence of game developers and personalities.

* **Review Rating (if applicable):**  There are no explicit review ratings. The descriptions of the games are promotional and not critical reviews.


The overall impression is that the page is trying to entice readers to attend the PCW show by highlighting the variety of games, companies, and attractions that will be present.
"
9,"This page is a section from a magazine, likely a music or gaming magazine, judging by the content.  It's filled with various articles and advertisements, all related to the Amiga computer and its associated culture.

**Amiga Offer:** This section is an advertisement promoting a special offer on Amiga computers and monitors.  It details a significant price reduction on Amiga machines and monitors, with vouchers included for purchasers.  The offer has a deadline of September 12th.

**Musical Software:**  A separate advertisement within the ""Amiga Offer"" section highlights a new software department at a store (HMV) in Oxford Street.  It emphasizes the store's intention to cater to a wide range of tastes, including those who use IBM PCs.

**Tweet:**  A short news item about a company called Firebird releasing new budget-priced video games.  It mentions specific titles like Decathlon, Zenji, River Raid, and Rainbow Dragon, all priced at £1.99.

**Domarcher:** This is a review or article, likely a music review, focusing on a band or artist called Domarcher.  The article describes the band's performance and style, mentioning a picture in Vogue magazine.  It also includes a humorous anecdote about a package found on the author's desk, which is related to a Jeffrey Archer game.

**Hieroglyphic Horror:** This is a review or advertisement for a video game called ""Book of the Dead.""  It describes the game's plot, which involves a young Egyptian godling and the consequences of his father's actions.  The game is available on tape and costs £8.95.

**Hacker Hacked:** This is a review or advertisement for a video game based on the British political satire TV show ""Yes, Prime Minister.""  It describes the game's plot and setting, which is in Westminster.  The release date is October.

**Overall:** The page is packed with information about Amiga computers, software, and games.  It also includes reviews and advertisements, showcasing the diverse interests and products available in the market at the time.  The page's layout is typical of a magazine, with different sections clearly marked and visually distinct.
"
10,"This page is from a magazine, likely a computer gaming magazine, judging by the content.

The top section displays a ""Readers Coin-Op Chart,"" listing the top 5 coin-operated arcade games.  The games are: 1. Out Run, 2. Indiana Jones and the Temple of Doom, 3. Road Runner, 4. Renegade, and 5. Double Dragon.  There's a brief paragraph describing each game and its performance in the competition.  The text encourages readers to send their top 5 coin-op games to a specific address.

Below this, there's an ""Adventure Chart,"" a ranked list of popular computer games.  The chart lists the game title, the publisher (TM/LM), and the platform (likely Commodore 64).  The games listed include: Defender of the Crown, Killed Until Dead, Star Wreck, Shadows of Mordor, Guild of Thieves, Masters of the Universe, Frankenstein, Portal, Kobayashi, and Alternative Reality.  The publishers and platforms are listed for each game.

A large graphic image, likely a visual representation of the coin-op games or the magazine's theme, is present.

Further down the page, there's a section titled ""Chart Chat.""  This is a review or commentary on the current trends in computer game sales charts.  The text discusses the performance of specific games, their positions on the charts, and the overall market trends.  It mentions the popularity of ""The Last Ninja"" and the rise of new games from US Gold.  It also comments on the stagnation of some games and the anticipation for new releases.

Finally, there's a ""Top Ten Worst Fizzy Drinks"" list.  This is a humorous list, likely compiled by the magazine's staff, ranking fizzy drinks based on their perceived unpleasantness.  The drinks are ranked from worst to least worst, with descriptions of why each drink is considered undesirable.  The list includes Dr. Pepper, Cream Soda, Vimto, Quattro, New Recipe Coca-Cola, Cherry Pepsi, Tizer, Lilt, Cariba, and Kaliber.
"
