Page Number,Page Information
1,"The page is a cover or an interior page from a magazine, likely a computer gaming magazine, called ""Commodore User.""  The date is October 1987, and the price is £1.  A prominent feature is a large image of Indiana Jones, likely to attract readers.

The text is predominantly in a bold, sans-serif font, and the layout is designed to be visually appealing.  There are several sections with different headings and subheadings.

**Headline and Image:** The main headline is ""COMMODORE USER.""  The image is a vibrant, stylized depiction of Indiana Jones, suggesting a focus on adventure or action games.

**Prizes and Promotions:**  The page highlights several prizes or promotions:
* **Win:**  A new U.S. gold game for a year.
* **Free:**  A Slaine poster.
* **Win:** A Sony Watchman game.
* **Win:** Rastan Saga coin-op game.

**Game Reviews and Features:**  The page also features game reviews and previews:
* **After Burner:**  A Sega game, described as ""red-hot coin-op.""
* **Quedex-Weird! Renegade-Dangerous! Amiga Q'Ball:**  Games reviewed.
* **Goldrunner-Stunners! Bangkok Knights-Shocker!**  More games reviewed.
* **Iron Maiden-Singer meets Rastan Saga:**  A game combination.
* **Skate or Die! Skateboard Revival:**  Another game reviewed.

**Magazine Information:**  The page includes details about the magazine itself:
* **Price:** £1
* **Page Count:** 310 pta (likely page count)
* **Other Publications:** HFL 5.75, DM 5.50 (possibly other publications or distributors)
* **No. 1 for Amiga Games:**  A prominent banner indicating the magazine's focus on Amiga games.

Overall, the page is designed to attract readers interested in Commodore computers and games, particularly those with an interest in adventure, action, and coin-op games.  The layout and imagery are typical of magazines from the 1980s.
"
2,"The page is an advertisement for a video game called ""Victory Road,"" likely for various home computer systems.

The advertisement features a vibrant, stylized illustration of two characters, likely protagonists, engaged in a scene that suggests a fantasy or action-oriented game.  The characters are depicted in a dynamic pose, wielding weapons, and the background is a dramatic red and orange color scheme with flashes of bright yellow/gold.  The overall style is reminiscent of 1980s video game art.

The title ""Victory Road"" is prominently displayed in large, bold, yellow letters with a striped design.  Below the title, the name of the game developer, ""Imagine,"" is shown in a smaller font.

Underneath the title and illustration, the page lists the price for the game on different computer systems (Spectrum, Commodore, and Amstrad).  The prices are given in British pounds (£).  The page also includes the address and contact information for Imagine Software.

Finally, a small logo for SNK, the game publisher, is visible in the bottom right corner.  The text also includes the copyright information for SNK.

The page is clearly designed to attract potential buyers of the game, highlighting the game's title, characters, and pricing information.  The visual style and layout are typical of promotional materials from the era.
"
3,"This page is a contents page from a magazine, likely a video game magazine, from October 1987.  It's packed with information about various video games, arcade games, and other topics related to the hobby.

**Sections and Details:**

* **""SPECIALS"" Section:** This section highlights key articles and features.  It includes:
    * **""16 Bangkok Knights"":**  A review or preview of a Thai boxing simulation game.
    * **""90 Skate or Die!"":**  An article about the popularity of skateboarding-themed video games.
    * **""104 Maiden Voyage"":**  A review or preview of a game featuring Iron Maiden's Bruce Dickinson.
    * **""4 Buzz"":**  A preview of upcoming games, including a glimpse of ""Shoot 'em Up Construction Set,"" ""Buggy Boy,"" and news about Chelsea football club.
    * **""8 Charts"":**  A section detailing what video games were popular and which ones weren't.
    * **""10 Letters"":**  A section featuring reader feedback, complaints, and comments about Scottish and Portuguese arcades.
    * **""97 Arcades"":**  A review of Sega's ""After Burner"" and other games.
    * **""108 Play to Win"":**  A guide or review of a game called ""Nuking Russia"" and ""Star Paws.""
    * **""114 Into the Valley"":**  A review or preview of a game, and questions about game endings.
    * **""126 Tommy"":**  A review or preview of a game, possibly with details about the game's features or characters.
    * **""Afterburner: red hot action"":**  A review or preview of a game.

* **""SCREEN SCENE"" Section:** This section lists a large number of video games, likely in alphabetical order, and their corresponding numbers.  This is a listing of games available for play.
    * **15 Bangkok Knights to 89 Super Huey:**  A comprehensive list of arcade and video games.

* **""ED'S BIT ON THE SIDE"":** This is a column, likely written by a staff member, offering commentary on the video game industry.  The article discusses the changing video game hardware landscape, the rise of 16-bit systems, and the author's opinions on the quality of different games and systems.  The author expresses a preference for Amiga systems.

**Overall Impression:**

The page provides a snapshot of the video game market in 1987, highlighting popular games, upcoming releases, and industry trends.  The magazine likely aimed to inform and entertain readers interested in video games and arcade games.  The inclusion of reader feedback and game reviews suggests a focus on community engagement.  The review rating is not explicitly stated, but the overall tone of the article suggests a positive outlook on the video game industry.
"
4,"This page is a section from a magazine, likely a gaming magazine, featuring previews and reviews of video games.  It focuses on three different games:  ""Buzz,"" ""Morpheus,"" and ""Buggy Boy.""

**Buzz:**  The page begins with a large, stylized title ""BUZZ"" in a bold, yellow-orange font.  Below this is a graphic of a game screen, likely from the ""Buzz"" game, showing a purple background and a spaceship or similar object.  A short review, under the heading ""AIRBORNE RANGER,"" describes the game as a ""highly-realistic simulations, not arcade-style shoot 'em ups.""  It highlights the game's unique control scheme, allowing players to control a person instead of a vehicle (plane, helicopter, or submarine).  The review mentions tactical thinking and lightning reactions as key elements.

**Morpheus:**  A section dedicated to ""MORPHEUS"" follows, describing it as a space-based game with ""malevolent morphs, opposing orbitals and stunning space battles.""  The text emphasizes the game's challenging nature, involving battling alien hordes and acquiring upgrades.  It mentions a ""charge conductance gun"" and the need to navigate the ""great black unknown"" of space.

**Buggy Boy:**  A section on ""BUGGY BOY"" describes it as a coin-op conversion game.  The review details the game's driving mechanics, emphasizing the need for speed and precision to complete sections within time limits.  It mentions time bonuses, flags, and obstacles (boulders, footballs) that players must navigate.  The review also notes the difficulty of the later sections.

**Andy Capp:**  A separate section, featuring the name ""ANDY CAPP,"" is a preview of a game based on the comic strip character.  It describes the game as a graphic adventure where the player must survive a week on unemployment benefits.  The review mentions the game's focus on the character's lifestyle and the challenges of the game.

**Visual Elements:**  The page includes several pixelated images of game screens, providing a visual representation of the games' graphics and gameplay.  These images are in various colors and styles, typical of 8-bit or early 16-bit video games.  The text is presented in a variety of fonts and sizes, with some text highlighted in bold or using arrows to draw attention to key details.

**Overall:** The page provides a preview and review of several video games, highlighting their unique features, gameplay mechanics, and challenges.  The inclusion of game screenshots and detailed descriptions gives readers a good idea of what to expect from each game.
"
5,"This page is a promotional spread from a magazine, likely a video game magazine, showcasing several upcoming video games.  It's not a review in the traditional sense, but rather a preview and description of the games.

The page is divided into sections, each dedicated to a different game.  Let's break down each section:

**1. Shoot 'Em Up Construction Kit (BUZZ):** This section features a description and a screenshot of the game.  The text highlights the game's customization options, allowing players to design their own sprites, backgrounds, and music.  It emphasizes the ease of use and the creative potential of the game.  The description also includes a humorous, slightly sarcastic, note about the game's release date, implying that players will have to wait until the end of October to get their hands on it.

**2. The King of Chicago:** This section is a promotional piece for a game based on the 1930s Chicago mobster era.  The text describes the game as an interactive movie experience, focusing on the violence, intimidation, and treachery involved in the era.  It promises a compelling story and gameplay.  A picture of a man in a suit, likely a character from the game, is included.

**3. International Karate II:** This section details the features of the sequel to the popular International Karate game.  It highlights the addition of two computer-controlled opponents, a three-way free-for-all option, new animated backgrounds, and additional moves.  The text also mentions a special feature where the pause button triggers a brief display of the fighters performing to a remixed theme song.

**4. Slaine:** This section is dedicated to a game based on the 2000AD comic book character Slaine.  The description focuses on the unique gameplay mechanic where the player is essentially inside Slaine's mind, choosing responses to situations based on the options presented.  The text emphasizes the game's challenging nature and the potential for making wrong choices.  A screenshot of the game's interface is included, showing the text-based options and the hand-style cursor.

**Overall:** The page is visually appealing, using vibrant colors and game screenshots to entice readers.  The descriptions are engaging and informative, providing a good overview of the games' features and themes.  The layout is clear and easy to follow, making it easy for readers to quickly scan the information about each game.
"
6,"This page is a section from a magazine, likely a gaming or entertainment publication, featuring articles and advertisements.

**Section 1: ""Buzz Golden Oldies""**

This section focuses on upcoming video games based on classic movie stars.  It highlights the acquisition of Marilyn Monroe, James Dean, and Charlie Chaplin's characters by US Gold for video game development.  The article notes that the first game, featuring Charlie Chaplin, is slated for release this month.  It will allow players to direct their own silent movie, choosing scripts, scenery, and supporting characters.  The article also mentions that the other two games based on Marilyn and Dean are slated for release next year, but details are scarce.

**Section 2: ""Pink Whispers""**

This section is a playful, somewhat cryptic, article about a new game.  It teases a new Ariolasoft game featuring the Pink Panther, possibly with Inspector Clouseau. The tone is humorous and suggestive, with the article ending with a dismissive response from a source.

**Section 3: ""Rebel without a game, yet.""**

This section focuses on the Charlie Chaplin game, providing more details about the game's plot and gameplay.  It emphasizes the player's role in directing the silent movie.

**Section 4: Advertisement**

A black and white advertisement for Chelsea Football Club, featuring a photo of the team and a large cheque.  The advertisement also mentions Commodore becoming the official sponsors of the club for the next three years.  It includes a brief commentary on the team's recent performance and the potential impact of the sponsorship.

**Overall:**

The page is a mix of gaming news, reviews, and advertisements. The tone is generally enthusiastic and informative, with a focus on upcoming releases and the potential of the games.  The ""Pink Whispers"" section is particularly intriguing, creating a sense of mystery and anticipation.
"
7,"This page is a section from a magazine, likely a gaming magazine, featuring a variety of articles and advertisements.  The overall theme is centered around new video game releases and related news.

**EA Up Chuck!**

This section is a review/preview of a new flight simulator game, ""EA Up Chuck!"".  It highlights the game's development with Chuck Yeager's assistance, emphasizing his role as a test pilot and his exploits breaking the sound barrier.  The article mentions the game's realistic simulation features, including various aircraft, levels of instruction, and an airplane racing option.  It also notes the game's fast frame rate to simulate the thrill of high-speed flight.

**Buzz**

This section contains a mix of news and reviews.

* **It never rains...:** This is a review/preview of a new animated cartoon game, ""The Search For Spook"".  It describes the game as a fully animated cartoon where the player controls a character named Spook on a mission to free his dognapped friend.  The review emphasizes the game's impressive graphics and programming.

* **Sneaky Plane:** This is a preview of a new flight simulation game, ""Stealth Fighter"".  It highlights the game's unique premise of being based on a fictional, stealth aircraft.  The article notes the extensive research done to accurately portray the aircraft's capabilities.

* **Splashy Ball!:** This is a preview of a new simulation game, ""Water Polo"".  It describes the game's requirements, emphasizing the need for skills similar to a footballer, athlete, and cricketer.

* **Gold Sequels:** This section lists upcoming releases of popular games, including ""Infiltrator II"", ""Gauntlet II"", and ""Impossible Mission II"".  It provides release dates and brief descriptions.

**Gathered Goodies**

This section is an advertisement/review of various game compilation packs and individual games.

* **Compilation Packs:**  It highlights several compilation packs due to be released around Christmas, including ""Ocean's Game Set & Match"" (with 10 games) and ""US Gold's Solid Gold"" (with games like Gauntlet, Ace of Aces, etc.).  The article provides pricing information for both cassette and disk versions.

* **Individual Games:**  It also mentions other individual games, such as ""Barry McGuigan's Boxing"", ""Daley Thompson's Supertest"", and ""Super Soccer"".  The section provides details about the games and their features.

* **Action's Compilation:**  It also mentions a Swedish-based compilation called ""Action's Compilation"" with games like ""Soldier One"", ""Captured"", and ""Blood'n'Guts"".  Pricing is provided.

**Footy Manager II**

This section is a preview of the game ""Footy Manager II"".  It highlights the game's improvements over the original, including end-to-end play, animated scoreboards, and the ability to head-hunt foreign stars.  It also mentions the game's strategy element and the availability of Commodore 64 and Amiga versions.

**Overall:**

The page provides a comprehensive overview of various video game releases and previews, including flight simulators, sports games, and animated adventures.  It targets a gaming audience, providing information about new titles, features, and pricing.
"
8,"This page is a section from a magazine, likely a gaming magazine, featuring game charts and reviews.

**Top Section:**

The top section prominently displays the headline ""CHART"" in large, bold letters.  Below this, there's a paragraph describing the current top-selling game, ""System 3's Last Ninja,"" and predicting a potential challenge from ""Firebird's Bubble Bobble.""  It also mentions that the next month's charts will include an Amiga chart.  The text highlights the popularity of ""Last Ninja"" and hints at a close competition.  The names ""Quedex, Renegade, Red L.E.D."" are mentioned as possible contributors to the chart.

**Adventure Chart:**

This section presents a ranked list of adventure games, titled ""ADVENTURE CHART.""  It lists the game title, the publisher, and the ranking (TM and LM).  The games listed include ""Guild of Thieves,"" ""Killed Until Dead,"" ""Shadows of Mordor,"" ""Star Wreck,"" ""Kobayashi,"" ""Portal,"" ""Ne Sydney Affair,"" ""Master of the Universe,"" ""Frankenstein,"" and ""Life Term.""  This chart likely represents the popularity of these games in a specific time period.

**Readers Coin-Op Chart:**

This section, titled ""READERS COIN-OP CHART,"" displays a ranked list of coin-operated arcade games, based on reader votes.  The top games include ""OutRun,"" ""Double Dragon,"" ""Road Runner,"" and ""R-Type.""  The text below the chart explains that ""OutRun"" is holding its top spot, but faces competition from ""Double Dragon.""  It also encourages readers to submit their top five coin-op games for a chance to win a prize.

**Reviewers' Choice:**

The final section, ""REVIEWERS CHOICE,"" presents a list of games that reviewers have enjoyed in the past few weeks.  It lists the reviewers' names and the games they recommend, including ""Road Runner,"" ""Mega Apocolypse,"" ""Bubble Bobble,"" ""California Games,"" ""APB,"" ""Heavy Metal Meltdown,"" ""Monte Carlo,"" ""Karate Kid II,"" ""Winter Games,"" ""World Games,"" ""Star Paws,"" ""Barbarian,"" ""Defender of the Crown,"" and ""Gryzor.""  This section provides a summary of popular games based on reviewer opinions.


**Overall:**

The page provides a snapshot of popular video games, both adventure and coin-op, during a specific period.  It combines sales charts with reviewer opinions, offering a comprehensive view of the gaming landscape.  The style is typical of a gaming magazine from that era, with a focus on detailed information and reader engagement.
"
9,"This page contains a mix of video game charts and a list of the bottom ten worst TV programs.

**C64 Chart:**

The top section of the page displays a C64 chart, listing video games and their corresponding publishers/developers.  Each game is assigned a rank (position) and is listed with its publisher/developer.  The chart is organized with columns for ""TM"" (likely meaning ""Time""), ""LM"" (likely meaning ""Last Month""), the game title, and the publisher/developer.  The games are numbered sequentially, indicating their ranking.  The publishers/developers are listed in abbreviated form.

**C16 Chart:**

Below the C64 chart is a similar chart, labeled ""C16 Chart.""  This chart also lists video games, their rankings, and publishers/developers.  The format is identical to the C64 chart, with columns for ""TM,"" ""LM,"" game title, and publisher/developer.

**Bottom Ten Worst TV Programmes:**

The bottom section of the page lists the bottom ten worst television programs, according to the author or source.  Each program is listed with a brief, critical description.  The descriptions are concise and offer a negative assessment of each show.  The list is numbered, indicating the ranking of each program.


In summary, the page is a compilation of video game rankings and a list of criticized television programs, likely from a magazine or similar publication.
"
10,"This page is a collection of letters to the editor, reviews, and articles, likely from a magazine, focusing on video games and arcades.  The content is primarily about the UK arcade scene, with a strong emphasis on Commodore 64 and other home computer games.

**Sections and Content:**

* **Kelly's Crime:** A letter from Nick Kelly, likely a reader, complaining about a punishment involving video games.  The letter is written in a humorous and somewhat exaggerated tone.

* **Video Jock:** A letter from a reader commenting on a previous article about arcade locations in the UK.  The writer highlights the lack of coverage for Scotland and suggests additional locations.

* **Pirates:** A letter from a reader, likely a game developer or enthusiast, offering tips to prevent large-scale game piracy.  The letter suggests using specific loading systems and making games less appealing to pirates.

* **Coin-op Contribution:** A letter from a reader who visited arcades in Yarmouth and other locations.  The letter highlights the good arcades in the area and asks if the magazine has visited other locations.

* **Portuguese Pastime:** A letter from a reader who visited arcades in the Algarve, Portugal, and notes the lack of coin-operated games there.

* **Complaint:** A letter from a reader who has been reading the magazine and expresses a complaint about the magazine's coverage of a specific topic.

* **Whaa?:** A letter from a reader asking for the address of another reader.

* **Pricing:** A letter from a reader complaining about the lack of pricing information for certain games in the magazine.

* **Multi-load:** A letter from a reader discussing the use of multi-load systems for video games.  The letter expresses both support and criticism of the technology.

**Overall Tone:**

The letters are generally conversational and often humorous, with some readers expressing frustration or disappointment with the magazine's content or omissions.  There's a strong sense of community and shared interest in video games and arcades.

**Review Rating:**

There are no explicit review ratings.  The content is primarily comprised of reader feedback and commentary, not formal reviews of specific games or products.
"
