Page Number,Page Information
1,"The page is a cover of a magazine, likely a gaming magazine, called ""Commodore User"".  The cover is dated November 1987.

The cover features a vibrant, somewhat retro-style graphic design.  The main headline is ""COMMODORE USER"".  There's a large image of a biplane, and a person skateboarding.  The background colors are a mix of warm yellows, reds, and oranges.

There's a prominent section advertising ""TOP PRIZES IN OUR COOL SPOOL COMPO"".  It highlights ""FREE PLAYABLE DEMOS OF 720° FLYING SHARK"" and ""BUGGY BOY"".

Below this, there's a section titled ""REVIEWED"".  This section lists several video games: ""CHUCK YEAGER'S FLIGHT SIM"", ""INDIANA JONES SUPER SPRINT"", ""SHOOT'EM UP CONSTRUCTION KIT"".

The top of the cover also features a promotion for ""WIN A DAY OUT WITH THE RED ARROWS"" game.  This promotion includes pricing information: 310 pta, HFL 5.75, DM 5.50.  There's also a small graphic that says ""No. 1 for Amiga Games"".

Overall, the cover appears to be promoting various games and competitions for Commodore computers.  The design style is typical of gaming magazines from the 1980s and early 1990s.
"
2,"This page is an advertisement for a collection of video game cartridges, likely for various home computers of the 1980s.  The advertisement is visually appealing, using vibrant colors and bold graphics to showcase the games.

The advertisement is divided into two sections, each titled ""Best of Elite"" and numbered Vol. 1 and Vol. 2.  Each section features several game titles, with large, colorful images and text describing the games.

**Vol. 1:**

* **Bomb Jack:**  A game about collecting bombs and defeating enemies.
* **Frank Bruno's Boxing:** A boxing simulation game against eight opponents.
* **Commando:** A conversion of a coin-op game, featuring Super Joe, a combat soldier.
* **Airwolf:** A game where the player pilots a helicopter on a dangerous mission.

**Vol. 2:**

* **Paperboy:** A game described as the longest-running number one computer game.
* **Ghosts 'n Goblins:** A fighting fantasy game where the player is a knight rescuing maidens.
* **Space Harrier:** An action-packed adventure game where the player fights aliens.
* **Bomb Jack II:** A sequel to the original Bomb Jack game, where the player fights their way into space to collect treasure.

Below the game descriptions, there's a list of compatible computer systems for each game, including:

* Spectrum Cassette
* Amstrad Cassette
* Amstrad Disc
* Commodore 64 Cassette
* Commodore 64 Disc
* Commodore 16 Cassette

The advertisement also includes the name and contact information for Elite Systems Limited, the company distributing the games.

The overall design and layout of the advertisement are typical of gaming magazines or catalogs from the 1980s, emphasizing the visual appeal and excitement of the games.  The use of bold colors and graphics, along with detailed descriptions, aims to entice potential buyers.
"
3,"The page is an advertisement for the video game ""ThunderCats,"" likely from a magazine or promotional material.

The advertisement features a vibrant, colorful image of the ThunderCats characters, including various poses and action shots.  The characters are depicted in a style consistent with the popular cartoon series.  The background is dark, providing a strong contrast to the bright colors of the characters.

Below the main image, there's a list of different versions of the game available for various computer systems, along with their respective prices.  The prices are listed in British pounds (£).  The formats listed include:

* **Spectrum 48k Cassette:** £7.95
* **Spectrum 128k Cassette:** £7.95
* **Spectrum 128k Disc:** £14.95
* **Commodore 64 Cassette:** £9.95
* **Commodore 64 Disc:** £14.95
* **Amstrad 64k Cassette:** £8.95
* **Amstrad 64k Disc:** £14.95
* **Amstrad 128k Disc:** £14.95

The advertisement also notes that Atari ST and Nintendo versions are ""Coming soon.""

At the bottom of the page, there are small screenshots of gameplay, showcasing different levels or sections of the game.  These screenshots are taken from various computer formats, indicating the game's compatibility with different systems.

The copyright information is also present, indicating the ownership of the ThunderCats characters and the game's development.  The copyright date is 1985, and the copyright holders are Telepictures Corporation, Leisure Concepts, Inc., and Ted Wolf.  All rights are reserved.

Finally, the advertisement includes contact information for Elite Systems Limited, including their address, and Telex number.  This suggests that Elite Systems Limited was the distributor or publisher of the game.

The overall impression is a promotional piece for the ThunderCats video game, highlighting its availability on various platforms and providing pricing information.
"
4,"The page is an advertisement for the video game ""Gryzor,"" published by Konami.  The image is vibrant and stylized, featuring a muscular, humanoid figure in combat gear, wielding a futuristic weapon, against a backdrop of alien creatures and a dark, otherworldly environment.

The title ""GRY ZOR"" is prominently displayed in large, stylized, metallic-looking letters.  Below that, the Konami logo is visible.  The text ""AN ARCADE NIGHTMARE NOW FOR YOUR HOME-MICRO"" indicates that the game is a home computer version of an arcade game.

The image shows the game's characters and setting in a dynamic, action-oriented style.  The color palette is bold and intense, with a mix of reds, oranges, yellows, and blues, creating a sense of urgency and danger.

Below the main image, there's a price list for different computer systems.  The prices are listed as follows:

* **SPECTRUM:** £7.95
* **COMMODORE:** £8.95
* **AMSTRAD:** £8.95

The advertisement also includes contact information for Ocean Software Limited, including their address (6 Central Street, Manchester M2 5NS), telephone number (061 832 6633), and telex number (669977).  This suggests that Ocean Software Limited is the distributor of the game.

There is no review rating explicitly visible on the page.  The page is purely an advertisement and promotional material for the game.
"
5,"This page is a spread from a vintage computer and video game magazine, likely from November 1987, judging by the date.  It's filled with various content related to computer games, including reviews, previews, and news.

**Sections:**

* **SPECIALS:** This section features articles with a focus on specific games.  There's a piece titled ""12 The Cool Spool"" which discusses free demo games and opportunities for readers to review them.  Another, ""98 Kapppow!"", is a review or analysis of comic books, focusing on a revival in popularity.  Finally, ""68 Up Up and Awayday With The Red Arrows"" is a feature about a display of planes and pilots.

* **ED'S BIT ON THE SIDE:** This section is a news and review column, likely written by a staff member named Ed.  It discusses new reviewers joining the magazine's team, including Gary Penn, Christina Erskine, and Tina Milan.  It also mentions a competition (""Join The CU Crew Compo"") where readers can review a giveaway tape.  The column also highlights new games coming to the market and the magazine's efforts to expand its coverage.

* **REGULARS:** This section contains recurring features.  ""4 Buzz"" is a preview of new games. ""10 Charts"" discusses popular and unpopular games. ""92 Play To Win"" is a review of a specific game, Pokerama. ""102 Letters"" is a reader mail section. ""106 Into The Valley"" is a review of games and news from a specific location.

* **SCREEN SCENE:** This section is a listing of video games, with brief descriptions and titles.  The games are presented in a grid format, with the titles and numbers.  The games listed include titles like ""Super Sprint,"" ""Russia,"" ""Solomon's Key,"" ""International Karate,"" ""Hysteria,"" ""Arcades Classics,"" ""Water Polo,"" ""Dizzy Dice,"" ""Shoot 'em Up Construction Kit,"" ""Nebulous,"" ""Thunder Cats,"" ""Impact,"" ""Terrorpods,"" ""Diablo,"" and ""Tennis.""  Each game has a number associated with it.

* **120 ARCADES:** This section is a review of arcade games, likely focusing on coin-operated machines.  It mentions reviews of specific games.

* **128 TOMMY:** This section is a review or feature about a specific game or person.

**Overall:**

The page layout is typical of a magazine from that era, with a mix of text, graphics, and images.  The content is focused on providing information and reviews about computer and video games, appealing to a gaming audience.  The presence of a competition and the mention of new reviewers suggest a dynamic and active gaming community.  The inclusion of charts and letter sections indicates a focus on reader engagement.  The page's design and content are consistent with the style of gaming magazines of the 1980s.  The review rating is not explicitly stated, but the presence of reviews and previews suggests a review-heavy publication.
"
6,"This page is a section from a vintage video game magazine, likely a preview or review section.  It features several articles and advertisements promoting various video games for the 8-bit home computer systems of the time.

**1. Skate or Die:** This section is a preview/review of a skateboarding video game, ""Skate or Die.""  It describes the game as a simulation of skateboarding, featuring various competitions and events.  It mentions the game is from Electronic Arts and will be released in December.

**2. Rimrunner:** This is a review/preview of the game ""Rimrunner."" The reviewer notes the game's impressive graphics, soundtrack, and humor, comparing it to the developer's previous game, ""Barbarian.""  They highlight the game's unique gameplay, where the player controls a small ant-like creature patrolling a space city on a dinosaur.  The review suggests the game will be available later in the month.

**3. Pacland:** This section is a preview/review of the game ""Pacland.""  It mentions the game's festive theme, referencing sleigh bells and hard-earned pennies, and its connection to previous popular coin-op games.  The review highlights the game's playability and suggests it might be a good stocking stuffer for the holidays.  It also mentions the game is a 64 version of the classic Namco game.

**4. Basil the Great Mouse Detective:** This is a preview/advertisement for the game ""Basil the Great Mouse Detective.""  It highlights the game's connection to the Disney film and its gameplay, emphasizing the clue-finding aspect and the exploration of London's rodent underworld.  The preview states the game will be available soon.

**Overall:** The page is filled with promotional material for various video games, showcasing their features, gameplay, and release dates.  The style and tone suggest it's from a magazine aimed at video game enthusiasts in the 1980s or early 1990s.  The inclusion of screenshots and game-play visuals adds to the appeal and helps potential buyers visualize the games.  There are no explicit review ratings, but the language used suggests positive reviews and previews for the games.
"
7,"This page is a section from a vintage video game magazine, likely from the 1980s or early 1990s, featuring advertisements and previews for various upcoming and recently released video games.

**Sections and Descriptions:**

* **DICK SPECIAL:** This section is a preview/review of a game called ""Dick Special: The Search For Spook.""  It highlights the game's unique features, including its animated cartoon character, puzzles, and visual elements.  The text emphasizes the game's graphical quality and the player's role in solving puzzles and collecting items to save a character named Spook.  It also mentions the game's planned release date for the Amiga computer.

* **ROADWARS:** This section is a preview for a game called ""Roadwars.""  It describes the gameplay as a high-speed, ball-bearing-type vehicle rolling along a treacherous space highway.  The player can open their vehicle's upper half to expose a cannon for shooting obstacles.  The preview mentions the game's arcade origins and its upcoming release on the Amiga, as well as the possibility of simultaneous releases for arcade and home computer versions.

* **BUZZ:** This section is a brief description of a game called ""Buzz.""  The text is short and doesn't provide much detail about the game's mechanics.

* **BOBSLEIGH:** This section is a preview for a game called ""Bobsleigh.""  It describes the game as a simulation of the bobsleigh sport, emphasizing the skill and planning required to navigate the treacherous tracks.  The text highlights the need for equipment and financial planning involved in running an international bobsleigh team.  It also mentions the option to choose national teams and colors.

* **SIDEARMS:** This section is a preview for a game called ""Sidearms.""  It describes the game as a conversion of a popular arcade game, featuring a two-player mode where players can combine their abilities.  The preview highlights the use of various weapons and the need to defeat the ""Bozon empire.""  It also mentions the game's release date and the possibility of a sidekick character.

* **Graphics and Screenshots:** The page includes several screenshots or visual representations of the games being discussed.  These images show gameplay elements, character designs, and game interfaces.  For example, there's a screenshot of a bobsleigh game, showing the player's perspective and the game's interface.  There are also screenshots of the ""Roadwars"" game, showing the vehicle and the environment.

**Overall:** The page is a collection of game previews and advertisements, providing a glimpse into the video game landscape of the time.  The descriptions are concise but informative, highlighting the unique features and gameplay elements of each game.  The inclusion of screenshots adds visual appeal and helps the reader visualize the games.
"
8,"This page is a news article or feature about a legal dispute between Hewson and Firebird, concerning the rights to release video game software created by Andrew Braybrook.  The article is titled ""Buzz Braybrook Tug of War.""

The article details a legal battle over the release of a video game called ""Morpheus,"" developed by Andrew Braybrook.  The dispute centers around who has the right to publish the game.  Braybrook's company, Graftgold, had previously produced software exclusively for Hewson.  However, Graftgold subsequently signed a licensing agreement with Firebird to create software for them.  This new agreement led to the legal dispute.

The article states that Hewson was sending out review copies of ""Morpheus"" when Firebird obtained an injunction preventing Hewson from publishing the game.  Both sides have agreed not to publicly discuss the details of the dispute.  The article highlights that the core of the disagreement is the extent to which an exclusive licensing agreement existed between Hewson and Braybrook's company.

The page also includes a black and white portrait photograph of a young man, likely a person involved in the video game industry, identified as ""Rovin' Randy Claypluke.""  There's also a graphic image of the word ""BUZZ"" in a stylized, bold font."
9,"This page is a section from a magazine, likely a computer gaming magazine, judging by the content.  It's a mix of news, reviews, and advertisements.

**Section 1: ""Who the hell is Warren Zevon???""**

This section is a news story/feature about the upcoming video game ""Werewolves of London,"" based on the music of Warren Zevon.  It details the game's features (digitized soundtrack, etc.) and mentions a contest for readers to win a copy of the game and a record.  The article also includes a brief biographical note about Warren Zevon, highlighting his music career.

**Section 2: ""Telecom get Zarch warrant""**

This is a news item about the licensing of the game ""Zarch"" for the Amiga computer.  It discusses the game's features (combination of shoot 'em up and strategy, 3D scrolling graphics) and the company involved in the licensing.  It also mentions the game's predecessor and its critical acclaim.

**Section 3: ""Electric dreams hang out""**

This section details upcoming coin-op (arcade) game releases, including ""Super Hang-On"" (Sega) and ""Firetrap"" (Data East).  It gives release dates and describes the games' features.

**Section 4: ""Software houses back kids""**

This is an advertisement/review for ""The Back Pack,"" a compilation of games from various software houses.  It highlights the compilation's contents and states that the proceeds will go to the NSPCC and a Scottish sister organization to help disadvantaged and abused children.  It lists the games included in the compilation.

**Section 5: ""THIEVES STEEL MICRO AWARD""**

This is a review/news item about the ""Magnetic Scrolls"" game, which won ""Game of the Year"" at the 1987 British Micro Computing Awards.  It also mentions the game ""The Pawn"" and the company MS (likely MicroSoft).

**Section 6: ""COMMODORE QUIDS IN""**

This is a news item about Commodore International's financial performance, specifically their net profit for the quarter ending June 30, 1987.  It highlights a significant increase in profit compared to the previous year.

**Section 7: ""CASTLE OF MIRRORS""**

This is a review/news item about the game ""Castle of Mirrors,"" developed by Mirrorsoft.  It describes the game as a graphic adventure, mentions its acquisition of rights, and details the game's features (graphic adventure, quest to overthrow the Black Knight, etc.).  It also mentions the game's British release date.

**Overall:** The page is packed with information about various video games, software companies, and industry news.  It's a snapshot of the computer gaming scene in the late 1980s.  The page is formatted in a way typical of a magazine article, with different sections and headings to organize the information.
"
10,"This page is a section from a magazine, likely a gaming magazine, focusing on coin-operated arcade games (coin-op).  The overall theme is a ""Readers Coin-Op Chart,"" showcasing the popularity of various arcade games.

**Headline and Introduction:**

The page prominently features the words ""CHAR"" and ""Readers Coin-op Chart"" in large, bold, stylized lettering.  The introduction text discusses the popularity of arcade games, particularly the success of ""Firebird's Arcade Classics"" and ""Renegade"" in the current issue.  It also mentions the ""CU Cheapo of the Month"" award and the continued popularity of ""Out Run"" and ""Double Dragon.""  The text also highlights the upcoming release of ""Afterburner"" and the inclusion of a ""Top Ten Worst Excuses for Being Late"" list.  The introduction also mentions a review of a ""Super Star"" game and other games like ""International Karate +,"" ""Indiana Jones,"" ""Shoot 'Em Up Construction Kit,"" and ""Chuck Yeager's Advanced Flight Trainer.""

**Readers Coin-Op Chart:**

This section lists the top five most popular coin-op games, ranked by popularity (as determined by reader votes).  The games are listed with their respective ranking, and the names of the games are presented in a clear, easy-to-read format.  The chart includes:

* **OUTRUN**
* **DOUBLE DRAGON**
* **R-TYPE**
* **ROAD RUNNER**
* **BUBBLE BOBBLE**

**CU COMIX TEN:**

Below the chart, there's a separate section titled ""CU COMIX TEN."" This section lists ten comic book-related titles, each with a brief description.  The titles are:

1.  LOVE AND ROCKETS
2.  SWAMP THING
3.  VIZ
4.  DARK KNIGHT
5.  AMERICAN FLAGG
6.  WATCHMEN
7.  OINK!
8.  CHARLEY'S WAR
9.  DR AND QUINCH'S GUIDE TO LIFE
10. BALLAD OF HALO JONES

**Reader Feedback and Contest:**

The page also includes a section encouraging readers to submit their top five coin-op games for a chance to win prizes.  It provides contact information for readers to send their submissions.  The text highlights the contest's prizes, which include ""CUT Shirts.""

**Overall:**

The page is visually appealing with a mix of text and illustrations.  The illustrations are black and white, likely from the original magazine.  The layout is clear and easy to follow, making it easy for readers to quickly scan the information.  The page's overall tone is enthusiastic and focused on the popularity of arcade games.  The inclusion of the ""CU COMIX TEN"" section suggests a broader focus on popular culture and entertainment.
"
