Page Number,Page Information
1,"The image is the cover of a magazine, likely a gaming magazine, called ""Commodore User.""  The cover is highly stylized and features a large, bold graphic of a soldier in camouflage uniform, seemingly in action, holding a machine gun.  The soldier is positioned against a backdrop of the American flag, in a vibrant red, white, and blue color scheme.

Several key elements are prominent:

* **Title:** ""COMMODORE USER"" is prominently displayed in large, bold, capital letters.
* **Date:** ""DECEMBER 1987"" is printed in a smaller font.
* **Price:** ""$3-50"" is visible in a yellow box.
* **Headline:** ""OVER THE TOP COMBAT SCHOOL EXCLUSIVE REVIEW"" is a large, bold headline, indicating a review of a game called ""Combat School.""
* **Other Content:** The cover also features the following information:
    * ""164 PAGE PORKOUT ISSUE!""  This suggests a large amount of content.
    * ""WIN A C.D. & THE TOP 5 ALBUMS""  This indicates a contest or giveaway.
    * ""COIN-OPS OF 88 REPORT FROM JAPAN""  This suggests articles about coin-operated arcade games and a report from Japan.
    * ""REVIEWED: STAR WARS-P.H.M. PEGASUS-RYGAR •SKATE OR DIE-COSMIC CAUSWAY-GARRISON""  This lists games that were reviewed in the issue.
    * ""FREE POSTER DRUID 2 MAPPED""  This indicates a free poster and a game review.
    *  Currency symbols and prices in different currencies (310 pta, HFL 5.75, DM 5.50) are shown, suggesting international distribution.
    *  A small graphic of another soldier is visible in the background.

The overall impression is of a magazine focused on Commodore computers and video games, with a strong emphasis on reviews, news, and potentially contests. The cover art is quite striking and evocative of the era.
"
2,"The image is a promotional poster or advertisement for a video game called ""Out Run.""  It's likely from a game magazine or a promotional flyer.

The poster is predominantly teal/turquoise-colored with stylized graphics and text.  The title ""Out Run"" is large, bold, and in a stylized font with a sunset/sunrise effect.  The words ""You're cool, the engine's hot, the girl's gorgeous, a tank full of gas and an open road... the rest is up to you!"" are written in a smaller font above the title, creating a sense of excitement and freedom.

The poster features multiple screenshots of the game, showcasing different stages and gameplay elements.  These screenshots are pixelated, typical of the era's video game graphics.  The screenshots are labeled with the platform they were taken from: ""Screenshot from Amstrad version,"" ""Screenshot from Spectrum version,"" ""Screenshot from CBM 64/128 version,"" and ""Screenshot from Atari ST version.""  This indicates the game was available on multiple computer systems.

The poster also includes the word ""START"" in large, bold, red letters, likely to indicate the beginning of the game.

The overall design and style of the poster suggest it's from the 1980s or early 1990s, given the pixelated graphics and the use of vibrant colors.  The text and imagery evoke a sense of speed, excitement, and adventure, typical of racing games of that time.

There are no review ratings visible on the page.  The poster is purely promotional material, not a review.
"
3,"This is an advertisement for the video game ""OutRun,"" likely from a magazine or catalog.  The advertisement is detailed and visually appealing, using vibrant colors and illustrations to showcase the game's features.

**Product Information:**

The advertisement highlights the game ""OutRun"" and its availability on various platforms:

* **Amstrad:** Cassette version priced at £9.99, Disk version at £14.99
* **Atari ST:** Disk version priced at £19.99
* **CBM 64/128:** Cassette version priced at £9.99, Disk version at £11.99
* **Spectrum:** Cassette version priced at £8.99

**Game Description:**

The text emphasizes the game's simulation of motor sports, highlighting the thrill of driving high-performance sports cars on winding roads.  It emphasizes the following aspects:

* **Ultimate experience:**  The game is described as an ultimate experience in motor sports simulation.
* **Nerve and reflexes:** The game challenges the player's nerve and reflexes.
* **G-force:** The game simulates the feeling of G-force.
* **Open country:** The game features open country driving.
* **Exhilaration and excitement:** The game is described as exhilarating and exciting.
* **Time trial:** The game includes a time trial element.
* **Co-ordination and nerve:** The game tests the player's co-ordination and nerve.
* **Arcade sensation:** The game is compared to an arcade sensation.
* **All-action spectacle:** The game is described as an all-action spectacle.

**Additional Information:**

* **Sound Track:** The advertisement explicitly states that the game includes an original sound track, and a coin-op version.
* **Home Computer Reality:** A prominent statement indicates that the game will become a home computer reality on December 10th.  This suggests a release date.
* **Atari ST Availability:**  A note specifies that the Atari ST version will be available later in December.
* **Contact Information:**  The advertisement includes contact information for U.S. Gold Ltd.

**Visuals:**

The advertisement features vibrant illustrations of cars, people, and a racing scene.  The illustrations are stylized and dynamic, creating a sense of excitement and speed.  The layout is clear and easy to read, with pricing and platform information prominently displayed.  The overall impression is one of a high-octane, exciting racing game.
"
4,"This page is an advertisement for a video game called ""The Ultimate Maze Challenge,"" or ""XOR.""

The advertisement prominently features the game's title and a stylized ""R"" graphic.  A quote from a review, praising the game's ""compulsive, cunning, and attractive"" nature and its ""classy original twist on the basic maze theme,"" is displayed.  The review is attributed to *A+B Computing* and specifically mentions a BBC micro review.

The page details the game's features, including:

* **15 graded mind-bending mazes:** Each maze is approximately 16 screens.
* **Super smooth high-speed scrolling:**  The game features smooth scrolling.
* **High-resolution graphics:** The visuals are of high quality.
* **High-speed or step-by-step replay:** Players can replay levels at different speeds.
* **Intriguing logical problems:** The game requires problem-solving skills.
* **Interactive dynamic puzzles:** The puzzles change and adapt during gameplay.

The advertisement also lists the different platforms the game is available on (Commodore 64, Spectrum, Amstrad, and BBC) and the corresponding prices for disk and cassette versions.  The prices are given in British pounds (£).

A section highlights the ""XOR Designer,"" a separate program available for BBC and Commodore computers.

Finally, a ""Logotron Guarantee"" section assures customers of prompt dispatch, replacement of faulty software, and free postage and packaging.  Contact information for Logotron is also included.  The overall design of the page is visually appealing, with a dark background and stylized graphics.  The layout is clear and easy to read, making it effective as an advertisement.
"
5,"This page is a contents page from a magazine, likely a gaming magazine, for the month of December 1987.  It's heavily focused on video game reviews and previews, with a strong emphasis on Amiga games.

**Sections:**

* **SPECIALS:** This section highlights key features and promotions.  A prominent feature is a review of ""22 Combat School,"" a game for the Commodore 64, with a chance to win a CD player.  There's also an offer for a trip on a Royal Navy submarine (57 Sub Compo) and a pull-out poster for ""Skate or Die"" (82 Pull Out Poster).

* **SCREEN SCENE:** This section showcases images and brief descriptions of various games.  It includes visual representations of game screens and/or characters, along with the game titles.

* **ED'S BIT ON THE SIDE:** This is a longer, more opinionated column, likely written by the editor.  It discusses the current state of the Amiga gaming market, highlighting the increasing number of high-quality Amiga games and the editor's belief that the Amiga is the superior platform.  The author also mentions upcoming free gifts in future issues.

* **GAME REVIEWS/PREVIEWS:**  The bulk of the page is dedicated to game reviews and previews.  Each game is listed with a number, and a brief description is given.  The titles include:  ""Rygar,"" ""Skate or Die,"" ""Combat School,"" ""Cosmic Causeway,"" ""Star Wars,"" ""Freddy Hardest,"" ""Ice Hockey,"" ""Maniac Mansion,"" ""Xor,"" ""Coconut Capers,"" ""Buggy Boy,"" ""Passengers on the Wind,"" ""Mean Streak,"" ""Beat it,"" ""Kromazone,"" ""Starlifter,"" ""Bobsleigh,"" ""Gunboat,"" ""Mad Balls,"" ""Airborne Ranger,"" ""Power Struggle,"" ""Zig Zag,"" ""Tetris,"" ""Spore,"" ""Survivors,"" ""Mask,"" ""DMH Pegasus,"" ""Microrythm+,"" ""Dark Castle,"" ""King of Chicago,"" ""Western Games,"" ""Garrison,"" and ""Leviathan.""  The descriptions are concise, providing a quick overview of each game.

* **OTHER SECTIONS:**  There are sections on arcade games (""140 Games for '88,"" ""113 Adventure,"" ""147 Arcades,"" ""129 Play to Win,"" ""156 Results,"" and ""158 Tommy"").  These sections provide reviews, previews, or information about arcade games and other related topics.

**Overall Impression:**

The page is clearly designed to attract readers interested in video games, particularly those on the Amiga platform.  The layout is visually appealing, with a mix of text, images, and graphics.  The inclusion of a contest and the editor's opinion piece adds a personal touch.  The page's focus on Amiga games and the editor's strong support for the platform suggests a magazine aimed at Amiga users.
"
6,"This page is a promotional advertisement, likely from a video game magazine or similar publication, showcasing several upcoming or recently released video games for the Atari 2600 or similar 8-bit systems.

The page features descriptions and screenshots for four different games:

**1. Rampage:**  The text describes the game as a simple-minded, but violent, arcade-style game where the player controls a monster that destroys cities.  The description emphasizes the mindless violence and destruction aspect.  There's a small image/screenshot of the game.

**2. Buzz:**  This section shows a game screen image of the game ""Buzz"".  There's no detailed description, only the score and high score.

**3. Rastan Saga:**  The text describes a sword-fighting game, highlighting the ""naff software"" aspect and the difficulty of getting the game into stores.  It mentions a character named Big Ed and a contributor named Mike Pattenden.  There's a screenshot/game image.

**4. Out Run:**  This section promotes a driving game, emphasizing the ""most hyped drivealong"" aspect and the conversion from a coin-op arcade game.  It mentions a hippy-dippy soundtrack and a separate audio tape for the player's stereo.  There's a screenshot/game image showing a car driving on a road.

**5. Jack the Ripper:**  This section describes a mystery game based on the infamous Jack the Ripper murders.  The text highlights the grisly nature of the game and the fact that the game's developers, St Brides, previously had a game rated X.  There's a screenshot/game image.


Each game section has a title, a brief description, and a game image/screenshot.  The descriptions are written in a promotional style, aiming to entice potential buyers.  The page layout uses a combination of text and images to showcase the games.  The overall tone is energetic and action-oriented, typical of video game advertisements from that era.
"
7,"This page is a promotional spread from a magazine, likely a gaming magazine, showcasing various video games.  It's heavily focused on game descriptions and features, with screenshots and technical specifications.

**Section 1: Masters of the Universe**

This section features a game advertisement for ""Masters of the Universe.""  It includes a brief description of the game, highlighting its connection to the popular cartoon and toy line.  A screenshot of gameplay is included, showing characters and environments.  The text emphasizes the game's release date and connection to the upcoming movie.

**Section 2: Test Drive**

This section is a review or preview of the ""Test Drive"" game.  It's written in a more journalistic style, describing the game's premise and features.  The text focuses on the game's realistic driving simulation aspects and the selection of high-performance cars.  A picture of a Porsche 911 is included.

**Section 3: Technical Specifications (Test Drive)**

Below the ""Test Drive"" section, there's a detailed table of technical specifications for a car, likely from the game.  This includes engine type, displacement, compression ratio, horsepower, torque, transmission, braking, and tire specifications.  This section provides a glimpse into the game's realism.

**Section 4: Gameplay Screenshot (Masters of the Universe)**

A second screenshot of the ""Masters of the Universe"" game is included, showing a different scene and gameplay elements.  This reinforces the game's visual style and the environment.

**Section 5: Mars Cops**

This section is an advertisement for ""Mars Cops.""  It describes the game's plot, setting (2029 on Mars), and gameplay mechanics.  The text emphasizes the need for skill and strategy in combat.

**Section 6: Platoon**

This section is an advertisement for ""Platoon.""  It's based on the Vietnam War movie of the same name.  The text describes the game's setting, gameplay (jungle combat), and the need for tactical awareness.  It also mentions the game's release date.

**Section 7: Buzz**

This section is an advertisement for ""Buzz.""  It describes the game's plot, setting (jungle environment), and gameplay mechanics.  The text emphasizes the need for tactical awareness and quick reactions.  It also mentions the game's release date.

**Overall:**

The page is designed to attract gamers' attention to a variety of upcoming Amiga games.  It uses a combination of text, screenshots, and technical details to entice potential buyers.  The layout is visually appealing, with a mix of colors and graphics.  The inclusion of game screenshots and technical specifications is a common feature in gaming magazines of that era.
"
8,"This page is an advertisement, likely from a magazine, promoting video games.  It features two primary game titles: ""Gary Lineker's Superstar Soccer"" and ""Alternative World Games.""

**Gary Lineker's Superstar Soccer:**

The advertisement prominently displays the game's title and a graphic of a soccer player.  It highlights the game's football management aspects, emphasizing the ""mysterious qualities of team coach"" and the ""explosive talents of a star striking centre forward.""  The text suggests a unique and innovative approach to the football game, comparing it to the excitement of Gary Lineker's playing style.  The ad also lists the price for the game on various platforms (CBM 64/128, Amstrad, Spectrum, and Atari ST).

**Alternative World Games:**

This section describes a different type of game, emphasizing its humorous and alternative approach to sports.  The text describes the game as a ""hilarious spoof"" with events like ""Sack Racing, Log Flogging, Running up walls, Pole climbing and Boot Throwing.""  The ad suggests a lighthearted and unusual gameplay experience.  Again, the price for this game on various platforms is listed.

**Overall:**

The page is visually appealing, using bright colors and dynamic imagery to draw attention to the games.  The layout is clear and easy to read, with distinct sections for each game.  The prices for each version of the games are clearly displayed.  The advertisement also includes contact information for the software company, Gremlin Graphics Software Ltd.  The overall impression is one of promoting these games as fun and engaging, with a focus on their unique features.
"
9,"This page is an advertisement for a video game called ""A Gremlin Game,"" featuring two different games: ""Compendium"" and ""Blood Valley.""

The advertisement is visually appealing, using vibrant colors and stylized graphics.  The text is large and bold, making the game titles and pricing information prominent.

**Compendium:**

* **Description:**  The text describes ""Compendium"" as a wacky adaptation of traditional board games.  It involves the Winks (father Tiddly Wink and his wife Mavis Wink) and their children, a dog, and various board game elements like snakes and a pub game.  The game is designed for one to four players.
* **Visuals:**  The image shows a board game-style layout with numbers and characters.  There are illustrations of people and animals, suggesting the game's theme.

**Blood Valley:**

* **Description:**  ""Blood Valley"" is described as a fantasy-themed game where the player must escape a valley from a monstrous leader.  The game is based on the ""Duelmaster"" series of books.  The text highlights the creatures and challenges the player will face.
* **Visuals:**  The image shows a scene with monsters and a castle-like structure, suggesting a fantasy setting.

**Pricing and Platforms:**

The advertisement clearly lists the price for the game on various platforms (CBM 64/128, Amstrad, Spectrum, and Atari ST).  The prices are given in British pounds (£).

**Overall:**

The page is a comprehensive advertisement for the game, highlighting its features, gameplay, and pricing.  The visual style and detailed descriptions aim to attract potential buyers interested in video games.
"
10,"This page is an advertisement or article, likely from a magazine, featuring a review or promotional piece about the computer game ""Bono"" and a separate article about the art paintings game ""Vermeer"".

**Bono in computer game shock?**

This section is a review/article about a computer game called ""Bono"". The tone is somewhat humorous and slightly critical. The article describes the game as featuring Bono, the famous Irish musician, in an unexpected role. It suggests the game's premise is unusual and perhaps a bit of a ""coincidence"" or publicity stunt. The article mentions the game's ""official"" autobiography, ""The Unforgettable Fire,"" and that the game is available on the Commodore 64.  It also includes a call to action, encouraging readers to send in postcards for a copy of the game.

**Deluxe paintings**

This section is a review/article about a different computer game, ""Vermeer"". The tone is more straightforward and informative. It describes the game as a simulation of buying and selling art, specifically focusing on the paintings of Sir Oliver Burroughs. The game involves international trading and dealing with forgeries. The article highlights the game's focus on financial transactions and the potential for acquiring valuable art pieces.  It also mentions that the game is different from other computer games of the time, focusing on a different genre.

**Overall:**

The page presents two distinct pieces of content, both likely aimed at a computer gaming audience. The layout is typical of a magazine article, with black and white images and text. The language used is descriptive and engaging, aiming to pique the reader's interest in both the games.  The review rating is not explicitly stated, but the tone of the ""Bono"" section suggests a somewhat skeptical or humorous perspective, while the ""Vermeer"" section is more straightforward and informative.
"
