Page Number,Page Information
1,"The image is the cover of *Commodore User* magazine, dated March 1988.

The cover features a large, stylized illustration of a yellow, reptilian creature with sharp teeth and claws.  The creature appears to be in the midst of an action scene, as suggested by the phrases ""EAT PHOTON DEATH!"", ""10-INCINERATED!"", ""THE TRAIN-DERAILED!"", ""GRYZOR-GUTTED!"", and ""FIREFLY-FRAZZLED!"" which are prominently displayed in a bold, sans-serif font.

Below the creature image, the text ""R-TYPE MAPPED"" and ""PLATOON CRACKED"" are displayed in a large, bold font, indicating articles or features within the magazine about these games.  The text ""AMIGA: MERCENARY-ROADWARS-GOLDEN PATH"" is also visible, suggesting another game or topic covered.

The cover also includes promotional information, such as ""FREE PULL-OUT POSTER,"" ""READERS POLL RESULTS,"" and various prize giveaways (""WIN! A COLOUR TV,"" ""WIN! DAN DARE BOOKS,"" ""WIN! AN ORIENT EXPRESS AWAYDAY"").

Price information is also included: ""£1.10,"" ""350 pta,"" ""HFL 5.90,"" and ""DM 5.50,"" likely representing the price in different currencies.  A sticker or label with ""No. 1 for AMIGA GAMES"" and ""INCL. G.S.T."" is also visible.

The overall design of the cover is vibrant and eye-catching, using a mix of bold colors and dynamic imagery to attract readers' attention. The style suggests a focus on action-oriented games and features for the Commodore 64 and Amiga platforms.
"
2,"This page is an advertisement for a video game called ""Alternative World Games,"" published by Gremlin Graphics Software.

The advertisement features a vibrant, cartoon-style design, with large, bold lettering highlighting the game's title and tagline.  The overall tone is playful and humorous, as evidenced by the cartoon illustrations and the text describing the game.

**Game Overview:**

The advertisement emphasizes the game's humorous approach to sports-themed video games, contrasting it with the original ""EPYX"" version.  It highlights the game's multi-event nature, suggesting a variety of activities.  The text mentions specific activities like racing, boot throwing, pole climbing, and balancing plates, all presented in a lighthearted manner.

**Reviews/Feedback:**

The page includes several quotes praising the game's features.  One quote highlights the ""fantastic"" graphics, emphasizing both the picturesque backgrounds and the humorous animated characters.  Another quote gives an ""overall 86%"" rating, praising the game's quality and its lighthearted approach to the multi-event genre.

**Platform and Pricing:**

The advertisement lists the game's availability on various platforms, including Amstrad, Atari ST, MSX, CBM 64/128, and Spectrum.  The price for each platform is clearly stated in British pounds (GBP).

**Company Information:**

At the bottom of the page, contact information for Gremlin Graphics Software is provided, including their address, phone number, and website (though no website is explicitly shown).

**Visuals:**

The page is filled with colorful illustrations and graphics, depicting various scenes from the game, including athletes competing in different events.  The art style is cartoonish and lively, contributing to the overall playful tone of the advertisement.  There are also smaller images of the game's screen shots.

**Overall:**

The advertisement effectively promotes the game by highlighting its unique, humorous approach, positive reviews, and availability on multiple platforms.  The visual style and text work together to create a compelling and engaging presentation.
"
3,"The page is an advertisement for the video game ""Vampire's Empire,"" specifically highlighting the game's ""Gremlin"" version.  The advertisement is visually striking, featuring a dark, gothic-style illustration of a scene with a wizened old man, a monstrous creature, and a stylized depiction of a dungeon-like environment.  The game's title, ""Vampire's Empire,"" is prominently displayed in large, bold, red lettering.

The advertisement details pricing and platform availability for the game.  It lists the following:

* **Atari ST:**  £8.99 (Tape), £12.99 (Disk)
* **Spectrum:** £8.99 (Tape), £12.99 (Disk)
* **CBM 64/128:** £9.99 (Tape), £12.99 (Disk)
* **Amiga:** £19.99 (Disk)
* **Atari ST:** £19.99 (Disk)
* **Amstrad:** £9.99 (Tape), £14.99 (Disk)

The advertisement also includes small screenshots or illustrations of gameplay, showing different levels and elements of the game.  These images are in a pixelated style, typical of the era's video game graphics.

The advertisement also includes contact information for Gremlin Graphics Software Ltd., including their address, phone number, and company name.

Overall, the advertisement is a comprehensive marketing piece for the game, providing potential buyers with pricing and platform information, as well as visual cues about the game's content.  There is no review rating present on the page.
"
4,"This page is an advertisement for a video game called ""Bedlam,"" likely for various home computer systems of the 1980s.

The advertisement features a vibrant, stylized image of a space battle scene, with a figure in a red spacesuit prominently displayed.  The background is a mix of bright colors and diagonal lines, creating a dynamic and energetic visual effect.

The text is presented in a bold, clear font, highlighting the game's title (""Bedlam"") repeatedly.  The advertisement also lists the different versions of the game available, including prices for different platforms:

* **CBM 64/128:** £9.99 Cassette, £11.99 Disk
* **SPECTRUM 128:** £8.99 (Not 48K Compatible)
* **AMSTRAD:** £9.99 Cassette, £14.99 Disk
* **PC:** £19.99

The text also includes a tagline: ""INTER GALACTIC HAVOC! A METEORIC MAD HOUSE! IT'S SPACE AGE...""  This sets the scene for the game as a space-themed action title.

A short description of the game is included, emphasizing the challenge and skill required to succeed: ""Will you endure the X12 Fighter Simulator and emerge an ice cool space fighter at the pinnacle of his powers or like many more will you be reduced to a nervous, gibbering wreck fit for no more than intergalactic tinpot trading ships. Only the premier cadets of the Stellar Imperium's pilot academy will ever find out and its upto the merciless instructors to ensure that only the elite survive. It's space age frenzy... It's interstellar turmoil... It's Bedlam!""

Finally, the advertisement includes contact information for the company, GOI Media Holdings Ltd., including their address, phone number, and a tagline ""Tomorrow's Software Today.""  This suggests a focus on new and innovative video game releases.

There is no review rating visible on the page.  The page is entirely promotional material.
"
5,"This page is a spread from a vintage computer and video game magazine, likely from the 1980s, judging by the graphics and layout style.  It's a mix of articles, reviews, and advertisements.

**Sections:**

* **Specials:**  A section titled ""14 Crucial Poll Results"" presents the results of a reader poll about the best video games of 1987.  It asks about the top game, best simulation, and most divisive game.  The text suggests a reader poll was conducted to determine these.

* **Regulars:** This section features a variety of content, including:
    * **6 Buzz Charts:**  A listing of popular games, likely ranked by popularity.
    * **12 Charts:**  Another listing of games, possibly a different ranking or category.
    * **85 Adventure:**  A listing of adventure games.
    * **90 Letters:**  A section for reader letters or feedback.
    * **103 Arcades:**  A listing of arcade games.
    * **120 Tommy's Tips:**  A section with tips and tricks for games.
    * **Screen Scene:**  A section likely showcasing game screenshots or artwork.

* **24 10 Review:**  A review of a game, likely called ""10,"" and a promotion to win a color TV.

* **62 Poster:**  An advertisement for a poster, possibly featuring game artwork or maps.

* **94 Play to Win:**  An article about game strategies, maps, and tips for specific games, including ""Platoon,"" ""Gauntlet II,"" and ""Combat School.""  It mentions a map for ""R-Type.""

* **116 Gas:**  An article or feature about a game, possibly called ""Gas,"" and its creator, Jamie Hewlett.  It mentions ""Groovy Arcade Stories"" and ""inter-planetary folk.""  The text suggests this is a story or narrative-driven game.

* **Game Listings/Reviews:**  A large section lists many different games, likely in a chart format, with their corresponding numbers.  These are likely reviews or listings of games available at the time.  Examples include ""Firefly,"" ""Gryzor,"" ""Trak III,"" ""Apollo 18,"" ""Bedlam,"" ""Thunderblade,"" ""Roadwars,"" ""Black Lamp,"" ""Strike Fleet,"" ""Ricochet,"" ""Skyfox II,"" ""Codehunter,"" ""Thundercross,"" ""Knightgames II,"" ""Cheapo Roundup,"" ""Roadwars,"" ""Ball Raider,"" ""Time Bandit,"" ""Mercenary,"" ""Arkanoid,"" ""Terramex,"" and ""Golden Path.""  The numbers next to each game likely correspond to their position in a ranking or listing.

* **Game Artwork/Screenshots:**  The page includes numerous images of game screens and artwork, providing visual representations of the games mentioned.

* **Advertising/Information:**  The page includes information about the magazine itself, including its staff, editor, and contact information.  There's also information about subscriptions and back issues.  The magazine is published by ABC, a likely indication of its distribution and circulation.


**Overall:** The page is a comprehensive look at video games of the time, including reviews, game listings, and advertisements.  The layout and graphics are typical of magazines from that era.
"
6,"This page is a section from a magazine, likely a video game magazine, featuring reviews and previews of various video games.

The page prominently features information about several games:

* **Buzz:**  The top section of the page features a large, stylized graphic with the word ""BUZZ"" in a bold, colorful font.  This likely indicates a game called ""Buzz"" and is a visual introduction to the game.

* **Card Sharks:**  Below the ""Buzz"" graphic, there's a section about a game called ""Card Sharks.""  The text describes the game as a card game with various poker-style options.  It mentions specific characters and game modes, and includes a screenshot of the game's interface, showing players and a poker table.

* **Road Warrior:**  This section details a game called ""Road Warrior.""  The text describes the game as a driving game where the player takes on a vigilante role, driving various cars (like a Ferrari) through a dangerous environment.  It mentions weapons, speeds, and a hip-hop soundtrack.  The text also hints at a challenging gameplay experience.

* **Karnov:**  This section previews a game called ""Karnov.""  The text describes the game as an arcade game where the player must bounce, swim, and fly through a bizarre land to recover treasure.  It mentions various enemies and obstacles, and the need to acquire special abilities.  A screenshot of the game's environment is included.

* **Infiltrator II:**  This section is a review or preview of a game called ""Infiltrator II.""  The text describes the game as a helicopter-based action game where the player is a world-class helicopter pilot.  It mentions the need to fly a helicopter, complete ground missions, and locate the main villain.  The text also mentions the game's developers and publisher.


**Overall:** The page is filled with text descriptions, screenshots, and graphics related to the video games.  The style suggests a magazine article or review, providing information about the games' features, gameplay, and release dates.  The descriptions are detailed enough to pique the reader's interest in the games.
"
7,"This page is a promotional advertisement, likely from a magazine, showcasing several upcoming video games for the Amiga computer system.  It features detailed descriptions, screenshots, and even a score for one of the games.

**THE THREE STOOGES:**

This section advertises a new game called ""The Three Stooges.""  The description highlights the game's comedic, slapstick nature, referencing the classic movie characters.  It promises a ""barrel of laughs"" and ""wunnerfool Amiga graphics.""  No rating is given.

**JUDGE DEATH:**

This section details a game called ""Judge Death.""  The description emphasizes the game's action-oriented gameplay, with the player taking on the role of Judge Anderson, a Psi Judge, to stop the Dark Judges terrorizing Mega City One.  The game is based on a 2000AD comic strip.  The description includes details about the gameplay, including the use of a single shooter, battling enemies, and navigating sectors of the city.  No rating is given.

**TROLL:**

This section advertises a game called ""Troll.""  The description focuses on the game's unique gameplay mechanics, where the player, a troll, is trapped in a world of goblins and inter-dimensional holes.  The player must navigate these obstacles and avoid the goblins to escape.  The description highlights the need for quick reflexes and strategic thinking.  The game is described as a ""shoot-'em-up"" and is due for release in early spring.  No rating is given.

**CORPORATION:**

This section advertises a game called ""Corporation.""  The description is more narrative-driven, focusing on a conspiracy-themed setting in the year 3026AD.  The player is a commander of a robotic mining team, tasked with extracting Minorthian Crystal while avoiding the greedy corporate overlords.  The description touches on themes of corporate control and conspiracy theories.  No rating is given.

**SCORE 27531:**

This section shows a screenshot of the game ""Troll,"" displaying a game screen with a score of 27531.  This is a visual representation of the game's gameplay.

**Overall:**

The page is a collection of game advertisements, each with a unique tone and style.  The descriptions are detailed enough to pique the interest of potential players, but they don't provide a comprehensive overview of the games' mechanics.  The inclusion of screenshots and scores adds to the visual appeal and provides a glimpse into the game's graphical style.  No review ratings are present.
"
8,"The page is an advertisement for a Commodore 64 game called ""Tough Game.""

The advertisement features a stylized image of a futuristic-looking white car with chains seemingly wrapped around it.  The image is in black and white, with a gritty, almost industrial aesthetic.  The car's design is quite angular and dynamic.

The text prominently displays the game title, ""TOUGH GAME FOR,"" in large, bold, capitalized letters.  Below that, smaller text states ""DON'T FORGET TO GET THE LATEST CRL POST.""

Further down, there's a section labeled ""MAIL ORDER"" with details on how to order the game.  It specifies that a ""Broad Sheet"" (likely a brochure or detailed information) is available describing the game.  The contact information includes the address of Electronic Arts (11/49 Station Road, Lan) and CRL Group PLC (CRL House, 9 Kings Yard).

The top of the advertisement features the words ""UNLEASH THE R"" in large, bold, capitalized letters.  This is likely a tagline or a broader marketing theme for the game or the company.

The overall impression is of a game that is powerful, fast-paced, and perhaps a bit aggressive, reflecting the design of the car in the image.  The advertisement is clearly aimed at Commodore 64 users.
"
9,"The page is an advertisement for a video game called ""Road Warrior,"" specifically for arcade games.

The advertisement features a grayscale image of a stylized, white sports car.  The car's design is somewhat futuristic and aggressive.  The image is the primary visual element of the ad.

Below the image, the words ""ROAD WARRIOR"" are prominently displayed in large, bold, capitalized, sans-serif white letters on a dark gray background.

Below the car image, the text ""A TOUGH WORLD"" is displayed in a large, bold, capitalized, sans-serif font.  This is also on a dark gray background.

Further down, smaller text provides contact information for obtaining more details about the game and purchasing it.  It states that customers should contact their nearest software retailer for information and ordering.  The address for inquiries is given as:

Gley, Berks SL3 8YX, England
Carpenters Road, London E15 2HD

The text is in a simple, straightforward style, and the overall design is clean and minimalist.  The advertisement is clearly focused on promoting the game and providing contact information for potential customers.  There is no review rating present on the page.
"
10,"This page is from a magazine, likely a computer magazine, focusing on the Amiga computer system.  It contains a mix of articles, including a report on Amiga viruses, a discussion of arcade classification, and a section on safe booting practices.

**Amiga Virus Multiplies:** This section details the growing concern over viruses affecting Amiga programs and data.  It describes how viruses can spread through infected disks, borrowed software, or demonstration models in shops.  The article explains that the viruses don't permanently damage the Amiga's operating system but can corrupt or destroy individual programs and data on disks.  It highlights the difficulty of dealing with these viruses, noting that new strains emerge quickly, requiring constant updates to ""killer"" programs to combat them.  The article also quotes individuals involved in the Amiga software industry, expressing frustration and concern about the impact of these viruses on users' investments.

**Arcades Are Not Cinemas:** This section discusses a recent House of Lords decision regarding the classification of venues containing coin-operated arcade games.  The article explains that the Lords ruled that a venue containing coin-operated games does *not* automatically qualify as a cinema, despite previous court rulings to the contrary.  The article details the reasoning behind the decision, highlighting the distinction between gambling machines (covered by the Gaming Acts) and arcade games.  It also mentions the efforts of Westminster City Council to regulate arcade games under the Cinemas Act, and the council's unsuccessful attempt to bring coin-op arcades under the control of the Cinemas Act.

**Safe Booting:** This section provides practical advice to Amiga users on protecting their software and disks from viruses.  It outlines steps like only purchasing software from reputable dealers, switching off the Amiga between disk changes, checking disks for viruses, and using virus-scanning software.  It includes contact information for Silica Shop, a company providing virus-removal tools.

**Overall:** The page presents a mix of technical information, news, and opinions related to the Amiga computer system and its associated software.  The tone is somewhat urgent, reflecting the growing concern over the spread of viruses and the need for users to take precautions.  There's no explicit review rating, but the content suggests a concern about the impact of viruses on the Amiga community.
"
