Page Number,Page Information
1,"The image is a cover page of a magazine, likely a gaming magazine, specifically for the Commodore Amiga computer.  The title is ""COMMODORE USER,"" and the issue date is July 1988.  The cover price is £1.10.

The cover features a large, stylized image of a futuristic spaceship or fighter jet, set against a backdrop of flames and stars.  The colors are vibrant, with a mix of blues, grays, and oranges.

The cover also includes a list of reviewed games and additional Amiga games.  The reviewed games are:

* **Dark Side Desolator Marauder**
* **Street Fighter**
* **Beyond the Ice Palace**

The Amiga Extra games are:

* **Draconia**
* **Buggy Boy**
* **Leatherneck**
* **Return to Genesis**
* **Obliterator Map**

There's also a section titled ""Impossible Mission 2 Map & Tips,"" suggesting that there's a guide or walkthrough for this game included within the magazine.

The cover also includes pricing information in different currencies (350 pta, HFL 5.90, DM 5.50).  The magazine's number one position for Amiga games is also highlighted.

The overall design is typical of gaming magazines from the 1980s, with a focus on bold graphics and text to attract attention.
"
2,"This page is an advertisement for the video game ""Combat School,"" published by Konami.  It's likely from a magazine or similar publication, judging by the layout and style.

The advertisement prominently features the game's title, ""Combat School,"" and highlights its arcade origins.  It also advertises a related film, ""Platoon,"" and a special boxed set containing a poster and audio cassette.

**Key elements and details:**

* **Game Title:** ""Combat School""
* **Platform:** The advertisement lists the game's availability on the following platforms: Spectrum, Amstrad, Commodore, Amiga, and PC+ compatibles.
* **Price:**  The prices for the game are listed for each platform:
    * Spectrum: £7.95
    * Amstrad: £8.95
    * Commodore: £7.95
    * Amiga & PC+ Compat:  (Price not listed)
    * Spectrum: £9.95
    * Commodore: £9.95
    * Amstrad: £9.95
* **Description:** The text describes the game as a challenging experience, featuring seven grueling events, including the Assault Course, Firing Range, Arm Wrestling, and Combat.  It emphasizes the game's difficulty and the need to ""make the grade.""
* **Platoon Tie-In:**  The advertisement also promotes a connection to the film ""Platoon,"" offering a special boxed set with a film poster and audio cassette.  The text highlights the film's ""intimidating mood of conflict"" and the game's tie-in to the film.
* **Developer/Publisher:**  Konami is credited as the developer of the arcade version of the game. Ocean Software Limited is listed as the publisher for the home computer versions.
* **Copyright:**  Copyright information is included, indicating the year of publication (1987 for Konami and 1986 for Hemdale Film Corporation).
* **Artwork:** The page uses a combination of text, graphics, and illustrations to showcase the game and its theme.  The illustrations depict soldiers and game scenes.
* **Image of Game Play:** A small, pixelated image of the game's gameplay is included, showing a top-down view of soldiers and terrain.


Overall, the page is a comprehensive advertisement designed to attract potential buyers to both the game and the special edition.  It highlights the game's features, difficulty, and tie-in to a popular film.
"
3,"This page is an advertisement for the video game ""Gryzor,"" featuring a promotional image and text.

**Visuals:**

The advertisement prominently displays stylized artwork of soldiers and futuristic figures, suggestive of jungle warfare and sci-fi themes.  The images are in a bold, graphic style, typical of 1980s video game advertising.  There are also smaller, pixelated images of game screen shots, showcasing the game's graphics.  The background colors are vibrant, with a strong emphasis on reds and oranges.

**Text:**

The text is divided into sections, highlighting key aspects of the game.

* **Headline:**  The headline ""NGLE ARFARE"" and ""SCI-FI SURVIVAL"" are large and bold, drawing attention to the game's themes.
* **Game Description:**  The text describes ""Gryzor"" as a conversion of a popular arcade game, emphasizing the thrilling gameplay, alien world, and enemy defense systems.  It also highlights the ""fire-power"" and ""split-second timing"" needed to succeed.
* **Platform Information:**  A section clearly lists the different computer systems on which the game is available (Spectrum, Amstrad, Commodore, Amiga, PC+).  The price is also noted for each platform.
* **Contact Information:**  At the bottom of the page, there's contact information for the company, including a telephone number and telex.

**Overall Impression:**

The advertisement is designed to entice potential buyers with a combination of striking visuals and a compelling description of the game's features.  The emphasis on the game's arcade origins and the need for skill and timing suggests a challenging but rewarding experience.  The price and platform availability are clearly stated, making it easy for consumers to determine if the game is suitable for their system.  The overall design and layout are typical of video game advertisements from the 1980s.
"
4,"This page is an advertisement for the video game ""The Bard's Tale,"" featuring a promotional image of the game's cover art and screenshots from various platforms.

The advertisement highlights the game's availability on the C-64 cassette, Spectrum, Amstrad, Amiga, Atari ST, and IBM PC and compatible systems.  The text emphasizes that the game offers a ""real challenge,"" ""real fantasy quest,"" and a ""brilliant game.""  It further states that the game ""does not get better than this.""

The page includes several screenshots, each labeled with the platform it represents (C-64 cassette, Amstrad, Spectrum, and Amiga).  These screenshots show the game's interface, including character selection, inventory, and in-game environments.

The advertisement also includes a description of the game's features, such as:

* **Creating original characters:** Players can create their own characters and develop them into experienced warriors or magicians.
* **Exploring a vast world:** The game allows players to explore the entire city of Skara Brae, including areas above and below ground, such as Harkyn's Castle, Mangar's Tower, and the Mad God's Temple.
* **Continuous scrolling narration:** The game features a continuous narrative and excellent 3D first-person point-of-view graphics.
* **Sword and sourcery gameplay:** The game combines swordplay and magic, allowing players to overcome monsters and traps.
* **Quest to defeat the archmage Mangar:** The ultimate goal of the game is to defeat the evil archmage Mangar in his tower.

The advertisement also includes contact information for Electronic Arts, including their address, phone number, and a request for dealers to call a different number.  This suggests that the advertisement is aimed at both consumers and retailers.

Overall, the page is a comprehensive advertisement for ""The Bard's Tale,"" showcasing its features and availability across multiple platforms.  The layout and design are typical of gaming advertisements from the 1980s or early 1990s.
"
5,"This page is a spread from a computer magazine, likely from the 1980s, judging by the graphics and layout style.  It's a mix of articles, reviews, and advertisements for various video games, specifically for the Amiga computer.

**Sections:**

* **REGULARS:** This section lists various articles and features within the magazine.  It includes items like ""Buzz,"" ""Charts,"" ""Cheapo Roundup,"" ""Letters,"" ""Adventure,"" ""Gas,"" ""Arcades,"" and ""Tommy's Tips.""  These are likely columns or regular features within the magazine.

* **REVIEWS:** This section focuses on game reviews.  Each game is listed with a number, and a small image or graphic of the game is often included.  The reviews are concise, providing a quick overview of the game's features and a rating (indicated by a triangle symbol).  Examples of games reviewed include ""Skate City,"" ""Leatherneck,"" ""Draconia,"" and many others.  The reviews are likely short summaries of the game's strengths and weaknesses.

* **SPECIALS:** This section highlights specific games or features.  The first entry is a review of ""Salamander,"" a shoot 'em up game, and notes that the magazine is giving away a copy of the classic coin-op version.  Other entries include ""Amiga Extra,"" which focuses on Amiga games, ""Play to Win,"" a guide to games, and ""The Last Word,"" a likely editorial or opinion piece.

**Detailed Description of Specific Items:**

* **Salamander Review:** The review mentions that the magazine considers the game ""one of the greatest shoot 'em ups"" and that the conversion to the Amiga is also well-regarded.

* **Amiga Extra:** This feature highlights the best Amiga games and includes reviews of ""Buggy Boy"" and ""Leatherneck,"" along with an ""Obliterator map"" guide.

* **Play to Win:** This feature provides game advice and strategies, specifically for ""Impossible Mission 2.""

* **The Last Word:** This is likely an editorial or opinion piece, discussing something related to the magazine or the gaming industry.

**Overall Impression:**

The page provides a comprehensive overview of the magazine's content, showcasing a mix of game reviews, features, and advertisements.  The layout and graphics are typical of magazines from the era, with a focus on providing information about video games and the Amiga platform.  The inclusion of game images and graphics, along with the detailed descriptions of the games, suggests a strong focus on providing readers with information about the games available for the Amiga.
"
6,"This page is from a magazine, likely a computer gaming or music magazine, judging by the content.

The page features several articles, likely covering different topics.

**1. Buzz Commodore Slash Machine:** This section is a review or advertisement for the ""Buzz Commodore Slash Machine"" game.  It highlights the game's price point, which is lower than its competitor, the Atari ST, despite including a large bundle of games.  The article also mentions the game's graphics and sound capabilities.

**2. Songs of Destiny:** This section discusses a new marketing strategy for a band called Destiny.  The band's manager, Diamond, is using a record label (Destiny Records) to promote their music through software releases.  The article emphasizes the unusual approach and the potential for reaching a wider audience.

**3. Elite Sports 'Question':** This section is an advertisement for a new computer game based on the popular BBC sports quiz show ""A Question of Sport.""  It details the game's features, including the quiz master David Coleman, and the recurring team members.  The article also mentions that the game will be based on the TV show's format, including popular rounds like ""Mystery Personality"" and ""What Happens Next?""  It also states that the same question-setting team from the BBC show will be involved.  The game is slated for release in early October.

**Overall:** The page is a mix of product reviews/advertisements and news items, focusing on computer games and music.  The layout is typical of a magazine, with clear headings and subheadings, images, and text.
"
7,"This page is a section from a magazine, likely a computer gaming or software magazine, featuring various articles and news items related to computer games and software for the Commodore 64 (C64), Amiga, and other systems.

**Section 1: Superman Flies Again**

This section features an image of Superman and a brief article about a new Superman game for the Commodore 64 and Amiga.  It highlights the game's development by Tynesoft and its planned simultaneous release on both platforms in November.  The article also mentions that the game is not related to a previous Superman game, and that the new version is expected to be an improvement over its predecessor.

**Section 2: Psygnosis on 64**

This section discusses Psygnosis's upcoming releases for the Commodore 64.  It notes that Psygnosis games will be available on the 8-bit platform, converted by Mastertronic.  The article mentions specific titles, including Barbarian, Terrorpods, and Obliterator, and their release date (August).  It also details the retail price.

**Section 3: Buzz**

This section is a news roundup, covering various topics.

* **Electronic Arts (EA) Sign SSG:**  EA has signed a distribution deal with Strategic Simulation Group (SSG) to bring their games to the European market.  The article lists the first nine titles and their pricing for both 8-bit and 16-bit systems.
* **Code Masters' Cheapo Disks:** Code Masters is launching a budget range of Commodore 64 games, priced under £3.  The first four titles are listed as simulators (BMX, Grand Prix, ATV, and Fruit Machine).
* **SoftSoc Set Up:**  A new organization, the Society of Software Authors (SSA), is established to provide support and guidance to software developers.

**Section 4: Mirrorsoft Snap Up Blasteroids**

This section details Mirrorsoft's acquisition of the rights to the arcade game Blasteroids.  It highlights Blasteroids as an updated version of the classic Asteroids game and that it will be released as a coin-op game.  The article also mentions that Mirrorsoft will be releasing a new subsidiary label for the game and that it will be available in early 1989.

**Section 5: Enlightenment Virus**

This section is an article about a virus that infected some review copies of the game *Firebird's Enlightenment: Druid II*.  The article details how the virus likely entered the master disk during duplication and how Firebird is taking steps to prevent future infections.  The article emphasizes that the virus was not introduced by Firebird.

**Section 6: Other Games**

This section lists other games and their release dates, including:

* **Logotron Chess Champ:**  A chess game for the Amiga and Commodore 64, featuring a chess master-level AI.
* **Mastertronic Megaplay:** A compilation series of games, including Streetbeat, Rapid Fire, Cage Match, Agent X2, Pipeline 2, and Destructor, on two cassettes.

**Overall:**

The page provides a snapshot of the computer gaming industry in the late 1980s, showcasing news about new releases, acquisitions, and even the emerging concerns about software piracy and viruses.  The page's layout and style are typical of a magazine from that era.  There is no explicit review rating, but the articles provide information about the games and their potential appeal.
"
8,"This page is from a magazine, likely a gaming magazine, featuring previews and information about upcoming video games for the 16-bit home computer systems, likely the Commodore 64.

The page is divided into several sections, each dedicated to a different game.

**1.  ""Buzz"" Header:**  A large, stylized, yellow and purple ""Buzz"" header likely indicates the magazine's title or a section title.

**2.  ""Eddie Edwards' Super Ski"" Section:** This section features a preview of a ski-themed game.  The text describes the game as based on the famous British ski jumper Eddie ""The Eagle"" Edwards.  It highlights the game's features, including various ski events (ski jump, slalom, giant slalom, and downhill), and mentions that it will be available for one to six players.  The text also notes that the game is developed by a French software company, Loriciels.  The preview emphasizes the game's potential and its upcoming release.

**3.  ""Tiger Road"" Section:** This section previews a game called ""Tiger Road."" The text describes the game as a coin-op tie-up with Capcom, featuring a warrior named Lee Wong.  The game involves fighting enemies, using weapons, and navigating a variety of locations.  The preview mentions the game is based on a Chinese fable and will be available in October.  The section includes a small pixelated image of the game's graphics.

**4.  ""Lock-On"" Section:** This section previews a game called ""Lock On."" The text describes the game as a conversion of a coin-op game, featuring a ""70s"" theme and psychedelic graphics.  The preview highlights the game's unique graphics and its upcoming release in early August.

**5.  ""Summer Olympiad"" Section:** This section previews a game called ""Summer Olympiad."" The text emphasizes the game's upcoming release within a month and its unique features, including fencing, high diving, and skeet shooting.  The preview suggests the game is innovative and promises an interesting experience.

**Overall:** The page is a collection of game previews, showcasing the variety of games available for the target audience.  The descriptions are promotional in nature, highlighting the games' features and release dates.  The style and layout suggest a publication from the 1980s or early 1990s.
"
9,"This page is a section from a magazine, likely a video game magazine, featuring reviews and previews of various arcade and computer games.

**STREET SPORTS SOCCER:** This section is a preview/review of the game *Street Sports Soccer*. The text describes the game as a realistic football game, contrasting it with simpler, less detailed versions. It highlights the game's features, including the gritty realism of the environment (manholes, dustbins, etc.), the ability to choose neighborhood kids as your team, and the challenging gameplay.

**HAWKEYE:** This section is a preview of the game *Hawkeye*. The text describes the game as a first-person shooter with a focus on weaponry and a variety of enemies. It mentions the game's setting, including ""Dutch Mountains"" and ""Blue Monday,"" and the diverse enemies encountered. The preview also notes the game's unique features, such as the unlimited fire pistol and access to rocket launchers, machine guns, and lasers.

**BARBARIAN II:** This section is a preview of the game *Barbarian II*. The text describes the game as a blend of arcade adventure and beat 'em up, with a focus on violence and gratuitous violence. It highlights the game's features, including numerous enemies, sticky ends, and multiple levels of object collecting. The preview also mentions the option to play as either Maria or Barbie, and the ability to sharpen or prepare blunt instruments. The release date is noted as late July.

**ARMALITE:** This section is a preview of the game *Armalite*. The text describes the game as a space-shooter, contrasting it with the game's title, which might be misleading. It highlights the game's features, including the ability to play with one or two players, intricate spacescapes, and the ability to crash into obstacles. The preview also mentions the use of weapons and the ability to gain extra weapons by shooting shield icons. The release date is noted as late summer.

Overall, the page provides previews of upcoming video games, highlighting their unique features and gameplay mechanics.  The descriptions are detailed enough to pique the reader's interest in the games.
"
10,"This page is an advertisement for a video game called ""Mindfighter.""  It's likely from a magazine or catalog, promoting the game's features and different versions available.

The page is divided into sections:

**New Features:** This section lists key features of the game, including:

* **Icon driven:**  Implies a user-friendly interface with icons for actions.
* **Intelligent interactive characters:**  Suggests the characters have AI and react to player actions.
* **Full OOPS command:**  Refers to a command system, likely for controlling the game's actions.
* **Optional RAM save all versions:**  Allows players to save their progress in different ways.
* **Auto door opening:**  A feature that automatically opens doors in the game.
* **Full graphics all versions:**  Indicates the game has good visuals across different platforms.
* **Extremely user friendly versions:**  Highlights the game's ease of use.
* **Full D & D combat sequences:**  Suggests the game includes a turn-based or similar combat system.


**Additional Extras Included:** This section details additional items included with the game, such as:

* **A full color A3 poster:**  A large poster of the game.
* **A 160-page paperback version of the story:**  A book that tells the game's story.
* **Different versions for various platforms:**  The game is available for C64/128 Disk, C64/128 Cassette, ZX Spectrum 48k/128k+, Amstrad CPC Cassette, Amstrad CPC Disk, Atari ST, Amstrad PCW, and Amiga, and MS DOS.
* **Prices:**  The prices for each version are listed.


**Game Description:**  A paragraph below the ""New Features"" section describes the game's plot.  The game takes place in 1987, and features an 11-year-old boy named Robin with psychic powers who travels through time to a post-holocaust, fascist Southampton.  The world is described as desolate and bare.  The player must help Robin survive and save the world.


The overall tone is promotional, highlighting the game's features and plot to entice potential buyers.  The inclusion of different versions and prices suggests a variety of options for different platforms and budgets.
"
