Page Number,Page Information
1,"The page is a cover of ""CU Commodore User Amiga '64"" magazine, from February 1989.  The cover price is £1.20.

The cover features a variety of images and text related to various computer games and software for the Commodore Amiga 64.

**Visual Elements:**

* **Large, bold ""CU"" logo:**  The magazine's name, in a large, yellow font against a red background.
* **""FEBRUARY 1989"" and pricing:**  Indicates the publication date and price.
* **""COMMODORE USER AMIGA '64 DOMINATOR"":**  A large headline, highlighting the magazine's focus on Commodore Amiga 64.
* **""FALCON SIERRA HOTEL IN THE SKY"":**  A game title, accompanied by a stylized illustration of a futuristic pilot figure.
* **""64 MENACE"":**  Another game title, with a graphic of a game screen.
* **""OP WOLF 2"":**  A game title, with the subtitle ""ARCADES EXCLUSIVE"".
* **""TV SPORTS FOOTBALL"":**  A game title, with a graphic of two women in cheerleader outfits at a football game.
* **""WEC LE MANS"":**  Another game title, with a graphic of a race car game screen showing lap times, speed, and other statistics.
* **Illustrations:**  The cover is filled with various illustrations and graphics, including detailed depictions of game characters, vehicles, and game screens.  The art style is a mix of comic book-style and pixelated graphics, typical of the era.

**Overall Impression:**

The cover is designed to attract readers interested in Commodore Amiga 64 games and software.  The combination of game titles, illustrations, and magazine information creates a visually appealing and informative cover.  The presence of multiple game titles suggests a diverse range of content within the magazine."
2,"The page is a promotional advertisement for the video game ""Afterburner,"" specifically highlighting the arcade version.

The image is vibrant and features a dynamic illustration of fighter jets in aerial combat, with a backdrop of a cloudy sky and a naval vessel.  The jets are depicted in motion, with streaks of fire and explosions, creating a sense of action and excitement.

The title ""AFTER BURNER"" is prominently displayed in large, stylized, bold, orange-yellow letters on a blue background.  The subtitle ""AERIAL ARCADE ACE"" is smaller and in a similar style.  The word ""SHAKE.R"" is also visible in large, bold, orange letters on a black background, suggesting a possible connection to a related game or series.

Below the main image, a graphic of the arcade cabinet for ""Afterburner"" is shown in a blue and gray color scheme.  The image is detailed enough to show the game's controls and overall design.

The text below the image provides key information:

* **Activision and Sega logos:**  The logos of both Activision and Sega are prominently displayed, indicating the game's publishers.
* **Copyright and Licensing:**  The text clarifies that ""Afterburner"" is a Sega-licensed game, manufactured and distributed by Activision.
* **Contact Information:**  The advertisement includes contact details for Activision, including a mail order address, consumer inquiries number, and technical support number.
* **Platform Availability:**  The text lists the different computer platforms on which the game is available, along with the corresponding price for each platform (C64 cassette, C64 disk, Spectrum, and Amiga).

Overall, the page is designed to attract potential buyers by showcasing the game's action-packed nature and highlighting its availability on various platforms. The use of vibrant colors and dynamic imagery effectively conveys the game's excitement and appeal.
"
3,"The page is an advertisement for the video game ""Afterburner,"" featuring a vibrant, stylized image of a pilot in a cockpit.  The overall design is bold and energetic, typical of 1980s video game advertising.

**Headline:** The large, bold text ""ATTLE. ROLL IT."" is the main headline, drawing attention to the game.

**Visuals:** The image is dominated by a striking illustration of a pilot in a fighter jet cockpit. The colors are vivid and dynamic, with a strong emphasis on blues, grays, and oranges. The image style is reminiscent of a promotional poster or magazine cover.

**Game Description:** The text below the image highlights the game ""Afterburner.""  It describes the game as a simulation of an arcade smash, now available for home computers.  The description emphasizes the realism of the dogfight, the use of heat-seeking missiles and laser anti-aircraft fire, and the experience of extreme G-forces.  The text also mentions the game's supersonic swarm of enemies.

**Platform Availability:** The advertisement lists the different platforms on which the game is available, including Amstrad cassette, disk, Atari ST, and MSX, along with their respective prices.

**Screen Shots:** The page includes screen shots of the game, showcasing the gameplay on different systems (Amiga and ST).  These screen shots show the action and the visual style of the game.

**Review/Rating:** There is no explicit review rating.  However, the phrase ""SENSATION OF THE YEAR"" suggests a high level of praise and popularity.  The overall tone of the advertisement is positive and enthusiastic, promoting the game as a must-have experience.
"
4,"This is a vintage advertisement, likely from a computer magazine, promoting a compilation of video games for the Commodore, Spectrum, and Amstrad computers.  The advertisement is visually appealing, using bold graphics and a large, stylized font for the title ""The Crucial Compilation"" and the game titles.

The advertisement features several game titles, each with a small image and a brief description.  The descriptions highlight key features and gameplay elements of each game.

**Game Descriptions (in order of appearance):**

* **Karnov:** A fighting game, featuring a ""fire-breathing Russian strongman"" on a quest.  The description emphasizes the game's strategy and fast-action elements.
* **Barbarian:** A fantasy-themed game where a barbarian must defeat demonic guardians to save a princess.  The description focuses on the story and the challenge of the game.
* **Crazy Cars:** A racing game set in the ""American Cross Country Prestige Cars Race.""  The description emphasizes the race's difficulty and the need for skill to win.
* **Last Ninja:** A game replacing ""Crazy Cars"" on the Commodore, with no further details provided.
* **Gryzor:** An arcade-style game set in an alien world, featuring force fields, guerillas, and strange enemy defenses.  The description emphasizes the game's thrilling gameplay.
* **Target Renegade:** A game where the player navigates through a city, encountering various enemies and obstacles.  The description highlights the challenges and the ""villain community"" aspect.
* **Predator:** A game based on the movie, where the player takes on the role of a commando in a South American jungle.  The description emphasizes the action and the challenges of the environment.
* **Platon:** A strategy game where the player leads a platoon through enemy territory, encountering booby traps and enemy soldiers.  The description emphasizes the dangers and the need for careful strategy.
* **Combat School:** A game based on the arcade hit, featuring grueling events like the Assault Course, Firing Range, and Arm Wrestling.  The description highlights the challenging nature of the game.


**Overall Impression:**

The advertisement is designed to entice potential buyers with a variety of game genres and styles.  The emphasis is on the action, challenge, and unique gameplay elements of each game.  The price of the cassette compilation is clearly stated as £14.95.  The advertisement also includes contact information for Ocean Software Limited.

**Review Rating:**

There is no explicit review rating.  The advertisement is purely promotional material, showcasing the games rather than providing a critical evaluation.
"
5,"This page is a spread from a vintage computer gaming magazine, likely from the 1980s, judging by the style and content.  It's a detailed look at various aspects of the gaming world, including reviews, previews, and features.

**Sections:**

* **SPECIALS:**  This section highlights 16 Demomania, featuring two free games (Silkworm and Dominator) for the Amiga and 64, along with two full-length games (Sidewinder and Hyperactive).  The text describes these as ""exclusive demos"" and ""very special full-length games.""

* **REVIEWS:**  A substantial section dedicated to game reviews.  The list includes titles like Gauntlet II, Led Storm, F-16 Falcon, Rac Lombard Rally, Operation Wolf, R-Type, California Games, Rocket Ranger, Wec Le Mans, Turbo Cup, Hell Bent, 20,000 Leagues, Galactic Conqueror, Custodian, TV Sports Football, Purple Saturn Day, Legend of Blacksilver, Menace, Heroes of the Lance, and Powerplay Hockey.  Each game is listed with a corresponding number, indicating its position in the review section.

* **CONTENTS:**  This section is a table of contents, listing various articles and features within the magazine.  The titles are numbered, and the numbers correspond to the order of the articles in the magazine.  The titles include game reviews, features on game development, and other gaming-related topics.

* **82 BABY'S BACK IN ACTION:**  A feature article about a game called ""Baby's Back in Action,"" likely a review or preview.  It mentions the game's developers and other details.

* **84 PLAYED IN JAPAN 2:**  Another feature article, likely a review or preview, focusing on the popularity of consoles in Japan.

* **90 PIXELLATED POP:**  A feature article about a game called ""90 Pixelated Pop,"" likely a review or preview.  It mentions the game's sound and video aspects.

* **REGULARS:**  This section contains a variety of regular columns or features, including:
    * **BUZZ:** A brief news section.
    * **CHARTS:**  A listing of popular games.
    * **CHEAPOS:**  A section on budget-friendly games.
    * **ADVENTURE:**  A section on adventure games.
    * **PLAY TO WIN:**  A section on strategy games.
    * **LETTERS:**  A section for reader correspondence.
    * **ARCADES:**  A section on arcade games.
    * **RESULTS:**  A section on game results.
    * **TOMMY'S TIPS:**  A section with tips and tricks for games.
    * **THE LAST WORD:**  A final column or opinion piece.

**Additional Information:**

The page also includes details about the magazine's staff, editor, distribution, and contact information.  There's a graphic showing a game screen, and the page includes a logo and copyright information.  The overall design and layout are typical of gaming magazines from the era, with a focus on graphics and text.  The page is clearly organized and easy to navigate.
"
6,"This page is a magazine article, likely from a gaming or entertainment publication, featuring information about the upcoming video game releases of *Willow* and *Who Framed Roger Rabbit*.

**Willow Whisked Away:**

The article discusses the upcoming video game adaptation of the film *Willow*.  It highlights that the game is being developed by the European division of the American company Mindscape, and that US Gold has secured the future licensing rights to the game.  The article describes the game's plot, noting that it follows the film's storyline, with Willow facing challenges in a war-torn land.  The article also mentions that the game will feature ""lots of stupid names and fairly groovy special effects.""  It also notes that Mindscape will be releasing other sports-themed games.

**Who Sold Roger Rabbit?:**

This section of the article discusses the upcoming release of the *Who Framed Roger Rabbit* video game in the UK.  It details that Gainstar, a distributor, is importing and selling the game.  The article points out that the game will cost a few extra pounds due to import duties.  Crucially, Gainstar assures consumers that they are authorized to sell the game and that they will handle any issues or refunds as needed.  The article also mentions that Gainstar is expanding into the European license market and has partnered with Discovery, a US software company, for distribution.  It also previews future releases from Discovery, including *Sword Of Sodan* and *Snakepit*.

**Overall:**

The page provides a preview of upcoming video games, including details about the developers, distributors, and plot summaries.  The tone is informative and promotional, aiming to generate interest in the games.  There's no explicit review rating, but the article presents information about the games' features and release plans.
"
7,"This page is a collection of video game advertisements, likely from a magazine.  It features descriptions and screenshots of several different Commodore 64 and Amiga games.

**1. ORBITER:**

This section promotes a space flight simulator called ""Orbiter.""  The text describes the game as a flight simulator where the player can repair damaged satellites, build a space station, and even put John Denver into geostationary orbit.  It highlights the game's use of the latest American technology in its simulation.  The text also mentions the game's release date is scheduled for March.

**2. DRAGON'S LAIR:**

This section is a review or advertisement for a game called ""Dragon's Lair.""  The review notes that the game is specifically for Amiga users with a 1 Meg system.  It emphasizes the game's impressive graphics and sound, achieved by compressing 130 Megabytes of data onto multiple discs.  The reviewer acknowledges the game's complexity, requiring multiple discs, which could lead to gameplay interruptions if the user doesn't have enough disc drives.  However, the reviewer also suggests that the game's complexity and graphics are worth the effort for the user with the right setup.

**3. THE CHAMP:**

This section promotes a boxing simulation game called ""The Champ.""  The text highlights the game's realistic boxing moves and the ability to progress from street corner brawls to professional boxing matches.  It also mentions the game's Korean-style boxing features and the inclusion of music from the movie ""Rocky.""

**4. POPULOUS:**

This section is a review or advertisement for a game called ""Populous.""  The text describes the game as a God game where the player controls the development of a civilization, including claiming land, evolving technologies, and managing their people.  The game features a 3D map view and the ability to play with friends or enemies via datalink or modem.  The reviewer highlights the game's originality and potential for strategic gameplay.

**5. OBLITERATOR:**

This section is a review or advertisement for a game called ""Obliterator.""  The text describes the game as an intergalactic action game where the player is an ""Obliterator"" tasked with saving Earth from a massive alien invasion.  The game involves destroying an enemy spaceship and features a unique storyline.  The review mentions the game's release date is scheduled for the Commodore 64.


**Overall:**

The page showcases a variety of games, emphasizing their unique features, graphics, and gameplay mechanics.  The descriptions are detailed enough to pique the interest of potential buyers, while also providing some insight into the technical aspects of the games.  The page is likely from a gaming magazine, aimed at a target audience interested in Commodore 64 and Amiga games.
"
8,"This page is an advertisement, likely from a computer magazine or catalog, showcasing various Commodore Amiga 500 products.  It features multiple product listings, each with detailed descriptions, prices, and specifications.

**Product Listings:**

* **AMIGA 500 PLUS POSTRONIX BONUS PACK:** This package includes a Commodore Amiga 500, mouse, PSU, TV modulator, various manuals, a first tutorial, workbench, and extra software.  It also includes a bonus pack with over £250 worth of extra items like blank disks, a storage box, games, a mouse mat, and a mouse holder.  The price is £399.00 plus £5.00 postage and packing.

* **AMIGA 500 + 1084S STEREO/COLOUR MONITOR:** This listing advertises a combination of the Amiga 500 computer and a 1084S stereo color monitor.  The price is £649.00 plus £10.00 postage and packing.

* **1084 HIGH RESOLUTION COLOUR MONITOR:**  A high-resolution color monitor compatible with various computers, including PCs, Amiga, C64c, and C128.  The price is £259.00 plus £5.00 postage and packing.

* **MPS 1200P PRINTER:** This is a dot matrix printer, described as state-of-the-art, offering features comparable to Epson FX and IBM Graphics printers.  It's capable of various character sets, including Danish/Norwegian.  The price is £229.99 plus £5.00 postage and packing.

* **MPS 1500C COLOUR PRINTER:**  Another color printer, with technical specifications including printing technique (impact dot matrix), draft mode, tabulation speed, printing direction, print pitches, line feed, character set, and maximum print line length.  The price is £199.99 plus £5.00 postage and packing.

* **AMIGA 1010 DISK DRIVE:** A 3.5"" external disk drive with a capacity of 880K.  It comes with a free disk storage box and 10 blank disks.  The price is £149.99 plus £5.00 postage and packing.

* **A501 RAM PACK:** A 512K RAM pack for the Amiga.  The price is £149.99 plus £5.00 postage and packing.


**Overall:** The page presents a comprehensive selection of Amiga 500-related products, highlighting their features and prices.  The layout is typical of a product catalog or advertisement, with clear descriptions and pricing information.  The prices are in British pounds (£).
"
9,"This page is a vintage advertisement, likely from a computer magazine or catalog, showcasing a wide range of Commodore 64 and other computer-related products.  It's heavily focused on accessories, software, and games for the Commodore 64, with some Atari and other systems mentioned.

**Sections and Products:**

* **Commodore Olympic Pack:** This section advertises a compilation of games, including sports titles like tennis, snooker, and boxing, bundled with software.  The price is £149.99 plus postage.

* **Commodore Family Entertainment Pack:**  This pack includes a variety of entertainment software and hardware, including a computer, joystick, and other peripherals.  The price is £199.99 plus postage.

* **Hollywood Pack:**  Similar to the Family Entertainment Pack, this one focuses on Hollywood-themed games and shows.  The price is £149.99 plus postage.

* **Disk Drive Pack:**  A 1541 II Disk Drive Pack is advertised, including the drive, games, and blank disks.  The price is £169.99 plus postage.

* **Controllers:**  Several different controllers are listed, including the IconController (£15.99), Starfighter (£14.95), Challenger Deluxe (£4.99), Cheetah 125+ (£8.95), TAC 5 Controller Joystick (£13.99), TAC 2 Controller Joystick (£10.99), Slik Stick Joystick Controller (£6.99), Ram Delta Deluxe Microswitch Joystick (£9.99), and Micro Handler Multi Function Joystick (£24.95).  These are compatible with various systems, including Commodore 64, Atari, and Sinclair Spectrum.

* **Seikosha Printer:**  A printer compatible with various Commodore computers is advertised, highlighting features like graphics, fonts, and printing options.  The price is £159.00 plus postage.

* **RAM Expansion Modules:**  Options for expanding RAM in Commodore 64 systems are presented, with prices and details for different modules.

* **Computer Covers:**  A new range of computer covers made from durable clear plastic is advertised, designed to fit various computers like the Commodore 64, Amiga 500, Atari 520ST, and Atari 1040ST.  Prices are listed for each style.

**Ordering Information:**

* **Postronix Ltd:**  The advertisement clearly states that these products are available from Postronix Ltd.  Contact information and ordering details are provided, including a form for ordering.

* **Ordering and Payment:**  The advertisement details ordering procedures, including next-day delivery options and payment methods (credit card and cash).

**Overall Impression:**

The advertisement is well-organized, with clear product descriptions, prices, and ordering information.  The layout is typical of a print advertisement from the 1980s or early 1990s, showcasing the products and their features in a visually appealing way.  The focus is on providing a wide range of accessories and software for Commodore 64 and other computers.
"
10,"This page is filled with articles, likely from a magazine, featuring various topics.

**Section 1: Michael Jackson's ""Moonwalker""**

This section focuses on the release of Michael Jackson's film ""Moonwalker"" and its upcoming computer game adaptation.  It highlights the film's fantasy elements and its potential as a computer game conversion.  The text mentions that the game will be ""almost ideal for conversion.""  There's also a picture of Michael Jackson.

**Section 2:  ""Old Walk It""**

This section is a news item or review about Michael Jackson's performance.  It mentions that his friends need rescuing from ""Mr. Big"" and that he has an army of plastic surgeons.  The text describes a sequence where Jackson transforms into a spaceship.

**Section 3: RAF Flight Simulator**

This section discusses a new flight simulator game, likely for computers.  It emphasizes the game's British focus, featuring the RAF Tornado and a route to Hong Kong.  The article also mentions that a portion of the game's profits will go to the RAF Benevolent Fund.  There's a picture of a British fighter jet.

**Section 4: Liverpool Football Club**

This section is a review or news item about the Liverpool Football Club.  It mentions that the club has signed the entire squad, and that a new budget game about the club is coming out.  The article also notes that Millwall is the only team in the league with a creche.

**Section 5: Discovery F-19 Flight Simulator**

This section reviews a new flight simulator game, ""Discovery's F-19.""  It notes that the game is based on the ""Stealth Fighter"" and is similar to the Falcon F-16 game.  The article also mentions that the F-19 has a new official name, F-117A.


The overall tone of the page is a mix of news, reviews, and promotional material for various products, including films, computer games, and a football club.  There are no explicit review ratings visible.
"
